Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,ASAHIINDIA,EQ,162.8,163.25,165.0,162.0,163.2,163.1,162.55,39142,636233915000.0,393,30202,0.7716
2016-01-04,ASAHIINDIA,EQ,163.1,164.35,166.0,162.0,162.55,162.35,162.85,29216,475790034999.99994,338,21974,0.7521
2016-01-05,ASAHIINDIA,EQ,162.35,162.1,165.0,162.0,164.0,164.1,163.4,19589,320090860000.0,326,15289,0.7805
2016-01-06,ASAHIINDIA,EQ,164.1,165.0,169.9,165.0,165.2,165.3,167.5,52783,884091310000.0,869,28556,0.541
2016-01-07,ASAHIINDIA,EQ,165.3,164.1,165.8,163.05,164.0,163.8,163.92,53383,875069610000.0,335,42438,0.795
2016-01-08,ASAHIINDIA,EQ,163.8,164.5,165.85,164.0,165.0,165.0,164.38,26380,433623580000.0,247,22362,0.8477
2016-01-11,ASAHIINDIA,EQ,165.0,163.1,165.0,163.1,164.0,164.45,164.19,25324,415791455000.0,362,19193,0.7579000000000001
2016-01-12,ASAHIINDIA,EQ,164.45,164.35,166.9,163.05,164.0,164.05,164.82,48774,803881005000.0,624,16286,0.33390000000000003
2016-01-13,ASAHIINDIA,EQ,164.05,165.7,165.7,160.35,163.0,164.55,162.35,71468,1160294620000.0,605,60028,0.8399
2016-01-14,ASAHIINDIA,EQ,164.55,164.0,164.5,162.0,163.0,162.9,163.47,19582,320102410000.0,529,11891,0.6072
2016-01-15,ASAHIINDIA,EQ,162.9,162.25,163.0,153.0,153.5,155.85,158.97,21616,343621965000.0,516,15687,0.7256999999999999
2016-01-18,ASAHIINDIA,EQ,155.85,154.6,157.95,143.7,145.65,148.05,148.84,31986,476085034999.99994,1209,16860,0.5271
2016-01-19,ASAHIINDIA,EQ,148.05,146.25,153.0,146.25,151.7,152.55,150.79,19966,301067970000.0,407,12273,0.6147
2016-01-20,ASAHIINDIA,EQ,152.55,151.05,155.0,145.0,145.55,146.05,146.56,37916,555690165000.0,713,22006,0.5804
2016-01-21,ASAHIINDIA,EQ,146.05,147.0,148.5,146.0,146.0,146.1,146.78,14734,216264000000.0,390,8889,0.6033
2016-01-22,ASAHIINDIA,EQ,146.1,146.5,153.75,146.45,153.0,153.05,152.02,26038,395842300000.0,371,19285,0.7406
2016-01-25,ASAHIINDIA,EQ,153.05,153.05,157.7,151.0,156.0,156.15,155.45,22215,345339145000.0,437,12156,0.5472
2016-01-27,ASAHIINDIA,EQ,156.15,155.2,158.0,154.05,154.45,154.8,155.99,9166,142978075000.0,285,3044,0.3321
2016-01-28,ASAHIINDIA,EQ,154.8,155.95,156.0,153.0,154.4,153.25,154.56,3603,55689390000.0,199,1156,0.3208
