Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,BALKRISIND,EQ,647.55,648.9,652.45,648.9,650.0,650.15,650.59,3787,246379479999.99997,171,2820,0.7447
2016-01-04,BALKRISIND,EQ,650.15,652.0,655.0,650.5,652.75,652.05,652.27,9294,606215195000.0,398,8190,0.8812000000000001
2016-01-05,BALKRISIND,EQ,652.05,650.0,664.85,650.0,656.0,652.35,655.23,12683,831022205000.0,1342,8151,0.6426999999999999
2016-01-06,BALKRISIND,EQ,652.35,653.35,660.15,650.0,650.0,653.35,655.5,15437,1011895740000.0,1407,10482,0.679
2016-01-07,BALKRISIND,EQ,653.35,655.0,659.15,648.05,652.0,652.55,652.2,16772,1093869055000.0001,1678,13843,0.8254000000000001
2016-01-08,BALKRISIND,EQ,652.55,641.3,653.4,641.1,653.0,651.9,650.52,10238,666006880000.0,1272,6864,0.6704000000000001
2016-01-11,BALKRISIND,EQ,651.9,641.75,653.0,637.0,645.6,640.7,640.77,45690,2927672540000.0,2089,41221,0.9022
2016-01-12,BALKRISIND,EQ,640.7,644.85,652.0,639.5,647.0,646.75,644.5,15020,968037085000.0,944,12529,0.8342
2016-01-13,BALKRISIND,EQ,646.75,645.0,653.0,637.2,648.0,647.5,645.2,128225,8273038195000.0,889,124462,0.9707
2016-01-14,BALKRISIND,EQ,647.5,645.95,649.75,642.3,646.0,646.1,644.63,18370,1184177195000.0,498,16902,0.9201
2016-01-15,BALKRISIND,EQ,646.1,643.5,651.75,642.0,642.0,643.0,645.77,8871,572866040000.0,567,7061,0.7959999999999999
2016-01-18,BALKRISIND,EQ,643.0,635.95,643.0,600.0,626.0,623.35,617.43,27163,1677127640000.0,2164,19559,0.7201000000000001
2016-01-19,BALKRISIND,EQ,623.35,625.0,636.85,625.0,636.85,630.95,628.8,32247,2027690160000.0002,890,27134,0.8414
2016-01-20,BALKRISIND,EQ,630.95,637.05,637.05,623.0,626.1,625.65,626.2,20001,1252471915000.0,1530,16857,0.8428
