Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,BBTC,EQ,498.0,500.95,506.4,488.1,491.5,492.75,496.63,28281,1404523145000.0,1756,9915,0.3506
2016-01-04,BBTC,EQ,492.75,492.7,497.0,479.0,482.0,482.95,487.32,26667,1299546490000.0,1078,16857,0.6321
2016-01-05,BBTC,EQ,482.95,486.95,496.45,482.0,491.2,492.25,490.6,47581,2334307005000.0,1382,21766,0.4575
2016-01-06,BBTC,EQ,492.25,494.6,497.75,482.0,488.2,489.45,489.85,33777,1654554045000.0,1271,13816,0.409
2016-01-07,BBTC,EQ,489.45,488.0,488.0,467.0,467.2,469.0,473.31,30524,1444727005000.0,1963,16646,0.5453
2016-01-08,BBTC,EQ,469.0,468.0,484.9,468.0,470.15,471.3,475.56,35574,1691756775000.0,1518,11065,0.311
2016-01-11,BBTC,EQ,471.3,466.55,473.0,461.0,467.0,466.95,467.32,17417,813923750000.0,1142,7054,0.405
2016-01-12,BBTC,EQ,466.95,470.0,475.0,460.25,460.5,461.85,467.04,20110,939217615000.0,1259,7559,0.37590000000000007
2016-01-13,BBTC,EQ,461.85,466.7,469.95,431.1,442.5,444.35,450.27,31257,1407399970000.0,1300,15771,0.5046
2016-01-14,BBTC,EQ,444.35,438.95,449.9,430.3,441.1,441.25,440.84,14596,643443850000.0,844,6402,0.4386
2016-01-15,BBTC,EQ,441.25,445.8,497.0,416.5,423.2,425.3,441.51,58942,2602364825000.0,1805,12944,0.21960000000000002
2016-01-18,BBTC,EQ,425.3,420.05,422.6,401.0,410.0,410.1,410.43,83686,3434715135000.0,2975,35428,0.4233
2016-01-19,BBTC,EQ,410.1,414.0,419.7,407.1,414.35,414.2,412.71,55141,2275740895000.0,2559,9372,0.17
2016-01-20,BBTC,EQ,414.2,412.0,412.0,391.0,398.5,396.2,399.96,72888,2915257860000.0,3793,14341,0.1968
2016-01-21,BBTC,EQ,396.2,404.0,412.85,386.0,396.6,395.0,399.54,32309,1290860610000.0,2001,19906,0.6161
2016-01-22,BBTC,EQ,395.0,400.15,409.95,397.0,403.5,403.5,405.07,19773,800945890000.0,1436,9335,0.4721
2016-01-25,BBTC,EQ,403.5,409.55,411.0,401.0,403.0,403.6,407.11,11653,474403970000.0,860,5383,0.4619
2016-01-27,BBTC,EQ,403.6,408.8,414.0,404.15,406.2,406.25,407.71,6865,279890845000.0,459,3306,0.4816
2016-01-28,BBTC,EQ,406.25,408.35,409.9,400.1,402.1,401.85,404.38,7010,283467955000.0,429,4248,0.606
2016-01-29,BBTC,EQ,401.85,404.95,414.0,401.0,409.8,407.05,407.94,13564,553323655000.0,659,5381,0.39670000000000005
2016-02-01,BBTC,EQ,407.05,410.0,427.4,408.5,417.25,418.7,419.51,28288,1186700740000.0,1459,12072,0.4268
2016-02-02,BBTC,EQ,418.7,415.3,433.9,415.3,415.9,417.55,424.24,30259,1283694305000.0,1576,12501,0.4131
2016-02-03,BBTC,EQ,417.55,412.0,416.0,405.2,406.5,406.6,409.74,15352,629028000000.0,790,6217,0.405
2016-02-04,BBTC,EQ,406.6,410.1,418.0,402.0,409.0,408.45,411.34,11913,490030634999.99994,749,5426,0.45549999999999996
2016-02-05,BBTC,EQ,408.45,409.85,413.0,402.35,406.1,407.8,408.74,5941,242831835000.0,419,3320,0.5588000000000001
2016-02-08,BBTC,EQ,407.8,409.25,421.3,398.75,401.25,402.45,412.75,27202,1122760535000.0,1444,7978,0.2933
2016-02-09,BBTC,EQ,402.45,395.05,402.05,389.0,390.55,391.45,394.59,13174,519831334999.99994,1050,7201,0.5466
2016-02-10,BBTC,EQ,391.45,399.0,400.0,368.95,377.0,375.05,380.81,41028,1562402090000.0,1721,21943,0.5347999999999999
2016-02-11,BBTC,EQ,375.05,377.0,377.0,330.5,335.0,335.85,351.16,52947,1859305175000.0,1792,39599,0.7479000000000001
2016-02-12,BBTC,EQ,335.85,339.8,344.0,310.0,320.15,320.7,321.79,24952,802931685000.0,1294,14007,0.5614
2016-02-15,BBTC,EQ,320.7,324.05,359.2,324.05,348.05,347.95,346.5,30576,1059444935000.0,1499,16979,0.5553
2016-02-16,BBTC,EQ,347.95,349.0,357.9,329.7,329.7,331.65,338.09,11831,399992280000.0,621,8148,0.6887000000000001
