Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,CARBORUNIV,EQ,184.0,183.9,186.85,183.1,185.1,185.9,184.78,18153,335422760000.0,161,15592,0.8589
2016-01-04,CARBORUNIV,EQ,185.9,183.6,186.0,183.4,184.9,184.05,184.75,27068,500075600000.0,275,11063,0.4087
2016-01-05,CARBORUNIV,EQ,184.05,184.95,186.3,183.1,186.3,184.8,185.01,19212,355439020000.0,238,16179,0.8421
2016-01-06,CARBORUNIV,EQ,184.8,186.3,192.2,182.05,186.7,187.5,189.13,51392,972001875000.0,938,29422,0.5725
2016-01-07,CARBORUNIV,EQ,187.5,185.0,191.0,183.0,187.9,187.0,185.04,45188,836173565000.0,2744,29892,0.6615000000000001
2016-01-08,CARBORUNIV,EQ,187.0,187.55,189.8,183.2,186.7,186.15,185.59,25425,471870740000.00006,269,22365,0.8795999999999999
2016-01-11,CARBORUNIV,EQ,186.15,185.0,185.05,182.8,183.0,183.25,183.75,10127,186088685000.0,361,6546,0.6464
2016-01-12,CARBORUNIV,EQ,183.25,183.0,189.6,183.0,188.9,188.45,187.09,66656,1247095480000.0,3857,50687,0.7604000000000001
2016-01-13,CARBORUNIV,EQ,188.45,188.0,190.45,183.1,186.0,185.5,187.52,42435,795727090000.0,1868,28993,0.6831999999999999
2016-01-14,CARBORUNIV,EQ,185.5,183.3,189.3,181.55,187.8,187.75,186.49,16416,306138355000.0,335,13381,0.8151
2016-01-15,CARBORUNIV,EQ,187.75,188.0,189.45,183.8,184.0,184.05,184.97,18286,338244135000.0,275,13865,0.7582
2016-01-18,CARBORUNIV,EQ,184.05,180.15,186.9,175.1,178.0,178.0,178.12,24846,442567250000.0,397,18960,0.7631
2016-01-19,CARBORUNIV,EQ,178.0,175.5,180.95,175.5,178.3,178.8,178.82,6982,124851389999.99998,208,4760,0.6818000000000001
2016-01-20,CARBORUNIV,EQ,178.8,177.0,184.0,176.6,180.0,179.85,180.0,175549,3159947170000.0,474,171007,0.9741
2016-01-21,CARBORUNIV,EQ,179.85,178.1,180.65,178.1,180.05,180.0,179.95,70130,1261976865000.0,229,64785,0.9238
2016-01-22,CARBORUNIV,EQ,180.0,189.0,189.0,178.5,180.6,180.0,180.48,290787,5248173900000.0,276,282129,0.9702
2016-01-25,CARBORUNIV,EQ,180.0,183.8,183.8,171.1,173.0,171.95,176.28,28585,503909709999.99994,932,17110,0.5986
2016-01-27,CARBORUNIV,EQ,171.95,175.0,177.0,169.0,169.25,169.35,170.75,12859,219562575000.0,263,10130,0.7878000000000001
2016-01-28,CARBORUNIV,EQ,169.35,174.35,174.35,169.05,171.4,169.8,171.09,7290,124723350000.0,331,3900,0.535
2016-01-29,CARBORUNIV,EQ,169.8,172.6,172.95,169.0,172.95,172.5,171.76,4026,69148880000.0,132,2332,0.5792
2016-02-01,CARBORUNIV,EQ,172.5,172.95,175.0,171.6,172.7,172.7,173.15,4520,78264605000.0,115,4020,0.8894
2016-02-02,CARBORUNIV,EQ,172.7,173.65,179.0,171.8,173.95,173.2,176.0,13584,239081365000.0,343,7043,0.5185000000000001
2016-02-03,CARBORUNIV,EQ,173.2,171.0,173.2,170.2,170.85,171.1,171.36,4091,70103515000.0,117,2475,0.605
2016-02-04,CARBORUNIV,EQ,171.1,171.1,176.0,169.0,174.75,174.2,174.16,15189,264529840000.0,183,11275,0.7423000000000001
2016-02-05,CARBORUNIV,EQ,174.2,174.2,183.5,170.7,176.1,181.1,179.85,42465,763742290000.0,881,15040,0.3542
2016-02-08,CARBORUNIV,EQ,181.1,182.9,182.9,173.15,174.85,173.85,177.05,8733,154613490000.0,297,4778,0.5471
2016-02-09,CARBORUNIV,EQ,173.85,170.55,176.0,170.55,173.5,173.8,174.19,3861,67255700000.0,143,2246,0.5817
2016-02-10,CARBORUNIV,EQ,173.8,173.0,175.7,169.8,170.35,170.65,171.2,8165,139783700000.0,227,5903,0.723
2016-02-11,CARBORUNIV,EQ,170.65,170.1,173.7,163.1,163.25,164.7,169.38,10819,183249860000.0,278,8806,0.8139000000000001
2016-02-12,CARBORUNIV,EQ,164.7,163.95,172.95,156.1,170.5,169.85,164.31,14154,232566550000.0,380,8927,0.6307
2016-02-15,CARBORUNIV,EQ,169.85,171.25,173.5,167.3,167.55,169.25,170.09,8637,146905235000.0,192,6550,0.7584000000000001
2016-02-16,CARBORUNIV,EQ,169.25,170.0,172.75,166.0,166.5,166.75,169.45,6352,107632039999.99998,152,3948,0.6215
2016-02-17,CARBORUNIV,EQ,166.75,169.6,169.8,164.45,166.95,166.4,167.3,5945,99461145000.0,187,2810,0.47270000000000006
2016-02-18,CARBORUNIV,EQ,166.4,165.0,168.95,165.0,165.1,165.65,166.3,2093,34806065000.0,133,1065,0.5088
2016-02-19,CARBORUNIV,EQ,165.65,165.45,169.0,165.1,168.25,167.5,167.25,1122,18765765000.0,66,598,0.533
2016-02-22,CARBORUNIV,EQ,167.5,165.0,168.0,165.0,165.25,165.45,165.69,1980,32806659999.999996,90,1432,0.7232
2016-02-23,CARBORUNIV,EQ,165.45,165.45,168.0,163.0,165.0,165.0,164.22,17558,288335060000.0,279,16514,0.9405
2016-02-24,CARBORUNIV,EQ,165.0,164.95,165.5,164.35,165.0,165.0,164.98,6107,100755390000.0,63,5714,0.9356
2016-02-25,CARBORUNIV,EQ,165.0,165.05,169.8,165.0,169.0,168.3,166.44,3158,52561744999.99999,102,2257,0.7147
2016-02-26,CARBORUNIV,EQ,168.3,167.0,170.55,166.1,170.55,168.95,167.65,19697,330227650000.0,170,16027,0.8137000000000001
2016-02-29,CARBORUNIV,EQ,168.95,168.7,170.25,164.0,169.85,169.0,168.52,8354,140783060000.0,127,7785,0.9319
2016-03-01,CARBORUNIV,EQ,169.0,171.0,172.75,167.2,168.05,168.4,172.16,102160,1758756285000.0002,141,101401,0.9926
2016-03-02,CARBORUNIV,EQ,168.4,169.95,171.85,167.45,170.15,170.3,170.16,14329,243820360000.0,271,13019,0.9086
2016-03-03,CARBORUNIV,EQ,170.3,171.0,175.5,170.0,175.5,174.85,172.86,37887,654927910000.0,300,36518,0.9639
2016-03-04,CARBORUNIV,EQ,174.85,174.55,183.5,174.0,183.0,181.45,179.8,33943,610279640000.0,4803,30077,0.8861
2016-03-08,CARBORUNIV,EQ,181.45,181.45,181.45,175.1,175.75,176.0,178.24,3887,69282890000.0,141,3573,0.9192
2016-03-09,CARBORUNIV,EQ,176.0,176.4,176.4,170.0,175.95,174.5,172.48,27896,481158955000.0,487,24533,0.8794
