Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,CERA,EQ,2016.6,2009.95,2023.0,2000.1,2010.1,2018.75,2015.24,1611,324655780000.0,181,1074,0.6667000000000001
2016-01-04,CERA,EQ,2018.75,2000.0,2019.75,1960.0,1966.1,1983.9,1989.86,3144,625612145000.0,605,1825,0.5805
2016-01-05,CERA,EQ,1983.9,1985.0,2010.0,1975.0,2000.0,2005.05,1996.72,2094,418113875000.0,333,1472,0.703
2016-01-06,CERA,EQ,2005.05,2025.0,2025.0,1966.15,2020.0,2011.65,1999.92,2655,530979555000.0,301,1818,0.6847
2016-01-07,CERA,EQ,2011.65,2000.0,2000.3,1968.0,1975.0,1973.7,1979.64,2678,530147395000.0,371,1885,0.7039
2016-01-08,CERA,EQ,1973.7,1961.1,2000.0,1952.3,1957.2,1960.05,1966.48,2431,478050080000.0,436,1372,0.5644
2016-01-11,CERA,EQ,1960.05,1955.0,2010.0,1879.95,1980.0,1990.3,1934.77,8858,1713819655000.0,1303,4655,0.5255
2016-01-12,CERA,EQ,1990.3,1972.3,2000.0,1913.0,1923.95,1925.85,1944.61,5724,1113094860000.0,498,3483,0.6085
2016-01-13,CERA,EQ,1925.85,1940.05,1944.05,1816.0,1845.0,1848.0,1856.37,8515,1580701555000.0,835,4185,0.4915
2016-01-14,CERA,EQ,1848.0,1825.05,1870.0,1800.0,1849.9,1854.0,1829.68,4625,846227444999.9999,803,2787,0.6026
2016-01-15,CERA,EQ,1854.0,1854.0,1874.95,1799.0,1800.35,1804.95,1820.45,5576,1015083344999.9999,654,2834,0.5082
2016-01-18,CERA,EQ,1804.95,1804.0,1824.45,1761.15,1786.0,1789.8,1789.64,12184,2180498850000.0,1130,6430,0.5277000000000001
2016-01-19,CERA,EQ,1789.8,1829.95,1829.95,1784.0,1795.0,1795.4,1796.78,2812,505255845000.0,422,2207,0.7848999999999999
2016-01-20,CERA,EQ,1795.4,1780.05,1810.0,1710.2,1738.05,1748.75,1765.38,8455,1492625445000.0,928,4727,0.5590999999999999
2016-01-21,CERA,EQ,1748.75,1790.0,1795.0,1742.0,1742.0,1750.15,1758.56,3742,658054290000.0,514,2190,0.5852
2016-01-22,CERA,EQ,1750.15,1780.0,1825.0,1735.1,1750.0,1752.2,1763.88,9047,1595783820000.0,1953,5183,0.5729
2016-01-25,CERA,EQ,1752.2,1730.8,1798.65,1730.8,1749.0,1744.5,1755.73,8487,1490088085000.0,1312,4316,0.5085000000000001
2016-01-27,CERA,EQ,1744.5,1752.0,1765.05,1734.95,1745.05,1750.5,1747.38,6603,1153795470000.0,784,4205,0.6368
2016-01-28,CERA,EQ,1750.5,1750.0,1770.0,1730.0,1749.8,1741.85,1743.27,2892,504154990000.00006,490,2061,0.7127
2016-01-29,CERA,EQ,1741.85,1743.95,1819.0,1741.0,1749.85,1749.45,1752.64,9494,1663954850000.0,895,7101,0.7479000000000001
2016-02-01,CERA,EQ,1749.45,1750.0,1760.0,1711.95,1740.0,1738.8,1739.03,7070,1229497690000.0,1193,4766,0.6741
2016-02-02,CERA,EQ,1738.8,1758.0,1818.65,1693.0,1739.95,1740.05,1740.38,103414,17997956165000.0,9796,46703,0.4516
2016-02-03,CERA,EQ,1740.05,1748.0,1748.0,1694.4,1694.4,1707.55,1711.27,4966,849816615000.0,956,2478,0.499
2016-02-04,CERA,EQ,1707.55,1715.0,1735.0,1693.0,1700.65,1701.25,1705.71,3687,628894690000.0,635,2433,0.6598999999999999
2016-02-05,CERA,EQ,1701.25,1714.95,1720.05,1690.2,1704.85,1701.45,1701.14,4899,833387780000.0,634,3546,0.7238
2016-02-08,CERA,EQ,1701.45,1720.0,1720.0,1681.0,1689.6,1688.35,1691.25,9406,1590793290000.0,901,7014,0.7456999999999999
2016-02-09,CERA,EQ,1688.35,1680.0,1698.55,1612.55,1628.9,1642.75,1655.17,9049,1497767760000.0,1181,6444,0.7121
2016-02-10,CERA,EQ,1642.75,1628.0,1630.0,1561.5,1599.95,1583.8,1606.21,12287,1973555505000.0,1288,10804,0.8793000000000001
2016-02-11,CERA,EQ,1583.8,1605.8,1619.95,1509.95,1585.0,1578.2,1552.91,12145,1886015264999.9998,2248,7990,0.6579
2016-02-12,CERA,EQ,1578.2,1580.0,1658.95,1529.95,1634.05,1639.25,1576.1,10180,1604467060000.0,2064,6606,0.6489
2016-02-15,CERA,EQ,1639.25,1694.0,1694.0,1621.15,1627.0,1636.5,1641.53,3988,654642670000.0,636,2560,0.6419
2016-02-16,CERA,EQ,1636.5,1665.0,1665.0,1607.95,1640.0,1649.05,1644.92,6444,1059983865000.0,1022,5064,0.7858
2016-02-17,CERA,EQ,1649.05,1640.3,1660.0,1610.0,1639.0,1646.65,1647.67,57569,9485480580000.0,705,56390,0.9795
2016-02-18,CERA,EQ,1646.65,1654.95,1664.3,1612.05,1636.95,1638.85,1630.71,22979,3747211335000.0,555,22320,0.9712999999999999
2016-02-19,CERA,EQ,1638.85,1630.0,1645.05,1610.0,1630.05,1640.35,1629.66,3184,518885125000.0,539,2429,0.7629000000000001
2016-02-22,CERA,EQ,1640.35,1615.5,1710.0,1615.5,1689.9,1664.1,1640.97,3159,518381665000.00006,748,1891,0.5986
2016-02-23,CERA,EQ,1664.1,1700.0,1700.0,1620.0,1657.0,1655.85,1648.37,2471,407311805000.0,802,1274,0.5156000000000001
2016-02-24,CERA,EQ,1655.85,1675.0,1675.0,1600.0,1600.0,1601.85,1620.07,2877,466095055000.0,621,1743,0.6058
2016-02-25,CERA,EQ,1601.85,1620.7,1675.0,1547.0,1645.0,1639.85,1600.84,3601,576461925000.0,745,1841,0.5112
2016-02-26,CERA,EQ,1639.85,1626.15,1685.0,1609.9,1670.0,1671.45,1644.11,2662,437662095000.0,707,1392,0.5229
2016-02-29,CERA,EQ,1671.45,1680.0,1709.95,1651.2,1704.0,1698.35,1688.66,3808,643040330000.0,638,2198,0.5772
2016-03-01,CERA,EQ,1698.35,1697.65,1819.95,1696.0,1791.0,1770.75,1767.61,10681,1887984175000.0,3650,5485,0.5135000000000001
2016-03-02,CERA,EQ,1770.75,1825.0,1873.0,1791.7,1870.0,1852.1,1831.61,4728,865984505000.0001,960,2661,0.5628000000000001
2016-03-03,CERA,EQ,1852.1,1815.05,1881.1,1804.0,1850.0,1836.35,1830.08,5583,1021732280000.0001,1175,2398,0.42950000000000005
2016-03-04,CERA,EQ,1836.35,1831.05,1875.0,1803.9,1850.0,1847.55,1826.62,4975,908745075000.0,645,3327,0.6687000000000001
2016-03-08,CERA,EQ,1847.55,1880.0,1909.95,1815.0,1899.0,1862.95,1848.76,3083,569971570000.0,449,2429,0.7879
2016-03-09,CERA,EQ,1862.95,1863.0,1863.0,1811.05,1826.1,1840.75,1834.52,4687,859840105000.0001,1350,2066,0.44079999999999997
2016-03-10,CERA,EQ,1840.75,1821.25,1825.0,1759.3,1776.95,1781.45,1788.5,6146,1099209380000.0001,1391,3186,0.5184000000000001
2016-03-11,CERA,EQ,1781.45,1781.45,1829.35,1729.0,1749.45,1762.05,1781.95,4779,851592644999.9999,1185,2128,0.44530000000000003
2016-03-14,CERA,EQ,1762.05,1726.0,1813.95,1726.0,1790.0,1788.8,1775.22,5881,1044008444999.9999,879,3239,0.5508
2016-03-15,CERA,EQ,1788.8,1790.0,1848.0,1781.05,1810.0,1817.5,1822.28,5720,1042343219999.9999,1110,3303,0.5774
2016-03-16,CERA,EQ,1817.5,1810.0,1845.0,1782.0,1815.15,1837.8,1833.73,6426,1178354310000.0,1094,4287,0.6670999999999999
2016-03-17,CERA,EQ,1837.8,1834.0,1840.0,1775.55,1778.05,1800.55,1813.67,5798,1051564900000.0,990,3165,0.5459
2016-03-18,CERA,EQ,1800.55,1817.45,1820.0,1749.0,1783.0,1774.55,1776.05,4736,841136125000.0,898,2633,0.556
2016-03-21,CERA,EQ,1774.55,1774.05,1845.0,1709.95,1807.55,1827.7,1795.42,5092,914230085000.0,791,3376,0.663
2016-03-22,CERA,EQ,1827.7,1827.0,1827.0,1780.0,1786.0,1790.2,1792.18,3671,657910085000.0,494,2267,0.6175
2016-03-23,CERA,EQ,1790.2,1790.0,1825.0,1775.05,1824.05,1817.9,1795.19,2415,433538534999.99994,387,1659,0.687
2016-03-28,CERA,EQ,1817.9,1830.0,1830.0,1778.0,1815.0,1813.3,1796.43,3733,670605820000.0,801,1869,0.5007
2016-03-29,CERA,EQ,1813.3,1800.05,1840.0,1790.0,1839.0,1834.3,1818.84,3777,686974805000.0,503,2568,0.6799
2016-03-30,CERA,EQ,1834.3,1819.95,1848.2,1805.55,1830.0,1820.0,1830.43,8094,1481549995000.0,746,3323,0.4106
2016-03-31,CERA,EQ,1820.0,1835.5,1839.95,1800.05,1833.75,1829.9,1828.74,2160,395008460000.0,353,1169,0.5412
2016-04-01,CERA,EQ,1829.9,1809.9,1841.0,1809.9,1840.0,1838.4,1837.68,4397,808027200000.0,465,3634,0.8265000000000001
2016-04-04,CERA,EQ,1838.4,1849.9,1849.9,1821.05,1830.0,1838.05,1836.89,2781,510840084999.99994,272,1969,0.708
2016-04-05,CERA,EQ,1838.05,1828.0,1834.05,1770.0,1772.0,1774.55,1794.66,74308,13335741755000.0,910,69071,0.9295
2016-04-06,CERA,EQ,1774.55,1781.75,1802.85,1761.05,1770.0,1773.95,1782.09,2070,368893585000.0,362,1143,0.5522
2016-04-07,CERA,EQ,1773.95,1776.0,1799.95,1763.05,1765.0,1767.9,1773.22,2339,414757170000.0,424,1184,0.5062
2016-04-08,CERA,EQ,1767.9,1773.0,1780.0,1757.0,1758.0,1760.3,1766.91,1124,198600930000.0,238,696,0.6192000000000001
2016-04-11,CERA,EQ,1760.3,1778.5,1778.5,1742.4,1766.0,1769.65,1765.98,2941,519373609999.99994,256,2499,0.8497
2016-04-12,CERA,EQ,1769.65,1778.5,1779.9,1752.3,1765.0,1770.25,1760.22,146345,25760004975000.0,714,142412,0.9731000000000001
2016-04-13,CERA,EQ,1770.25,1778.85,1809.95,1750.0,1790.0,1795.5,1778.51,6897,1226636350000.0,1026,4727,0.6854000000000001
2016-04-18,CERA,EQ,1795.5,1795.0,1818.0,1765.0,1784.0,1786.3,1790.35,6312,1130069430000.0,768,2359,0.3737
2016-04-20,CERA,EQ,1786.3,1804.5,1807.65,1775.0,1792.1,1801.0,1795.7,3574,641784845000.0,681,2367,0.6623
2016-04-21,CERA,EQ,1801.0,1801.0,1820.0,1790.0,1790.0,1792.6,1803.9,2662,480198940000.00006,303,2205,0.8283
2016-04-22,CERA,EQ,1792.6,1809.95,1810.0,1780.0,1802.0,1801.1,1799.44,16598,2986710535000.0,396,15375,0.9263
2016-04-25,CERA,EQ,1801.1,1778.0,1810.0,1778.0,1803.95,1803.0,1800.07,37855,6814149995000.0,377,36632,0.9677
2016-04-26,CERA,EQ,1803.0,1803.0,1809.0,1790.0,1790.6,1796.7,1799.05,1655,297743405000.0,301,920,0.5559000000000001
2016-04-27,CERA,EQ,1796.7,1796.0,1809.95,1791.0,1791.05,1793.75,1801.56,1402,252578429999.99997,155,969,0.6912
2016-04-28,CERA,EQ,1793.75,1800.0,1808.0,1786.95,1793.0,1791.85,1794.02,2178,390736550000.0,248,1205,0.5533
