Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,COLPAL,EQ,972.85,973.0,982.45,968.0,976.15,976.75,976.51,72201,7050517630000.0,3429,23260,0.3222
2016-01-04,COLPAL,EQ,976.75,978.9,981.9,968.25,974.65,974.3,972.62,118642,11539400660000.0,5453,83979,0.7078
2016-01-05,COLPAL,EQ,974.3,974.0,981.0,969.0,969.0,974.25,974.26,393481,38335285390000.0,12054,318277,0.8089000000000001
2016-01-06,COLPAL,EQ,974.25,970.0,971.0,944.0,946.9,949.45,958.93,249575,23932486615000.0,10082,159799,0.6403
2016-01-07,COLPAL,EQ,949.45,946.6,946.9,901.0,917.0,915.55,913.63,778725,71146477960000.0,32090,566655,0.7277
2016-01-08,COLPAL,EQ,915.55,929.9,929.9,918.0,925.0,926.65,924.53,420221,38850634230000.0,8075,347306,0.8265000000000001
2016-01-11,COLPAL,EQ,926.65,923.0,923.0,901.1,907.0,906.95,906.66,512859,46498811830000.0,23141,393285,0.7668
2016-01-12,COLPAL,EQ,906.95,914.5,915.0,906.0,908.15,908.5,910.23,300600,27361573095000.0,7479,246747,0.8208
2016-01-13,COLPAL,EQ,908.5,911.5,938.7,911.5,935.0,931.9,921.38,507566,46766113810000.0,21364,341635,0.6731
2016-01-14,COLPAL,EQ,931.9,924.8,946.7,912.1,945.0,943.35,936.75,266295,24945220195000.0,13853,152747,0.5736
2016-01-15,COLPAL,EQ,943.35,946.95,951.05,910.7,921.0,917.05,937.42,300778,28195439475000.0,14416,211604,0.7034999999999999
2016-01-18,COLPAL,EQ,917.05,920.0,927.1,900.0,913.8,910.55,912.18,265587,24226188345000.0,13572,131224,0.4941
2016-01-19,COLPAL,EQ,910.55,919.0,927.0,910.0,912.0,911.8,914.93,104204,9533927535000.0,4180,44548,0.4275
2016-01-20,COLPAL,EQ,911.8,911.0,920.1,890.6,918.85,913.3,898.5,333703,29983312795000.0,10721,189980,0.5693
2016-01-21,COLPAL,EQ,913.3,916.0,925.1,902.55,910.0,907.5,911.33,216992,19775216855000.0,10677,132778,0.6119
2016-01-22,COLPAL,EQ,907.5,915.0,916.0,880.0,881.95,882.45,892.88,1208337,107889464430000.0,23069,1015407,0.8403
