Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,FINPIPE,EQ,300.65,302.15,303.9,299.0,299.2,299.4,300.38,6170,185336420000.0,321,3366,0.5455
2016-01-04,FINPIPE,EQ,299.4,300.0,307.35,300.0,302.0,301.65,302.64,15516,469569675000.0,678,8296,0.5347
2016-01-05,FINPIPE,EQ,301.65,297.3,305.0,297.3,303.5,303.35,303.23,13982,423977495000.0,656,8850,0.633
2016-01-06,FINPIPE,EQ,303.35,307.0,307.9,293.75,303.65,302.5,302.47,17324,523994125000.0,733,11739,0.6776000000000001
2016-01-07,FINPIPE,EQ,302.5,294.5,301.0,294.5,298.75,299.1,298.83,19684,588211195000.0,560,17599,0.8941
2016-01-08,FINPIPE,EQ,299.1,299.15,302.85,299.15,301.1,301.35,301.17,6611,199102895000.0,184,5589,0.8454
2016-01-11,FINPIPE,EQ,301.35,297.0,306.95,292.65,298.85,299.95,298.15,127511,3801689529999.9995,1667,121771,0.9550000000000001
2016-01-12,FINPIPE,EQ,299.95,302.8,307.0,300.55,305.35,305.6,305.54,25065,765831430000.0,1450,18807,0.7503000000000001
2016-01-13,FINPIPE,EQ,305.6,305.6,308.1,290.6,297.0,296.05,300.38,24954,749560850000.0,728,16840,0.6748000000000001
2016-01-14,FINPIPE,EQ,296.05,298.0,298.0,287.5,288.0,289.75,290.8,26504,770744485000.0,1319,16591,0.626
2016-01-15,FINPIPE,EQ,289.75,296.5,296.5,284.95,285.25,287.0,288.16,19415,559467460000.0,432,16952,0.8731
2016-01-18,FINPIPE,EQ,287.0,289.05,289.35,266.9,275.0,276.05,279.07,18520,516830380000.0,1174,13805,0.7454000000000001
2016-01-19,FINPIPE,EQ,276.05,279.95,279.95,268.1,272.5,273.1,274.12,12587,345030215000.0,853,8386,0.6662
2016-01-20,FINPIPE,EQ,273.1,270.0,277.65,260.4,263.85,264.75,264.48,18369,485816125000.0,2000,12397,0.6748999999999999
2016-01-21,FINPIPE,EQ,264.75,265.0,279.95,265.0,275.05,274.95,274.92,457127,12567443155000.0,1440,447154,0.9782
2016-01-22,FINPIPE,EQ,274.95,275.0,287.9,271.05,284.0,282.8,276.89,21380,591989840000.0,654,17706,0.8281999999999999
2016-01-25,FINPIPE,EQ,282.8,284.05,308.25,284.05,307.0,305.55,301.7,82668,2494059760000.0,3442,39800,0.4814
2016-01-27,FINPIPE,EQ,305.55,307.65,309.0,297.0,307.95,307.0,304.86,92706,2826206480000.0,3984,55346,0.5970000000000001
2016-01-28,FINPIPE,EQ,307.0,307.75,308.0,300.4,307.7,306.6,304.8,29085,886499660000.0,1639,19289,0.6631999999999999
2016-01-29,FINPIPE,EQ,306.6,303.0,319.5,303.0,319.5,317.9,313.77,56428,1770559795000.0,2224,35708,0.6328
2016-02-01,FINPIPE,EQ,317.9,318.0,323.9,314.0,323.9,319.65,318.8,35523,1132489640000.0,1496,27826,0.7833
2016-02-02,FINPIPE,EQ,319.65,322.9,324.0,309.1,310.0,311.1,316.76,34209,1083611080000.0001,1285,26140,0.7641
2016-02-03,FINPIPE,EQ,311.1,307.0,308.0,298.1,303.0,301.1,301.07,14920,449191890000.00006,652,9617,0.6446
2016-02-04,FINPIPE,EQ,301.1,300.1,306.9,298.15,303.55,303.8,303.04,59327,1797855685000.0002,832,45468,0.7664
2016-02-05,FINPIPE,EQ,303.8,303.65,309.0,303.65,305.7,306.15,305.72,8072,246774960000.0,381,5360,0.664
2016-02-08,FINPIPE,EQ,306.15,305.0,317.0,305.0,308.85,308.95,311.84,14495,452010200000.0,1130,9242,0.6376
2016-02-09,FINPIPE,EQ,308.95,309.95,313.7,305.0,309.0,310.95,309.59,16633,514948409999.99994,997,10834,0.6514
