Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GAYAPROJ,EQ,737.55,740.1,764.65,737.6,743.2,747.45,753.73,71304,5374408715000.0,2108,25717,0.3607
2016-01-04,GAYAPROJ,EQ,747.45,742.95,752.0,735.0,736.0,737.65,741.66,25707,1906585560000.0002,807,13508,0.5255
2016-01-05,GAYAPROJ,EQ,737.65,735.0,746.0,733.0,736.9,737.0,737.82,27068,1997122325000.0,756,13209,0.488
2016-01-06,GAYAPROJ,EQ,737.0,740.0,743.3,731.5,732.5,733.95,736.78,15946,1174870730000.0,550,5307,0.33280000000000004
2016-01-07,GAYAPROJ,EQ,733.95,730.0,733.0,712.15,719.0,718.65,721.82,51282,3701633750000.0,2051,27335,0.533
2016-01-08,GAYAPROJ,EQ,718.65,719.0,747.55,718.0,743.0,739.9,736.11,51982,3826470220000.0005,1976,20027,0.38530000000000003
2016-01-11,GAYAPROJ,EQ,739.9,729.95,764.0,723.0,729.0,730.8,743.09,135903,10098762715000.0,4947,33393,0.2457
2016-01-12,GAYAPROJ,EQ,730.8,730.8,746.9,718.0,724.0,723.1,728.27,22592,1645307445000.0,1264,8305,0.3676
2016-01-13,GAYAPROJ,EQ,723.1,725.15,732.0,686.0,706.0,706.85,704.6,41569,2928952015000.0,1603,21618,0.5201
2016-01-14,GAYAPROJ,EQ,706.85,695.0,698.0,683.95,686.05,695.25,691.96,24254,1678287720000.0,974,7829,0.32280000000000003
2016-01-15,GAYAPROJ,EQ,695.25,694.4,710.0,665.3,670.0,676.9,680.98,65719,4475351540000.0,1842,40039,0.6092000000000001
2016-01-18,GAYAPROJ,EQ,676.9,669.95,675.0,555.6,555.6,572.2,595.48,110813,6598664685000.0,3888,55715,0.5028
2016-01-19,GAYAPROJ,EQ,572.2,559.9,619.0,525.7,603.2,604.7,571.49,124834,7134109325000.0,3805,32868,0.2633
2016-01-20,GAYAPROJ,EQ,604.7,588.0,594.7,555.6,566.5,568.45,576.76,24121,1391204730000.0,1649,7625,0.3161
2016-01-21,GAYAPROJ,EQ,568.45,578.0,603.0,570.3,582.75,591.1,590.1,21220,1252188370000.0,1019,7914,0.373
2016-01-22,GAYAPROJ,EQ,591.1,596.1,620.0,585.95,597.4,601.0,603.07,28899,1742803164999.9998,1446,7080,0.245
2016-01-25,GAYAPROJ,EQ,601.0,602.1,619.0,574.0,597.0,594.5,603.42,32037,1933189514999.9998,1532,11931,0.3724
2016-01-27,GAYAPROJ,EQ,594.5,608.0,613.0,591.0,595.0,598.75,602.62,12310,741824980000.0,915,4520,0.36719999999999997
2016-01-28,GAYAPROJ,EQ,598.75,599.0,607.9,586.0,586.05,590.8,599.37,8325,498976925000.0,572,4079,0.49
2016-01-29,GAYAPROJ,EQ,590.8,594.75,606.05,585.05,602.6,603.4,599.14,37536,2248936470000.0,1417,27933,0.7442000000000001
2016-02-01,GAYAPROJ,EQ,603.4,609.0,648.8,601.1,634.0,632.15,629.17,23409,1472821390000.0,2230,9071,0.3875
2016-02-02,GAYAPROJ,EQ,632.15,638.3,668.9,634.0,643.95,639.45,651.88,26413,1721823800000.0,2100,9847,0.3728
2016-02-03,GAYAPROJ,EQ,639.45,630.0,636.65,611.55,621.1,621.85,626.15,7252,454080984999.99994,790,3179,0.43840000000000007
2016-02-04,GAYAPROJ,EQ,621.85,638.0,644.0,615.3,621.5,627.3,629.64,11042,695246220000.0,864,7313,0.6623
2016-02-05,GAYAPROJ,EQ,627.3,631.4,664.8,611.0,652.0,651.5,645.63,44049,2843947240000.0,1004,11703,0.2657
2016-02-08,GAYAPROJ,EQ,651.5,656.8,660.0,636.0,636.1,638.3,647.36,11356,735145140000.0,597,5162,0.4546
2016-02-09,GAYAPROJ,EQ,638.3,633.0,633.0,610.05,612.0,612.15,619.03,10238,633761505000.0,553,5049,0.4932
2016-02-10,GAYAPROJ,EQ,612.15,605.0,617.0,584.0,588.0,588.05,593.2,15023,891167365000.0,710,8906,0.5928
2016-02-11,GAYAPROJ,EQ,588.05,580.0,586.95,522.9,528.35,529.55,554.21,15256,845495975000.0,665,10262,0.6727
2016-02-12,GAYAPROJ,EQ,529.55,529.55,538.0,497.0,504.9,504.0,512.04,69824,3575234285000.0,985,60402,0.8651000000000001
2016-02-15,GAYAPROJ,EQ,504.0,530.0,542.0,522.5,539.8,537.7,533.96,41080,2193516889999.9998,1622,16059,0.3909
2016-02-16,GAYAPROJ,EQ,537.7,537.7,558.0,528.2,530.0,531.4,543.33,8130,441727475000.0,713,3365,0.4139
2016-02-17,GAYAPROJ,EQ,531.4,533.0,534.05,501.0,518.55,523.1,510.11,40393,2060468870000.0,885,30235,0.7484999999999999
2016-02-18,GAYAPROJ,EQ,523.1,538.0,565.6,510.0,546.0,543.55,532.68,35370,1884086945000.0,1542,21064,0.5955
2016-02-19,GAYAPROJ,EQ,543.55,555.0,579.9,555.0,575.0,575.8,566.75,84331,4779455465000.0,4570,10198,0.12090000000000001
2016-02-22,GAYAPROJ,EQ,575.8,582.7,614.5,566.1,608.0,609.65,598.87,73117,4378774815000.0,2839,23868,0.3264
2016-02-23,GAYAPROJ,EQ,609.65,610.1,619.3,591.1,601.0,601.7,611.01,81480,4978472945000.0,2498,18267,0.2242
2016-02-24,GAYAPROJ,EQ,601.7,600.0,600.0,586.4,590.0,588.75,592.01,20491,1213096630000.0,1265,7993,0.3901
2016-02-25,GAYAPROJ,EQ,588.75,593.85,596.0,572.15,574.0,577.9,580.76,8117,471404465000.00006,645,3582,0.4413
2016-02-26,GAYAPROJ,EQ,577.9,575.25,604.5,559.8,577.25,579.9,580.88,22416,1302109240000.0,1603,9421,0.4203
2016-02-29,GAYAPROJ,EQ,579.9,565.0,574.95,536.4,566.25,567.95,557.95,49884,2783279045000.0,2943,21761,0.4362
2016-03-01,GAYAPROJ,EQ,567.95,556.05,601.9,540.3,599.95,596.95,586.57,43151,2531104805000.0,1544,18708,0.4335
2016-03-02,GAYAPROJ,EQ,596.95,604.0,644.15,578.0,585.2,586.6,609.99,226369,13808319290000.0,9910,43528,0.1923
2016-03-03,GAYAPROJ,EQ,586.6,590.0,598.15,571.0,580.0,579.65,588.24,50461,2968314450000.0,2072,16346,0.3239
2016-03-04,GAYAPROJ,EQ,579.65,586.3,596.0,572.6,577.6,577.4,583.23,35904,2094032264999.9998,1747,12825,0.3572
2016-03-08,GAYAPROJ,EQ,577.4,580.1,589.05,562.4,569.0,566.55,574.61,15886,912833115000.0,907,6892,0.4338
2016-03-09,GAYAPROJ,EQ,566.55,563.05,572.95,555.0,560.15,566.5,563.11,18515,1042603165000.0,1111,7400,0.3997
2016-03-10,GAYAPROJ,EQ,566.5,568.8,575.95,559.0,559.0,560.85,565.48,19458,1100311850000.0,830,9005,0.46280000000000004
2016-03-11,GAYAPROJ,EQ,560.85,560.85,563.7,545.2,550.0,550.2,553.61,17556,971921830000.0001,1100,11411,0.65
2016-03-14,GAYAPROJ,EQ,550.2,566.85,566.9,541.5,541.5,544.3,551.11,16312,898978110000.0,1192,6750,0.41380000000000006
2016-03-15,GAYAPROJ,EQ,544.3,540.15,542.0,527.0,528.55,529.45,531.98,15583,828980840000.0,764,11054,0.7094
2016-03-16,GAYAPROJ,EQ,529.45,529.5,540.0,513.6,530.0,525.9,529.11,21271,1125478620000.0,1257,6484,0.3048
2016-03-17,GAYAPROJ,EQ,525.9,531.05,539.9,506.0,516.95,520.7,527.47,16538,872336865000.0,1121,6708,0.4056
2016-03-18,GAYAPROJ,EQ,520.7,522.05,526.0,510.0,512.45,513.25,515.78,19781,1020256769999.9999,1126,10012,0.5061
2016-03-21,GAYAPROJ,EQ,513.25,528.0,528.0,505.2,512.0,512.55,514.94,14241,733329240000.0,959,6984,0.4904
2016-03-22,GAYAPROJ,EQ,512.55,511.0,519.9,504.0,507.9,508.2,512.41,7775,398402390000.0,660,3510,0.4514
