Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,AIL,EQ,690.85,686.0,700.0,685.95,698.85,695.2,693.72,25418,1763306480000.0,905,17698,0.6962999999999999
2016-01-04,AIL,EQ,695.2,695.2,703.2,686.4,692.0,689.8,691.73,27279,1886958030000.0,899,21737,0.7968000000000001
2016-01-05,AIL,EQ,689.8,690.0,697.0,684.0,684.85,684.2,685.52,19486,1335810975000.0,415,17743,0.9106000000000001
2016-01-06,AIL,EQ,684.2,680.05,686.9,675.05,683.0,681.9,681.83,17984,1226196675000.0,864,13011,0.7234999999999999
2016-01-07,AIL,EQ,681.9,680.0,684.9,671.0,682.0,680.0,677.82,20231,1371288285000.0,943,15031,0.743
2016-01-08,AIL,EQ,680.0,682.0,688.5,680.0,684.8,683.3,684.81,5986,409927595000.0,462,3826,0.6392
2016-01-11,AIL,EQ,683.3,680.05,683.25,665.1,670.5,674.05,675.39,6166,416442790000.0,607,3345,0.5425
2016-01-12,AIL,EQ,674.05,670.0,674.05,651.0,655.0,654.0,662.8,7175,475559684999.99994,567,4674,0.6514
2016-01-13,AIL,EQ,654.0,660.0,673.85,614.4,640.0,641.0,640.16,36360,2327637525000.0,1087,28817,0.7925
2016-01-14,AIL,EQ,641.0,635.0,645.85,621.1,623.0,627.5,634.83,8981,570139750000.0,622,5823,0.6484000000000001
2016-01-15,AIL,EQ,627.5,625.0,646.8,621.1,632.45,627.5,636.47,29073,1850422445000.0,1478,21633,0.7441
2016-01-18,AIL,EQ,627.5,620.05,631.0,560.05,613.0,615.9,599.57,55785,3344701970000.0,3727,31610,0.5666
2016-01-19,AIL,EQ,615.9,613.85,614.6,601.0,606.0,609.05,606.4,14500,879286785000.0,787,10129,0.6986
2016-01-20,AIL,EQ,609.05,605.0,610.8,592.1,600.8,604.0,600.23,20328,1220141135000.0,838,16051,0.7896
2016-01-21,AIL,EQ,604.0,610.05,620.8,610.0,620.0,616.15,616.53,8688,535639395000.0,649,5073,0.5839
2016-01-22,AIL,EQ,616.15,622.0,644.4,622.0,641.85,641.7,635.17,245249,15577591405000.002,978,239397,0.9761
2016-01-25,AIL,EQ,641.7,647.95,671.0,647.95,656.0,654.7,656.25,12513,821162160000.0,1065,5669,0.45299999999999996
2016-01-27,AIL,EQ,654.7,657.0,674.0,641.0,642.75,645.55,659.5,8883,585832255000.0,700,3585,0.4036
2016-01-28,AIL,EQ,645.55,646.6,653.0,628.15,635.0,635.45,633.99,14844,941092715000.0,455,12198,0.8217
2016-01-29,AIL,EQ,635.45,632.15,645.0,625.1,634.95,640.4,637.1,6158,392324670000.0,413,4087,0.6637000000000001
2016-02-01,AIL,EQ,640.4,645.0,653.0,633.4,640.0,640.4,644.68,4581,295328960000.0,535,2855,0.6232
2016-02-02,AIL,EQ,640.4,641.0,660.0,625.1,639.95,642.45,648.69,13620,883520035000.0,2001,6737,0.49460000000000004
2016-02-03,AIL,EQ,642.45,635.05,649.0,630.0,647.0,637.6,637.0,11211,714136625000.0,879,8333,0.7433
2016-02-04,AIL,EQ,637.6,625.5,645.0,625.5,644.05,641.2,634.43,11916,755983095000.0,616,7061,0.5926
2016-02-05,AIL,EQ,641.2,649.85,649.95,605.1,632.2,632.1,628.57,102830,6463595310000.0,5030,11883,0.11560000000000001
2016-02-08,AIL,EQ,632.1,622.55,632.05,615.1,631.9,630.3,625.04,182255,11391747540000.0,909,175056,0.9605
2016-02-09,AIL,EQ,630.3,615.5,629.6,615.0,620.0,620.25,619.84,3986,247068420000.00003,386,2310,0.5795
2016-02-10,AIL,EQ,620.25,615.6,646.0,607.0,640.0,643.8,638.08,52634,3358494229999.9995,1723,45019,0.8553000000000001
2016-02-11,AIL,EQ,643.8,635.0,640.05,601.3,621.0,610.55,619.21,12149,752279670000.0,839,7793,0.6415000000000001
2016-02-12,AIL,EQ,610.55,601.0,619.0,581.5,599.0,599.85,597.99,10219,611088300000.0,761,6705,0.6561
2016-02-15,AIL,EQ,599.85,605.0,629.0,603.5,615.0,615.3,614.81,54442,3347166305000.0,730,51812,0.9517
2016-02-16,AIL,EQ,615.3,609.0,615.0,561.0,590.0,588.3,589.1,20252,1193047655000.0,1647,11951,0.5901
2016-02-17,AIL,EQ,588.3,590.05,600.95,581.1,595.2,597.2,592.17,8132,481552284999.99994,1093,5522,0.679
2016-02-18,AIL,EQ,597.2,597.0,612.0,590.0,593.5,596.75,599.96,5760,345579435000.0,852,2796,0.4854
2016-02-19,AIL,EQ,596.75,594.0,599.0,583.0,599.0,592.15,590.09,6183,364852060000.0,1108,3516,0.5687
2016-02-22,AIL,EQ,592.15,610.05,615.0,591.0,591.25,594.8,599.2,10752,644261975000.0,976,6727,0.6257
2016-02-23,AIL,EQ,594.8,593.9,601.3,575.1,577.95,576.85,581.9,8654,503577630000.0,1472,5681,0.6565000000000001
2016-02-24,AIL,EQ,576.85,581.05,589.85,559.15,560.0,560.85,578.62,19109,1105675880000.0,778,10984,0.5748
2016-02-25,AIL,EQ,560.85,563.65,582.55,558.1,568.7,569.2,572.25,10909,624264550000.0,1080,4641,0.4254
2016-02-26,AIL,EQ,569.2,574.0,580.0,561.1,563.0,563.5,567.43,3592,203819105000.0,645,1571,0.4374
2016-02-29,AIL,EQ,563.5,566.0,577.9,545.05,562.0,562.0,558.3,17315,966703790000.0,1202,12343,0.7129000000000001
2016-03-01,AIL,EQ,562.0,556.05,585.0,556.0,580.0,578.4,578.12,8881,513427595000.0,1913,5987,0.6741
2016-03-02,AIL,EQ,578.4,580.05,592.0,571.05,585.0,579.15,582.73,10166,592400055000.0,735,6302,0.6199
2016-03-03,AIL,EQ,579.15,580.2,584.95,574.15,575.0,576.25,578.49,5013,289995155000.0,467,2990,0.5964
2016-03-04,AIL,EQ,576.25,588.5,588.5,568.2,579.95,577.85,573.29,42080,2412386285000.0,581,39502,0.9387000000000001
2016-03-08,AIL,EQ,577.85,577.85,590.2,568.45,589.0,587.7,585.25,10596,620135910000.0,1056,7020,0.6625
2016-03-09,AIL,EQ,587.7,586.05,587.05,574.15,580.0,580.05,579.19,26523,1536194665000.0,930,24337,0.9176000000000001
2016-03-10,AIL,EQ,580.05,578.8,584.7,547.4,562.2,567.75,568.97,30489,1734717855000.0,1864,18656,0.6119
2016-03-11,AIL,EQ,567.75,569.95,591.0,563.7,591.0,586.7,574.39,27428,1575438915000.0,745,22858,0.8334
2016-03-14,AIL,EQ,586.7,592.95,607.8,580.25,600.8,602.45,597.99,39728,2375682600000.0,1836,32564,0.8197
2016-03-15,AIL,EQ,602.45,604.15,612.0,588.1,593.0,590.0,598.16,4285,256309745000.00003,476,2636,0.6152000000000001
2016-03-16,AIL,EQ,590.0,599.05,625.0,586.45,611.95,609.3,597.05,7146,426648515000.00006,824,4266,0.5970000000000001
2016-03-17,AIL,EQ,609.3,607.8,619.7,578.0,580.0,580.95,602.04,73833,4445041065000.0,1296,66151,0.8959999999999999
2016-03-18,AIL,EQ,580.95,582.1,593.5,569.1,571.0,571.3,574.16,20877,1198680665000.0,2037,15566,0.7456
