Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GLAXO,EQ,3314.05,3315.0,3317.15,3288.0,3290.15,3294.85,3299.03,1950,643310905000.0,549,984,0.5046
2016-01-04,GLAXO,EQ,3294.85,3277.0,3299.0,3244.95,3247.0,3258.2,3262.54,5653,1844311525000.0,1832,3390,0.5997
2016-01-05,GLAXO,EQ,3258.2,3259.95,3299.0,3230.0,3285.0,3277.8,3257.86,5485,1786934714999.9998,1073,3179,0.5796
2016-01-06,GLAXO,EQ,3277.8,3258.25,3294.95,3252.0,3255.0,3277.05,3270.4,3135,1025271830000.0001,673,1816,0.5793
2016-01-07,GLAXO,EQ,3277.05,3267.0,3273.85,3216.0,3222.55,3233.3,3228.48,5982,1931273820000.0,1575,3702,0.6189
2016-01-08,GLAXO,EQ,3233.3,3225.0,3325.0,3225.0,3313.0,3295.5,3271.37,9828,3215106900000.0,2458,5871,0.5974
2016-01-11,GLAXO,EQ,3295.5,3295.0,3295.0,3218.0,3219.0,3230.6,3243.61,6218,2016879370000.0,2431,3836,0.6169
2016-01-12,GLAXO,EQ,3230.6,3220.05,3297.95,3220.05,3282.0,3270.05,3254.35,6601,2148199450000.0,2451,3993,0.6049
2016-01-13,GLAXO,EQ,3270.05,3290.0,3310.0,3210.0,3292.0,3294.1,3265.45,9048,2954581970000.0,2313,4816,0.5323
2016-01-14,GLAXO,EQ,3294.1,3289.5,3298.0,3210.0,3220.0,3233.1,3244.67,6809,2209294715000.0,1933,4371,0.6419
2016-01-15,GLAXO,EQ,3233.1,3239.95,3254.0,3185.0,3190.0,3207.45,3217.88,5288,1701614250000.0,1317,2792,0.528
2016-01-18,GLAXO,EQ,3207.45,3161.0,3201.15,3144.9,3150.0,3162.25,3164.8,7184,2273592645000.0,2251,4385,0.6104
2016-01-19,GLAXO,EQ,3162.25,3166.95,3300.0,3144.0,3157.0,3204.4,3191.09,24887,7941661425000.0,3619,14621,0.5875
2016-01-20,GLAXO,EQ,3204.4,3168.0,3168.0,3101.2,3144.0,3142.85,3145.08,11895,3741073925000.0,1194,9944,0.836
2016-01-21,GLAXO,EQ,3142.85,3150.05,3168.4,3032.05,3047.4,3068.75,3067.97,12227,3751201470000.0005,2899,5674,0.46409999999999996
2016-01-22,GLAXO,EQ,3068.75,3074.0,3229.0,3055.1,3210.0,3159.65,3129.66,10922,3418214629999.9995,2642,6376,0.5838
2016-01-25,GLAXO,EQ,3159.65,3210.0,3212.0,3161.2,3184.05,3184.1,3191.18,3208,1023731500000.0,790,2192,0.6833
2016-01-27,GLAXO,EQ,3184.1,3194.0,3248.4,3160.0,3245.0,3230.65,3214.95,3737,1201426510000.0,853,1834,0.4908
2016-01-28,GLAXO,EQ,3230.65,3201.0,3248.0,3187.25,3226.95,3229.6,3217.08,3367,1083191215000.0,914,1823,0.5414
2016-01-29,GLAXO,EQ,3229.6,3221.0,3275.0,3211.15,3224.4,3236.4,3240.43,5783,1873943189999.9998,1573,3014,0.5212
2016-02-01,GLAXO,EQ,3236.4,3237.0,3312.7,3200.0,3300.0,3297.2,3280.28,7952,2608476635000.0,1828,4962,0.624
2016-02-02,GLAXO,EQ,3297.2,3295.9,3300.0,3236.0,3255.05,3262.2,3269.94,15388,5031786085000.0,1850,12672,0.8235
2016-02-03,GLAXO,EQ,3262.2,3262.0,3262.0,3200.1,3205.0,3208.1,3211.61,11349,3644855954999.9995,1677,8996,0.7927
2016-02-04,GLAXO,EQ,3208.1,3210.0,3245.5,3182.35,3220.0,3226.8,3216.08,4454,1432444100000.0,1524,2319,0.5207
2016-02-05,GLAXO,EQ,3226.8,3226.0,3348.8,3215.0,3320.0,3306.3,3257.12,8560,2788091775000.0,1454,6760,0.7897
2016-02-08,GLAXO,EQ,3306.3,3290.0,3306.0,3252.65,3290.0,3296.6,3289.67,2651,872092630000.0001,647,1109,0.4183
2016-02-09,GLAXO,EQ,3296.6,3260.65,3289.3,3228.9,3240.0,3243.7,3253.82,2173,707054375000.0,554,1360,0.6259
2016-02-10,GLAXO,EQ,3243.7,3241.0,3283.95,3220.0,3243.0,3244.7,3248.79,6291,2043816195000.0,1991,3981,0.6328
2016-02-11,GLAXO,EQ,3244.7,3240.0,3240.0,3180.0,3204.2,3202.2,3217.51,9254,2977481890000.0,1757,5976,0.6458
2016-02-12,GLAXO,EQ,3202.2,3236.95,3250.0,3117.0,3230.0,3222.25,3186.14,6089,1940038530000.0,1609,3635,0.5970000000000001
2016-02-15,GLAXO,EQ,3222.25,3195.0,3246.0,3191.2,3211.0,3215.6,3216.83,3736,1201808045000.0,1001,2110,0.5648
2016-02-16,GLAXO,EQ,3215.6,3186.0,3225.0,3155.0,3171.6,3179.8,3180.31,3453,1098159965000.0,1280,1921,0.5563
2016-02-17,GLAXO,EQ,3179.8,3172.0,3248.5,3150.0,3229.0,3217.15,3191.73,5743,1833008435000.0002,1656,3166,0.5513
2016-02-18,GLAXO,EQ,3217.15,3240.0,3240.0,3186.0,3192.0,3205.2,3201.44,7327,2345693545000.0,1646,4534,0.6188
