Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GMRINFRA,EQ,16.4,16.35,16.6,16.05,16.45,16.45,16.37,19879956,32538781205000.0,12659,3016312,0.1517
2016-01-04,GMRINFRA,EQ,16.45,16.35,16.75,15.75,15.95,15.95,16.16,31009506,50098387155000.0,14165,6710976,0.2164
2016-01-05,GMRINFRA,EQ,15.95,16.05,16.15,15.85,16.05,15.95,15.98,14091894,22516052935000.0,11160,3707947,0.2631
2016-01-06,GMRINFRA,EQ,15.95,16.0,16.3,15.85,15.9,15.9,16.05,12906434,20710007405000.0,9972,2703726,0.2095
2016-01-07,GMRINFRA,EQ,15.9,15.7,15.7,14.65,14.85,14.85,15.11,17377220,26255054015000.0,14919,5892232,0.33909999999999996
2016-01-08,GMRINFRA,EQ,14.85,15.0,15.35,14.85,15.25,15.25,15.13,11264805,17044764710000.0,12313,2565574,0.2278
2016-01-11,GMRINFRA,EQ,15.25,15.0,15.3,14.7,15.15,15.1,15.04,11023001,16582883219999.998,11807,2209552,0.2004
2016-01-12,GMRINFRA,EQ,15.1,15.2,15.3,14.7,14.85,14.85,14.99,10902228,16339669710000.0,10892,2256324,0.207
2016-01-13,GMRINFRA,EQ,14.85,15.15,15.15,13.7,14.25,14.25,14.26,24233945,34553945335000.004,17316,3989053,0.16460000000000002
2016-01-14,GMRINFRA,EQ,14.25,13.85,14.15,13.6,13.9,13.9,13.92,11476513,15972067610000.0,11255,1889390,0.16460000000000002
2016-01-15,GMRINFRA,EQ,13.9,13.9,14.15,13.2,13.4,13.3,13.72,13910939,19082468960000.0,8598,3475862,0.24989999999999998
2016-01-18,GMRINFRA,EQ,13.3,13.35,13.45,12.55,12.6,12.65,12.93,19846310,25653351965000.0,12351,5466878,0.2755
2016-01-19,GMRINFRA,EQ,12.65,12.75,13.3,12.5,13.15,13.0,12.92,18987189,24530448560000.0,11335,7500904,0.3951
2016-01-20,GMRINFRA,EQ,13.0,12.9,12.9,12.2,12.4,12.4,12.45,16064724,20002474535000.0,11622,5587975,0.3478
2016-01-21,GMRINFRA,EQ,12.4,12.65,12.9,12.45,12.7,12.6,12.63,14118808,17825065680000.0,11176,6669098,0.47240000000000004
2016-01-22,GMRINFRA,EQ,12.6,12.9,13.2,12.8,13.0,13.0,13.01,17642026,22947248595000.0,8164,5744683,0.32560000000000006
2016-01-25,GMRINFRA,EQ,13.0,13.15,13.4,12.6,12.7,12.7,12.99,14069240,18280418290000.0,11539,3155648,0.2243
2016-01-27,GMRINFRA,EQ,12.7,12.95,13.05,12.7,12.9,12.9,12.89,12243065,15784233365000.0,8140,1969615,0.16090000000000002
2016-01-28,GMRINFRA,EQ,12.9,13.05,13.05,12.4,12.75,12.6,12.7,19558817,24835675890000.0,9988,7845363,0.4011
2016-01-29,GMRINFRA,EQ,12.6,12.7,13.05,12.45,13.0,13.0,12.88,22600513,29110856439999.996,7782,12255104,0.5422
2016-02-01,GMRINFRA,EQ,13.0,13.1,13.15,12.85,12.95,12.95,12.99,8282989,10758134055000.0,7761,1675885,0.2023
2016-02-02,GMRINFRA,EQ,12.95,12.85,13.5,12.55,12.55,12.7,13.08,24406776,31930133985000.004,14983,8714790,0.35710000000000003
2016-02-03,GMRINFRA,EQ,12.7,12.45,12.45,11.95,12.05,12.05,12.19,13772669,16788588744999.998,14204,4018712,0.2918
2016-02-04,GMRINFRA,EQ,12.05,12.3,12.35,11.75,12.1,11.95,12.11,9344914,11318857920000.0,6507,2033638,0.21760000000000002
2016-02-05,GMRINFRA,EQ,11.95,12.1,12.45,11.9,12.45,12.3,12.17,8941747,10883249615000.0,4820,1594715,0.1783
2016-02-08,GMRINFRA,EQ,12.3,12.55,12.85,12.4,12.5,12.5,12.63,10849091,13704270180000.002,10436,2311969,0.21309999999999998
2016-02-09,GMRINFRA,EQ,12.5,12.3,12.45,12.15,12.3,12.3,12.3,9262947,11393208020000.0,5131,1788950,0.1931
2016-02-10,GMRINFRA,EQ,12.3,12.3,12.35,11.95,12.0,12.0,12.13,9406504,11407694340000.0,6044,2458282,0.2613
2016-02-11,GMRINFRA,EQ,12.0,12.3,12.5,9.75,10.55,10.5,11.23,37325322,41900196200000.0,20945,10329548,0.2767
2016-02-12,GMRINFRA,EQ,10.5,10.5,11.15,9.95,11.0,11.0,10.6,35734142,37879429785000.0,15214,11018910,0.3084
2016-02-15,GMRINFRA,EQ,11.0,11.3,11.7,11.25,11.55,11.45,11.49,11265685,12944712025000.0,9709,2631328,0.2336
2016-02-16,GMRINFRA,EQ,11.45,11.6,11.65,10.85,11.1,10.95,11.22,9653351,10828888170000.0,8977,2535705,0.2627
2016-02-17,GMRINFRA,EQ,10.95,11.05,11.2,10.3,11.1,11.1,10.84,20450722,22162149910000.0,8261,7719546,0.3775
2016-02-18,GMRINFRA,EQ,11.1,11.3,11.45,10.85,11.2,11.1,11.16,7124790,7952719350000.0,6893,1203452,0.16890000000000002
2016-02-19,GMRINFRA,EQ,11.1,10.9,11.45,10.9,11.2,11.2,11.15,12890216,14371097969999.998,6259,3621612,0.281
2016-02-22,GMRINFRA,EQ,11.2,11.3,11.35,11.05,11.1,11.1,11.17,7009652,7830622145000.0,8834,2562948,0.36560000000000004
2016-02-23,GMRINFRA,EQ,11.1,11.2,11.4,11.05,11.25,11.25,11.25,13471971,15155194525000.0,16419,4607590,0.342
2016-02-24,GMRINFRA,EQ,11.25,11.2,12.9,11.05,11.75,11.7,12.05,45680133,55044077320000.01,45376,6284577,0.1376
2016-02-25,GMRINFRA,EQ,11.7,11.85,11.9,11.0,11.3,11.2,11.35,40145157,45566135780000.0,14879,19575975,0.4876
2016-02-26,GMRINFRA,EQ,11.2,11.4,11.4,11.05,11.15,11.15,11.18,16656942,18630690340000.0,9310,5755458,0.3455
2016-02-29,GMRINFRA,EQ,11.15,11.1,11.3,10.3,11.0,10.9,10.98,27849987,30593147764999.996,20453,6727469,0.2416
2016-03-01,GMRINFRA,EQ,10.9,11.05,11.55,10.95,11.5,11.4,11.22,22352608,25086387780000.0,17665,6377735,0.2853
2016-03-02,GMRINFRA,EQ,11.4,11.55,11.75,11.45,11.6,11.55,11.56,26968402,31173747570000.0,10788,10256654,0.3803
2016-03-03,GMRINFRA,EQ,11.55,11.7,11.7,11.45,11.7,11.6,11.58,16741093,19388249735000.0,9177,5044718,0.3013
2016-03-04,GMRINFRA,EQ,11.6,11.75,12.15,11.55,11.85,11.85,11.83,21905325,25918026815000.0,10144,5683563,0.2595
2016-03-08,GMRINFRA,EQ,11.85,11.9,12.1,11.75,12.05,12.0,11.91,22801870,27164105780000.0,8690,11280122,0.4947
2016-03-09,GMRINFRA,EQ,12.0,11.95,12.25,11.8,12.1,12.15,12.03,9946490,11968737450000.0,6524,2606210,0.262
2016-03-10,GMRINFRA,EQ,12.15,12.2,12.25,11.7,11.95,11.85,11.95,9223061,11018690750000.0,5915,2440727,0.2646
2016-03-11,GMRINFRA,EQ,11.85,11.8,12.05,11.75,11.9,11.85,11.89,6997844,8319002800000.0,4489,1533197,0.21910000000000002
2016-03-14,GMRINFRA,EQ,11.85,11.85,12.0,11.45,11.6,11.55,11.68,7137251,8336115580000.0,5893,1723717,0.2415
2016-03-15,GMRINFRA,EQ,11.55,11.6,11.7,11.35,11.65,11.6,11.56,9467147,10947171530000.0,6681,2186628,0.231
2016-03-16,GMRINFRA,EQ,11.6,11.8,11.95,11.5,11.7,11.65,11.7,13006952,15215534394999.998,7081,4353296,0.3347
2016-03-17,GMRINFRA,EQ,11.65,11.75,11.85,11.45,11.55,11.55,11.66,13461709,15699127805000.002,6968,3901826,0.2898
2016-03-18,GMRINFRA,EQ,11.55,11.65,11.75,11.45,11.65,11.55,11.56,12944159,14961198230000.002,4462,5570267,0.4303
2016-03-21,GMRINFRA,EQ,11.55,11.75,11.9,11.7,11.85,11.8,11.78,9081552,10695118380000.0,6340,2460116,0.27090000000000003
2016-03-22,GMRINFRA,EQ,11.8,11.8,12.05,11.7,12.0,12.0,11.89,6354111,7555514600000.0,4294,2187933,0.3443
2016-03-23,GMRINFRA,EQ,12.0,12.05,12.05,11.7,11.8,11.75,11.81,8502218,10043605255000.0,5228,3676267,0.4324
2016-03-28,GMRINFRA,EQ,11.75,12.05,12.15,11.3,11.45,11.4,11.73,9242595,10840469255000.0,8863,2681248,0.2901
2016-03-29,GMRINFRA,EQ,11.4,11.4,11.55,11.2,11.3,11.3,11.4,8968078,10224586800000.0,7918,3044422,0.3395
