Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GRANULES,EQ,148.8,148.55,151.9,148.1,149.55,150.5,149.97,401732,6024684115000.0,3541,193232,0.48100000000000004
2016-01-04,GRANULES,EQ,150.5,149.8,149.8,146.0,146.15,146.65,147.49,598406,8825759430000.0,5524,351735,0.5878
2016-01-05,GRANULES,EQ,146.65,147.75,150.9,144.8,147.2,147.95,147.14,770184,11332690380000.0,7056,334275,0.434
2016-01-06,GRANULES,EQ,147.95,148.1,148.75,143.5,143.95,144.0,145.84,891064,12995047670000.0,16678,569293,0.6389
2016-01-07,GRANULES,EQ,144.0,142.9,142.9,138.5,138.95,139.15,140.08,844462,11829335245000.0,14552,507512,0.601
2016-01-08,GRANULES,EQ,139.15,138.1,141.0,138.1,139.8,139.6,139.77,544828,7615149440000.001,7465,269793,0.49520000000000003
2016-01-11,GRANULES,EQ,139.6,137.9,138.9,135.0,136.7,135.75,136.38,644093,8784134015000.001,6786,385993,0.5993
2016-01-12,GRANULES,EQ,135.75,136.05,137.5,126.65,126.8,127.4,130.87,1647155,21556223920000.0,12995,934974,0.5676
2016-01-13,GRANULES,EQ,127.4,129.4,131.5,102.3,123.7,125.1,120.98,3681266,44536365335000.0,27418,1841825,0.5003
2016-01-14,GRANULES,EQ,125.1,122.75,126.0,114.95,119.85,120.0,121.46,1582982,19226872110000.0,18897,567260,0.3583
2016-01-15,GRANULES,EQ,120.0,121.2,124.75,107.6,110.0,109.3,114.63,2426864,27819028925000.0,22433,1171090,0.4826
2016-01-18,GRANULES,EQ,109.3,110.0,111.45,102.2,104.75,105.3,106.43,2096554,22313140215000.0,17889,989124,0.4718
2016-01-19,GRANULES,EQ,105.3,104.1,116.9,104.05,116.9,115.5,110.77,1909607,21153466810000.0,17684,734658,0.3847
2016-01-20,GRANULES,EQ,115.5,114.0,119.0,109.3,117.0,117.1,113.99,2108731,24037519830000.0,25307,723372,0.34299999999999997
2016-01-21,GRANULES,EQ,117.1,119.3,123.5,118.0,119.2,120.1,120.15,1946215,23383564570000.0,18320,694654,0.3569
2016-01-22,GRANULES,EQ,120.1,122.0,123.7,119.0,119.4,119.9,121.68,1241118,15102002044999.998,11452,576228,0.4643
2016-01-25,GRANULES,EQ,119.9,120.6,124.2,120.6,122.15,122.45,122.8,771037,9468186065000.0,5932,287212,0.3725
2016-01-27,GRANULES,EQ,122.45,123.3,123.85,119.05,119.65,120.2,121.55,708016,8605610280000.0,6238,304634,0.4303
2016-01-28,GRANULES,EQ,120.2,120.15,121.95,112.0,113.5,113.4,117.34,2681602,31464699150000.0,26852,1036574,0.3866
2016-01-29,GRANULES,EQ,113.4,112.0,117.25,111.6,116.8,116.4,116.0,1051287,12195291045000.0,9315,424707,0.40399999999999997
2016-02-01,GRANULES,EQ,116.4,117.4,118.25,112.5,113.15,113.65,115.11,816642,9400604220000.0,11619,425379,0.5209
2016-02-02,GRANULES,EQ,113.65,114.2,116.65,113.2,114.7,114.25,115.03,961377,11059185855000.0,14319,466966,0.4857
2016-02-03,GRANULES,EQ,114.25,112.2,114.45,111.6,112.1,112.35,112.79,644597,7270428050000.0,8507,320368,0.49700000000000005
2016-02-04,GRANULES,EQ,112.35,113.45,114.1,105.0,105.45,105.95,108.18,1403575,15184168850000.0,12562,695456,0.4955
2016-02-05,GRANULES,EQ,105.95,106.5,115.25,105.7,115.05,113.75,110.14,1263688,13918228469999.998,11201,574648,0.4547
2016-02-08,GRANULES,EQ,113.75,116.5,123.7,115.1,120.0,120.8,120.13,2799412,33629107495000.0,22587,905690,0.3235
2016-02-09,GRANULES,EQ,120.8,116.6,122.95,116.35,120.5,120.05,120.29,1282224,15424196455000.002,11903,380051,0.2964
2016-02-10,GRANULES,EQ,120.05,120.0,121.0,112.9,116.6,116.1,116.68,956829,11164037950000.0,9719,314013,0.3282
2016-02-11,GRANULES,EQ,116.1,114.0,114.9,106.0,109.0,107.85,110.79,1152774,12771976410000.0,11344,506589,0.43950000000000006
2016-02-12,GRANULES,EQ,107.85,109.0,110.4,101.4,106.0,105.9,105.56,1820606,19217501925000.0,15915,606910,0.33340000000000003
2016-02-15,GRANULES,EQ,105.9,109.0,114.4,109.0,113.1,112.2,112.35,951035,10684503485000.0,8031,368768,0.38780000000000003
2016-02-16,GRANULES,EQ,112.2,113.1,113.9,108.1,109.1,109.0,110.66,620690,6868702759999.999,6447,212119,0.3417
