Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GRINDWELL,EQ,769.5,759.95,759.95,746.15,747.05,750.35,752.83,774,58268680000.00001,108,620,0.8009999999999999
2016-01-04,GRINDWELL,EQ,750.35,749.9,750.0,730.0,735.0,735.65,740.71,1183,87626015000.0,154,961,0.8123
2016-01-05,GRINDWELL,EQ,735.65,736.0,760.0,735.0,750.0,745.05,745.09,713543,53165174160000.0,391,701893,0.9837
2016-01-06,GRINDWELL,EQ,745.05,763.6,763.6,718.1,730.0,732.25,740.58,3631,268906375000.0,171,3128,0.8615
2016-01-07,GRINDWELL,EQ,732.25,737.95,737.95,715.0,715.0,722.5,725.95,2209,160361660000.0,197,1572,0.7116
2016-01-08,GRINDWELL,EQ,722.5,729.0,741.95,721.1,734.0,726.9,730.8,808,59048690000.0,97,661,0.8181
2016-01-11,GRINDWELL,EQ,726.9,723.0,738.75,714.0,719.0,717.05,728.21,1689,122994105000.0,198,1301,0.7703
2016-01-12,GRINDWELL,EQ,717.05,719.0,730.0,705.25,720.0,724.8,724.76,3740,271059379999.99997,151,3329,0.8901000000000001
2016-01-13,GRINDWELL,EQ,724.8,742.0,742.0,683.05,700.15,705.4,702.49,6603,463851580000.0,587,3974,0.6018
2016-01-14,GRINDWELL,EQ,705.4,693.05,729.0,684.0,720.0,719.95,712.5,1810,128962925000.0,211,1428,0.789
2016-01-15,GRINDWELL,EQ,719.95,715.0,724.0,705.1,716.0,713.25,717.29,1001,71800545000.0,131,820,0.8192
2016-01-18,GRINDWELL,EQ,713.25,706.0,716.9,650.55,675.0,672.85,664.88,6787,451254325000.0,978,5925,0.873
2016-01-19,GRINDWELL,EQ,672.85,641.2,699.0,641.2,689.85,691.55,681.83,4457,303890910000.0,159,4057,0.9103
2016-01-20,GRINDWELL,EQ,691.55,661.05,684.0,660.0,684.0,683.4,674.93,51422,3470633360000.0,126,51214,0.996
2016-01-21,GRINDWELL,EQ,683.4,677.0,700.0,663.75,700.0,696.0,679.34,2513,170716945000.0,258,1400,0.5571
2016-01-22,GRINDWELL,EQ,696.0,677.0,699.9,673.1,695.0,695.55,691.94,1517,104966555000.0,124,1216,0.8016
2016-01-25,GRINDWELL,EQ,695.55,687.15,698.0,687.0,697.8,695.9,695.05,1221,84865635000.0,94,1127,0.923
2016-01-27,GRINDWELL,EQ,695.9,698.0,719.9,695.0,701.0,707.6,700.68,2133,149455645000.0,319,1944,0.9114
2016-01-28,GRINDWELL,EQ,707.6,710.9,734.95,710.9,730.0,725.5,724.99,100981,7321024180000.0,697,99815,0.9884999999999999
2016-01-29,GRINDWELL,EQ,725.5,715.05,737.0,710.2,720.05,727.95,724.71,2534,183640935000.0,164,2302,0.9084000000000001
2016-02-01,GRINDWELL,EQ,727.95,734.95,734.95,710.0,710.3,713.25,723.06,847,61243585000.0,117,677,0.7993000000000001
2016-02-02,GRINDWELL,EQ,713.25,711.05,732.75,698.0,700.0,710.85,711.69,2252,160272315000.0,218,932,0.4139
2016-02-03,GRINDWELL,EQ,710.85,686.5,702.8,651.45,668.0,672.4,670.06,137349,9203154925000.0,289,136211,0.9917
2016-02-04,GRINDWELL,EQ,672.4,692.95,692.95,672.35,683.85,675.65,675.22,25896,1748539414999.9998,67,25581,0.9878
2016-02-05,GRINDWELL,EQ,675.65,675.0,689.95,658.0,680.0,677.65,672.16,2335,156950110000.0,244,1161,0.4972
2016-02-08,GRINDWELL,EQ,677.65,666.0,684.9,660.4,665.0,668.8,675.49,1278,86327220000.0,156,898,0.7027
2016-02-09,GRINDWELL,EQ,668.8,661.05,683.0,661.0,674.95,668.05,670.58,1016,68130975000.0,207,667,0.6565000000000001
2016-02-10,GRINDWELL,EQ,668.05,651.0,667.0,642.0,665.0,661.1,652.04,2120,138231470000.0,224,1348,0.6358
2016-02-11,GRINDWELL,EQ,661.1,645.0,663.25,636.0,636.0,639.0,647.57,1643,106395725000.0,187,1049,0.6385000000000001
2016-02-12,GRINDWELL,EQ,639.0,606.1,649.0,590.3,611.9,604.25,608.54,2190,133271325000.0,173,1287,0.5877
2016-02-15,GRINDWELL,EQ,604.25,609.0,624.8,582.5,607.8,607.95,615.8,1305,80361615000.0,167,932,0.7142000000000001
2016-02-16,GRINDWELL,EQ,607.95,614.0,620.0,596.45,619.95,609.3,608.11,901,54790590000.0,97,667,0.7403000000000001
2016-02-17,GRINDWELL,EQ,609.3,600.15,623.0,583.0,623.0,621.55,608.72,1391,84672815000.0,192,938,0.6743000000000001
2016-02-18,GRINDWELL,EQ,621.55,626.95,626.95,606.0,620.0,611.25,614.67,1183,72715155000.0,198,812,0.6864
2016-02-19,GRINDWELL,EQ,611.25,628.0,628.0,607.0,617.15,619.15,608.67,9385,571234180000.0,88,9102,0.9698000000000001
2016-02-22,GRINDWELL,EQ,619.15,605.55,630.0,599.45,620.05,621.05,613.54,3324,203941905000.0,392,2073,0.6236
2016-02-23,GRINDWELL,EQ,621.05,615.0,632.6,601.0,601.0,606.65,611.61,694,42445880000.0,81,521,0.7506999999999999
2016-02-24,GRINDWELL,EQ,606.65,602.0,614.3,591.1,592.0,596.15,600.29,2118,127142475000.0,158,1888,0.8914
2016-02-25,GRINDWELL,EQ,596.15,585.0,617.8,572.6,608.0,604.95,601.32,6286,377991160000.0,357,5447,0.8665
