Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GUJALKALI,EQ,184.05,182.15,188.0,182.1,186.0,186.55,185.34,27098,502242030000.0,652,16803,0.6201
2016-01-04,GUJALKALI,EQ,186.55,187.7,191.7,181.5,186.75,186.5,187.32,74142,1388829775000.0,1759,51142,0.6898000000000001
2016-01-05,GUJALKALI,EQ,186.5,182.55,191.7,182.55,188.5,188.8,189.59,103057,1953869485000.0002,788,79495,0.7714
2016-01-06,GUJALKALI,EQ,188.8,189.45,197.7,188.0,193.0,193.45,194.81,115655,2253127395000.0,1569,79654,0.6887000000000001
2016-01-07,GUJALKALI,EQ,193.45,191.0,192.8,185.0,189.0,186.85,187.46,51635,967968950000.0,1546,32400,0.6275000000000001
2016-01-08,GUJALKALI,EQ,186.85,186.1,193.7,186.1,189.5,190.55,190.36,40176,764806610000.0,592,29443,0.7329000000000001
2016-01-11,GUJALKALI,EQ,190.55,190.55,202.0,188.0,199.0,199.3,196.74,139207,2738733740000.0,1877,109628,0.7875
2016-01-12,GUJALKALI,EQ,199.3,196.6,207.8,196.6,202.6,202.25,204.14,217894,4448194125000.0,3639,89240,0.4096
2016-01-13,GUJALKALI,EQ,202.25,203.0,210.3,185.15,196.3,197.15,198.47,166260,3299764760000.0,2807,99572,0.5989
2016-01-14,GUJALKALI,EQ,197.15,189.65,196.0,186.7,187.25,188.6,190.75,49337,941104310000.0,1612,34351,0.6962999999999999
2016-01-15,GUJALKALI,EQ,188.6,188.6,193.9,174.15,176.0,176.0,181.01,39916,722535140000.0,966,25233,0.6322
2016-01-18,GUJALKALI,EQ,176.0,176.0,177.85,162.15,172.0,170.8,169.7,57142,969702260000.0,1250,26485,0.4635
2016-01-19,GUJALKALI,EQ,170.8,169.25,180.0,167.0,178.8,178.05,173.33,57488,996444335000.0,842,33554,0.5837
2016-01-20,GUJALKALI,EQ,178.05,177.0,177.0,166.25,168.6,168.65,169.88,17713,300907075000.0,913,11734,0.6625
2016-01-21,GUJALKALI,EQ,168.65,172.95,174.7,165.05,166.6,167.45,168.98,23240,392719735000.0,1108,12736,0.5479999999999999
2016-01-22,GUJALKALI,EQ,167.45,171.4,176.85,170.1,176.85,175.9,174.24,23269,405431895000.0,547,16335,0.7020000000000001
2016-01-25,GUJALKALI,EQ,175.9,176.9,183.75,175.5,181.2,181.95,180.87,39126,707667960000.0,1089,16098,0.4114
2016-01-27,GUJALKALI,EQ,181.95,180.35,184.1,180.35,182.0,182.05,182.14,36559,665882805000.0,428,31251,0.8548
2016-01-28,GUJALKALI,EQ,182.05,182.0,184.9,180.15,183.75,183.2,182.6,16369,298899760000.0,452,12627,0.7714
2016-01-29,GUJALKALI,EQ,183.2,183.2,184.9,181.7,183.15,183.8,183.35,19794,362918265000.0,367,17930,0.9058
2016-02-01,GUJALKALI,EQ,183.8,184.85,186.95,182.0,182.9,182.45,184.46,7110,131151489999.99998,251,5666,0.7968999999999999
2016-02-02,GUJALKALI,EQ,182.45,182.0,187.6,178.65,182.0,182.2,184.21,43882,808349900000.0,1004,35067,0.7991
2016-02-03,GUJALKALI,EQ,182.2,180.0,184.0,178.05,178.25,179.5,180.26,11772,212206870000.00003,520,6602,0.5608
2016-02-04,GUJALKALI,EQ,179.5,180.0,183.0,175.35,175.5,175.95,177.89,6792,120825325000.0,191,4924,0.725
2016-02-05,GUJALKALI,EQ,175.95,175.6,175.6,171.0,174.0,173.1,173.14,20399,353192035000.0,383,14709,0.7211
2016-02-08,GUJALKALI,EQ,173.1,174.1,177.95,172.95,175.0,174.85,175.07,9349,163670655000.0,353,6359,0.6802
2016-02-09,GUJALKALI,EQ,174.85,174.8,174.8,168.65,169.6,170.65,171.88,17161,294958730000.0,498,12483,0.7273999999999999
2016-02-10,GUJALKALI,EQ,170.65,170.65,173.65,168.1,172.45,171.7,170.95,7462,127564010000.00002,320,5278,0.7073
2016-02-11,GUJALKALI,EQ,171.7,172.4,172.4,163.2,165.0,164.95,167.17,10437,174477270000.0,281,8325,0.7976000000000001
2016-02-12,GUJALKALI,EQ,164.95,159.5,159.5,143.3,155.9,155.25,150.68,61283,923417269999.9999,1612,37131,0.6059
2016-02-15,GUJALKALI,EQ,155.25,155.25,159.75,155.25,156.9,155.95,157.63,8077,127321700000.0,480,5149,0.6375000000000001
2016-02-16,GUJALKALI,EQ,155.95,156.05,158.3,149.1,149.1,150.05,151.81,13767,209003130000.0,588,9026,0.6556000000000001
2016-02-17,GUJALKALI,EQ,150.05,150.85,154.35,145.0,149.1,148.75,147.97,11991,177435305000.0,558,6895,0.5750000000000001
2016-02-18,GUJALKALI,EQ,148.75,148.75,158.3,148.05,157.2,157.2,154.95,30619,474437209999.99994,692,23513,0.7679
2016-02-19,GUJALKALI,EQ,157.2,153.7,156.55,150.25,152.9,152.6,152.89,11041,168802225000.0,632,6028,0.546
2016-02-22,GUJALKALI,EQ,152.6,153.1,166.3,153.1,154.0,153.6,156.26,11417,178400095000.0,537,5322,0.4661
2016-02-23,GUJALKALI,EQ,153.6,154.2,159.35,150.25,152.0,151.8,152.99,10186,155831165000.0,477,5530,0.5429
2016-02-24,GUJALKALI,EQ,151.8,150.85,152.3,148.0,148.5,148.2,149.64,12506,187136120000.0,465,8170,0.6533
2016-02-25,GUJALKALI,EQ,148.2,149.55,149.55,147.0,147.05,147.7,148.06,7027,104043160000.0,241,5102,0.7261
2016-02-26,GUJALKALI,EQ,147.7,149.55,150.35,146.0,146.45,147.15,146.75,15709,230524695000.00003,380,10947,0.6969
2016-02-29,GUJALKALI,EQ,147.15,146.0,147.15,144.5,145.0,145.05,145.45,11814,171829645000.0,320,7786,0.659
2016-03-01,GUJALKALI,EQ,145.05,145.25,152.4,144.0,149.5,149.2,149.18,10915,162826255000.0,606,7805,0.7151000000000001
2016-03-02,GUJALKALI,EQ,149.2,151.0,154.95,151.0,153.0,152.15,153.21,39854,610602870000.0,329,33558,0.8420000000000001
2016-03-03,GUJALKALI,EQ,152.15,154.75,157.45,152.05,156.7,156.3,155.35,8994,139723140000.0,344,6864,0.7632
2016-03-04,GUJALKALI,EQ,156.3,156.3,158.8,155.0,157.9,157.05,156.7,15852,248396915000.0,992,10447,0.659
2016-03-08,GUJALKALI,EQ,157.05,154.6,163.0,153.9,157.6,157.45,158.08,13319,210548585000.0,476,6563,0.4928
2016-03-09,GUJALKALI,EQ,157.45,154.65,163.5,154.65,163.5,162.5,160.41,27806,446033815000.00006,828,21709,0.7807
2016-03-10,GUJALKALI,EQ,162.5,162.5,164.5,161.95,163.5,163.2,163.22,11667,190432475000.0,374,6115,0.5241
2016-03-11,GUJALKALI,EQ,163.2,163.15,165.55,162.0,165.35,165.05,164.66,18270,300827685000.0,433,14705,0.8049
2016-03-14,GUJALKALI,EQ,165.05,164.05,167.85,158.0,158.35,159.4,163.32,12261,200245030000.0,622,7242,0.5907
2016-03-15,GUJALKALI,EQ,159.4,159.4,164.0,158.45,159.1,159.0,160.83,9933,159751785000.0,432,4939,0.4972
2016-03-16,GUJALKALI,EQ,159.0,159.0,162.0,159.0,159.7,159.7,159.93,11688,186920895000.0,281,8721,0.7461
2016-03-17,GUJALKALI,EQ,159.7,160.0,164.45,160.0,164.0,163.85,163.2,29283,477898900000.0,450,24058,0.8216
2016-03-18,GUJALKALI,EQ,163.85,164.0,165.7,160.6,162.65,161.95,162.65,8306,135093664999.99998,569,2893,0.3483
2016-03-21,GUJALKALI,EQ,161.95,161.9,166.45,160.15,164.1,165.45,162.49,17050,277040825000.0,508,11613,0.6811
2016-03-22,GUJALKALI,EQ,165.45,165.45,166.95,160.75,162.0,161.25,161.67,45070,728636345000.0,471,39462,0.8756
2016-03-23,GUJALKALI,EQ,161.25,161.55,163.95,159.6,162.0,162.15,160.84,24157,388546310000.0,545,18565,0.7685
2016-03-28,GUJALKALI,EQ,162.15,162.15,163.05,160.55,162.0,162.3,162.07,9522,154327180000.0,505,6632,0.6965000000000001
2016-03-29,GUJALKALI,EQ,162.3,162.3,163.7,161.15,163.3,162.65,162.23,7975,129380285000.00002,133,7497,0.9401
2016-03-30,GUJALKALI,EQ,162.65,162.55,168.6,162.3,165.85,165.95,164.94,16960,279744550000.0,392,12494,0.7367
2016-03-31,GUJALKALI,EQ,165.95,165.95,169.0,164.05,164.1,165.55,166.31,5936,98719410000.0,423,3138,0.5286
2016-04-01,GUJALKALI,EQ,165.55,169.3,169.3,163.1,163.7,164.4,165.2,6635,109609095000.0,307,3532,0.5323
2016-04-04,GUJALKALI,EQ,164.4,164.1,166.95,164.05,166.0,165.55,165.34,4980,82341005000.0,225,2891,0.5805
2016-04-05,GUJALKALI,EQ,165.55,166.0,167.9,162.5,166.5,166.45,165.11,15626,258004020000.00003,195,13566,0.8682
2016-04-06,GUJALKALI,EQ,166.45,167.7,169.0,164.15,168.0,167.7,166.51,11135,185403665000.0,191,8923,0.8013
2016-04-07,GUJALKALI,EQ,167.7,167.7,169.35,165.6,166.0,167.1,167.55,5415,90726050000.0,179,2722,0.5027
2016-04-08,GUJALKALI,EQ,167.1,167.1,169.7,166.5,167.1,167.5,168.47,5227,88058455000.0,165,2761,0.5282
2016-04-11,GUJALKALI,EQ,167.5,169.95,171.9,166.65,170.1,170.45,169.59,30280,513505409999.99994,431,22246,0.7347
2016-04-12,GUJALKALI,EQ,170.45,171.85,172.0,170.0,171.05,171.0,170.73,19874,339302110000.0,186,17818,0.8965000000000001
2016-04-13,GUJALKALI,EQ,171.0,173.95,177.85,170.75,173.5,173.95,174.9,24462,427831659999.99994,699,14609,0.5972
2016-04-18,GUJALKALI,EQ,173.95,177.85,177.85,171.0,171.4,172.3,172.01,20891,359348025000.0,364,15907,0.7614000000000001
2016-04-20,GUJALKALI,EQ,172.3,172.35,178.9,172.35,176.65,176.95,175.78,30122,529484515000.00006,643,24201,0.8034
2016-04-21,GUJALKALI,EQ,176.95,175.0,178.8,174.35,176.75,175.65,175.74,19089,335479150000.0,509,14605,0.7651000000000001
2016-04-22,GUJALKALI,EQ,175.65,183.0,188.0,182.5,186.65,186.3,185.11,400766,7418428090000.001,5309,104085,0.2597
2016-04-25,GUJALKALI,EQ,186.3,187.0,187.5,181.0,185.0,184.85,184.53,27190,501745220000.0,533,17103,0.629
2016-04-26,GUJALKALI,EQ,184.85,184.5,185.0,181.2,182.5,181.85,182.43,14659,267424085000.0,387,8047,0.5489
2016-04-27,GUJALKALI,EQ,181.85,182.0,184.9,180.7,181.0,181.2,181.76,11387,206966295000.0,267,8783,0.7713
2016-04-28,GUJALKALI,EQ,181.2,181.2,184.6,179.2,180.0,180.0,181.47,17820,323385675000.0,264,14937,0.8382
2016-04-29,GUJALKALI,EQ,180.0,180.0,183.7,179.1,182.5,181.2,180.83,17453,315601230000.0,318,13532,0.7753
2016-05-02,GUJALKALI,EQ,181.2,184.0,184.0,181.0,181.0,181.0,181.53,8146,147876365000.0,238,5205,0.639
2016-05-03,GUJALKALI,EQ,181.0,181.0,185.9,181.0,183.1,183.7,184.32,27526,507360490000.00006,376,21700,0.7883
2016-05-04,GUJALKALI,EQ,183.7,183.3,184.4,178.0,178.25,181.9,182.05,8017,145948530000.0,286,6237,0.778
2016-05-05,GUJALKALI,EQ,181.9,178.8,181.8,178.6,179.2,179.05,179.67,4698,84407660000.0,207,2583,0.5498
