Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,HONAUT,EQ,9131.25,9025.1,9025.1,8900.0,8900.0,8912.6,8957.99,937,839363365000.0,267,652,0.6958
2016-01-04,HONAUT,EQ,8912.6,8999.7,8999.75,8850.0,8906.25,8941.05,8941.35,517,462267820000.0,214,311,0.6015
2016-01-05,HONAUT,EQ,8941.05,8855.55,8945.0,8850.0,8905.0,8937.95,8920.43,396,353249130000.0,111,312,0.7879
2016-01-06,HONAUT,EQ,8937.95,8902.0,8950.0,8875.0,8875.0,8911.1,8912.03,343,305682565000.0,93,236,0.688
2016-01-07,HONAUT,EQ,8911.1,8850.0,8979.95,8721.0,8888.0,8916.15,8825.23,488,430671330000.0,206,341,0.6988
2016-01-08,HONAUT,EQ,8916.15,8916.15,8945.0,8826.1,8840.0,8901.4,8899.87,414,368454625000.0,106,350,0.8454
2016-01-11,HONAUT,EQ,8901.4,8810.0,8850.0,8750.0,8755.35,8802.6,8804.74,297,261500910000.0,129,183,0.6162
2016-01-12,HONAUT,EQ,8802.6,8706.05,8880.0,8706.05,8840.0,8808.5,8776.96,481,422171970000.0,212,370,0.7692
2016-01-13,HONAUT,EQ,8808.5,8723.05,8900.0,8665.0,8899.95,8863.9,8770.33,623,546391450000.0,181,352,0.5650000000000001
2016-01-14,HONAUT,EQ,8863.9,8799.9,8944.0,8668.05,8900.0,8901.9,8855.44,205,181536580000.0,67,181,0.8829000000000001
2016-01-15,HONAUT,EQ,8901.9,8960.5,8961.0,8699.95,8800.0,8823.7,8830.28,316,279036870000.0,119,184,0.5822999999999999
2016-01-18,HONAUT,EQ,8823.7,8888.0,8888.0,8303.0,8400.0,8452.65,8456.83,1103,932787955000.0001,351,644,0.5839
2016-01-19,HONAUT,EQ,8452.65,8350.0,8574.0,8120.35,8455.0,8520.35,8384.11,794,665698620000.0,278,543,0.6839000000000001
2016-01-20,HONAUT,EQ,8520.35,8211.25,8339.0,8139.95,8140.0,8224.2,8237.98,1199,987733719999.9999,439,592,0.49369999999999997
2016-01-21,HONAUT,EQ,8224.2,8231.05,8350.0,8145.2,8301.0,8297.85,8256.94,378,312112190000.0,210,214,0.5661
2016-01-22,HONAUT,EQ,8297.85,8340.0,8740.0,8277.0,8690.0,8602.75,8523.56,490,417654370000.0,231,377,0.7694
2016-01-25,HONAUT,EQ,8602.75,8875.0,8875.0,8611.0,8650.0,8658.25,8662.22,220,190568925000.0,59,126,0.5727000000000001
2016-01-27,HONAUT,EQ,8658.25,8630.0,8677.95,8465.05,8600.0,8592.75,8587.73,283,243032825000.0,94,237,0.8375
2016-01-28,HONAUT,EQ,8592.75,8580.0,8600.0,8501.05,8594.85,8595.15,8582.6,165,141612845000.0,60,131,0.7939
2016-01-29,HONAUT,EQ,8595.15,8590.0,8632.0,8425.0,8632.0,8575.2,8501.13,384,326443210000.0,137,161,0.4193
2016-02-01,HONAUT,EQ,8575.2,8420.0,8689.8,8420.0,8577.0,8604.75,8572.92,173,148311545000.0,106,117,0.6763
2016-02-02,HONAUT,EQ,8604.75,8501.1,8664.2,8414.5,8425.0,8506.1,8533.6,304,259421500000.0,68,257,0.8454
2016-02-03,HONAUT,EQ,8506.1,8341.15,8580.0,8341.15,8400.0,8486.1,8466.93,146,123617205000.0,75,105,0.7192000000000001
2016-02-04,HONAUT,EQ,8486.1,8486.25,8500.0,8080.0,8406.0,8447.3,8384.15,1084,908841935000.0,400,642,0.5922999999999999
2016-02-05,HONAUT,EQ,8447.3,8447.0,8475.0,8350.0,8352.65,8448.15,8450.47,323,272950040000.0,149,255,0.7895000000000001
2016-02-08,HONAUT,EQ,8448.15,8448.0,8500.0,8420.0,8457.0,8485.9,8487.5,300,254625045000.00003,124,242,0.8067000000000001
2016-02-09,HONAUT,EQ,8485.9,8551.1,8551.1,8329.0,8500.0,8478.2,8419.15,189,159121855000.0,93,108,0.5714
2016-02-10,HONAUT,EQ,8478.2,8478.0,8478.0,8383.0,8383.0,8435.9,8439.15,134,113084625000.0,50,97,0.7239
2016-02-11,HONAUT,EQ,8435.9,8435.0,8496.7,8135.0,8135.0,8176.7,8442.86,1514,1278248320000.0,106,169,0.1116
2016-02-12,HONAUT,EQ,8176.7,8202.05,8265.0,7701.0,8265.0,8085.4,7966.11,870,693051590000.0,289,523,0.6011
2016-02-15,HONAUT,EQ,8085.4,8299.0,8299.0,8100.0,8100.0,8141.0,8144.16,567,461773850000.0,160,413,0.7284
2016-02-16,HONAUT,EQ,8141.0,8178.0,8178.0,7981.0,8050.0,8039.15,8060.65,506,407869095000.0,156,429,0.8478
2016-02-17,HONAUT,EQ,8039.15,8039.0,8039.0,7851.0,7988.0,7997.65,7981.03,358,285720870000.0,70,278,0.7765000000000001
2016-02-18,HONAUT,EQ,7997.65,8010.2,8298.0,8010.2,8290.0,8182.8,8109.78,534,433062184999.99994,184,365,0.6835
2016-02-19,HONAUT,EQ,8182.8,8149.95,8288.0,8100.0,8288.0,8178.1,8165.71,405,330711135000.0,101,254,0.6272
2016-02-22,HONAUT,EQ,8178.1,8190.0,8348.0,8101.0,8347.0,8303.35,8257.77,204,168458480000.0,146,151,0.7402
2016-02-23,HONAUT,EQ,8303.35,8303.35,9050.7,8216.05,8500.0,8494.45,8471.07,487,412541275000.0,149,331,0.6797
2016-02-24,HONAUT,EQ,8494.45,8451.05,8480.0,8340.0,8480.0,8466.55,8404.79,109,91612245000.0,52,68,0.6239
2016-02-25,HONAUT,EQ,8466.55,8468.0,8470.0,8297.0,8297.0,8427.6,8427.51,415,349741785000.0,65,356,0.8578
2016-02-26,HONAUT,EQ,8427.6,8430.0,8474.95,8305.05,8400.0,8401.6,8393.18,201,168702890000.0,121,149,0.7413
2016-02-29,HONAUT,EQ,8401.6,8450.0,8450.0,8352.05,8450.0,8448.6,8443.04,383,323368375000.0,53,348,0.9086
2016-03-01,HONAUT,EQ,8448.6,8450.0,8497.0,8410.0,8497.0,8473.1,8462.02,344,291093535000.0,97,284,0.8256
2016-03-02,HONAUT,EQ,8473.1,8589.95,8589.95,8372.05,8400.0,8419.35,8465.14,531,449498815000.00006,101,427,0.8041
2016-03-03,HONAUT,EQ,8419.35,8500.0,8599.0,8351.0,8529.95,8485.7,8457.07,397,335745530000.0,128,298,0.7506
2016-03-04,HONAUT,EQ,8485.7,8408.2,8700.0,8408.2,8626.0,8644.3,8577.92,480,411740015000.0,138,194,0.4042
2016-03-08,HONAUT,EQ,8644.3,8738.85,8738.85,8555.0,8694.0,8683.95,8666.63,348,301598575000.0,86,267,0.7672
2016-03-09,HONAUT,EQ,8683.95,8550.0,8690.0,8469.5,8610.0,8620.6,8580.8,423,362967735000.0,182,270,0.6383
2016-03-10,HONAUT,EQ,8620.6,8725.0,8729.0,8670.05,8725.0,8699.9,8700.7,1261,1097158180000.0001,380,1029,0.816
2016-03-11,HONAUT,EQ,8699.9,8700.0,8700.0,8550.0,8550.0,8606.7,8619.87,361,311177140000.0,128,270,0.7479000000000001
2016-03-14,HONAUT,EQ,8606.7,8606.0,8797.0,8600.0,8780.0,8743.55,8728.25,389,339528830000.0,169,265,0.6812
2016-03-15,HONAUT,EQ,8743.55,8779.0,8848.0,8602.0,8699.85,8690.25,8685.15,394,342195050000.0,117,297,0.7538
2016-03-16,HONAUT,EQ,8690.25,8684.95,8698.95,8561.05,8600.0,8599.4,8641.62,1675,1447470535000.0,221,1533,0.9152
2016-03-17,HONAUT,EQ,8599.4,8699.85,8748.15,8500.0,8748.15,8637.9,8585.73,508,436154884999.99994,203,303,0.5965
2016-03-18,HONAUT,EQ,8637.9,8602.0,8625.0,8423.9,8500.0,8513.1,8544.78,1271,1086042119999.9999,307,552,0.4343
2016-03-21,HONAUT,EQ,8513.1,8551.05,8600.0,8462.4,8506.0,8591.4,8562.34,478,409280000000.0,199,289,0.6046
2016-03-22,HONAUT,EQ,8591.4,8591.0,8675.0,8515.0,8550.0,8617.8,8593.02,336,288725320000.0,97,214,0.6369
2016-03-23,HONAUT,EQ,8617.8,8617.0,8695.0,8455.0,8455.1,8508.15,8529.17,471,401723680000.0,113,276,0.5860000000000001
2016-03-28,HONAUT,EQ,8508.15,8508.15,8650.0,8450.0,8599.0,8586.15,8590.57,315,270603010000.0,95,216,0.6857
2016-03-29,HONAUT,EQ,8586.15,8528.0,8600.0,8450.0,8558.5,8566.3,8559.92,273,233685840000.0,96,202,0.7399
2016-03-30,HONAUT,EQ,8566.3,8464.0,8700.05,8462.0,8669.0,8644.1,8623.81,440,379447730000.0,120,335,0.7614000000000001
2016-03-31,HONAUT,EQ,8644.1,8644.0,8700.0,8558.0,8561.15,8596.05,8602.86,488,419819800000.0,184,303,0.6209
2016-04-01,HONAUT,EQ,8596.05,8600.0,8685.0,8550.5,8580.0,8645.75,8624.65,196,169043140000.0,48,161,0.8214
2016-04-04,HONAUT,EQ,8645.75,8635.0,8776.95,8603.0,8652.0,8678.65,8681.49,408,354204680000.0,71,328,0.8039000000000001
2016-04-05,HONAUT,EQ,8678.65,8740.0,8778.95,8528.0,8599.0,8565.8,8578.81,192,164713240000.0,77,132,0.6875
2016-04-06,HONAUT,EQ,8565.8,8505.05,8600.0,8502.0,8600.0,8599.95,8567.02,213,182477495000.0,71,150,0.7042
2016-04-07,HONAUT,EQ,8599.95,8514.35,8600.0,8460.0,8600.0,8589.85,8550.28,496,424093775000.0,100,314,0.6331
2016-04-08,HONAUT,EQ,8589.85,8533.05,8699.0,8525.0,8660.0,8666.9,8650.18,160,138402900000.0,69,84,0.525
2016-04-11,HONAUT,EQ,8666.9,8650.0,8940.0,8650.0,8898.0,8870.95,8769.49,225,197313455000.0,106,157,0.6978
2016-04-12,HONAUT,EQ,8870.95,8955.0,8974.9,8725.5,8925.0,8888.75,8862.41,336,297777075000.0,133,206,0.6131000000000001
2016-04-13,HONAUT,EQ,8888.75,8850.0,9348.0,8799.95,9160.0,9135.15,9088.38,1153,1047890715000.0,364,639,0.5542
2016-04-18,HONAUT,EQ,9135.15,9002.05,9377.95,9002.0,9280.0,9285.6,9277.67,691,641086930000.0,198,459,0.6643000000000001
2016-04-20,HONAUT,EQ,9285.6,9300.0,9379.85,9000.0,9295.0,9227.45,9185.01,1602,1471439385000.0,204,1302,0.8127
2016-04-21,HONAUT,EQ,9227.45,9324.95,9394.65,9057.0,9388.0,9330.65,9279.38,399,370247345000.0,148,272,0.6817000000000001
2016-04-22,HONAUT,EQ,9330.65,9368.0,9690.0,9327.0,9460.0,9524.45,9478.79,1207,1144089440000.0,628,888,0.7356999999999999
2016-04-25,HONAUT,EQ,9524.45,9490.0,9715.0,9490.0,9555.0,9583.25,9638.85,1009,972560375000.0,265,728,0.7215
2016-04-26,HONAUT,EQ,9583.25,9698.95,9698.95,9341.05,9500.1,9537.75,9494.14,991,940868830000.0001,270,508,0.5126
