Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,ICRA,EQ,4447.6,4430.0,4430.0,4372.0,4380.0,4396.35,4414.07,728,321344110000.0,190,457,0.6277
2016-01-04,ICRA,EQ,4396.35,4380.0,4409.5,4308.4,4340.0,4356.1,4372.56,732,320071740000.0,212,546,0.7459
2016-01-05,ICRA,EQ,4356.1,4399.95,4450.2,4324.95,4444.5,4417.7,4393.12,609,267540845000.00003,182,417,0.6847
2016-01-06,ICRA,EQ,4417.7,4450.0,4450.0,4300.1,4323.0,4339.25,4348.4,748,325260335000.0,261,345,0.4612
2016-01-07,ICRA,EQ,4339.25,4315.0,4369.0,4251.05,4280.0,4314.1,4301.73,472,203041470000.0,215,203,0.4301
2016-01-08,ICRA,EQ,4314.1,4290.4,4392.0,4210.1,4275.0,4303.9,4278.65,1594,682016880000.0,351,801,0.5025000000000001
2016-01-11,ICRA,EQ,4303.9,4275.0,4275.0,4136.15,4150.0,4204.85,4247.91,5528,2348246825000.0,166,5311,0.9607
2016-01-12,ICRA,EQ,4204.85,4199.95,4228.05,4082.0,4145.05,4160.45,4165.37,667,277829885000.0,340,420,0.6297
2016-01-13,ICRA,EQ,4160.45,4155.0,4255.0,4035.6,4247.0,4165.0,4115.29,865,355972220000.0,291,417,0.48210000000000003
2016-01-14,ICRA,EQ,4165.0,4179.05,4216.0,4122.0,4212.0,4203.5,4192.04,417,174808000000.0,118,297,0.7122
2016-01-15,ICRA,EQ,4203.5,4185.0,4209.8,4090.05,4170.0,4166.45,4175.29,320,133609389999.99998,168,176,0.55
2016-01-18,ICRA,EQ,4166.45,4126.9,4126.9,3815.05,3890.0,3894.55,3948.71,2313,913336635000.0,345,1376,0.5949
2016-01-19,ICRA,EQ,3894.55,3860.15,4000.0,3820.1,3931.0,3960.9,3864.7,4385,1694669985000.0002,242,3995,0.9111
2016-01-20,ICRA,EQ,3960.9,3841.4,3920.0,3841.0,3852.05,3897.0,3866.69,1369,529349330000.0,180,1030,0.7524
2016-01-21,ICRA,EQ,3897.0,3940.05,3960.0,3854.0,3945.0,3931.3,3924.77,416,163270380000.0,208,295,0.7091
2016-01-22,ICRA,EQ,3931.3,3920.0,3997.95,3909.85,3975.0,3961.65,3955.8,563,222711295000.00003,196,427,0.7584000000000001
2016-01-25,ICRA,EQ,3961.65,3994.3,4000.0,3912.15,3931.55,3940.35,3955.6,168,66454019999.99999,79,49,0.2917
2016-01-27,ICRA,EQ,3940.35,3920.05,3961.0,3861.5,3863.0,3911.35,3917.75,952,372969775000.0,172,714,0.75
2016-01-28,ICRA,EQ,3911.35,3969.0,3969.0,3802.0,3810.0,3839.7,3850.78,1059,407797190000.0,220,561,0.5297
2016-01-29,ICRA,EQ,3839.7,3776.05,3894.8,3776.05,3850.0,3852.95,3853.22,1659,639249290000.0,428,914,0.5509000000000001
2016-02-01,ICRA,EQ,3852.95,3906.0,3998.9,3805.1,3865.0,3879.75,3869.22,441,170632465000.0,194,269,0.61
2016-02-02,ICRA,EQ,3879.75,3890.05,3919.0,3848.0,3850.0,3864.0,3871.38,208,80524745000.0,104,123,0.5913
2016-02-03,ICRA,EQ,3864.0,3830.55,4089.9,3830.0,3950.0,3932.0,3931.25,11776,4629435260000.0,97,11667,0.9906999999999999
2016-02-04,ICRA,EQ,3932.0,3926.0,3993.5,3862.0,3930.05,3953.3,3920.25,995,390064515000.0,219,688,0.6915000000000001
2016-02-05,ICRA,EQ,3953.3,3913.7,3975.0,3899.95,3969.5,3968.7,3947.55,346,136585314999.99998,130,251,0.7254
2016-02-08,ICRA,EQ,3968.7,4099.0,4099.0,3885.0,3900.0,3912.4,3909.93,805,314749495000.0,214,462,0.5739
2016-02-09,ICRA,EQ,3912.4,3835.15,4080.0,3831.0,3870.0,3868.65,3868.27,1906,737292570000.0,263,1248,0.6548
2016-02-10,ICRA,EQ,3868.65,3970.0,3970.0,3755.55,3915.55,3872.75,3844.49,1932,742755135000.0,315,1349,0.6981999999999999
2016-02-11,ICRA,EQ,3872.75,3783.05,3899.0,3560.1,3898.0,3781.85,3767.67,4097,1543612565000.0,468,848,0.207
2016-02-12,ICRA,EQ,3781.85,3662.35,3879.0,3655.0,3779.0,3773.6,3732.19,1135,423603984999.99994,263,603,0.5313
2016-02-15,ICRA,EQ,3773.6,3725.1,3900.0,3725.1,3900.0,3834.2,3804.94,874,332551790000.0,286,358,0.4096
2016-02-16,ICRA,EQ,3834.2,3812.0,3845.05,3631.0,3682.15,3745.45,3720.79,1248,464354670000.0,300,619,0.49600000000000005
2016-02-17,ICRA,EQ,3745.45,3710.05,3739.9,3602.05,3649.95,3646.7,3662.5,2673,978985844999.9999,261,1958,0.7325
2016-02-18,ICRA,EQ,3646.7,3797.9,3799.0,3612.5,3670.0,3694.7,3670.01,737,270480010000.0,224,425,0.5767
2016-02-19,ICRA,EQ,3694.7,3658.0,3849.0,3623.0,3814.6,3769.55,3715.0,542,201353000000.0,215,428,0.7897
2016-02-22,ICRA,EQ,3769.55,3731.05,3770.0,3656.0,3739.0,3700.2,3717.46,1080,401485645000.0,271,570,0.5278
2016-02-23,ICRA,EQ,3700.2,3686.9,3742.9,3633.05,3712.95,3706.15,3695.2,319,117876830000.0,92,209,0.6552
2016-02-24,ICRA,EQ,3706.15,3699.3,3699.3,3636.0,3645.0,3666.6,3666.38,155,56828919999.99999,42,98,0.6323
2016-02-25,ICRA,EQ,3666.6,3643.55,3700.0,3619.95,3653.45,3670.75,3657.43,533,194941050000.0,116,337,0.6323
2016-02-26,ICRA,EQ,3670.75,3680.05,3800.0,3630.0,3799.0,3722.3,3688.07,2102,775232495000.0,278,1824,0.8677
2016-02-29,ICRA,EQ,3722.3,3789.95,3789.95,3656.0,3682.05,3713.05,3709.17,660,244805395000.00003,121,475,0.7197
2016-03-01,ICRA,EQ,3713.05,3769.95,3971.1,3755.0,3789.95,3791.15,3847.18,2840,1092598585000.0,795,1753,0.6173
2016-03-02,ICRA,EQ,3791.15,3760.05,3889.7,3666.0,3675.0,3695.05,3716.09,3563,1324042380000.0,634,2682,0.7526999999999999
2016-03-03,ICRA,EQ,3695.05,3666.05,3753.0,3614.0,3629.95,3633.55,3650.46,2126,776088060000.0,401,1409,0.6627
2016-03-04,ICRA,EQ,3633.55,3725.0,3725.0,3570.0,3585.05,3605.85,3608.09,2024,730276405000.0,408,1352,0.668
2016-03-08,ICRA,EQ,3605.85,3674.0,3674.0,3575.05,3575.1,3595.6,3602.45,743,267662335000.0,213,490,0.6595000000000001
2016-03-09,ICRA,EQ,3595.6,3550.0,3639.95,3550.0,3580.0,3621.4,3598.41,492,177041905000.0,215,283,0.5752
2016-03-10,ICRA,EQ,3621.4,3638.0,3639.0,3561.05,3625.9,3621.95,3606.79,864,311626275000.0,210,549,0.6354
2016-03-11,ICRA,EQ,3621.95,3667.8,3690.0,3565.0,3612.0,3618.35,3602.01,1061,382173730000.0,242,666,0.6277
2016-03-14,ICRA,EQ,3618.35,3585.0,3790.0,3585.0,3680.0,3674.9,3674.8,970,356455580000.0,217,814,0.8392000000000001
2016-03-15,ICRA,EQ,3674.9,3612.2,3666.0,3565.25,3589.0,3583.75,3600.34,1292,465164075000.0,291,671,0.5193
2016-03-16,ICRA,EQ,3583.75,3595.0,3629.95,3472.0,3522.2,3540.55,3537.69,2505,886192425000.0,607,1079,0.4307
2016-03-17,ICRA,EQ,3540.55,3620.0,3620.0,3475.5,3503.1,3516.95,3503.74,3221,1128553655000.0,453,2594,0.8053
2016-03-18,ICRA,EQ,3516.95,3554.5,3588.9,3480.0,3550.0,3559.1,3529.62,1232,434848690000.00006,239,811,0.6583
2016-03-21,ICRA,EQ,3559.1,3524.0,3570.0,3490.0,3500.0,3502.65,3504.11,4402,1542508940000.0,540,3189,0.7244
2016-03-22,ICRA,EQ,3502.65,3559.0,3559.0,3470.0,3495.1,3507.9,3505.54,1247,437140600000.0,174,816,0.6544
2016-03-23,ICRA,EQ,3507.9,3521.0,3746.0,3482.0,3703.9,3694.2,3624.44,3435,1244996210000.0,639,2309,0.6722
2016-03-28,ICRA,EQ,3694.2,3641.2,3849.6,3640.5,3740.0,3774.7,3745.31,1289,482769900000.0,333,688,0.5337
2016-03-29,ICRA,EQ,3774.7,3809.95,3850.0,3725.1,3806.0,3804.05,3805.06,960,365285765000.0,298,524,0.5458
2016-03-30,ICRA,EQ,3804.05,3750.0,3900.0,3750.0,3821.4,3860.9,3827.43,1144,437857980000.0,209,749,0.6547
2016-03-31,ICRA,EQ,3860.9,3821.05,3945.0,3801.0,3888.0,3894.55,3893.58,3752,1460871045000.0,1017,3104,0.8273
2016-04-01,ICRA,EQ,3894.55,3888.0,3925.0,3832.2,3925.0,3883.5,3876.13,419,162409890000.0,116,300,0.716
2016-04-04,ICRA,EQ,3883.5,3974.95,3975.0,3825.0,3860.0,3883.35,3866.71,1479,571886120000.0,293,1193,0.8066
2016-04-05,ICRA,EQ,3883.35,3840.95,3880.0,3825.05,3850.0,3852.5,3847.93,803,308988595000.0,140,580,0.7223
