Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,IDFC,EQ,48.25,48.15,48.9,47.9,48.35,48.4,48.42,1844288,8929585395000.0,5423,572413,0.3104
2016-01-04,IDFC,EQ,48.4,48.4,48.5,47.3,47.75,47.8,47.87,3075570,14722105385000.0,10008,1083975,0.35240000000000005
2016-01-05,IDFC,EQ,47.8,48.2,48.7,47.6,48.55,48.5,48.15,1751197,8432148590000.001,10717,768883,0.4391
2016-01-06,IDFC,EQ,48.5,48.7,48.75,47.5,47.8,47.85,48.11,2620950,12610031475000.0,8077,943561,0.36
2016-01-07,IDFC,EQ,47.85,47.6,47.65,46.4,46.65,46.7,46.73,3874003,18102062120000.0,9885,1954252,0.5045000000000001
2016-01-08,IDFC,EQ,46.7,46.8,47.55,46.1,46.7,46.6,46.68,3738794,17453479030000.002,9023,1844438,0.4933
2016-01-11,IDFC,EQ,46.6,46.2,46.6,45.5,46.1,45.9,45.98,2358589,10845487710000.0,7668,867650,0.3679
2016-01-12,IDFC,EQ,45.9,45.9,46.25,44.6,45.35,45.1,45.23,2777293,12562047590000.0,6938,904763,0.3258
2016-01-13,IDFC,EQ,45.1,45.4,45.7,42.1,44.8,44.75,44.16,6799853,30026454105000.0,16691,2222540,0.32689999999999997
2016-01-14,IDFC,EQ,44.75,43.1,44.95,42.9,43.55,43.2,44.01,6038053,26576059555000.0,10707,3357359,0.556
2016-01-15,IDFC,EQ,43.2,43.65,43.85,40.55,41.15,41.0,41.85,5983772,25040799890000.0,13119,3633127,0.6072
2016-01-18,IDFC,EQ,41.0,41.0,41.5,39.35,39.55,39.6,39.87,3506294,13979666319999.998,13189,1637744,0.4671
2016-01-19,IDFC,EQ,39.6,39.9,41.35,38.35,41.0,40.95,39.85,8022456,31967324270000.0,12469,3864449,0.4817
2016-01-20,IDFC,EQ,40.95,40.75,40.9,39.2,40.65,40.25,39.81,2942792,11715909980000.0,7682,1129481,0.38380000000000003
2016-01-21,IDFC,EQ,40.25,41.1,41.4,39.85,41.05,41.0,40.69,3873033,15760533100000.0,7498,1798692,0.4644
2016-01-22,IDFC,EQ,41.0,41.5,42.1,41.0,41.8,41.75,41.76,3437118,14353913219999.998,7689,2125438,0.6184000000000001
2016-01-25,IDFC,EQ,41.75,42.2,42.3,41.0,41.25,41.3,41.43,2768061,11469358205000.0,8242,1659742,0.5996
2016-01-27,IDFC,EQ,41.3,41.55,41.75,40.8,41.15,41.15,41.21,3156015,13004891105000.0,9222,1548389,0.49060000000000004
2016-01-28,IDFC,EQ,41.15,41.65,41.65,40.2,40.85,40.75,40.68,4579819,18630561375000.0,10242,2305241,0.5033
2016-01-29,IDFC,EQ,40.75,40.85,41.05,39.75,40.5,40.5,40.43,4458140,18024329105000.0,10059,2525870,0.5666
2016-02-01,IDFC,EQ,40.5,40.55,41.2,38.95,40.4,40.3,39.87,5656140,22552289380000.0,15433,2190954,0.3874
2016-02-02,IDFC,EQ,40.3,40.6,41.7,40.3,40.7,40.8,40.97,6525963,26736839590000.0,10786,3390767,0.5196000000000001
2016-02-03,IDFC,EQ,40.8,40.2,41.65,39.3,40.25,40.4,40.59,5100623,20705292220000.0,14624,1975078,0.3872
2016-02-04,IDFC,EQ,40.4,40.8,42.1,40.05,41.1,41.15,41.13,4822849,19836845200000.0,9324,2225537,0.4615
2016-02-05,IDFC,EQ,41.15,41.2,43.95,40.95,43.65,43.75,42.57,7295322,31055452235000.004,17391,3479578,0.47700000000000004
2016-02-08,IDFC,EQ,43.75,43.8,44.6,42.6,43.25,43.05,43.54,5110617,22253920675000.0,11987,2950809,0.5774
2016-02-09,IDFC,EQ,43.05,42.5,43.6,42.15,42.6,42.55,42.94,4804999,20631712660000.0,13255,2621537,0.5456000000000001
2016-02-10,IDFC,EQ,42.55,42.3,43.8,40.65,43.2,43.2,42.27,3590534,15178254555000.002,10705,1028984,0.2866
2016-02-11,IDFC,EQ,43.2,42.75,43.15,39.0,40.0,39.65,40.56,6626872,26875962005000.0,17882,1969246,0.2972
2016-02-12,IDFC,EQ,39.65,39.9,39.9,34.8,37.8,37.9,37.17,11347675,42180717945000.0,28155,3965832,0.34950000000000003
2016-02-15,IDFC,EQ,37.9,38.45,42.25,38.2,41.0,41.25,40.8,5029499,20518840655000.0,15394,1806996,0.3593
2016-02-16,IDFC,EQ,41.25,41.45,42.3,39.0,39.6,39.5,40.5,4934792,19986691045000.0,16247,1888789,0.38270000000000004
2016-02-17,IDFC,EQ,39.5,39.9,40.4,38.2,40.15,40.1,39.53,4083776,16144670919999.998,12169,1711962,0.4192
2016-02-18,IDFC,EQ,40.1,40.7,40.95,39.35,40.35,40.55,40.19,3708590,14905844950000.0,9999,1570969,0.4236
2016-02-19,IDFC,EQ,40.55,40.45,41.4,40.05,41.0,41.0,40.93,2082273,8522478725000.0,6076,685054,0.329
2016-02-22,IDFC,EQ,41.0,41.4,41.45,40.3,40.7,40.65,40.78,1249342,5094680725000.0,4520,491367,0.3933
2016-02-23,IDFC,EQ,40.65,40.8,40.8,38.85,38.9,39.1,39.56,2397807,9486591950000.0,6997,1073638,0.44780000000000003
2016-02-24,IDFC,EQ,39.1,38.7,39.6,38.3,38.75,38.75,39.09,1414012,5527453365000.0,8707,553594,0.3915
2016-02-25,IDFC,EQ,38.75,38.95,39.2,36.95,37.05,37.15,37.72,3036890,11456244120000.0,14740,1582203,0.521
2016-02-26,IDFC,EQ,37.15,37.55,37.85,36.95,37.45,37.4,37.4,2243392,8391292430000.0,11462,982946,0.43820000000000003
2016-02-29,IDFC,EQ,37.4,37.75,37.95,36.25,37.7,37.5,37.29,2805174,10459842930000.0,8815,741306,0.2643
2016-03-01,IDFC,EQ,37.5,37.65,38.65,37.3,38.45,38.4,37.99,3182523,12090493420000.0,9071,1029364,0.3234
2016-03-02,IDFC,EQ,38.4,38.95,40.45,38.9,40.0,40.0,39.86,2884702,11499048730000.0,8029,1117740,0.3875
2016-03-03,IDFC,EQ,40.0,40.5,40.6,39.5,39.95,39.95,39.84,2134919,8504944980000.0,7985,851395,0.39880000000000004
2016-03-04,IDFC,EQ,39.95,40.05,40.95,39.5,40.7,40.65,40.51,2949591,11947512535000.0,9831,1115471,0.37820000000000004
