Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,INOXLEISUR,EQ,238.8,239.45,241.95,237.05,239.8,239.4,240.04,48882,1173375035000.0,2013,18612,0.38079999999999997
2016-01-04,INOXLEISUR,EQ,239.4,237.25,240.6,232.2,235.0,235.9,236.57,76005,1798050325000.0,3659,35312,0.4646
2016-01-05,INOXLEISUR,EQ,235.9,236.15,240.0,236.0,237.45,236.6,237.45,41678,989630025000.0,1660,15705,0.3768
2016-01-06,INOXLEISUR,EQ,236.6,237.5,239.95,234.0,234.95,235.15,237.58,49140,1167456540000.0,1321,13839,0.2816
2016-01-07,INOXLEISUR,EQ,235.15,231.85,235.7,231.0,232.05,233.3,233.55,102499,2393864345000.0,7383,64737,0.6315999999999999
2016-01-08,INOXLEISUR,EQ,233.3,237.2,239.4,232.25,232.4,233.55,235.0,85736,2014824010000.0002,3735,38290,0.4466
2016-01-11,INOXLEISUR,EQ,233.55,232.55,234.9,229.5,231.75,231.55,231.78,39671,919510400000.0,1252,19205,0.4841
2016-01-12,INOXLEISUR,EQ,231.55,233.3,233.9,224.0,226.0,224.65,227.89,71384,1626796695000.0,5936,40767,0.5711
2016-01-13,INOXLEISUR,EQ,224.65,226.05,229.9,214.65,220.15,220.05,221.06,117334,2593789120000.0,6343,73746,0.6285000000000001
2016-01-14,INOXLEISUR,EQ,220.05,218.0,220.5,210.95,211.5,211.55,214.2,93635,2005676895000.0,6056,49621,0.5299
2016-01-15,INOXLEISUR,EQ,211.55,212.6,217.45,206.0,208.95,209.15,213.28,121433,2589885260000.0,5281,70068,0.5770000000000001
2016-01-18,INOXLEISUR,EQ,209.15,207.8,207.8,192.0,198.0,198.1,196.84,177404,3492053410000.0,9149,111079,0.6261
2016-01-19,INOXLEISUR,EQ,198.1,197.05,201.9,187.25,190.3,189.8,194.41,98549,1915939755000.0,2121,64218,0.6516
2016-01-20,INOXLEISUR,EQ,189.8,188.9,192.0,183.0,190.0,189.45,186.78,79368,1482456935000.0,3278,43009,0.5418999999999999
2016-01-21,INOXLEISUR,EQ,189.45,191.45,203.0,191.45,194.95,194.55,196.87,155841,3068000475000.0,4784,41463,0.2661
2016-01-22,INOXLEISUR,EQ,194.55,197.85,207.15,197.85,202.0,201.9,201.7,68196,1375509130000.0,1647,29964,0.4394
2016-01-25,INOXLEISUR,EQ,201.9,202.8,217.75,202.8,215.7,215.9,212.57,145196,3086431290000.0,7042,58997,0.40630000000000005
2016-01-27,INOXLEISUR,EQ,215.9,217.0,218.95,212.55,214.7,213.8,215.28,45502,979584105000.0001,1066,30084,0.6612
2016-01-28,INOXLEISUR,EQ,213.8,214.1,219.5,212.8,218.0,218.4,217.57,68647,1493528340000.0,1204,27580,0.4018
2016-01-29,INOXLEISUR,EQ,218.4,217.0,221.9,214.9,217.95,217.2,218.56,59328,1296644195000.0,1693,32270,0.5439
2016-02-01,INOXLEISUR,EQ,217.2,217.85,222.1,217.5,219.55,219.45,219.75,45347,996503000000.0,1114,22686,0.5003
2016-02-02,INOXLEISUR,EQ,219.45,220.6,224.9,212.55,215.05,215.0,216.06,356126,7694430515000.001,1515,311879,0.8758
2016-02-03,INOXLEISUR,EQ,215.0,212.05,218.1,212.0,214.5,215.4,213.76,175794,3757800400000.0,2229,141170,0.8029999999999999
2016-02-04,INOXLEISUR,EQ,215.4,216.5,217.8,210.05,211.65,211.65,213.9,74910,1602310575000.0,1621,37636,0.5024000000000001
2016-02-05,INOXLEISUR,EQ,211.65,212.0,215.7,205.6,206.15,206.7,208.89,106378,2222102665000.0,2146,53617,0.504
2016-02-08,INOXLEISUR,EQ,206.7,207.35,208.8,203.0,203.8,204.0,205.24,55367,1136354345000.0,1873,24781,0.4476
2016-02-09,INOXLEISUR,EQ,204.0,203.0,203.0,195.85,196.1,197.15,199.24,45205,900665455000.0001,1324,19522,0.4319
2016-02-10,INOXLEISUR,EQ,197.15,194.0,197.5,190.5,191.65,191.8,194.03,50574,981284930000.0001,1513,22165,0.43829999999999997
2016-02-11,INOXLEISUR,EQ,191.8,192.45,192.45,175.4,183.5,182.5,182.62,96982,1771105745000.0,2856,53900,0.5558
2016-02-12,INOXLEISUR,EQ,182.5,176.2,183.0,170.75,180.0,177.25,176.61,88120,1556294630000.0,1670,53709,0.6095
2016-02-15,INOXLEISUR,EQ,177.25,182.7,188.7,182.7,184.75,184.95,185.84,43259,803937530000.0,1071,21640,0.5002000000000001
2016-02-16,INOXLEISUR,EQ,184.95,190.0,190.0,185.0,188.7,188.1,187.62,43979,825129935000.0,774,28607,0.6505
2016-02-17,INOXLEISUR,EQ,188.1,190.9,194.7,187.2,192.3,192.3,191.19,75675,1446843930000.0,2166,26924,0.3558
2016-02-18,INOXLEISUR,EQ,192.3,192.0,202.0,192.0,202.0,200.55,198.8,102360,2034913755000.0,1843,49917,0.4877
2016-02-19,INOXLEISUR,EQ,200.55,200.5,204.9,198.95,199.35,200.1,202.34,46417,939211769999.9999,1055,17134,0.3691
2016-02-22,INOXLEISUR,EQ,200.1,201.0,209.9,198.0,204.4,205.5,205.17,53216,1091858230000.0001,2084,20614,0.3874
2016-02-23,INOXLEISUR,EQ,205.5,203.85,204.05,195.7,196.2,197.9,200.46,33355,668632960000.0,1199,17872,0.5357999999999999
2016-02-24,INOXLEISUR,EQ,197.9,195.0,203.75,191.2,200.3,199.15,198.42,44357,880115860000.0,1100,26047,0.5872
2016-02-25,INOXLEISUR,EQ,199.15,196.0,203.4,192.75,193.9,195.05,199.39,69131,1378420295000.0,1887,46775,0.6766
2016-02-26,INOXLEISUR,EQ,195.05,192.15,199.45,188.0,190.45,191.2,194.52,50596,984216594999.9999,1887,19721,0.3898
2016-02-29,INOXLEISUR,EQ,191.2,196.0,196.0,183.5,184.2,185.2,186.89,46868,875937180000.0001,1363,33703,0.7191
2016-03-01,INOXLEISUR,EQ,185.2,186.0,193.2,186.0,187.0,187.45,189.59,65962,1250557815000.0,1790,25363,0.38450000000000006
2016-03-02,INOXLEISUR,EQ,187.45,189.9,197.5,188.2,194.75,195.35,194.11,65485,1271139265000.0,2192,27932,0.4265
2016-03-03,INOXLEISUR,EQ,195.35,196.0,209.4,194.0,206.9,208.0,200.29,211102,4228233650000.0,5001,129261,0.6123
2016-03-04,INOXLEISUR,EQ,208.0,210.4,214.0,207.75,209.2,210.35,210.6,137547,2896722550000.0,3040,74755,0.5435
2016-03-08,INOXLEISUR,EQ,210.35,209.95,214.0,209.55,211.25,210.4,211.1,94462,1994074850000.0,2329,65265,0.6909000000000001
2016-03-09,INOXLEISUR,EQ,210.4,210.0,212.55,204.0,210.25,209.5,209.66,88497,1855458425000.0,3149,45297,0.5118
2016-03-10,INOXLEISUR,EQ,209.5,209.05,211.6,204.0,206.0,205.45,207.35,54176,1123313145000.0,1744,26432,0.4879
2016-03-11,INOXLEISUR,EQ,205.45,204.8,209.0,200.0,200.6,200.5,203.99,71272,1453899135000.0,1947,43401,0.6089
2016-03-14,INOXLEISUR,EQ,200.5,202.9,206.7,202.0,202.15,202.25,203.81,44094,898693285000.0,1177,15246,0.3458
2016-03-15,INOXLEISUR,EQ,202.25,203.4,208.05,203.0,204.35,204.65,205.61,52130,1071824460000.0,1545,16186,0.3105
2016-03-16,INOXLEISUR,EQ,204.65,205.2,205.2,199.0,202.0,200.4,201.09,28341,569920770000.0,1101,10831,0.3822
2016-03-17,INOXLEISUR,EQ,200.4,201.6,205.0,196.8,197.6,198.25,201.14,27589,554927760000.0,922,12988,0.4708
2016-03-18,INOXLEISUR,EQ,198.25,199.2,200.0,193.3,195.5,195.5,196.06,40385,791770025000.0,1165,26671,0.6604000000000001
2016-03-21,INOXLEISUR,EQ,195.5,195.8,199.0,193.0,196.0,195.95,196.39,47779,938312850000.0,1383,29845,0.6246
2016-03-22,INOXLEISUR,EQ,195.95,195.15,204.1,195.15,197.25,199.15,199.33,68588,1367174345000.0,2705,26713,0.3895
2016-03-23,INOXLEISUR,EQ,199.15,198.0,198.5,194.6,194.6,194.75,195.48,42247,825823670000.0,723,33018,0.7815000000000001
2016-03-28,INOXLEISUR,EQ,194.75,193.2,199.5,193.2,193.75,193.95,195.36,40146,784290885000.0,1209,27832,0.6933
2016-03-29,INOXLEISUR,EQ,193.95,193.9,196.5,189.6,190.5,190.8,193.08,52893,1021250444999.9999,1831,24334,0.4601
2016-03-30,INOXLEISUR,EQ,190.8,191.2,195.7,189.05,189.8,189.65,191.25,102397,1958337989999.9998,2190,60231,0.5882000000000001
