Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,ITDCEM,EQ,109.4,111.0,114.9,108.05,112.7,112.75,112.24,142171,1595707885000.0,1792,63808,0.44880000000000003
2016-01-04,ITDCEM,EQ,112.75,112.0,113.0,106.05,108.0,107.5,108.67,121151,1316604210000.0,1500,81664,0.6741
2016-01-05,ITDCEM,EQ,107.5,108.9,112.0,106.0,110.0,110.25,108.75,189872,2064806575000.0,1599,114136,0.6011
2016-01-06,ITDCEM,EQ,110.25,111.9,111.9,106.5,108.4,108.05,108.41,95681,1037284850000.0,854,75508,0.7892
2016-01-07,ITDCEM,EQ,108.05,109.15,111.0,100.1,101.2,101.25,104.83,342474,3590101215000.0,4156,166750,0.4869
2016-01-08,ITDCEM,EQ,101.25,103.55,104.7,97.1,98.25,99.3,101.23,157322,1592623600000.0,1152,131647,0.8368000000000001
2016-01-11,ITDCEM,EQ,99.3,98.4,100.6,96.6,97.5,97.7,98.61,106271,1047963185000.0,1298,57025,0.5366
2016-01-12,ITDCEM,EQ,97.7,98.5,100.7,97.0,100.7,99.9,99.21,95871,951093685000.0,1668,52759,0.5503
2016-01-13,ITDCEM,EQ,99.9,99.2,101.65,95.75,99.2,100.05,98.63,144557,1425775760000.0,3659,97018,0.6711
2016-01-14,ITDCEM,EQ,100.05,97.0,105.0,95.0,104.0,100.2,96.88,1077660,10440198490000.0,4459,996933,0.9251
2016-01-15,ITDCEM,EQ,100.2,102.05,107.9,100.75,105.0,103.25,104.51,502130,5247938565000.0,4377,307787,0.613
2016-01-18,ITDCEM,EQ,103.25,103.85,107.0,97.5,97.5,99.9,101.79,222176,2261548685000.0,3506,112816,0.5078
2016-01-19,ITDCEM,EQ,99.9,99.1,102.0,97.75,99.1,99.6,100.42,87974,883405005000.0001,1203,41633,0.4732
2016-01-20,ITDCEM,EQ,99.6,99.0,100.9,98.0,98.6,99.5,99.03,126480,1252505965000.0,2448,79481,0.6284000000000001
2016-01-21,ITDCEM,EQ,99.5,100.0,101.0,96.0,98.7,98.3,99.38,61555,611761825000.0,832,28878,0.46909999999999996
2016-01-22,ITDCEM,EQ,98.3,100.05,102.0,96.55,99.5,99.15,99.35,76952,764510485000.0,935,41554,0.54
2016-01-25,ITDCEM,EQ,99.15,101.5,105.0,99.35,104.0,103.75,102.2,154633,1580314070000.0,1712,105071,0.6795
2016-01-27,ITDCEM,EQ,103.75,104.0,106.55,104.0,104.3,104.75,105.49,86342,910787310000.0,1535,45211,0.5236
2016-01-28,ITDCEM,EQ,104.75,104.1,104.55,102.1,102.9,103.1,103.43,24864,257176010000.0,385,16121,0.6484000000000001
2016-01-29,ITDCEM,EQ,103.1,102.0,105.0,98.7,99.95,99.85,102.04,47229,481928480000.0,826,31934,0.6762
2016-02-01,ITDCEM,EQ,99.85,103.0,103.0,100.0,100.35,100.45,100.56,37611,378217960000.0,445,27388,0.7282
2016-02-02,ITDCEM,EQ,100.45,100.0,101.85,100.0,100.0,100.15,100.69,51619,519763490000.00006,573,38944,0.7545000000000001
2016-02-03,ITDCEM,EQ,100.15,99.0,100.1,97.0,98.4,97.85,98.23,40612,398927080000.0,658,32555,0.8016
2016-02-04,ITDCEM,EQ,97.85,99.15,99.3,95.5,96.55,96.55,97.43,46989,457835845000.0,1872,29593,0.6298
2016-02-05,ITDCEM,EQ,96.55,97.3,101.0,97.0,99.95,100.15,99.09,32156,318639790000.0,482,22630,0.7038
2016-02-08,ITDCEM,EQ,100.15,99.9,102.0,98.5,99.4,99.3,99.71,47547,474105790000.00006,1142,34586,0.7273999999999999
2016-02-09,ITDCEM,EQ,99.3,97.95,101.0,96.0,99.0,99.35,97.74,60190,588326150000.0,1261,34346,0.5706
2016-02-10,ITDCEM,EQ,99.35,98.55,99.4,96.65,98.9,98.45,97.84,34392,336478235000.0,879,20193,0.5871000000000001
2016-02-11,ITDCEM,EQ,98.45,100.45,100.45,90.0,91.75,92.0,94.02,129808,1220396630000.0,1530,103518,0.7975
2016-02-12,ITDCEM,EQ,92.0,90.35,94.0,83.1,91.1,90.4,87.91,83455,733659535000.0,909,45630,0.5468000000000001
2016-02-15,ITDCEM,EQ,90.4,96.0,97.0,91.35,95.9,94.65,95.0,37361,354915750000.0,756,26416,0.7070000000000001
2016-02-16,ITDCEM,EQ,94.65,95.4,98.05,94.0,94.8,95.65,96.61,48235,465988420000.0,966,28286,0.5864
2016-02-17,ITDCEM,EQ,95.65,95.05,97.5,92.6,97.4,96.75,95.82,41218,394942365000.0,715,29840,0.7240000000000001
2016-02-18,ITDCEM,EQ,96.75,98.7,99.95,92.8,93.0,94.05,95.64,39010,373101810000.0,880,24582,0.6301
2016-02-19,ITDCEM,EQ,94.05,94.75,94.8,91.1,92.0,92.0,92.42,61828,571440680000.0,4006,50833,0.8222
2016-02-22,ITDCEM,EQ,92.0,93.65,96.0,91.7,93.4,93.1,93.45,54076,505345630000.0,706,37307,0.6899
2016-02-23,ITDCEM,EQ,93.1,92.25,94.4,91.25,91.95,91.9,92.34,79618,735224610000.0,1166,63986,0.8037000000000001
2016-02-24,ITDCEM,EQ,91.9,91.05,93.0,89.0,90.0,89.8,90.7,70274,637410115000.0,902,46753,0.6653
2016-02-25,ITDCEM,EQ,89.8,95.5,96.5,84.9,87.3,88.3,92.59,587218,5436991820000.0,12484,234628,0.3996
2016-02-26,ITDCEM,EQ,88.3,88.6,90.0,85.25,89.0,88.1,87.76,302885,2658260015000.0,2963,236199,0.7798
2016-02-29,ITDCEM,EQ,88.1,88.1,90.9,86.3,90.1,90.0,89.09,125025,1113844125000.0,1443,75856,0.6067
2016-03-01,ITDCEM,EQ,90.0,89.3,95.0,89.3,94.7,94.35,92.44,114989,1062985055000.0001,1722,86775,0.7545999999999999
2016-03-02,ITDCEM,EQ,94.35,96.0,98.35,94.15,97.35,97.4,96.67,124579,1204315055000.0,1411,62120,0.4986
2016-03-03,ITDCEM,EQ,97.4,97.5,101.75,96.5,100.2,100.15,99.94,156041,1559451015000.0,3702,63360,0.406
2016-03-04,ITDCEM,EQ,100.15,100.45,102.4,97.0,99.2,99.45,100.31,72273,724944155000.0,1025,39465,0.5461
2016-03-08,ITDCEM,EQ,99.45,103.5,105.4,100.1,102.6,103.95,102.62,306636,3146628875000.0,3093,75262,0.2454
2016-03-09,ITDCEM,EQ,103.95,102.8,104.8,100.25,103.1,103.35,102.38,107347,1099034610000.0,6322,50549,0.47090000000000004
2016-03-10,ITDCEM,EQ,103.35,104.75,108.8,103.5,105.9,105.55,106.45,211178,2247976225000.0,2787,76090,0.3603
2016-03-11,ITDCEM,EQ,105.55,106.6,108.8,104.5,106.95,106.9,107.06,129590,1387398255000.0,1684,61942,0.478
2016-03-14,ITDCEM,EQ,106.9,108.35,108.55,106.0,106.55,106.55,107.43,74834,803920410000.0,724,56941,0.7609
2016-03-15,ITDCEM,EQ,106.55,106.6,106.9,101.6,101.7,102.15,103.58,51451,532916534999.99994,1515,31025,0.603
2016-03-16,ITDCEM,EQ,102.15,103.0,104.2,101.25,101.75,102.0,102.34,69240,708584595000.0,822,47544,0.6867
2016-03-17,ITDCEM,EQ,102.0,103.05,104.7,101.25,101.5,101.3,101.97,56366,574767820000.0,576,41672,0.7393000000000001
2016-03-18,ITDCEM,EQ,101.3,102.05,105.0,101.25,103.4,103.45,103.51,66948,692967210000.0,994,36746,0.5489
2016-03-21,ITDCEM,EQ,103.45,105.1,115.0,105.1,110.3,109.95,111.93,838411,9384184750000.0,8849,346654,0.41350000000000003
2016-03-22,ITDCEM,EQ,109.95,111.95,113.0,107.25,109.1,109.65,110.84,283299,3140086630000.0,4274,130324,0.46
2016-03-23,ITDCEM,EQ,109.65,108.55,112.5,107.6,111.3,111.25,110.51,178673,1974428995000.0,2114,85336,0.47759999999999997
2016-03-28,ITDCEM,EQ,111.25,111.25,112.6,105.5,107.0,106.75,109.0,98647,1075284555000.0001,1364,63390,0.6426000000000001
2016-03-29,ITDCEM,EQ,106.75,106.15,109.0,102.7,103.4,104.55,106.16,95657,1015462250000.0,1278,50094,0.5236999999999999
