Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,ITI,EQ,30.6,30.9,31.9,30.85,31.7,31.5,31.31,254817,797892185000.0,1065,121443,0.47659999999999997
2016-01-04,ITI,EQ,31.5,31.5,31.75,30.2,31.05,31.1,31.14,174506,543450020000.0,860,56743,0.32520000000000004
2016-01-05,ITI,EQ,31.1,31.5,32.15,30.85,31.25,31.5,31.54,241147,760485670000.0,1228,75281,0.3122
2016-01-06,ITI,EQ,31.5,31.6,34.9,31.0,31.75,31.9,33.35,2503606,8348997230000.0,9212,414041,0.1654
2016-01-07,ITI,EQ,31.9,31.1,31.45,29.85,29.95,30.05,30.5,280891,856742765000.0,1359,150708,0.5365
2016-01-08,ITI,EQ,30.05,30.15,31.25,30.1,30.7,30.6,30.51,184418,562657285000.0,795,59684,0.3236
2016-01-11,ITI,EQ,30.6,30.05,31.3,30.05,30.75,30.7,30.72,187094,574720825000.0,941,54362,0.29059999999999997
2016-01-12,ITI,EQ,30.7,31.2,31.25,30.05,30.1,30.15,30.43,131221,399287865000.0,629,52690,0.40149999999999997
2016-01-13,ITI,EQ,30.15,30.75,31.0,27.45,28.75,28.55,28.81,395245,1138780905000.0,1467,187168,0.47350000000000003
2016-01-14,ITI,EQ,28.55,28.45,28.7,27.35,27.75,27.8,28.08,112199,315030785000.0,727,54074,0.4819
2016-01-15,ITI,EQ,27.8,28.1,28.4,26.55,27.0,27.0,27.41,164434,450668190000.00006,738,83735,0.5092
2016-01-18,ITI,EQ,27.0,26.8,26.85,25.4,25.75,25.6,25.96,114439,297060880000.0,528,68967,0.6027
2016-01-19,ITI,EQ,25.6,25.4,26.4,25.2,26.15,25.85,25.87,84923,219680770000.00003,499,27538,0.3243
2016-01-20,ITI,EQ,25.85,25.9,25.9,24.8,25.05,25.0,25.13,98818,248328985000.0,454,63370,0.6413
2016-01-21,ITI,EQ,25.0,24.95,27.2,24.95,25.6,25.45,25.74,65357,168256680000.0,471,24728,0.37840000000000007
2016-01-22,ITI,EQ,25.45,26.05,26.8,25.85,26.05,26.15,26.23,78980,207127045000.0,631,34185,0.4328
2016-01-25,ITI,EQ,26.15,26.55,27.4,26.25,26.75,26.5,26.76,106322,284533535000.0,694,35209,0.3312
2016-01-27,ITI,EQ,26.5,26.85,27.15,26.35,26.5,26.5,26.67,51082,136235325000.0,367,22377,0.43810000000000004
2016-01-28,ITI,EQ,26.5,26.4,26.9,26.15,26.8,26.65,26.64,39862,106176560000.00002,235,21491,0.5391
2016-01-29,ITI,EQ,26.65,26.4,27.7,26.3,27.2,27.15,27.23,264538,720310485000.0,1253,61710,0.23329999999999998
2016-02-01,ITI,EQ,27.15,27.3,27.6,26.75,26.8,26.8,27.09,56457,152943995000.0,259,36593,0.6482
2016-02-02,ITI,EQ,26.8,27.1,27.35,25.55,25.85,25.85,26.38,124509,328463395000.0,649,77111,0.6193
2016-02-03,ITI,EQ,25.85,25.6,25.6,25.0,25.25,25.15,25.24,62625,158088640000.0,275,33479,0.5346000000000001
2016-02-04,ITI,EQ,25.15,25.0,25.8,25.0,25.4,25.25,25.41,69749,177237230000.0,365,29673,0.4254
2016-02-05,ITI,EQ,25.25,25.1,25.85,25.1,25.85,25.5,25.4,34123,86658055000.0,243,17212,0.5044
2016-02-08,ITI,EQ,25.5,25.75,26.45,25.4,26.15,25.8,25.86,79728,206155195000.0,491,33747,0.4233
2016-02-09,ITI,EQ,25.8,25.65,26.3,25.3,26.2,25.8,25.63,60006,153820945000.0,300,22073,0.3678
2016-02-10,ITI,EQ,25.8,25.95,30.4,25.05,27.0,27.15,27.03,389010,1051443310000.0,1437,74422,0.1913
2016-02-11,ITI,EQ,27.15,27.25,27.4,24.1,24.6,24.5,25.63,264830,678758940000.0,1597,95057,0.3589
2016-02-12,ITI,EQ,24.5,25.0,25.0,23.0,23.4,23.6,23.85,110833,264384379999.99997,695,53609,0.48369999999999996
2016-02-15,ITI,EQ,23.6,24.5,26.3,24.0,25.5,25.5,25.3,136510,345405655000.0,937,52841,0.3871
2016-02-16,ITI,EQ,25.5,25.7,26.0,24.8,24.85,25.0,25.32,89130,225670960000.0,636,35271,0.3957
2016-02-17,ITI,EQ,25.0,24.85,25.5,23.65,24.95,24.95,24.79,60199,149219435000.0,634,32372,0.5377000000000001
2016-02-18,ITI,EQ,24.95,25.4,25.7,24.5,24.55,24.65,24.9,54297,135183760000.00002,394,27720,0.5105
2016-02-19,ITI,EQ,24.65,25.5,26.8,25.05,26.2,26.0,26.13,537734,1405071025000.0,3272,154545,0.2874
2016-02-22,ITI,EQ,26.0,26.3,26.3,25.2,25.3,25.35,25.65,119221,305797865000.0,696,34920,0.2929
2016-02-23,ITI,EQ,25.35,25.6,25.9,24.8,25.4,25.25,25.2,242704,611559205000.0,1690,68859,0.2837
2016-02-24,ITI,EQ,25.25,25.0,25.3,23.6,23.75,23.75,24.1,267911,645751775000.0,1114,158671,0.5922999999999999
2016-02-25,ITI,EQ,23.75,24.0,24.1,23.25,23.45,23.5,23.69,75991,180051150000.0,516,39366,0.518
2016-02-26,ITI,EQ,23.5,24.0,24.25,23.35,23.75,23.6,23.64,174729,413060760000.0,1028,56234,0.32180000000000003
2016-02-29,ITI,EQ,23.6,23.4,24.1,22.75,23.35,23.35,23.59,224302,529075195000.0,930,86542,0.3858
2016-03-01,ITI,EQ,23.35,23.35,23.65,22.6,23.2,23.2,23.09,283755,655184395000.0,979,86921,0.3063
2016-03-02,ITI,EQ,23.2,23.55,24.0,23.25,23.75,23.55,23.75,192923,458133525000.0,747,94840,0.4916
2016-03-03,ITI,EQ,23.55,24.5,24.95,23.85,24.75,24.7,24.42,390125,952571115000.0,1989,88560,0.227
2016-03-04,ITI,EQ,24.7,25.8,27.2,25.5,25.8,25.9,26.33,969263,2552066400000.0,5171,212010,0.2187
2016-03-08,ITI,EQ,25.9,25.35,26.7,25.25,25.65,25.7,25.91,215373,558011475000.0,993,79966,0.3713
2016-03-09,ITI,EQ,25.7,25.5,25.95,25.3,25.35,25.4,25.53,105334,268932615000.0,545,36097,0.34270000000000006
2016-03-10,ITI,EQ,25.4,25.8,25.8,24.6,24.75,24.75,25.19,101273,255099275000.0,459,68292,0.6743000000000001
2016-03-11,ITI,EQ,24.75,24.55,25.15,24.15,24.15,24.2,24.59,93526,229947070000.00003,555,51433,0.5499
2016-03-14,ITI,EQ,24.2,24.75,24.75,23.6,23.65,23.7,24.12,98603,237862620000.00003,553,64792,0.6570999999999999
2016-03-15,ITI,EQ,23.7,23.6,23.8,23.15,23.4,23.3,23.47,71051,166788875000.0,445,40232,0.5662
2016-03-16,ITI,EQ,23.3,23.3,23.75,23.0,23.4,23.35,23.3,77682,181021810000.0,421,38376,0.494
2016-03-17,ITI,EQ,23.35,23.35,25.35,23.2,25.0,24.8,24.55,306840,753350760000.0,2092,113413,0.36960000000000004
2016-03-18,ITI,EQ,24.8,25.45,26.9,24.25,24.75,24.95,25.58,802499,2052410095000.0,3435,186381,0.2323
2016-03-21,ITI,EQ,24.95,25.15,25.2,24.1,24.7,24.85,24.69,242535,598800440000.0,1243,50209,0.207
2016-03-22,ITI,EQ,24.85,25.25,25.25,24.4,24.85,24.65,24.66,86417,213115029999.99997,504,34064,0.39420000000000005
2016-03-23,ITI,EQ,24.65,24.9,25.25,24.55,24.7,24.65,24.8,112572,279215210000.0,745,34901,0.31
2016-03-28,ITI,EQ,24.65,25.1,25.1,23.3,23.65,23.7,24.17,92832,224331935000.0,568,57086,0.6149
2016-03-29,ITI,EQ,23.7,23.75,24.15,23.5,23.55,23.6,23.68,77839,184295930000.0,553,45116,0.5796
2016-03-30,ITI,EQ,23.6,23.75,24.5,23.75,24.05,24.1,24.13,97280,234784635000.0,495,51131,0.5256000000000001
2016-03-31,ITI,EQ,24.1,24.25,24.6,23.8,24.15,24.1,24.26,110606,268338715000.0,521,48677,0.4401
2016-04-01,ITI,EQ,24.1,24.0,24.6,24.0,24.35,24.3,24.28,56469,137079260000.00002,348,33448,0.5922999999999999
