Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,JSL,EQ,28.75,28.85,28.95,28.45,28.5,28.5,28.65,170465,488329765000.00006,692,101042,0.5927
2016-01-04,JSL,EQ,28.5,28.9,28.9,27.9,28.3,28.05,28.34,161268,456973365000.00006,724,85303,0.529
2016-01-05,JSL,EQ,28.05,28.2,29.5,27.8,28.55,28.55,28.63,393902,1127732215000.0,1434,161854,0.41090000000000004
2016-01-06,JSL,EQ,28.55,28.9,29.1,27.95,28.0,28.15,28.59,230994,660391970000.0,1045,103914,0.4499
2016-01-07,JSL,EQ,28.15,28.1,28.1,26.9,27.0,27.0,27.28,233851,637880905000.0,1015,105698,0.452
2016-01-08,JSL,EQ,27.0,27.0,27.5,26.95,27.05,27.15,27.25,102701,279899120000.0,444,53624,0.5221
2016-01-11,JSL,EQ,27.15,27.05,27.4,26.5,27.1,27.05,26.91,75096,202071230000.0,467,34806,0.4635
2016-01-12,JSL,EQ,27.05,27.4,27.5,26.5,26.7,26.6,26.92,63516,170989270000.0,329,39524,0.6223
2016-01-13,JSL,EQ,26.6,26.95,27.3,25.0,25.7,25.55,26.15,105597,276137525000.0,804,41933,0.3971
2016-01-14,JSL,EQ,25.55,24.8,25.2,23.85,25.1,24.95,24.56,173858,426975890000.00006,776,84264,0.4847
2016-01-15,JSL,EQ,24.95,24.9,26.8,24.0,24.4,24.1,24.8,139517,345974860000.0,879,74502,0.534
2016-01-18,JSL,EQ,24.1,24.05,24.45,22.35,22.5,22.65,23.03,211606,487229720000.0,1072,141519,0.6688
2016-01-19,JSL,EQ,22.65,23.25,23.5,22.7,23.1,23.0,23.03,106747,245844310000.0,531,61870,0.5796
2016-01-20,JSL,EQ,23.0,22.8,23.8,22.0,23.05,22.85,22.47,109596,246289554999.99997,552,67282,0.6139
2016-01-21,JSL,EQ,22.85,23.5,23.9,22.75,23.1,22.95,22.94,260713,598161515000.0,344,174127,0.6679
2016-01-22,JSL,EQ,22.95,23.7,25.6,22.7,25.0,24.85,24.44,261525,639198820000.0,1680,105756,0.4044
2016-01-25,JSL,EQ,24.85,24.8,26.9,23.95,24.15,24.15,25.09,385199,966642440000.0,1710,224210,0.5821000000000001
2016-01-27,JSL,EQ,24.15,24.75,25.0,24.1,24.45,24.5,24.59,87954,216296320000.00003,464,43724,0.49710000000000004
2016-01-28,JSL,EQ,24.5,24.55,25.45,22.65,22.8,22.8,23.5,468124,1100152940000.0,2376,242784,0.5186
2016-01-29,JSL,EQ,22.8,22.8,23.25,22.5,23.0,22.9,22.89,110962,253994165000.0,772,63506,0.5723
2016-02-01,JSL,EQ,22.9,22.95,23.35,22.6,22.95,22.7,22.88,111028,254085165000.0,388,82112,0.7395999999999999
2016-02-02,JSL,EQ,22.7,22.95,23.0,21.5,21.5,21.85,22.33,115025,256883540000.0,613,69265,0.6022
2016-02-03,JSL,EQ,21.85,21.35,22.05,20.5,20.9,20.85,21.08,355054,748425825000.0,1068,232679,0.6553
