Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,KEC,EQ,155.55,161.25,164.8,156.1,156.6,156.75,159.8,1469542,23482752050000.0,13551,514721,0.3503
2016-01-04,KEC,EQ,156.75,156.6,156.65,149.1,151.5,152.15,152.93,570610,8726215325000.0,5902,278666,0.48840000000000006
2016-01-05,KEC,EQ,152.15,152.45,153.9,150.1,150.85,151.4,152.17,257434,3917499829999.9995,2829,105435,0.4096
2016-01-06,KEC,EQ,151.4,151.75,153.5,150.5,151.0,150.85,152.03,275763,4192386620000.0005,6256,143680,0.521
2016-01-07,KEC,EQ,150.85,148.0,148.5,137.3,142.9,143.35,144.4,575035,8303453400000.0,9346,390163,0.6785
2016-01-08,KEC,EQ,143.35,144.0,146.0,142.15,142.15,142.85,143.95,542384,7807432515000.001,5020,339428,0.6258
2016-01-11,KEC,EQ,142.85,141.7,142.9,139.1,140.3,140.7,141.16,212395,2998138145000.0,2841,81815,0.38520000000000004
2016-01-12,KEC,EQ,140.7,141.2,143.9,137.45,137.85,138.2,140.31,310102,4351164535000.0,3869,162535,0.5241
2016-01-13,KEC,EQ,138.2,139.2,141.0,130.95,136.9,136.95,137.09,489600,6711696630000.0,5096,285762,0.5837
2016-01-14,KEC,EQ,136.95,133.0,135.5,131.0,132.55,132.65,133.55,252671,3374481195000.0005,3784,88405,0.34990000000000004
2016-01-15,KEC,EQ,132.65,133.05,138.5,125.1,127.0,130.1,134.41,590513,7937196120000.0,7614,304957,0.5164
2016-01-18,KEC,EQ,130.1,129.9,130.7,119.25,121.05,120.2,123.25,638007,7863553420000.0,7838,393254,0.6164000000000001
2016-01-19,KEC,EQ,120.2,120.2,125.95,115.7,120.7,118.25,121.1,532558,6449400780000.0,6001,278858,0.5236
2016-01-20,KEC,EQ,118.25,118.0,118.25,111.15,112.45,112.4,113.76,488198,5553551395000.0,3603,330755,0.6775
2016-01-21,KEC,EQ,112.4,114.5,118.45,112.5,117.5,117.65,115.75,507429,5873386885000.0,4002,280914,0.5536
2016-01-22,KEC,EQ,117.65,120.0,122.25,116.0,116.9,116.75,119.21,510089,6080844145000.0,4043,303375,0.5947
2016-01-25,KEC,EQ,116.75,117.55,122.4,117.55,119.0,119.0,120.11,387923,4659362745000.0,4848,171018,0.44090000000000007
2016-01-27,KEC,EQ,119.0,120.4,122.55,120.0,121.6,121.6,121.33,235607,2858511465000.0,2306,98190,0.4168
2016-01-28,KEC,EQ,121.6,121.8,124.5,120.6,124.35,123.2,122.71,269647,3308908065000.0,3362,119949,0.4448
2016-01-29,KEC,EQ,123.2,125.65,125.65,122.15,122.3,123.0,123.48,370875,4579473235000.0,2752,298259,0.8042
2016-02-01,KEC,EQ,123.0,125.35,126.95,123.5,126.0,125.0,125.4,310796,3897354495000.0005,2530,201468,0.6482
2016-02-02,KEC,EQ,125.0,125.9,126.35,119.5,121.35,120.65,122.52,283447,3472722785000.0,2811,160256,0.5654
2016-02-03,KEC,EQ,120.65,118.25,119.95,116.0,117.8,118.2,117.59,237398,2791492700000.0,2243,153087,0.6448999999999999
2016-02-04,KEC,EQ,118.2,118.0,119.9,110.05,112.4,112.75,114.84,1391406,15978363685000.0,15052,534267,0.384
2016-02-05,KEC,EQ,112.75,111.55,119.45,111.5,118.5,118.2,115.11,428597,4933436640000.0,6783,228006,0.532
2016-02-08,KEC,EQ,118.2,118.0,120.0,114.45,114.5,115.15,117.04,547458,6407676195000.0,3475,414967,0.758
2016-02-09,KEC,EQ,115.15,114.0,114.0,111.1,111.9,112.15,112.79,162520,1833112489999.9998,2018,98103,0.6036
