Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,L&TFH,EQ,65.15,65.35,66.05,65.15,65.95,65.85,65.73,730099,4798857045000.0,3443,324783,0.4448
2016-01-04,L&TFH,EQ,65.85,65.4,66.85,64.75,65.05,64.95,65.41,1656456,10834736910000.0,9595,681490,0.4114
2016-01-05,L&TFH,EQ,64.95,65.0,65.8,64.95,65.5,65.4,65.37,780072,5099075745000.0,3870,373684,0.479
2016-01-06,L&TFH,EQ,65.4,65.6,66.4,65.1,65.25,65.35,65.65,1335053,8764983280000.0,5541,550565,0.41240000000000004
2016-01-07,L&TFH,EQ,65.35,64.95,65.0,63.6,64.0,63.9,64.49,1755544,11321200770000.0,5501,1036714,0.5905
2016-01-08,L&TFH,EQ,63.9,64.65,64.8,63.75,64.05,64.2,64.33,830232,5340840490000.0,4391,354276,0.4267
2016-01-11,L&TFH,EQ,64.2,63.75,64.5,63.4,64.0,63.95,63.94,1129974,7225617190000.001,4811,435876,0.3857
2016-01-12,L&TFH,EQ,63.95,64.1,64.35,62.75,63.1,62.95,63.33,1217796,7712659534999.999,4588,594097,0.4878
2016-01-13,L&TFH,EQ,62.95,63.2,63.6,60.6,61.65,61.75,61.94,1431526,8867118725000.0,6019,507754,0.3547
2016-01-14,L&TFH,EQ,61.75,61.3,61.7,60.15,61.1,61.0,60.99,1023056,6239827590000.0,6477,395298,0.3864
2016-01-15,L&TFH,EQ,61.0,61.15,61.75,58.55,58.85,58.85,60.1,1410158,8475746025000.0,8713,639934,0.45380000000000004
2016-01-18,L&TFH,EQ,58.85,58.85,59.3,55.55,56.6,56.7,57.2,2424043,13864836690000.0,9783,1067851,0.4405
2016-01-19,L&TFH,EQ,56.7,57.05,58.8,56.65,58.4,58.25,57.91,1135153,6573680505000.0,5273,469905,0.414
2016-01-20,L&TFH,EQ,58.25,57.8,57.85,55.05,56.0,56.0,55.97,2703585,15131273205000.002,12656,1151773,0.42600000000000005
2016-01-21,L&TFH,EQ,56.0,56.3,57.15,55.5,56.5,56.35,56.26,1382678,7778451609999.999,5490,443448,0.3207
2016-01-22,L&TFH,EQ,56.35,57.8,59.0,56.0,58.25,58.15,57.9,4488105,25987208565000.0,19311,817897,0.1822
2016-01-25,L&TFH,EQ,58.15,58.6,59.5,57.85,58.5,58.45,58.57,2478347,14514682169999.998,8702,651558,0.2629
2016-01-27,L&TFH,EQ,58.45,58.6,59.4,57.9,59.0,58.9,58.72,3431943,20150872145000.0,9184,603979,0.17600000000000002
2016-01-28,L&TFH,EQ,58.9,58.95,59.7,57.55,57.9,58.4,58.71,3075371,18056171080000.0,6970,1257281,0.40880000000000005
2016-01-29,L&TFH,EQ,58.4,58.25,58.7,57.5,58.4,58.35,58.2,1108759,6452878100000.0,4506,334187,0.3014
2016-02-01,L&TFH,EQ,58.35,58.75,59.0,57.85,58.05,57.95,58.37,1314326,7671848365000.001,5732,339286,0.2581
2016-02-02,L&TFH,EQ,57.95,58.3,58.7,57.3,57.45,57.5,57.99,1360238,7888240250000.0,5146,667234,0.4905
2016-02-03,L&TFH,EQ,57.5,57.35,57.35,55.85,56.15,56.2,56.44,1226004,6919773355000.0,4848,350828,0.2862
2016-02-04,L&TFH,EQ,56.2,56.9,57.75,55.15,55.55,55.45,56.29,2008173,11303469140000.0,7038,441175,0.2197
2016-02-05,L&TFH,EQ,55.45,55.65,55.95,54.55,55.35,55.15,55.17,1696969,9362802500000.0,6814,760677,0.4483
2016-02-08,L&TFH,EQ,55.15,55.7,56.4,55.25,55.6,55.65,55.88,884988,4945433680000.0,4592,382331,0.43200000000000005
2016-02-09,L&TFH,EQ,55.65,55.4,55.8,54.9,55.45,55.55,55.44,876211,4857562990000.0,3671,446337,0.5094
2016-02-10,L&TFH,EQ,55.55,55.25,55.8,53.85,54.2,54.35,54.57,1381799,7540967200000.0,5656,453764,0.3284
2016-02-11,L&TFH,EQ,54.35,54.0,54.6,50.9,51.6,51.35,52.74,1998274,10538905140000.0,8332,1077821,0.5394
2016-02-12,L&TFH,EQ,51.35,52.7,52.7,48.25,50.0,49.65,50.16,2972849,14910656030000.002,13987,1292621,0.43479999999999996
2016-02-15,L&TFH,EQ,49.65,50.65,52.3,50.55,52.2,52.0,51.86,1322181,6857019759999.999,5878,530031,0.40090000000000003
2016-02-16,L&TFH,EQ,52.0,52.7,52.8,50.55,50.6,50.75,51.41,917862,4718542730000.0,3929,327473,0.3568
2016-02-17,L&TFH,EQ,50.75,50.6,51.4,48.95,51.4,51.0,50.19,1195847,6001865275000.0,5297,326619,0.2731
2016-02-18,L&TFH,EQ,51.0,51.45,52.35,50.4,51.25,51.2,51.43,988572,5084317050000.0,4310,325859,0.3296
2016-02-19,L&TFH,EQ,51.2,51.2,51.65,50.75,51.35,51.35,51.29,653480,3351537890000.0,3277,226074,0.34600000000000003
2016-02-22,L&TFH,EQ,51.35,51.5,52.55,51.25,51.9,51.85,52.0,1247044,6484741080000.0,4692,365866,0.2934
2016-02-23,L&TFH,EQ,51.85,52.0,52.2,51.0,51.4,51.2,51.38,823468,4230573700000.0,3748,327764,0.39799999999999996
2016-02-24,L&TFH,EQ,51.2,50.8,51.85,50.7,51.6,51.45,51.28,1055295,5411568595000.0,5147,434889,0.4121
2016-02-25,L&TFH,EQ,51.45,51.5,51.9,50.2,50.45,50.5,50.75,4546098,23073634285000.0,6930,3079895,0.6775
2016-02-26,L&TFH,EQ,50.5,50.85,51.2,50.25,51.05,50.7,50.79,1517899,7710034600000.0,3851,1101844,0.7259000000000001
2016-02-29,L&TFH,EQ,50.7,51.1,51.5,50.1,51.0,51.0,51.01,1109616,5660366270000.0,5619,328178,0.2958
2016-03-01,L&TFH,EQ,51.0,51.25,52.6,51.1,52.45,52.35,52.08,1182147,6156461965000.0,7393,448301,0.37920000000000004
2016-03-02,L&TFH,EQ,52.35,52.7,53.7,52.7,53.15,53.1,53.3,1009760,5381941095000.0,5670,420330,0.41630000000000006
2016-03-03,L&TFH,EQ,53.1,53.35,54.0,53.0,54.0,53.75,53.48,928245,4963983685000.0,4439,258746,0.2787
2016-03-04,L&TFH,EQ,53.75,54.4,55.9,53.05,55.6,55.35,54.49,2247943,12248415055000.0,8322,692592,0.3081
2016-03-08,L&TFH,EQ,55.35,55.9,55.9,54.15,55.05,54.85,54.97,1345303,7394877040000.001,6039,576402,0.42850000000000005
2016-03-09,L&TFH,EQ,54.85,54.7,55.15,54.2,54.95,54.9,54.62,904083,4938314465000.0,3890,374221,0.4139
2016-03-10,L&TFH,EQ,54.9,54.95,55.5,54.5,54.9,54.85,54.98,602042,3310239150000.0,3234,215675,0.3582
2016-03-11,L&TFH,EQ,54.85,54.6,55.35,54.2,54.5,54.6,54.82,570979,3130186970000.0,2711,200015,0.3503
2016-03-14,L&TFH,EQ,54.6,54.9,55.25,54.5,54.8,54.85,54.88,698960,3835655879999.9995,6908,346455,0.49570000000000003
2016-03-15,L&TFH,EQ,54.85,54.95,55.95,54.65,55.4,55.45,55.43,1100569,6100516275000.0,4301,467869,0.4251
2016-03-16,L&TFH,EQ,55.45,55.7,56.15,54.9,56.1,55.9,55.42,1135863,6295514320000.0,4959,359225,0.31629999999999997
2016-03-17,L&TFH,EQ,55.9,56.3,57.1,56.05,56.3,56.25,56.56,1183710,6695615330000.0,11868,598908,0.506
2016-03-18,L&TFH,EQ,56.25,56.9,57.05,56.1,56.85,56.9,56.6,1543140,8733463995000.0,6425,787652,0.5104
2016-03-21,L&TFH,EQ,56.9,57.1,62.55,56.8,62.0,61.55,60.71,5904221,35847142995000.0,24260,1484003,0.25129999999999997
2016-03-22,L&TFH,EQ,61.55,61.9,64.05,61.2,63.25,63.35,62.78,4568713,28684059320000.0,20955,1210259,0.26489999999999997
2016-03-23,L&TFH,EQ,63.35,63.35,64.45,62.6,62.8,63.1,63.28,2492112,15770604825000.0,12845,786954,0.31579999999999997
2016-03-28,L&TFH,EQ,63.1,63.1,64.1,62.7,62.9,63.05,63.38,2893484,18340071225000.0,16047,952957,0.3293
2016-03-29,L&TFH,EQ,63.05,63.15,63.6,61.3,62.25,62.55,62.43,2854303,17819912090000.0,13875,879565,0.30820000000000003
