Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,MANAPPURAM,EQ,29.45,29.45,29.95,28.8,29.55,29.65,29.29,2754581,8068377190000.001,7141,1291054,0.4687
2016-01-04,MANAPPURAM,EQ,29.65,29.4,30.25,28.4,28.95,28.8,29.26,3026821,8857335420000.0,8246,1533287,0.5065999999999999
2016-01-05,MANAPPURAM,EQ,28.8,29.0,29.7,28.9,29.1,29.2,29.27,2369591,6936304380000.0,6793,1095576,0.4623
2016-01-06,MANAPPURAM,EQ,29.2,29.25,30.7,29.0,29.85,30.25,29.83,5110397,15245096900000.0,10342,2928615,0.5731
2016-01-07,MANAPPURAM,EQ,30.25,29.5,29.6,28.8,29.1,29.15,29.12,3530410,10278866785000.0,7156,2026997,0.5742
2016-01-08,MANAPPURAM,EQ,29.15,29.15,30.5,29.15,30.4,30.25,30.06,4629328,13915358985000.0,8268,2446841,0.5286
2016-01-11,MANAPPURAM,EQ,30.25,30.1,31.05,29.3,30.2,30.25,30.3,3674618,11134552515000.0,10408,1294411,0.3523
2016-01-12,MANAPPURAM,EQ,30.25,30.4,30.65,28.75,28.9,28.95,29.51,3952466,11665623380000.0,13213,2221721,0.5621
2016-01-13,MANAPPURAM,EQ,28.95,29.15,29.65,27.0,28.5,28.6,28.48,6709042,19107602745000.0,17841,3631876,0.5413
2016-01-14,MANAPPURAM,EQ,28.6,27.95,28.75,27.55,28.5,28.4,28.23,2718528,7674405395000.0,8703,1486705,0.5468999999999999
2016-01-15,MANAPPURAM,EQ,28.4,28.5,28.8,27.5,27.9,27.75,28.02,1865751,5227538300000.0,5000,1132295,0.6069
2016-01-18,MANAPPURAM,EQ,27.75,27.0,28.1,26.5,27.0,26.95,27.06,2754263,7451708040000.001,7567,1675468,0.6083
2016-01-19,MANAPPURAM,EQ,26.95,27.05,28.9,26.55,27.95,27.8,27.67,2550926,7058873650000.0,8046,1141395,0.4474
2016-01-20,MANAPPURAM,EQ,27.8,27.65,27.65,26.35,26.85,26.75,26.98,1970332,5316665800000.0,5091,1092171,0.5543
2016-01-21,MANAPPURAM,EQ,26.75,27.05,27.6,26.0,26.15,26.1,26.68,2308644,6160388130000.0,4599,1375513,0.5958
2016-01-22,MANAPPURAM,EQ,26.1,26.9,27.15,26.25,26.85,26.85,26.86,1490103,4002039060000.0,5022,853480,0.5728
2016-01-25,MANAPPURAM,EQ,26.85,27.1,27.5,27.0,27.25,27.25,27.25,1737851,4735026550000.0,6310,1143259,0.6579
2016-01-27,MANAPPURAM,EQ,27.25,27.45,27.65,26.55,27.0,26.8,27.11,1500221,4066519320000.0005,4602,926523,0.6176
2016-01-28,MANAPPURAM,EQ,26.8,27.0,27.35,26.5,27.2,27.0,26.93,839134,2260015315000.0,4201,499018,0.5947
2016-01-29,MANAPPURAM,EQ,27.0,27.1,28.85,27.1,28.6,28.6,28.38,7053684,20015985880000.0,11193,5562566,0.7886
2016-02-01,MANAPPURAM,EQ,28.6,28.65,29.5,28.1,29.25,29.3,28.65,3948133,11309785870000.0,9405,2824221,0.7153
2016-02-02,MANAPPURAM,EQ,29.3,29.25,30.0,28.0,28.45,28.3,29.02,6193301,17970659335000.0,10447,4233456,0.6836
2016-02-03,MANAPPURAM,EQ,28.3,28.1,28.8,27.6,28.15,28.4,28.21,1535576,4332054750000.0,5681,811177,0.5283
2016-02-04,MANAPPURAM,EQ,28.4,29.25,29.55,28.1,28.45,28.3,28.91,3091863,8938649245000.0,8422,1584336,0.5124000000000001
2016-02-05,MANAPPURAM,EQ,28.3,28.3,29.85,28.0,29.65,29.5,29.07,1998804,5810874885000.0,6971,1134795,0.5677000000000001
2016-02-08,MANAPPURAM,EQ,29.5,30.0,30.4,28.65,29.1,29.1,29.47,1335029,3933785465000.0,6491,700681,0.5247999999999999
2016-02-09,MANAPPURAM,EQ,29.1,29.0,29.8,28.7,29.55,29.45,29.27,2309779,6760911380000.0,11642,1126391,0.4877
2016-02-10,MANAPPURAM,EQ,29.45,29.3,30.5,28.8,29.95,29.9,29.64,3651341,10823642635000.0,12299,1511807,0.414
2016-02-11,MANAPPURAM,EQ,29.9,29.85,30.15,28.0,28.55,28.45,29.3,3027262,8871254905000.0,8073,1845130,0.6095
2016-02-12,MANAPPURAM,EQ,28.45,28.55,29.75,26.1,29.3,28.6,28.29,3830329,10835274575000.0,10655,1856131,0.48460000000000003
2016-02-15,MANAPPURAM,EQ,28.6,30.2,32.5,30.2,31.8,31.8,31.45,6592185,20729771275000.0,17425,4043495,0.6134000000000001
2016-02-16,MANAPPURAM,EQ,31.8,32.4,32.4,29.65,30.05,30.0,30.92,2214306,6847324790000.001,7465,1293223,0.584
2016-02-17,MANAPPURAM,EQ,30.0,30.0,31.0,29.0,30.65,30.55,29.92,2324220,6953713565000.001,8612,1392245,0.599
2016-02-18,MANAPPURAM,EQ,30.55,31.05,32.7,31.05,31.95,32.1,31.93,3699347,11812911505000.0,9747,2143347,0.5794
2016-02-19,MANAPPURAM,EQ,32.1,32.0,32.0,31.25,31.25,31.35,31.47,5389471,16961525044999.998,5984,4819472,0.8942
2016-02-22,MANAPPURAM,EQ,31.35,31.65,31.85,30.8,31.3,31.2,31.2,1088036,3394683160000.0,6166,568762,0.5227
2016-02-23,MANAPPURAM,EQ,31.2,30.75,31.2,30.5,31.15,30.85,30.83,1691752,5215948055000.0,9661,846812,0.5006
2016-02-24,MANAPPURAM,EQ,30.85,30.65,31.05,29.9,30.7,30.8,30.64,2719495,8333070734999.999,5343,2136388,0.7856000000000001
2016-02-25,MANAPPURAM,EQ,30.8,30.8,31.05,29.4,29.8,29.8,30.08,1544197,4644334560000.0,7057,1055840,0.6837000000000001
2016-02-26,MANAPPURAM,EQ,29.8,30.05,31.4,30.05,30.7,30.8,30.79,1797816,5535216475000.0,5885,1096949,0.6102000000000001
2016-02-29,MANAPPURAM,EQ,30.8,31.05,31.45,29.8,30.3,30.15,30.49,4120271,12562531515000.0,14215,2981590,0.7236
2016-03-01,MANAPPURAM,EQ,30.15,30.4,31.5,30.4,31.15,31.3,31.0,2568469,7962943665000.001,9759,1700317,0.662
2016-03-02,MANAPPURAM,EQ,31.3,32.0,32.0,31.25,31.7,31.75,31.74,3098157,9833979135000.0,6308,2370928,0.7653
2016-03-03,MANAPPURAM,EQ,31.75,32.0,32.6,31.75,32.05,31.95,32.17,2167086,6970588895000.0,8910,883253,0.40759999999999996
2016-03-04,MANAPPURAM,EQ,31.95,32.3,32.65,31.9,32.15,32.0,32.36,3521048,11394209820000.0,16395,2107070,0.5984
