Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,MINDTREE,EQ,1433.75,1443.0,1452.9,1434.1,1441.8,1441.55,1444.36,47079,6799919255000.0,4696,14358,0.305
2016-01-04,MINDTREE,EQ,1441.55,1443.1,1469.5,1440.05,1448.05,1450.75,1454.37,79294,11532287885000.0,5890,20309,0.2561
2016-01-05,MINDTREE,EQ,1450.75,1455.0,1482.0,1445.4,1474.0,1471.3,1469.94,161216,23697707355000.0,10662,81999,0.5086
2016-01-06,MINDTREE,EQ,1471.3,1474.0,1483.0,1446.75,1451.5,1451.9,1460.94,78722,11500792670000.0,7935,21423,0.2721
2016-01-07,MINDTREE,EQ,1451.9,1445.0,1448.85,1395.05,1419.5,1417.35,1411.84,115150,16257322705000.002,9418,41875,0.36369999999999997
2016-01-08,MINDTREE,EQ,1417.35,1420.0,1438.45,1396.0,1410.15,1408.55,1417.47,169189,23982043650000.0,15140,95409,0.5639000000000001
2016-01-11,MINDTREE,EQ,1408.55,1400.0,1484.45,1374.0,1474.8,1474.85,1445.84,278765,40305058495000.0,12464,125527,0.45030000000000003
2016-01-12,MINDTREE,EQ,1474.85,1480.0,1504.0,1452.0,1498.9,1500.05,1484.06,280622,41645900185000.0,18579,155095,0.5527000000000001
2016-01-13,MINDTREE,EQ,1500.05,1504.9,1504.9,1443.35,1498.2,1499.7,1482.49,163977,24309439075000.0,10808,68841,0.41979999999999995
2016-01-14,MINDTREE,EQ,1499.7,1510.0,1543.0,1480.0,1518.0,1518.5,1523.38,491699,74904581140000.0,30695,204928,0.4168
2016-01-15,MINDTREE,EQ,1518.5,1534.95,1594.2,1525.0,1547.0,1542.4,1566.16,565791,88611897440000.0,30315,189554,0.335
2016-01-18,MINDTREE,EQ,1542.4,1545.0,1571.0,1455.2,1467.95,1469.85,1501.45,447514,67192155115000.0,37451,175341,0.3918
2016-01-19,MINDTREE,EQ,1469.85,1499.0,1499.0,1420.65,1448.0,1443.55,1452.09,401770,58340614465000.0,31043,136784,0.34049999999999997
2016-01-20,MINDTREE,EQ,1443.55,1430.0,1467.4,1404.45,1466.0,1444.95,1423.47,301809,42961579920000.0,23665,129969,0.43060000000000004
2016-01-21,MINDTREE,EQ,1444.95,1456.6,1482.0,1432.0,1448.05,1453.5,1450.67,191048,27714828260000.004,17846,83553,0.43729999999999997
2016-01-22,MINDTREE,EQ,1453.5,1454.3,1475.4,1432.5,1465.0,1449.75,1450.81,219213,31803742205000.0,16994,97834,0.44630000000000003
2016-01-25,MINDTREE,EQ,1449.75,1459.9,1478.0,1444.05,1472.05,1469.2,1465.49,101597,14888943715000.0,5789,43187,0.4251
2016-01-27,MINDTREE,EQ,1469.2,1476.6,1494.85,1448.05,1492.0,1487.85,1479.19,151221,22368501345000.0,9432,61881,0.4092
2016-01-28,MINDTREE,EQ,1487.85,1497.7,1518.5,1470.05,1475.0,1477.4,1494.55,342101,51128656880000.0,18511,191564,0.56
2016-01-29,MINDTREE,EQ,1477.4,1475.0,1484.9,1450.15,1473.4,1472.05,1468.1,199663,29312547335000.004,12255,97077,0.48619999999999997
2016-02-01,MINDTREE,EQ,1472.05,1488.0,1501.95,1475.0,1491.0,1488.2,1490.91,108152,16124493025000.0,8056,48015,0.444
2016-02-02,MINDTREE,EQ,1488.2,1499.0,1528.0,1482.0,1509.0,1517.75,1507.14,301957,45509186180000.0,14317,201295,0.6666
2016-02-03,MINDTREE,EQ,1517.75,1507.0,1515.0,1487.65,1499.0,1495.25,1504.13,250612,37695270580000.0,9502,156495,0.6245
2016-02-04,MINDTREE,EQ,1495.25,1515.0,1515.0,1491.1,1496.0,1500.35,1503.38,127525,19171808240000.0,8286,54965,0.43100000000000005
2016-02-05,MINDTREE,EQ,1500.35,1510.0,1543.85,1503.5,1538.75,1531.55,1530.73,201242,30804656270000.0,17103,81771,0.40630000000000005
2016-02-08,MINDTREE,EQ,1531.55,1534.0,1550.0,1518.1,1524.0,1526.85,1540.21,176676,27211839130000.0,12603,96663,0.5471
2016-02-09,MINDTREE,EQ,1526.85,1516.05,1516.05,1475.0,1480.8,1481.2,1490.96,146279,21809582590000.0,8924,81303,0.5558
2016-02-10,MINDTREE,EQ,1481.2,1480.0,1497.1,1469.9,1483.05,1484.55,1481.78,175568,26015289280000.0,7707,122081,0.6953
2016-02-11,MINDTREE,EQ,1484.55,1486.0,1496.0,1435.0,1437.5,1441.9,1465.59,124518,18249174185000.0,11632,72676,0.5837
2016-02-12,MINDTREE,EQ,1441.9,1455.0,1473.55,1407.1,1417.1,1428.1,1426.57,116689,16646474269999.998,13412,55729,0.47759999999999997
2016-02-15,MINDTREE,EQ,1428.1,1458.0,1464.9,1435.0,1437.8,1438.6,1444.53,62323,9002748105000.0,7394,29737,0.4771
2016-02-16,MINDTREE,EQ,1438.6,1430.0,1457.55,1391.05,1399.95,1399.25,1415.84,157597,22313281270000.0,12882,68855,0.4369
2016-02-17,MINDTREE,EQ,1399.25,1400.1,1415.0,1348.45,1388.0,1390.05,1376.57,202856,27924558150000.0,16810,83314,0.4107
2016-02-18,MINDTREE,EQ,1390.05,1398.0,1439.9,1388.0,1422.0,1406.85,1418.05,289185,41007850190000.0,22739,138561,0.47909999999999997
2016-02-19,MINDTREE,EQ,1406.85,1411.0,1425.95,1400.05,1423.0,1420.95,1417.8,104667,14839717255000.002,11176,51159,0.4888
2016-02-22,MINDTREE,EQ,1420.95,1421.0,1429.0,1402.5,1418.0,1420.65,1421.92,181794,25849685140000.0,6044,136566,0.7512000000000001
2016-02-23,MINDTREE,EQ,1420.65,1430.0,1455.0,1407.75,1437.0,1437.9,1430.53,200556,28690197730000.0,21204,114595,0.5714
2016-02-24,MINDTREE,EQ,1437.9,1435.05,1438.25,1415.0,1423.3,1425.7,1428.29,132748,18960252105000.0,16127,80489,0.6063000000000001
2016-02-25,MINDTREE,EQ,1425.7,1426.0,1460.0,1408.0,1460.0,1435.75,1426.76,417946,59630661179999.99,25001,311919,0.7463
2016-02-26,MINDTREE,EQ,1435.75,1457.05,1487.0,1421.0,1428.0,1432.55,1431.84,148597,21276672385000.0,23135,87224,0.5870000000000001
2016-02-29,MINDTREE,EQ,1432.55,1440.0,1442.7,1412.0,1424.05,1426.35,1425.94,236129,33670522110000.004,20515,148344,0.6282
2016-03-01,MINDTREE,EQ,1426.35,1424.0,1472.3,1424.0,1470.2,1469.2,1454.54,364036,52950560275000.0,16122,274847,0.755
2016-03-02,MINDTREE,EQ,1469.2,1482.2,1540.0,1482.05,1525.95,1525.65,1524.83,439818,67064964390000.0,26940,270400,0.6148
2016-03-03,MINDTREE,EQ,1525.65,1527.65,1604.1,1519.0,1571.0,1575.4,1559.32,893208,139279541415000.02,48546,595275,0.6664
2016-03-04,MINDTREE,EQ,1575.4,1577.9,1609.0,1556.0,1593.5,1589.9,1581.92,818848,129535545440000.02,38090,581319,0.7099
2016-03-08,MINDTREE,EQ,1589.9,1544.0,1605.0,1525.0,1543.0,1546.35,1559.27,1346046,209884328360000.0,46469,995843,0.7398
2016-03-09,MINDTREE,EQ,1546.35,740.0,740.0,680.05,685.05,684.3,695.83,2246769,156336560815000.0,60407,1046433,0.4658
2016-03-10,MINDTREE,EQ,684.3,694.0,695.65,666.0,674.5,670.45,678.29,1009523,68474661329999.99,46092,384839,0.3812
2016-03-11,MINDTREE,EQ,670.45,675.0,677.95,660.1,662.6,663.15,671.04,963982,64687128075000.0,48084,618352,0.6415000000000001
2016-03-14,MINDTREE,EQ,663.15,665.0,668.2,650.0,651.9,651.6,655.69,676710,44371143130000.0,23211,389564,0.5757
2016-03-15,MINDTREE,EQ,651.6,652.6,655.1,639.0,640.0,642.45,646.57,522929,33811196880000.0,14369,317361,0.6069
2016-03-16,MINDTREE,EQ,642.45,643.05,646.5,631.1,640.2,639.75,638.3,446178,28479582635000.004,19875,195903,0.4391
2016-03-17,MINDTREE,EQ,639.75,642.5,660.0,642.0,658.0,656.85,653.68,794674,51946255580000.0,56722,493537,0.6211
2016-03-18,MINDTREE,EQ,656.85,656.0,670.0,655.6,665.9,666.15,665.52,755756,50297240470000.0,33807,432101,0.5717
2016-03-21,MINDTREE,EQ,666.15,654.0,672.95,654.0,667.95,667.85,669.38,505661,33848093264999.996,16991,319813,0.6325000000000001
2016-03-22,MINDTREE,EQ,667.85,662.5,663.8,655.0,656.5,658.25,658.29,383700,25258402495000.0,10450,241803,0.6302000000000001
2016-03-23,MINDTREE,EQ,658.25,660.5,661.25,649.0,649.1,651.05,651.59,554464,36128474540000.0,38061,390510,0.7043
2016-03-28,MINDTREE,EQ,651.05,649.0,655.0,624.4,629.2,626.65,636.77,584234,37202363225000.0,23213,363640,0.6224000000000001
2016-03-29,MINDTREE,EQ,626.65,624.4,627.2,603.95,616.85,616.1,613.5,911848,55941569370000.01,53328,527606,0.5786
2016-03-30,MINDTREE,EQ,616.1,626.2,669.0,623.4,661.5,663.05,645.8,1089645,70369793475000.0,34081,494752,0.454
2016-03-31,MINDTREE,EQ,663.05,666.35,666.35,641.0,651.0,653.25,652.43,1017313,66372367200000.0,32737,597718,0.5875
2016-04-01,MINDTREE,EQ,653.25,653.0,686.3,650.0,666.35,668.15,670.65,665156,44608682160000.0,21694,214294,0.3222
2016-04-04,MINDTREE,EQ,668.15,665.0,678.0,662.0,675.15,676.05,673.49,375330,25278062035000.0,14628,172448,0.4595
2016-04-05,MINDTREE,EQ,676.05,676.0,676.0,655.2,656.0,658.35,660.79,376039,24848293570000.0,14629,193385,0.5143
2016-04-06,MINDTREE,EQ,658.35,663.45,670.5,647.0,669.0,667.9,659.91,236883,15632256890000.0,12069,100296,0.42340000000000005
2016-04-07,MINDTREE,EQ,667.9,671.0,677.5,663.2,668.5,671.65,669.85,260030,17418107635000.0,9391,100718,0.3873
2016-04-08,MINDTREE,EQ,671.65,670.0,671.8,660.0,665.15,667.5,664.91,194227,12914353955000.0,14628,74247,0.3823
2016-04-11,MINDTREE,EQ,667.5,665.15,671.8,655.15,668.0,667.7,662.47,292040,19346698205000.0,12219,159573,0.5464
2016-04-12,MINDTREE,EQ,667.7,668.0,681.05,668.0,676.0,677.0,675.79,320599,21665776035000.0,14575,140137,0.43710000000000004
2016-04-13,MINDTREE,EQ,677.0,679.8,697.9,678.6,685.4,691.6,690.5,479332,33097928230000.0,21587,294254,0.6139
2016-04-18,MINDTREE,EQ,691.6,686.5,749.0,686.5,731.0,730.8,731.53,1347937,98606087380000.0,85734,458712,0.3403
2016-04-20,MINDTREE,EQ,730.8,755.0,755.0,720.0,723.2,723.95,733.45,1306067,95793947930000.0,52911,445385,0.341
2016-04-21,MINDTREE,EQ,723.95,723.95,727.4,710.15,716.0,715.8,719.3,279504,20104716810000.0,17456,98324,0.3518
2016-04-22,MINDTREE,EQ,715.8,716.0,716.05,701.0,707.5,708.3,709.23,202153,14337314435000.0,8040,57147,0.2827
2016-04-25,MINDTREE,EQ,708.3,710.0,712.25,695.0,698.0,698.5,700.1,266105,18629925035000.0,11687,77436,0.29100000000000004
2016-04-26,MINDTREE,EQ,698.5,693.05,715.8,688.3,706.85,707.35,706.51,511423,36132749415000.0,19277,239311,0.4679
2016-04-27,MINDTREE,EQ,707.35,709.95,712.15,697.0,698.5,699.7,703.71,203449,14317006125000.0,8749,73353,0.3605
2016-04-28,MINDTREE,EQ,699.7,699.9,708.35,683.25,686.95,686.2,692.66,406581,28162224395000.0,16653,192132,0.47259999999999996
2016-04-29,MINDTREE,EQ,686.2,690.9,691.75,676.0,676.15,678.8,681.33,259268,17664678105000.0,12907,131026,0.5054
2016-05-02,MINDTREE,EQ,678.8,678.0,686.0,669.05,680.35,681.85,678.49,203628,13815860850000.0,11305,59127,0.2904
2016-05-03,MINDTREE,EQ,681.85,685.9,693.8,667.9,668.3,670.25,682.12,271041,18488321310000.0,12905,90582,0.3342
2016-05-04,MINDTREE,EQ,670.25,668.8,678.0,660.0,660.05,661.45,667.2,363791,24272278605000.0,17952,133180,0.3661
2016-05-05,MINDTREE,EQ,661.45,660.0,672.55,659.95,664.0,664.0,668.34,347883,23250263260000.0,15942,137768,0.396
2016-05-06,MINDTREE,EQ,664.0,666.8,669.0,658.0,660.0,659.0,662.29,425881,28205578339999.996,12721,261512,0.614
2016-05-09,MINDTREE,EQ,659.0,660.5,666.0,650.1,656.0,657.15,656.55,446569,29319315100000.0,21575,245320,0.5493
