Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,MOTILALOFS,EQ,334.35,331.0,339.75,331.0,338.0,338.05,337.57,11223,378849240000.0,281,9195,0.8193000000000001
2016-01-04,MOTILALOFS,EQ,338.05,340.0,340.0,330.0,330.0,330.5,331.98,5586,185443920000.0,344,2638,0.4723
2016-01-05,MOTILALOFS,EQ,330.5,327.0,334.25,327.0,329.9,328.7,330.37,6528,215668795000.00003,284,4940,0.7567
2016-01-06,MOTILALOFS,EQ,328.7,331.15,339.1,328.95,334.7,333.85,335.96,11832,397503580000.0,729,10016,0.8465
2016-01-07,MOTILALOFS,EQ,333.85,329.05,331.9,324.1,328.0,327.05,327.05,2423,79245065000.0,131,1786,0.7371
2016-01-08,MOTILALOFS,EQ,327.05,332.95,332.95,327.55,329.0,328.55,328.18,6799,223128420000.00003,99,5986,0.8804000000000001
2016-01-11,MOTILALOFS,EQ,328.55,324.05,329.75,323.5,324.0,324.05,325.47,19695,641007360000.0,274,17022,0.8643000000000001
2016-01-12,MOTILALOFS,EQ,324.05,325.0,328.0,323.2,323.95,323.6,324.07,4274,138509210000.0,92,3768,0.8815999999999999
2016-01-13,MOTILALOFS,EQ,323.6,329.95,334.5,306.0,331.9,331.6,324.36,28805,934323605000.0001,512,24628,0.855
2016-01-14,MOTILALOFS,EQ,331.6,330.0,334.05,318.0,318.1,320.2,325.42,6133,199579695000.0,222,4572,0.7454999999999999
2016-01-15,MOTILALOFS,EQ,320.2,321.0,324.8,299.0,310.0,303.25,310.32,11279,350010635000.0,448,8719,0.773
2016-01-18,MOTILALOFS,EQ,303.25,300.05,307.9,275.0,283.0,280.6,285.67,64350,1838309910000.0002,1720,57547,0.8943000000000001
2016-01-19,MOTILALOFS,EQ,280.6,280.65,286.95,259.1,275.1,276.95,271.52,33721,915599869999.9999,1241,16671,0.4944
2016-01-20,MOTILALOFS,EQ,276.95,275.5,277.0,267.0,274.1,274.9,272.4,41068,1118709325000.0,1448,35391,0.8618000000000001
2016-01-21,MOTILALOFS,EQ,274.9,278.05,281.65,272.05,280.0,280.0,278.98,12035,335750610000.0,431,9484,0.788
2016-01-22,MOTILALOFS,EQ,280.0,283.55,288.9,280.55,281.55,282.5,283.69,4466,126694750000.0,158,2658,0.5952000000000001
2016-01-25,MOTILALOFS,EQ,282.5,283.3,292.0,282.5,290.0,289.3,287.71,2136,61454244999.99999,238,778,0.3642
2016-01-27,MOTILALOFS,EQ,289.3,290.55,292.9,282.5,285.0,285.25,287.01,4072,116870989999.99998,182,3608,0.8861
2016-01-28,MOTILALOFS,EQ,285.25,282.05,288.05,281.0,286.0,286.9,285.33,6891,196619750000.0,515,4730,0.6864
2016-01-29,MOTILALOFS,EQ,286.9,290.0,290.05,285.1,286.35,289.0,288.59,3403,98206545000.0,145,2692,0.7911
2016-02-01,MOTILALOFS,EQ,289.0,292.35,295.95,285.0,286.0,286.55,287.21,10905,313206055000.0,262,9574,0.8779000000000001
2016-02-02,MOTILALOFS,EQ,286.55,284.05,290.0,282.05,286.5,286.25,286.08,55651,1592055650000.0,515,54727,0.9834
2016-02-03,MOTILALOFS,EQ,286.25,284.0,292.1,266.35,285.0,284.55,282.27,23373,659755680000.0,1687,12402,0.5306000000000001
2016-02-04,MOTILALOFS,EQ,284.55,294.9,300.0,287.3,292.25,292.95,291.27,143324,4174631979999.9995,2471,98464,0.687
