Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,MRPL,EQ,67.85,68.0,69.2,67.05,68.6,68.95,68.23,542860,3703798575000.0,3671,337725,0.6221
2016-01-04,MRPL,EQ,68.95,68.0,68.9,65.25,66.65,66.2,67.07,391990,2628887130000.0,2302,219729,0.5605
2016-01-05,MRPL,EQ,66.2,66.0,67.7,66.0,66.6,66.6,66.9,219863,1470867250000.0,1628,90184,0.41020000000000006
2016-01-06,MRPL,EQ,66.6,66.9,70.8,66.1,68.7,68.7,68.43,1704398,11662607835000.0,7570,984514,0.5776
2016-01-07,MRPL,EQ,68.7,68.0,68.0,66.2,66.95,67.05,67.02,987449,6617998435000.0,6242,648314,0.6566
2016-01-08,MRPL,EQ,67.05,66.3,68.45,66.3,66.6,66.8,67.34,475371,3201113235000.0,3330,261650,0.5504
2016-01-11,MRPL,EQ,66.8,66.6,68.4,64.9,68.0,67.95,66.99,385590,2582874730000.0,2463,176933,0.45890000000000003
2016-01-12,MRPL,EQ,67.95,68.0,69.35,67.3,68.45,68.15,68.27,604577,4127352904999.9995,5576,371391,0.6143
2016-01-13,MRPL,EQ,68.15,69.0,69.0,63.1,66.65,66.9,65.98,840990,5548997670000.0,4067,420251,0.4997
2016-01-14,MRPL,EQ,66.9,64.05,70.9,64.05,68.45,68.9,69.1,1406661,9719631195000.0,10915,577257,0.4104
2016-01-15,MRPL,EQ,68.9,69.2,70.45,65.1,66.3,66.0,67.67,598937,4052897729999.9995,6158,256893,0.4289
2016-01-18,MRPL,EQ,66.0,66.3,68.8,62.65,64.3,64.05,66.23,869816,5760378795000.0,6917,323690,0.37210000000000004
2016-01-19,MRPL,EQ,64.05,64.6,66.2,62.45,65.85,64.65,64.16,440993,2829385230000.0,3328,203139,0.4606
2016-01-20,MRPL,EQ,64.65,64.7,65.0,61.85,63.15,62.85,63.32,417661,2644814755000.0,3949,175977,0.4213
2016-01-21,MRPL,EQ,62.85,63.95,66.0,62.5,63.5,63.1,64.21,618266,3970106645000.0005,5681,237942,0.3849
2016-01-22,MRPL,EQ,63.1,64.1,67.3,63.5,66.1,66.45,65.97,616054,4063915750000.0,4237,349158,0.5668
2016-01-25,MRPL,EQ,66.45,66.9,67.9,64.5,64.95,64.95,65.89,308278,2031226464999.9998,2455,159618,0.5178
2016-01-27,MRPL,EQ,64.95,66.0,66.0,64.1,64.4,64.4,64.76,141846,918540069999.9999,1444,59721,0.42100000000000004
2016-01-28,MRPL,EQ,64.4,64.5,65.7,64.35,64.8,64.65,65.05,160265,1042533040000.0,1171,74129,0.4625
2016-01-29,MRPL,EQ,64.65,64.65,65.7,64.35,64.9,65.25,65.08,176064,1145788850000.0,1379,82827,0.4704
2016-02-01,MRPL,EQ,65.25,65.3,66.0,64.5,65.1,64.8,65.3,158328,1033823194999.9999,1682,77048,0.4866
2016-02-02,MRPL,EQ,64.8,65.0,65.45,60.3,61.9,61.7,62.92,390016,2453866195000.0,3198,191162,0.4901
2016-02-03,MRPL,EQ,61.7,61.2,62.25,58.4,60.45,60.0,60.55,324550,1965152414999.9998,2140,144322,0.4447
2016-02-04,MRPL,EQ,60.0,61.9,61.9,59.25,60.7,60.4,60.61,242930,1472335955000.0,3387,105760,0.4354
2016-02-05,MRPL,EQ,60.4,60.4,64.05,59.6,62.5,62.8,62.41,332023,2072308339999.9998,3328,164419,0.49520000000000003
2016-02-08,MRPL,EQ,62.8,63.0,65.5,62.5,63.4,63.0,63.22,470232,2972599210000.0,2489,332277,0.7066
2016-02-09,MRPL,EQ,63.0,62.4,64.5,60.6,61.5,61.45,62.62,314703,1970561200000.0,2418,124992,0.3972
2016-02-10,MRPL,EQ,61.45,61.45,61.9,59.0,59.5,59.6,60.46,206494,1248483690000.0,1600,112236,0.5435
2016-02-11,MRPL,EQ,59.6,59.65,59.85,55.1,55.35,56.05,57.7,242866,1401428405000.0,2108,106008,0.4365
2016-02-12,MRPL,EQ,56.05,56.0,57.8,51.95,57.2,57.0,54.4,445179,2421607400000.0,3458,187008,0.4201
2016-02-15,MRPL,EQ,57.0,61.0,62.2,59.4,61.2,60.8,60.42,701751,4240099200000.0,5992,179964,0.2564
2016-02-16,MRPL,EQ,60.8,61.65,62.5,58.25,58.8,58.7,60.24,249372,1502134445000.0,1942,115696,0.46390000000000003
2016-02-17,MRPL,EQ,58.7,59.0,61.15,57.3,61.1,60.1,59.21,262720,1555452845000.0,1945,84708,0.3224
2016-02-18,MRPL,EQ,60.1,60.9,61.25,59.3,59.6,59.8,60.37,191251,1154587555000.0,1492,61611,0.3221
2016-02-19,MRPL,EQ,59.8,58.4,60.3,58.4,59.5,59.1,59.69,346505,2068132089999.9998,1383,245796,0.7094
2016-02-22,MRPL,EQ,59.1,59.85,60.0,59.0,59.45,59.55,59.46,118555,704930460000.0,963,45426,0.3832
2016-02-23,MRPL,EQ,59.55,59.9,59.9,54.0,54.4,54.3,55.64,618344,3440320425000.0,5082,291338,0.4712
