Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,NESCO,EQ,1681.05,1682.95,1790.0,1681.95,1726.0,1733.0,1752.44,7970,1396696075000.0,1087,4266,0.5353
2016-01-04,NESCO,EQ,1733.0,1740.05,1750.0,1692.5,1721.0,1728.15,1728.8,2685,464181620000.0,529,1574,0.5861999999999999
2016-01-05,NESCO,EQ,1728.15,1729.95,1745.0,1699.0,1744.8,1731.55,1721.89,1565,269475625000.0,279,1014,0.6479
2016-01-06,NESCO,EQ,1731.55,1734.0,1770.0,1700.0,1711.0,1704.8,1740.71,2764,481133534999.99994,399,1611,0.5829
2016-01-07,NESCO,EQ,1704.8,1700.3,1700.3,1610.0,1634.8,1626.9,1651.27,6563,1083725830000.0001,510,5762,0.878
2016-01-08,NESCO,EQ,1626.9,1640.05,1705.0,1621.15,1675.05,1682.6,1674.88,2274,380867320000.0,523,1448,0.6368
2016-01-11,NESCO,EQ,1682.6,1657.95,1676.4,1625.55,1635.0,1648.25,1646.96,2698,444350434999.99994,290,1751,0.649
2016-01-12,NESCO,EQ,1648.25,1668.25,1668.25,1626.25,1646.5,1645.35,1640.21,4866,798125545000.0,106,4678,0.9614
2016-01-13,NESCO,EQ,1645.35,1650.05,1672.4,1605.0,1634.9,1638.95,1618.53,2180,352839025000.0,189,1606,0.7367
2016-01-14,NESCO,EQ,1638.95,1629.95,1645.0,1581.2,1630.0,1628.9,1614.99,1979,319606950000.0,317,1371,0.6928
2016-01-15,NESCO,EQ,1628.9,1637.6,1665.0,1620.05,1630.0,1630.6,1637.9,2464,403578855000.0,275,1982,0.8044
2016-01-18,NESCO,EQ,1630.6,1536.1,1609.9,1536.1,1576.0,1564.8,1568.95,2830,444013555000.0,537,1932,0.6827
2016-01-19,NESCO,EQ,1564.8,1579.95,1580.0,1507.4,1550.0,1535.7,1546.1,3950,610708400000.0,687,2204,0.5579999999999999
2016-01-20,NESCO,EQ,1535.7,1555.0,1555.0,1475.0,1520.05,1528.5,1520.31,2821,428879234999.99994,237,2447,0.8674
2016-01-21,NESCO,EQ,1528.5,1523.65,1545.0,1510.0,1536.0,1526.35,1526.94,1870,285538480000.0,198,1500,0.8020999999999999
2016-01-22,NESCO,EQ,1526.35,1520.0,1563.9,1520.0,1525.0,1527.5,1531.49,1041,159428305000.0,128,642,0.6167
2016-01-25,NESCO,EQ,1527.5,1545.25,1566.1,1515.0,1530.0,1526.95,1518.99,5816,883444875000.0,266,5352,0.9202
2016-01-27,NESCO,EQ,1526.95,1535.0,1575.0,1528.05,1557.0,1562.05,1536.36,24042,3693710260000.0,136,23840,0.9916
2016-01-28,NESCO,EQ,1562.05,1563.05,1580.0,1563.0,1575.0,1577.2,1574.31,455,71631190000.0,64,392,0.8615
2016-01-29,NESCO,EQ,1577.2,1564.95,1625.0,1564.95,1625.0,1613.45,1590.22,1254,199413760000.0,170,944,0.7528
2016-02-01,NESCO,EQ,1613.45,1635.0,1664.0,1600.0,1663.05,1661.15,1654.03,2059,340564685000.0,172,1732,0.8412000000000001
2016-02-02,NESCO,EQ,1661.15,1648.0,1675.0,1641.0,1649.0,1647.1,1660.94,821,136362910000.00002,102,644,0.7844
2016-02-03,NESCO,EQ,1647.1,1635.05,1670.0,1590.05,1665.0,1661.9,1629.47,1098,178915420000.0,146,765,0.6967
2016-02-04,NESCO,EQ,1661.9,1650.0,1670.0,1635.15,1640.0,1641.6,1650.36,345,56937305000.00001,46,251,0.7275
2016-02-05,NESCO,EQ,1641.6,1664.9,1670.0,1635.95,1640.0,1639.9,1644.37,602,98990990000.0,80,414,0.6877
2016-02-08,NESCO,EQ,1639.9,1668.95,1690.0,1653.0,1656.25,1659.05,1667.5,719,119893080000.0,73,670,0.9318000000000001
2016-02-09,NESCO,EQ,1659.05,1630.05,1682.85,1630.05,1640.0,1645.6,1651.1,1510,249316320000.00003,188,1129,0.7477
2016-02-10,NESCO,EQ,1645.6,1645.0,1649.0,1605.55,1620.0,1627.7,1634.56,615,100525420000.0,84,531,0.8634000000000001
2016-02-11,NESCO,EQ,1627.7,1581.65,1639.75,1500.0,1520.0,1519.6,1572.61,3636,571801160000.0,219,3279,0.9018
2016-02-12,NESCO,EQ,1519.6,1601.0,1601.0,1478.0,1490.0,1495.35,1498.32,1696,254115065000.0,133,1296,0.7642
2016-02-15,NESCO,EQ,1495.35,1530.0,1564.95,1528.7,1545.0,1548.8,1540.95,344,53008550000.0,62,263,0.7645000000000001
2016-02-16,NESCO,EQ,1548.8,1540.0,1582.05,1524.0,1545.0,1542.8,1564.34,750,117325655000.0,80,626,0.8347
2016-02-17,NESCO,EQ,1542.8,1531.15,1535.1,1475.6,1493.0,1499.5,1503.56,1530,230045210000.0,208,907,0.5928
2016-02-18,NESCO,EQ,1499.5,1502.0,1549.95,1502.0,1540.0,1541.7,1533.8,494,75769785000.0,59,352,0.7126
2016-02-19,NESCO,EQ,1541.7,1546.85,1546.9,1490.0,1520.0,1511.1,1515.28,508,76976370000.0,65,356,0.7008
2016-02-22,NESCO,EQ,1511.1,1511.05,1525.0,1511.0,1520.0,1516.85,1518.17,199,30211525000.0,28,168,0.8442000000000001
2016-02-23,NESCO,EQ,1516.85,1516.05,1520.0,1475.0,1475.0,1475.9,1491.75,876,130677650000.0,106,618,0.7055
2016-02-24,NESCO,EQ,1475.9,1475.05,1527.65,1440.0,1440.0,1450.0,1469.76,1538,226049340000.0,222,1112,0.723
2016-02-25,NESCO,EQ,1450.0,1477.0,1480.0,1459.95,1460.0,1460.0,1468.59,284,41707870000.0,47,241,0.8486
2016-02-26,NESCO,EQ,1460.0,1494.7,1500.0,1454.75,1480.0,1480.1,1480.48,624,92382125000.0,89,494,0.7917000000000001
2016-02-29,NESCO,EQ,1480.1,1555.0,1555.0,1440.0,1442.0,1454.7,1475.31,532,78486365000.0,118,309,0.5808
2016-03-01,NESCO,EQ,1454.7,1454.05,1538.9,1454.0,1500.0,1497.7,1503.24,3075,462247365000.00006,350,1571,0.5109
2016-03-02,NESCO,EQ,1497.7,1507.0,1530.0,1481.1,1482.0,1498.15,1507.76,565,85188455000.0,92,324,0.5735
2016-03-03,NESCO,EQ,1498.15,1527.95,1530.0,1490.0,1520.0,1519.5,1519.03,340,51646930000.0,60,250,0.7353000000000001
2016-03-04,NESCO,EQ,1519.5,1490.4,1560.0,1490.35,1538.0,1515.95,1538.23,1392,214121685000.0,217,838,0.6020000000000001
2016-03-08,NESCO,EQ,1515.95,1488.0,1530.8,1488.0,1514.95,1515.6,1519.46,820,124595975000.0,123,514,0.6268
2016-03-09,NESCO,EQ,1515.6,1524.75,1534.0,1488.0,1500.05,1503.5,1512.24,1479,223660690000.0,187,891,0.6024
2016-03-10,NESCO,EQ,1503.5,1515.0,1535.0,1503.5,1520.0,1520.45,1513.26,474,71728760000.0,57,412,0.8692000000000001
2016-03-11,NESCO,EQ,1520.45,1534.95,1539.95,1510.0,1528.0,1524.55,1514.43,1719,260330579999.99997,133,1221,0.7103
2016-03-14,NESCO,EQ,1524.55,1544.9,1544.95,1502.25,1502.25,1519.05,1529.31,551,84264880000.0,77,401,0.7278
2016-03-15,NESCO,EQ,1519.05,1520.15,1525.0,1520.0,1522.0,1520.4,1521.8,526,80046575000.0,51,460,0.8745
2016-03-16,NESCO,EQ,1520.4,1550.0,1550.0,1491.0,1501.0,1507.8,1515.79,595,90189710000.0,82,478,0.8034
2016-03-17,NESCO,EQ,1507.8,1510.0,1527.0,1507.0,1507.0,1510.05,1519.34,469,71257020000.0,81,360,0.7676000000000001
2016-03-18,NESCO,EQ,1510.05,1519.95,1585.85,1519.95,1540.0,1533.05,1540.54,1925,296554085000.0,302,1197,0.6218
2016-03-21,NESCO,EQ,1533.05,1544.95,1549.95,1525.15,1529.0,1531.95,1537.93,813,125033425000.0,66,628,0.7724
2016-03-22,NESCO,EQ,1531.95,1526.7,1550.0,1520.0,1530.6,1532.6,1536.82,975,149840305000.0,143,752,0.7713
2016-03-23,NESCO,EQ,1532.6,1530.0,1530.0,1515.0,1520.0,1520.25,1520.96,1008,153313080000.0,48,853,0.8462000000000001
2016-03-28,NESCO,EQ,1520.25,1515.05,1529.95,1495.0,1504.0,1500.4,1514.34,386,58453575000.0,70,316,0.8187000000000001
2016-03-29,NESCO,EQ,1500.4,1489.0,1507.0,1488.0,1507.0,1502.95,1498.03,407,60969715000.0,98,239,0.5872
2016-03-30,NESCO,EQ,1502.95,1519.85,1523.0,1480.0,1500.0,1509.45,1504.44,903,135851375000.0,114,679,0.7519
2016-03-31,NESCO,EQ,1509.45,1492.8,1515.0,1490.0,1515.0,1511.1,1499.96,579,86847550000.0,116,407,0.7029000000000001
2016-04-01,NESCO,EQ,1511.1,1512.0,1535.0,1512.0,1535.0,1532.15,1526.17,635,96911645000.0,76,533,0.8394
2016-04-04,NESCO,EQ,1532.15,1532.2,1532.2,1501.4,1506.0,1508.0,1513.74,784,118677335000.00002,137,411,0.5242
2016-04-05,NESCO,EQ,1508.0,1510.0,1524.9,1485.0,1485.0,1492.9,1494.18,810,121028400000.0,111,635,0.784
2016-04-06,NESCO,EQ,1492.9,1514.9,1515.0,1499.95,1509.9,1509.35,1505.69,295,44417910000.0,49,207,0.7017
2016-04-07,NESCO,EQ,1509.35,1509.25,1515.0,1491.55,1492.0,1494.8,1500.27,587,88066125000.0,127,370,0.6303
2016-04-08,NESCO,EQ,1494.8,1501.0,1509.0,1485.0,1485.0,1494.0,1496.29,408,61048605000.00001,63,325,0.7966
2016-04-11,NESCO,EQ,1494.0,1494.25,1521.0,1486.0,1519.9,1512.0,1509.3,786,118630620000.0,142,430,0.5471
2016-04-12,NESCO,EQ,1512.0,1524.95,1524.95,1490.0,1490.5,1494.05,1508.82,393,59296625000.0,98,280,0.7125
2016-04-13,NESCO,EQ,1494.05,1515.0,1540.0,1515.0,1525.0,1536.6,1531.78,1032,158079770000.0,182,694,0.6725
2016-04-18,NESCO,EQ,1536.6,1540.0,1554.0,1502.85,1540.0,1528.85,1527.37,1590,242851950000.0,145,1187,0.7465
2016-04-20,NESCO,EQ,1528.85,1534.0,1559.95,1512.0,1550.0,1550.7,1541.27,1870,288218140000.0,196,1328,0.7101999999999999
2016-04-21,NESCO,EQ,1550.7,1563.9,1609.9,1535.5,1550.0,1553.7,1574.03,6115,962516640000.0,614,4084,0.6679
2016-04-22,NESCO,EQ,1553.7,1557.95,1557.95,1530.0,1530.05,1535.6,1541.2,550,84765880000.0,72,454,0.8255
2016-04-25,NESCO,EQ,1535.6,1544.0,1573.65,1540.0,1564.8,1552.6,1555.47,2091,325248775000.0,342,1459,0.6978
2016-04-26,NESCO,EQ,1552.6,1551.95,1562.0,1532.15,1560.0,1557.1,1550.41,1130,175195970000.0,134,851,0.7531
2016-04-27,NESCO,EQ,1557.1,1555.05,1555.05,1535.2,1540.4,1546.0,1545.37,528,81595450000.0,109,411,0.7784000000000001
2016-04-28,NESCO,EQ,1546.0,1550.05,1550.05,1533.0,1535.05,1545.75,1547.93,1837,284355245000.0,84,1661,0.9042
2016-04-29,NESCO,EQ,1545.75,1545.0,1564.95,1524.0,1563.3,1561.5,1547.71,1029,159259675000.0,150,802,0.7794
2016-05-02,NESCO,EQ,1561.5,1545.1,1579.0,1536.0,1537.1,1553.5,1552.73,3795,589259440000.0,288,3193,0.8414
2016-05-03,NESCO,EQ,1553.5,1569.7,1569.7,1525.1,1525.1,1532.1,1543.82,1014,156543370000.0,219,606,0.5976
2016-05-04,NESCO,EQ,1532.1,1532.0,1544.9,1516.2,1525.0,1523.75,1527.63,412,62938544999.99999,79,301,0.7306
2016-05-05,NESCO,EQ,1523.75,1523.05,1531.05,1515.1,1520.0,1519.7,1522.9,800,121832355000.0,68,702,0.8775000000000001
2016-05-06,NESCO,EQ,1519.7,1538.85,1547.95,1519.0,1530.0,1538.3,1532.79,2326,356526300000.0,62,2232,0.9596
2016-05-09,NESCO,EQ,1538.3,1559.95,1560.0,1530.0,1530.0,1539.35,1542.31,663,102255090000.0,104,441,0.6652
2016-05-10,NESCO,EQ,1539.35,1530.1,1536.65,1492.5,1510.0,1501.7,1510.81,2044,308810430000.0,174,1662,0.8131
2016-05-11,NESCO,EQ,1501.7,1512.0,1530.0,1512.0,1515.0,1515.2,1527.74,5939,907323225000.0,66,5851,0.9852
2016-05-12,NESCO,EQ,1515.2,1517.3,1539.0,1515.0,1520.9,1533.6,1521.72,527,80194600000.0,93,400,0.7590000000000001
2016-05-13,NESCO,EQ,1533.6,1524.05,1524.05,1488.7,1503.5,1503.0,1502.18,1519,228180540000.0,191,970,0.6386000000000001
2016-05-16,NESCO,EQ,1503.0,1510.0,1515.0,1491.0,1508.0,1504.95,1500.46,620,93028335000.0,84,451,0.7273999999999999
2016-05-17,NESCO,EQ,1504.95,1505.0,1520.05,1497.0,1507.0,1505.85,1507.34,1020,153748725000.0,80,870,0.8529000000000001
2016-05-18,NESCO,EQ,1505.85,1500.0,1519.95,1495.0,1519.95,1518.3,1507.25,749,112893230000.0,84,648,0.8652
2016-05-19,NESCO,EQ,1518.3,1500.5,1560.0,1500.5,1515.0,1520.35,1542.68,2840,438120555000.0,243,1982,0.6979000000000001
2016-05-20,NESCO,EQ,1520.35,1530.95,1535.0,1492.05,1500.0,1500.45,1513.99,712,107795789999.99998,100,574,0.8062
2016-05-23,NESCO,EQ,1500.45,1505.45,1518.0,1495.3,1497.05,1501.25,1505.26,629,94681145000.0,124,449,0.7138
2016-05-24,NESCO,EQ,1501.25,1501.0,1505.0,1484.0,1490.0,1489.4,1498.06,706,105763070000.0,80,563,0.7975
2016-05-25,NESCO,EQ,1489.4,1517.95,1517.95,1496.05,1510.0,1508.7,1509.59,530,80008370000.0,57,415,0.783
2016-05-26,NESCO,EQ,1508.7,1517.9,1534.0,1500.3,1520.0,1519.3,1516.85,646,97988205000.0,88,486,0.7523000000000001
2016-05-27,NESCO,EQ,1519.3,1521.0,1573.4,1521.0,1550.0,1547.9,1549.99,2290,354946825000.0,184,1953,0.8528
2016-05-30,NESCO,EQ,1547.9,1550.5,1606.4,1535.95,1563.0,1557.65,1572.31,11015,1731903110000.0002,948,4745,0.4308
2016-05-31,NESCO,EQ,1557.65,1560.3,1599.0,1544.9,1575.0,1568.05,1565.25,4219,660377150000.0,284,3022,0.7162999999999999
2016-06-01,NESCO,EQ,1568.05,1570.0,1583.9,1532.5,1574.0,1561.9,1558.21,3676,572799710000.0,393,2464,0.6703
2016-06-02,NESCO,EQ,1561.9,1565.1,1597.7,1552.15,1596.0,1590.6,1575.43,1758,276960775000.0,186,1395,0.7935
2016-06-03,NESCO,EQ,1590.6,1590.0,1590.15,1565.0,1565.0,1565.45,1578.92,1510,238417365000.0,148,1145,0.7583
2016-06-06,NESCO,EQ,1565.45,1579.95,1608.35,1565.0,1565.15,1570.3,1583.52,1096,173553745000.0,174,626,0.5712
2016-06-07,NESCO,EQ,1570.3,1580.0,1604.8,1580.0,1588.0,1586.95,1593.64,2105,335460500000.0,205,1476,0.7012
2016-06-08,NESCO,EQ,1586.95,1608.9,1748.0,1576.5,1636.0,1649.5,1691.75,36795,6224809595000.0,3909,10439,0.2837
2016-06-09,NESCO,EQ,1649.5,1648.65,1668.0,1600.0,1608.0,1612.85,1626.64,3607,586730445000.0,594,1715,0.4755
