Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,PERSISTENT,EQ,641.6,643.05,650.0,640.0,647.0,649.1,646.03,20449,1321058450000.0,1467,10693,0.5229
2016-01-04,PERSISTENT,EQ,649.1,649.1,649.1,640.0,645.1,647.2,645.74,18404,1188411585000.0,1058,8261,0.4489
2016-01-05,PERSISTENT,EQ,647.2,650.0,650.0,640.05,640.95,641.6,643.07,30548,1964454245000.0,1709,22034,0.7212999999999999
2016-01-06,PERSISTENT,EQ,641.6,641.0,647.7,640.0,643.9,642.85,643.31,59868,3851359825000.0,1628,52578,0.8782
2016-01-07,PERSISTENT,EQ,642.85,640.0,640.5,622.3,624.55,626.85,631.81,52314,3305250435000.0,4654,34538,0.6602
2016-01-08,PERSISTENT,EQ,626.85,627.0,638.5,625.0,626.0,629.75,632.41,34847,2203762325000.0,2291,22965,0.659
2016-01-11,PERSISTENT,EQ,629.75,625.0,632.05,613.55,620.0,617.8,621.18,92066,5718911340000.0,7097,43324,0.4706
2016-01-12,PERSISTENT,EQ,617.8,626.0,635.0,620.05,630.0,630.1,630.26,62461,3936679610000.0,4508,45855,0.7341
2016-01-13,PERSISTENT,EQ,630.1,635.0,643.0,620.0,623.3,625.4,628.82,100417,6314404930000.0,4854,75329,0.7502
2016-01-14,PERSISTENT,EQ,625.4,620.0,626.5,608.95,621.9,623.35,621.14,24790,1539817365000.0,2630,14192,0.5725
2016-01-15,PERSISTENT,EQ,623.35,620.05,625.05,613.4,622.0,617.65,620.08,20969,1300246490000.0,1591,10386,0.4953
2016-01-18,PERSISTENT,EQ,617.65,618.0,618.0,595.0,597.95,598.85,600.04,46033,2762143455000.0,3672,33499,0.7277
2016-01-19,PERSISTENT,EQ,598.85,617.0,617.0,587.0,616.0,615.25,604.06,28978,1750434555000.0,3219,17681,0.6102000000000001
2016-01-20,PERSISTENT,EQ,615.25,610.0,615.3,593.25,608.5,598.4,602.92,32583,1964489195000.0,2932,24997,0.7672
2016-01-21,PERSISTENT,EQ,598.4,616.0,616.05,596.0,615.0,607.4,605.56,59473,3601439485000.0,2567,38264,0.6434000000000001
2016-01-22,PERSISTENT,EQ,607.4,610.0,617.05,585.6,586.0,588.7,593.87,83083,4934026230000.0,7888,58760,0.7072
2016-01-25,PERSISTENT,EQ,588.7,635.65,640.7,604.1,608.6,608.65,614.93,248192,15262060575000.0,13184,119837,0.4828
2016-01-27,PERSISTENT,EQ,608.65,615.0,640.3,610.0,633.0,634.35,633.93,256644,16269509685000.0,26181,177947,0.6934
2016-01-28,PERSISTENT,EQ,634.35,636.2,649.95,629.0,637.0,638.75,636.28,104784,6667221105000.0,12133,61538,0.5872999999999999
2016-01-29,PERSISTENT,EQ,638.75,640.0,667.75,637.95,667.75,662.9,649.97,187837,12208777610000.0,15666,132419,0.705
2016-02-01,PERSISTENT,EQ,662.9,664.95,689.0,660.0,663.0,662.9,671.56,123382,8285802805000.0,9645,72887,0.5907
2016-02-02,PERSISTENT,EQ,662.9,666.0,672.5,662.0,668.1,666.7,667.93,197157,13168702880000.0,8611,181309,0.9196
2016-02-03,PERSISTENT,EQ,666.7,660.0,662.0,651.5,654.0,657.4,655.93,73838,4843254805000.0,12000,53449,0.7239
2016-02-04,PERSISTENT,EQ,657.4,661.6,666.95,635.55,641.25,643.6,651.76,63681,4150448975000.0,5553,50905,0.7994
2016-02-05,PERSISTENT,EQ,643.6,644.7,647.5,629.3,642.2,641.3,639.25,87973,5623687355000.0,11006,69635,0.7915000000000001
2016-02-08,PERSISTENT,EQ,641.3,647.4,658.7,631.0,641.0,637.05,645.5,42662,2753822595000.0,4975,28799,0.6751
2016-02-09,PERSISTENT,EQ,637.05,637.0,637.05,620.1,624.05,623.2,625.02,40008,2500573890000.0,3231,29147,0.7284999999999999
2016-02-10,PERSISTENT,EQ,623.2,623.2,629.5,610.1,613.0,611.8,617.96,143292,8854918135000.0,6430,94210,0.6575
2016-02-11,PERSISTENT,EQ,611.8,622.0,622.0,586.0,613.0,599.75,609.04,65477,3987782829999.9995,4668,42780,0.6534000000000001
