Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,MERCK,EQ,776.6,780.8,782.8,772.45,779.0,778.3,777.26,7890,613257135000.0,440,5123,0.6493000000000001
2016-01-04,MERCK,EQ,778.3,780.0,796.0,760.35,772.8,771.35,775.55,6042,468584940000.00006,512,2621,0.4338
2016-01-05,MERCK,EQ,771.35,770.15,775.5,765.35,768.0,767.9,769.0,8339,641272730000.0,427,5673,0.6803
2016-01-06,MERCK,EQ,767.9,774.95,774.95,762.1,763.0,764.4,768.02,17858,1371532410000.0,897,14448,0.809
2016-01-07,MERCK,EQ,764.4,760.55,765.0,745.15,746.8,748.0,753.64,13388,1008969540000.0,811,10179,0.7603
2016-01-08,MERCK,EQ,748.0,750.0,760.0,750.0,758.0,756.3,757.04,5152,390026065000.0,291,4120,0.7997
2016-01-11,MERCK,EQ,756.3,750.1,764.4,747.1,760.85,760.1,758.53,8264,626850790000.0,441,5839,0.7066
2016-01-12,MERCK,EQ,760.1,760.1,766.85,757.25,760.05,763.35,762.08,8826,672613420000.0,462,5460,0.6186
2016-01-13,MERCK,EQ,763.35,760.6,767.8,734.1,747.0,747.45,745.43,14903,1110910920000.0,879,10237,0.6869
2016-01-14,MERCK,EQ,747.45,740.0,747.45,737.55,740.3,741.5,741.6,12066,894815000000.0,482,6247,0.5177
2016-01-15,MERCK,EQ,741.5,744.85,747.8,723.15,725.0,727.4,734.49,13577,997214310000.0,729,7995,0.5889
2016-01-18,MERCK,EQ,727.4,722.3,723.5,705.0,707.05,706.7,713.08,15366,1095724760000.0,599,4851,0.31570000000000004
2016-01-19,MERCK,EQ,706.7,707.0,720.0,705.35,715.0,715.85,712.34,12215,870118955000.0001,354,8928,0.7309
2016-01-20,MERCK,EQ,715.85,716.0,716.0,700.0,703.3,702.55,703.81,13544,953235665000.0,579,9008,0.6651
2016-01-21,MERCK,EQ,702.55,706.0,709.0,696.0,698.1,700.15,701.72,6798,477029809999.99994,358,5007,0.7365
2016-01-22,MERCK,EQ,700.15,700.1,710.35,700.1,708.0,707.85,706.75,6490,458680350000.0,489,4035,0.6217
2016-01-25,MERCK,EQ,707.85,709.95,719.0,709.05,715.0,714.8,715.78,4382,313655235000.0,265,2952,0.6737000000000001
2016-01-27,MERCK,EQ,714.8,715.0,735.55,715.0,720.0,719.85,723.87,11952,865169050000.0,1763,7349,0.6149
2016-01-28,MERCK,EQ,719.85,724.75,735.0,718.0,734.95,729.15,723.98,9462,685028535000.0,2330,7901,0.835
2016-01-29,MERCK,EQ,729.15,736.45,738.2,721.1,721.6,722.5,725.46,8292,601552030000.0,2659,5957,0.7184
2016-02-01,MERCK,EQ,722.5,725.0,726.5,713.0,715.0,716.65,719.26,8021,576917405000.0,1094,6775,0.8447
2016-02-02,MERCK,EQ,716.65,720.0,721.8,709.0,712.5,711.1,717.08,3680,263885829999.99997,339,2799,0.7606
2016-02-03,MERCK,EQ,711.1,712.95,713.7,702.0,707.5,704.3,707.49,3865,273446645000.00003,302,2627,0.6797
2016-02-04,MERCK,EQ,704.3,702.5,729.75,687.0,687.2,689.55,702.57,14202,997786235000.0,820,8830,0.6217
2016-02-05,MERCK,EQ,689.55,695.0,710.8,687.05,703.85,701.2,696.44,10904,759397565000.0,577,8584,0.7872
2016-02-08,MERCK,EQ,701.2,703.0,706.25,685.55,697.0,697.25,696.32,14773,1028673910000.0,851,11376,0.7701000000000001
2016-02-09,MERCK,EQ,697.25,699.0,699.0,689.0,690.0,690.3,693.08,5212,361234615000.0,351,3816,0.7322
2016-02-10,MERCK,EQ,690.3,695.0,695.0,685.0,687.65,685.2,687.64,5844,401858275000.0,331,4465,0.7640000000000001
2016-02-11,MERCK,EQ,685.2,685.2,690.0,665.1,665.1,669.95,676.11,13790,932351030000.0001,840,11698,0.8483
2016-02-12,MERCK,EQ,669.95,677.0,677.0,620.0,630.0,630.6,636.34,29524,1878726364999.9998,1555,19090,0.6466
