Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,PTC,EQ,66.85,66.35,67.4,65.5,66.55,66.6,66.67,569881,3799666765000.0,2121,115030,0.2018
2016-01-04,PTC,EQ,66.6,66.8,67.8,66.0,66.9,66.8,66.8,1263296,8439045870000.0,4566,635947,0.5034000000000001
2016-01-05,PTC,EQ,66.8,66.9,70.45,66.9,70.3,70.25,69.58,2635422,18336439695000.0,10383,741369,0.2813
2016-01-06,PTC,EQ,70.25,70.0,71.5,66.9,68.0,67.65,68.56,2719451,18644954535000.0,9160,1186764,0.4364
2016-01-07,PTC,EQ,67.65,66.9,67.35,64.9,66.25,65.95,66.22,1744018,11549036840000.0,10386,865182,0.4961
2016-01-08,PTC,EQ,65.95,66.15,69.45,66.15,69.0,69.0,67.79,733224,4970851530000.0,3182,267377,0.36469999999999997
2016-01-11,PTC,EQ,69.0,66.8,70.35,66.8,68.1,68.15,68.86,1471288,10131378040000.0,6900,405261,0.2754
2016-01-12,PTC,EQ,68.15,68.0,69.85,67.4,68.25,68.1,68.74,1752035,12043266090000.0,7669,410961,0.2346
2016-01-13,PTC,EQ,68.1,68.5,70.75,65.5,67.75,67.8,68.36,2445237,16716713830000.002,20704,802788,0.3283
2016-01-14,PTC,EQ,67.8,66.0,67.4,64.4,65.05,65.15,66.06,2197729,14518360550000.0,10426,378037,0.172
2016-01-15,PTC,EQ,65.15,65.75,66.75,59.25,60.4,60.1,63.23,1560262,9864828150000.0,6998,420973,0.2698
2016-01-18,PTC,EQ,60.1,60.25,61.75,58.5,59.0,59.75,60.17,2471378,14870023619999.998,10269,1085183,0.4391
2016-01-19,PTC,EQ,59.75,59.5,60.5,58.35,59.95,60.0,59.74,2482242,14828750750000.0,6774,956691,0.3854
2016-01-20,PTC,EQ,60.0,59.75,59.75,56.05,58.1,58.2,57.95,2064469,11962831365000.0,7348,600238,0.2907
2016-01-21,PTC,EQ,58.2,58.5,59.6,56.9,57.6,57.7,58.0,1471827,8536893615000.001,8029,350600,0.2382
2016-01-22,PTC,EQ,57.7,58.3,60.55,58.3,60.05,60.25,59.71,1848113,11035487455000.0,10890,426347,0.23070000000000002
2016-01-25,PTC,EQ,60.25,61.55,62.65,61.0,61.6,61.9,61.9,1892362,11712792350000.0,11547,878066,0.46399999999999997
2016-01-27,PTC,EQ,61.9,62.5,63.45,61.4,62.95,62.75,62.36,1066690,6651928065000.0,4819,192968,0.1809
2016-01-28,PTC,EQ,62.75,62.7,63.85,61.1,61.95,62.25,62.52,5612896,35091407300000.0,10820,1812923,0.32299999999999995
2016-01-29,PTC,EQ,62.25,62.2,64.75,61.55,64.4,64.25,63.18,1418774,8963748510000.0,7094,517426,0.36469999999999997
2016-02-01,PTC,EQ,64.25,64.4,65.2,63.45,64.3,64.25,64.24,927937,5961170080000.0,4773,290596,0.31320000000000003
2016-02-02,PTC,EQ,64.25,64.3,65.4,61.1,61.4,62.15,63.77,999212,6371948065000.0,6591,411508,0.4118
2016-02-03,PTC,EQ,62.15,61.0,61.55,60.15,60.7,60.55,60.88,585788,3566340270000.0005,3139,161412,0.2755
2016-02-04,PTC,EQ,60.55,61.0,61.75,60.45,60.85,60.85,60.98,730041,4451865055000.0,3187,317465,0.4349
2016-02-05,PTC,EQ,60.85,60.9,64.75,60.6,64.5,63.75,62.45,1532975,9572797720000.0,7292,283343,0.18480000000000002
2016-02-08,PTC,EQ,63.75,66.0,67.4,64.4,65.25,64.9,65.72,1982906,13031369130000.0,11127,464809,0.23440000000000003
2016-02-09,PTC,EQ,64.9,64.8,66.45,64.1,65.1,64.95,65.53,1773230,11620280490000.0,8037,344834,0.1945
2016-02-10,PTC,EQ,64.95,65.15,65.6,62.1,62.75,62.75,63.87,1094428,6990121095000.0,5739,286188,0.2615
2016-02-11,PTC,EQ,62.75,62.4,62.9,59.1,60.6,60.4,61.12,1989107,12157994215000.0,8849,786804,0.3956
2016-02-12,PTC,EQ,60.4,60.5,61.0,56.15,59.4,59.65,58.61,1328043,7783539125000.0,6239,299039,0.2252
2016-02-15,PTC,EQ,59.65,60.0,65.45,60.0,64.0,64.6,63.4,1264578,8016847684999.999,9422,483526,0.3824
2016-02-16,PTC,EQ,64.6,64.3,64.6,60.1,61.2,61.1,62.9,1340825,8433463265000.001,6691,210624,0.15710000000000002
2016-02-17,PTC,EQ,61.1,59.4,65.0,59.4,64.65,63.8,61.96,2412323,14947251669999.998,14034,302996,0.12560000000000002
2016-02-18,PTC,EQ,63.8,64.9,65.3,61.0,61.25,61.45,62.75,1747670,10966698665000.0,7849,388075,0.22210000000000002
2016-02-19,PTC,EQ,61.45,61.45,62.4,60.55,61.15,61.2,61.5,1069808,6579768825000.0,5636,275304,0.25730000000000003
2016-02-22,PTC,EQ,61.2,61.9,61.9,60.6,60.95,60.8,61.1,652453,3986407170000.0005,3574,277026,0.42460000000000003
2016-02-23,PTC,EQ,60.8,61.3,61.3,59.7,59.8,59.9,60.33,678272,4091680370000.0005,3662,213850,0.3153
2016-02-24,PTC,EQ,59.9,59.95,60.7,59.0,59.35,59.55,59.64,1099966,6560119740000.0,4645,278939,0.2536
2016-02-25,PTC,EQ,59.55,59.9,61.5,58.6,60.3,60.1,59.98,2127497,12760114700000.0,7278,674245,0.3169
2016-02-26,PTC,EQ,60.1,60.7,60.75,59.35,59.75,59.9,60.03,808849,4855889045000.0,4643,281749,0.3483
2016-02-29,PTC,EQ,59.9,60.2,61.05,58.55,59.5,59.65,59.9,753904,4516079080000.0,4141,136540,0.1811
2016-03-01,PTC,EQ,59.65,60.2,61.3,60.0,61.2,60.95,60.89,722077,4396928979999.9995,2806,442353,0.6126
2016-03-02,PTC,EQ,60.95,61.6,63.8,61.35,63.4,63.3,62.53,868861,5433325035000.0,4537,297952,0.3429
2016-03-03,PTC,EQ,63.3,64.0,64.4,62.35,62.9,62.85,63.55,3273146,20801978975000.0,9260,2398382,0.7327
2016-03-04,PTC,EQ,62.85,63.1,63.9,62.05,62.6,62.55,62.98,1344371,8467458015000.001,5940,679503,0.5054
2016-03-08,PTC,EQ,62.55,62.55,62.95,61.9,62.15,62.3,62.49,1530902,9565986345000.0,6802,1004178,0.6559
2016-03-09,PTC,EQ,62.3,62.45,62.55,61.35,62.35,62.4,62.11,803217,4988527630000.0,3520,222896,0.2775
2016-03-10,PTC,EQ,62.4,62.85,64.4,62.5,63.4,63.35,63.64,1224302,7790921420000.0,7535,284156,0.2321
2016-03-11,PTC,EQ,63.35,63.5,63.95,62.25,62.7,62.55,62.81,873919,5489378155000.0,3220,390861,0.4473
2016-03-14,PTC,EQ,62.55,63.0,63.9,61.8,63.0,63.25,62.89,1214667,7638962040000.001,6013,304423,0.2506
2016-03-15,PTC,EQ,63.25,63.55,63.55,62.35,63.0,63.0,62.93,458813,2887220890000.0,4672,166519,0.3629
2016-03-16,PTC,EQ,63.0,63.05,63.4,61.8,62.7,62.55,62.45,517330,3230472580000.0,3990,149424,0.2888
2016-03-17,PTC,EQ,62.55,63.05,63.75,62.5,62.75,62.85,63.13,463519,2926155345000.0,6082,202495,0.4369
2016-03-18,PTC,EQ,62.85,63.05,63.95,62.4,63.65,63.65,63.18,1061542,6706407165000.0,7939,597430,0.5628000000000001
