Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,RADICO,EQ,119.5,119.55,121.0,115.5,115.8,116.05,118.24,495418,5857871150000.0,5168,248241,0.5011
2016-01-04,RADICO,EQ,116.05,115.9,118.05,113.05,114.65,114.8,116.16,432088,5019108985000.0,5353,222018,0.5138
2016-01-05,RADICO,EQ,114.8,115.45,118.0,113.1,115.5,115.3,115.84,283638,3285521735000.0,4173,146826,0.5177
2016-01-06,RADICO,EQ,115.3,116.0,116.5,111.15,111.7,111.65,113.2,217009,2456537305000.0,3867,153621,0.7079000000000001
2016-01-07,RADICO,EQ,111.65,111.0,112.8,108.3,112.0,111.2,111.1,631792,7019216809999.999,6282,488127,0.7726000000000001
2016-01-08,RADICO,EQ,111.2,112.25,118.2,112.1,117.2,117.5,116.61,607860,7087984425000.0,4520,385533,0.6342
2016-01-11,RADICO,EQ,117.5,115.0,125.9,113.7,121.95,121.35,120.7,2216758,26756023245000.0,12784,1215202,0.5482
2016-01-12,RADICO,EQ,121.35,122.45,122.9,113.8,114.1,114.65,117.77,668362,7871231159999.999,7399,398839,0.5967
2016-01-13,RADICO,EQ,114.65,115.4,119.0,104.5,112.75,112.7,110.97,1154697,12813596005000.0,7167,547244,0.4739
2016-01-14,RADICO,EQ,112.7,108.0,113.0,106.95,112.1,111.45,110.51,286687,3168161610000.0,5192,104863,0.3658
2016-01-15,RADICO,EQ,111.45,112.25,113.9,101.2,104.8,104.6,106.27,495609,5266999180000.0,5628,270780,0.5464
2016-01-18,RADICO,EQ,104.6,105.6,108.4,97.6,105.55,106.1,104.76,517709,5423740540000.0,5647,282523,0.5457
2016-01-19,RADICO,EQ,106.1,108.0,112.0,104.3,108.0,108.4,108.77,547581,5955871280000.0,5641,251392,0.45909999999999995
2016-01-20,RADICO,EQ,108.4,107.15,109.0,106.05,107.05,107.15,107.48,550291,5914617435000.0,9309,274205,0.4983
2016-01-21,RADICO,EQ,107.15,108.1,112.0,107.9,109.0,109.4,110.09,444415,4892646560000.0,5633,189181,0.4257
2016-01-22,RADICO,EQ,109.4,111.2,112.55,109.55,111.7,111.95,111.52,277704,3097014470000.0,4486,135661,0.48850000000000005
2016-01-25,RADICO,EQ,111.95,111.95,114.7,111.2,111.3,111.75,113.17,308139,3487279045000.0005,3731,172862,0.561
2016-01-27,RADICO,EQ,111.75,113.0,114.0,110.75,113.0,113.45,112.07,494671,5543748175000.0,3594,377950,0.7640000000000001
2016-01-28,RADICO,EQ,113.45,112.05,113.6,110.45,111.55,111.6,112.05,74283,832364705000.0,692,36111,0.48610000000000003
2016-01-29,RADICO,EQ,111.6,111.2,115.4,110.05,114.5,114.0,113.08,153890,1740113380000.0,1373,91917,0.5972999999999999
2016-02-01,RADICO,EQ,114.0,113.2,117.95,113.2,114.55,114.85,116.09,184551,2142544445000.0,2894,73379,0.3976
2016-02-02,RADICO,EQ,114.85,113.5,116.8,113.5,114.5,114.7,115.79,224538,2600008645000.0,3156,149906,0.6676000000000001
2016-02-03,RADICO,EQ,114.7,113.55,116.5,111.35,112.5,112.35,114.21,167913,1917671914999.9998,1589,109465,0.6519
2016-02-04,RADICO,EQ,112.35,113.85,114.9,106.25,110.4,109.1,109.98,294848,3242701670000.0,2006,192966,0.6545000000000001
2016-02-05,RADICO,EQ,109.1,110.45,115.35,108.3,114.0,113.55,113.0,519060,5865251790000.0,3991,253554,0.48850000000000005
2016-02-08,RADICO,EQ,113.55,113.6,114.2,107.6,108.0,108.55,110.82,232257,2573880305000.0,2438,133410,0.5744
2016-02-09,RADICO,EQ,108.55,106.0,108.2,105.0,107.5,107.05,106.97,157153,1681016930000.0,1381,97545,0.6207
2016-02-10,RADICO,EQ,107.05,106.65,107.9,105.7,107.35,106.6,106.46,219199,2333557950000.0,4850,153982,0.7025
2016-02-11,RADICO,EQ,106.6,106.3,110.7,92.0,99.25,97.6,98.71,405687,4004633390000.0,3888,247213,0.6093999999999999
2016-02-12,RADICO,EQ,97.6,97.5,99.45,90.6,96.0,97.15,94.41,324281,3061398610000.0,8152,174313,0.5375
2016-02-15,RADICO,EQ,97.15,99.0,101.95,98.05,99.65,99.4,99.89,162329,1621442195000.0,2671,84190,0.5186
2016-02-16,RADICO,EQ,99.4,100.75,100.75,96.75,97.5,97.95,98.45,104135,1025255940000.0,1160,61212,0.5878
2016-02-17,RADICO,EQ,97.95,97.0,98.9,93.1,98.5,98.5,96.81,130474,1263154760000.0,3703,75978,0.5822999999999999
2016-02-18,RADICO,EQ,98.5,99.65,99.9,96.2,99.2,98.45,98.31,114299,1123709880000.0,2470,64157,0.5613
2016-02-19,RADICO,EQ,98.45,99.2,102.15,99.2,99.3,99.75,100.14,85895,860164005000.0001,1853,38088,0.4434
2016-02-22,RADICO,EQ,99.75,99.5,103.15,99.05,102.0,101.85,101.46,180310,1829339064999.9998,4396,80876,0.4485
2016-02-23,RADICO,EQ,101.85,102.8,102.8,98.75,99.0,99.95,100.18,107760,1079487990000.0,2405,58514,0.543
2016-02-24,RADICO,EQ,99.95,98.25,99.4,96.95,97.85,98.2,97.89,103470,1012898375000.0,2376,65273,0.6308
2016-02-25,RADICO,EQ,98.2,97.25,98.2,95.2,96.5,96.8,96.48,107442,1036584305000.0001,3373,44940,0.4183
2016-02-26,RADICO,EQ,96.8,97.0,99.5,91.0,91.8,92.4,93.4,182360,1703287310000.0002,4432,110969,0.6085
2016-02-29,RADICO,EQ,92.4,91.1,97.6,90.1,95.8,95.2,94.43,124869,1179184505000.0,2509,60584,0.4852
2016-03-01,RADICO,EQ,95.2,94.0,97.4,94.0,95.8,96.9,96.34,136734,1317320095000.0,2273,85597,0.626
2016-03-02,RADICO,EQ,96.9,96.7,99.1,95.55,95.55,96.4,97.23,186936,1817644995000.0,2685,121718,0.6511
2016-03-03,RADICO,EQ,96.4,95.5,103.9,94.0,102.35,102.35,99.99,417076,4170157745000.0005,5808,173136,0.41509999999999997
2016-03-04,RADICO,EQ,102.35,103.2,103.3,99.05,101.3,101.7,101.22,207832,2103711614999.9998,3926,86445,0.41590000000000005
2016-03-08,RADICO,EQ,101.7,100.6,102.5,97.7,100.05,100.65,100.73,118643,1195127010000.0,2779,60331,0.5085000000000001
2016-03-09,RADICO,EQ,100.65,98.65,103.2,98.2,102.1,102.0,100.62,112625,1133192115000.0,2625,49012,0.43520000000000003
2016-03-10,RADICO,EQ,102.0,101.6,102.5,98.5,99.35,100.4,100.12,145167,1453350950000.0,3122,61324,0.42240000000000005
2016-03-11,RADICO,EQ,100.4,98.5,101.3,98.5,99.45,99.95,99.92,97902,978228955000.0001,2017,44475,0.4543
2016-03-14,RADICO,EQ,99.95,100.45,102.45,99.0,99.1,99.6,100.62,113790,1144944550000.0,5429,59408,0.5221
2016-03-15,RADICO,EQ,99.6,101.0,101.0,96.8,97.0,97.2,98.25,99928,981814319999.9999,2140,58251,0.5829
2016-03-16,RADICO,EQ,97.2,97.05,98.4,96.55,97.1,97.05,97.15,63272,614688620000.0,1399,39913,0.6308
2016-03-17,RADICO,EQ,97.05,98.9,99.5,95.2,95.5,95.9,97.27,99396,966844890000.0,3291,46185,0.4647
2016-03-18,RADICO,EQ,95.9,96.05,97.85,95.9,96.1,96.4,96.5,83524,806003505000.0,2624,45505,0.5448
2016-03-21,RADICO,EQ,96.4,96.1,101.45,96.1,98.85,99.4,99.5,323353,3217518020000.0,3989,198555,0.6141
2016-03-22,RADICO,EQ,99.4,99.35,99.35,94.15,94.9,95.65,96.68,224672,2172115589999.9998,2731,142013,0.6321
2016-03-23,RADICO,EQ,95.65,95.2,96.6,94.65,95.6,95.45,95.63,134555,1286706225000.0,1570,88790,0.6598999999999999
2016-03-28,RADICO,EQ,95.45,95.45,96.1,93.8,94.6,94.55,94.61,585524,5539556710000.0,815,561051,0.9581999999999999
2016-03-29,RADICO,EQ,94.55,95.0,95.3,92.75,93.9,93.65,93.66,610137,5714530060000.0,1433,583163,0.9558
2016-03-30,RADICO,EQ,93.65,95.45,96.9,94.25,95.3,95.6,95.7,119870,1147194965000.0,1024,50160,0.41850000000000004
2016-03-31,RADICO,EQ,95.6,95.95,96.5,95.05,95.45,95.35,95.65,145989,1396440940000.0,1199,89542,0.6133
2016-04-01,RADICO,EQ,95.35,95.5,97.9,95.05,96.75,96.5,96.68,99436,961324250000.0,1536,30798,0.3097
2016-04-04,RADICO,EQ,96.5,97.0,97.8,96.5,96.75,97.25,97.36,94706,922101860000.0,888,42274,0.4464
2016-04-05,RADICO,EQ,97.25,97.0,97.0,94.6,96.2,96.1,95.76,129259,1237836730000.0,1424,57148,0.4421
2016-04-06,RADICO,EQ,96.1,95.0,96.75,93.3,93.9,94.15,95.01,76186,723873720000.0,1068,49347,0.6476999999999999
2016-04-07,RADICO,EQ,94.15,95.5,95.9,93.9,94.2,94.4,94.76,86049,815398900000.0,1507,46101,0.5357999999999999
2016-04-08,RADICO,EQ,94.4,93.75,95.8,93.6,95.35,94.8,94.45,78268,739231175000.0,1773,46137,0.5895
2016-04-11,RADICO,EQ,94.8,95.0,95.7,90.2,90.95,90.9,92.06,268342,2470432820000.0,3721,192422,0.7171
2016-04-12,RADICO,EQ,90.9,91.05,91.1,87.0,87.1,87.45,87.68,752619,6598899110000.0,3770,642697,0.8539
2016-04-13,RADICO,EQ,87.45,89.0,89.0,87.6,88.0,87.8,88.13,133269,1174534825000.0,1742,77620,0.5824
2016-04-18,RADICO,EQ,87.8,87.8,90.25,87.5,88.15,88.45,89.24,192538,1718150120000.0,2991,135421,0.7033
2016-04-20,RADICO,EQ,88.45,88.45,97.8,87.5,91.5,90.95,92.04,621971,5724566295000.0,8273,294349,0.4733
2016-04-21,RADICO,EQ,90.95,91.9,95.0,91.9,93.5,93.5,93.6,288863,2703838250000.0,3866,131099,0.45380000000000004
2016-04-22,RADICO,EQ,93.5,92.15,94.3,92.1,92.2,92.3,93.04,117397,1092316050000.0,1963,64947,0.5532
2016-04-25,RADICO,EQ,92.3,93.45,93.45,90.8,91.15,91.5,92.07,57837,532477140000.00006,1042,34703,0.6
2016-04-26,RADICO,EQ,91.5,91.9,92.8,90.3,91.6,91.85,91.67,105037,962899600000.0,2106,64690,0.6159
2016-04-27,RADICO,EQ,91.85,92.95,92.95,90.6,90.7,90.9,91.38,72560,663021710000.0,1084,51100,0.7042
2016-04-28,RADICO,EQ,90.9,90.9,91.35,88.45,89.0,88.8,89.78,106377,955054450000.0,1641,76410,0.7183
2016-04-29,RADICO,EQ,88.8,89.7,90.4,87.5,88.05,88.25,88.61,67895,601630655000.0,1054,45825,0.6748999999999999
2016-05-02,RADICO,EQ,88.25,89.0,89.7,88.0,88.25,88.35,88.55,51778,458477400000.0,804,34689,0.67
2016-05-03,RADICO,EQ,88.35,89.0,92.15,88.0,89.2,89.5,90.49,464321,4201480579999.9995,4408,221785,0.4777
2016-05-04,RADICO,EQ,89.5,88.95,89.3,88.0,88.2,88.25,88.3,147745,1304532675000.0,2234,117819,0.7974
2016-05-05,RADICO,EQ,88.25,88.5,90.4,88.05,88.85,89.3,88.84,776380,6897213845000.0,2820,717455,0.9241
2016-05-06,RADICO,EQ,89.3,88.25,89.0,86.85,87.3,87.15,87.55,125090,1095174055000.0001,1400,86812,0.6940000000000001
2016-05-09,RADICO,EQ,87.15,89.7,94.0,88.7,93.0,92.95,91.6,248708,2278062635000.0,3735,176204,0.7084999999999999
2016-05-10,RADICO,EQ,92.95,93.4,93.4,90.5,92.0,91.7,91.86,133824,1229253195000.0,1061,91225,0.6817000000000001
2016-05-11,RADICO,EQ,91.7,90.1,95.4,87.55,88.9,91.55,90.52,456131,4128816390000.0,5596,135314,0.2967
2016-05-12,RADICO,EQ,91.55,90.0,90.9,89.2,89.6,89.65,89.75,132010,1184845925000.0,1507,73613,0.5576
2016-05-13,RADICO,EQ,89.65,89.9,89.9,87.95,88.45,88.45,88.7,113748,1008943335000.0,2435,66860,0.5878
2016-05-16,RADICO,EQ,88.45,88.45,88.55,87.0,87.25,87.6,87.66,85400,748622975000.0,1694,39139,0.4583
2016-05-17,RADICO,EQ,87.6,87.8,90.25,87.4,88.6,88.65,87.93,823418,7240227765000.001,3407,722975,0.878
2016-05-18,RADICO,EQ,88.65,88.0,91.6,88.0,89.85,89.65,90.34,175304,1583746645000.0,3481,68320,0.3897
2016-05-19,RADICO,EQ,89.65,88.55,90.05,87.55,87.65,87.95,88.73,82795,734629170000.0,1732,59426,0.7177
2016-05-20,RADICO,EQ,87.95,87.95,88.95,86.75,86.85,87.1,87.42,54584,477151965000.00006,1269,35112,0.6433
2016-05-23,RADICO,EQ,87.1,87.5,88.35,85.45,85.55,85.65,86.43,112056,968531710000.0,2263,87082,0.7770999999999999
2016-05-24,RADICO,EQ,85.65,85.65,86.4,83.8,84.0,84.1,84.56,71690,606212620000.0,2163,45929,0.6406999999999999
2016-05-25,RADICO,EQ,84.1,87.0,87.0,84.35,84.6,84.65,84.9,43088,365833740000.0,1509,28078,0.6516
2016-05-26,RADICO,EQ,84.65,84.65,86.0,84.1,85.05,85.2,85.13,58080,494440155000.0,1773,40654,0.7000000000000001
2016-05-27,RADICO,EQ,85.2,85.4,86.75,84.15,84.65,84.85,85.32,76354,651462560000.0,2075,50323,0.6591
2016-05-30,RADICO,EQ,84.85,85.0,86.5,84.35,85.1,85.35,85.12,761226,6479807165000.0,3268,718808,0.9443000000000001
2016-05-31,RADICO,EQ,85.35,85.9,85.9,84.65,85.45,85.5,85.28,51352,437917055000.0,2321,37324,0.7268000000000001
2016-06-01,RADICO,EQ,85.5,85.2,89.1,85.15,86.75,86.95,86.63,835440,7237268409999.999,4291,749367,0.897
2016-06-02,RADICO,EQ,86.95,87.4,92.3,86.9,90.0,90.05,89.68,1147566,10291920715000.0,12309,748553,0.6523000000000001
2016-06-03,RADICO,EQ,90.05,90.2,92.85,88.25,88.6,88.8,89.85,200693,1803277775000.0,4778,98462,0.49060000000000004
2016-06-06,RADICO,EQ,88.8,89.0,89.3,86.75,86.85,87.05,87.85,120755,1060868715000.0,2805,60843,0.5039
2016-06-07,RADICO,EQ,87.05,87.8,94.3,87.5,94.05,93.15,91.59,639768,5859612955000.0,7866,370185,0.5786
2016-06-08,RADICO,EQ,93.15,93.9,94.05,91.3,93.0,93.0,92.48,402293,3720378410000.0,8910,196133,0.4875
2016-06-09,RADICO,EQ,93.0,92.9,93.55,90.5,90.55,91.05,92.19,170411,1570968685000.0,3773,85686,0.5028
2016-06-10,RADICO,EQ,91.05,92.0,97.5,90.55,92.6,92.7,94.34,482520,4552282395000.0,6369,206236,0.4274
2016-06-13,RADICO,EQ,92.7,92.45,92.65,90.3,91.0,91.2,91.3,151695,1384904675000.0,2585,62958,0.41500000000000004
2016-06-14,RADICO,EQ,91.2,91.9,94.8,91.35,91.7,91.95,92.94,222412,2067117370000.0,4184,71809,0.3229
2016-06-15,RADICO,EQ,91.95,92.9,93.5,90.7,91.1,91.1,92.04,164158,1510897920000.0,3131,75111,0.4576
2016-06-16,RADICO,EQ,91.1,91.65,91.65,89.0,89.6,89.6,89.96,108130,972762515000.0,2381,78831,0.7290000000000001
2016-06-17,RADICO,EQ,89.6,88.9,91.0,87.9,88.35,88.5,89.2,234960,2095941789999.9998,5545,145607,0.6197
2016-06-20,RADICO,EQ,88.5,88.7,89.6,85.95,86.5,86.7,87.41,231033,2019523805000.0,2311,189157,0.8187000000000001
2016-06-21,RADICO,EQ,86.7,87.9,88.9,87.2,88.2,88.1,88.34,99062,875104575000.0,1940,45202,0.45630000000000004
2016-06-22,RADICO,EQ,88.1,88.6,96.0,88.3,92.3,92.3,93.72,977202,9158158680000.0,10474,302281,0.3093
2016-06-23,RADICO,EQ,92.3,92.0,94.0,90.45,93.95,92.65,91.87,159415,1464532110000.0,2252,94656,0.5938
2016-06-24,RADICO,EQ,92.65,90.95,91.6,88.0,90.1,90.15,89.66,209122,1874955270000.0,2106,125705,0.6011
