Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,RALLIS,EQ,177.8,180.0,181.5,177.75,181.0,180.3,179.98,104138,1874246795000.0,1748,43440,0.4171
2016-01-04,RALLIS,EQ,180.3,181.9,181.9,174.0,174.9,175.0,177.48,124187,2204073490000.0,3958,76255,0.614
2016-01-05,RALLIS,EQ,175.0,175.5,178.5,173.3,175.15,175.8,176.38,204499,3606898015000.0,2523,151594,0.7413
2016-01-06,RALLIS,EQ,175.8,176.8,177.45,172.0,172.5,172.45,174.29,114888,2002367120000.0,3143,71849,0.6254
2016-01-07,RALLIS,EQ,172.45,171.0,171.0,165.5,169.0,168.85,168.18,184969,3110822490000.0,4660,115093,0.6222
2016-01-08,RALLIS,EQ,168.85,170.95,172.9,167.05,169.5,169.05,169.32,115001,1947201220000.0,1851,82023,0.7132
2016-01-11,RALLIS,EQ,169.05,169.05,169.6,165.25,166.5,166.0,166.53,103074,1716501310000.0002,2473,62769,0.609
2016-01-12,RALLIS,EQ,166.0,165.6,171.7,165.2,169.35,169.6,168.17,146950,2471199575000.0,4344,82430,0.5609000000000001
2016-01-13,RALLIS,EQ,169.6,170.15,172.0,159.3,170.0,169.35,165.29,205983,3404683440000.0,5188,111010,0.5389
2016-01-14,RALLIS,EQ,169.35,165.1,171.3,163.2,169.1,169.95,167.95,138406,2324507435000.0,3329,84283,0.609
2016-01-15,RALLIS,EQ,169.95,170.1,174.0,160.55,164.0,162.7,168.03,160741,2700911780000.0,2948,82542,0.5135000000000001
2016-01-18,RALLIS,EQ,162.7,162.7,163.95,155.25,160.9,158.0,158.1,227095,3590370620000.0005,4566,139869,0.6159
2016-01-19,RALLIS,EQ,158.0,154.0,156.0,144.6,150.4,148.85,148.81,565284,8411748950000.0,8361,260064,0.4601
2016-01-20,RALLIS,EQ,148.85,145.0,146.0,142.0,143.0,143.0,143.28,310237,4444946490000.0,6128,162835,0.5249
2016-01-21,RALLIS,EQ,143.0,146.95,146.95,142.0,144.0,143.65,143.16,509569,7294983275000.0,4128,466649,0.9158
2016-01-22,RALLIS,EQ,143.65,145.5,165.0,145.5,161.5,161.9,158.83,438116,6958718940000.001,6424,157847,0.3603
2016-01-25,RALLIS,EQ,161.9,163.2,168.5,160.15,165.55,164.6,164.21,138991,2282439155000.0,2788,47542,0.3421
2016-01-27,RALLIS,EQ,164.6,166.0,168.6,164.3,165.0,165.8,166.17,108889,1809355830000.0,1338,74671,0.6858
2016-01-28,RALLIS,EQ,165.8,165.8,166.55,163.35,164.05,163.9,164.4,118778,1952703289999.9998,2370,105833,0.891
2016-01-29,RALLIS,EQ,163.9,164.5,165.8,162.65,165.6,165.2,164.69,35590,586134125000.0,1091,19370,0.5443
2016-02-01,RALLIS,EQ,165.2,167.85,171.9,163.25,163.7,163.85,167.92,119648,2009106605000.0,4124,45978,0.38430000000000003
2016-02-02,RALLIS,EQ,163.85,163.7,165.8,156.15,160.0,158.45,163.27,122878,2006287970000.0,4086,84004,0.6836
2016-02-03,RALLIS,EQ,158.45,158.0,158.9,153.6,158.0,157.35,157.12,54525,856714375000.0,2005,33164,0.6082
2016-02-04,RALLIS,EQ,157.35,158.0,164.0,156.8,158.2,157.75,160.17,71315,1142272470000.0,2845,31303,0.4389
2016-02-05,RALLIS,EQ,157.75,158.05,163.0,157.0,163.0,161.0,159.91,56922,910243590000.0,3486,32219,0.5660000000000001
2016-02-08,RALLIS,EQ,161.0,164.4,166.6,159.75,163.35,164.15,164.2,143146,2350505625000.0,4504,89739,0.6269
2016-02-09,RALLIS,EQ,164.15,160.0,164.0,160.0,162.25,162.0,161.9,35278,571137250000.0,1401,21456,0.6082
2016-02-10,RALLIS,EQ,162.0,162.0,162.0,155.0,156.45,155.95,159.32,71554,1139971045000.0,2467,44001,0.6149
2016-02-11,RALLIS,EQ,155.95,157.5,157.85,151.2,152.5,152.4,152.41,178408,2719031520000.0,3332,156463,0.877
2016-02-12,RALLIS,EQ,152.4,153.0,153.0,144.0,148.0,148.5,148.29,749280,11111058605000.0,4253,707579,0.9443000000000001
