Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,SHOPERSTOP,EQ,405.6,408.9,408.9,400.95,402.2,405.0,403.51,7394,298353300000.0,260,3525,0.4767
2016-01-04,SHOPERSTOP,EQ,405.0,405.0,411.7,400.0,402.2,405.05,406.3,3854,156589465000.0,184,2767,0.718
2016-01-05,SHOPERSTOP,EQ,405.05,400.05,409.8,394.95,405.0,406.1,400.76,9541,382367070000.0,465,5754,0.6031000000000001
2016-01-06,SHOPERSTOP,EQ,406.1,411.15,415.0,395.0,399.0,398.7,406.49,14864,604211945000.0,840,6944,0.4672
2016-01-07,SHOPERSTOP,EQ,398.7,409.95,409.95,383.1,390.0,390.9,390.53,22003,859287569999.9999,819,12896,0.5861
2016-01-08,SHOPERSTOP,EQ,390.9,398.85,403.0,391.6,395.0,394.2,395.29,17896,707412065000.0,2138,7745,0.4328
2016-01-11,SHOPERSTOP,EQ,394.2,394.95,402.65,388.1,394.8,395.65,393.33,2469,97112670000.0,279,1049,0.42490000000000006
2016-01-12,SHOPERSTOP,EQ,395.65,396.95,397.0,387.1,395.95,394.05,392.3,6813,267274470000.00003,302,3004,0.44090000000000007
2016-01-13,SHOPERSTOP,EQ,394.05,396.0,398.05,378.8,388.0,385.9,386.3,26221,1012916690000.0,717,12741,0.48590000000000005
2016-01-14,SHOPERSTOP,EQ,385.9,387.95,390.0,382.5,389.0,386.35,387.27,4482,173573340000.0,323,3000,0.6693000000000001
2016-01-15,SHOPERSTOP,EQ,386.35,387.0,387.0,366.0,382.0,373.1,375.39,9515,357182140000.0,398,6322,0.6644
2016-01-18,SHOPERSTOP,EQ,373.1,365.0,373.5,360.0,370.0,369.55,366.53,8398,307811565000.0,897,4105,0.4888
2016-01-19,SHOPERSTOP,EQ,369.55,370.1,370.1,360.05,363.0,362.5,364.15,6309,229744960000.0,480,3049,0.4833
2016-01-20,SHOPERSTOP,EQ,362.5,361.75,377.05,350.0,370.0,368.2,361.27,13367,482905990000.00006,780,6189,0.46299999999999997
2016-01-21,SHOPERSTOP,EQ,368.2,367.15,380.0,362.05,377.0,368.75,369.13,28239,1042392380000.0001,713,19038,0.6742
2016-01-22,SHOPERSTOP,EQ,368.75,368.15,390.0,367.05,390.0,384.05,376.79,13714,516732825000.0,1669,7578,0.5526
2016-01-25,SHOPERSTOP,EQ,384.05,381.05,388.5,377.0,377.0,378.0,379.66,6457,245147065000.0,1230,3213,0.4976
2016-01-27,SHOPERSTOP,EQ,378.0,380.0,380.0,372.5,372.5,374.25,377.7,6035,227941379999.99997,139,5725,0.9486
2016-01-28,SHOPERSTOP,EQ,374.25,372.25,384.0,365.1,381.05,380.2,376.09,9587,360553305000.0,482,5120,0.5341
2016-01-29,SHOPERSTOP,EQ,380.2,380.5,419.8,374.05,394.5,397.15,404.92,178286,7219238690000.001,5657,28348,0.159
2016-02-01,SHOPERSTOP,EQ,397.15,400.95,400.95,383.0,383.0,385.45,389.98,50399,1965458605000.0,2413,16543,0.3282
2016-02-02,SHOPERSTOP,EQ,385.45,385.45,386.55,374.0,374.1,375.8,381.28,8810,335904495000.0,529,4910,0.5573
2016-02-03,SHOPERSTOP,EQ,375.8,373.9,381.5,366.0,377.5,377.4,375.39,53610,2012445564999.9998,1153,47713,0.89
2016-02-04,SHOPERSTOP,EQ,377.4,388.0,388.0,362.2,363.0,365.25,369.54,12660,467841655000.0,803,7191,0.568
2016-02-05,SHOPERSTOP,EQ,365.25,362.85,377.65,360.35,375.0,374.75,369.55,22740,840360150000.0,1048,12550,0.5519
2016-02-08,SHOPERSTOP,EQ,374.75,374.75,378.0,366.55,376.0,376.0,374.34,9361,350418655000.0,366,6256,0.6683
2016-02-09,SHOPERSTOP,EQ,376.0,370.05,377.0,367.1,376.8,375.25,373.08,9551,356328770000.0,453,5485,0.5743
2016-02-10,SHOPERSTOP,EQ,375.25,375.25,377.0,364.0,375.0,375.2,372.8,16683,621939575000.0,957,10167,0.6093999999999999
2016-02-11,SHOPERSTOP,EQ,375.2,370.0,372.85,356.05,356.1,361.1,366.09,3579,131025050000.0,303,2207,0.6167
2016-02-12,SHOPERSTOP,EQ,361.1,357.05,362.5,343.0,348.0,349.7,354.07,52085,1844193335000.0002,1807,36438,0.6996
2016-02-15,SHOPERSTOP,EQ,349.7,351.0,366.95,346.6,365.0,365.05,356.49,24165,861468275000.0,1684,13492,0.5583
2016-02-16,SHOPERSTOP,EQ,365.05,365.2,365.2,355.35,355.8,359.8,359.66,47168,1696450835000.0002,3073,28301,0.6
2016-02-17,SHOPERSTOP,EQ,359.8,356.0,360.95,348.95,355.6,359.45,355.04,102631,3643777870000.0005,1992,81679,0.7959
2016-02-18,SHOPERSTOP,EQ,359.45,360.2,360.95,346.0,346.5,349.8,351.09,41173,1445554210000.0,2974,21545,0.5233
2016-02-19,SHOPERSTOP,EQ,349.8,350.05,350.95,339.0,342.65,345.35,345.78,52179,1804222035000.0002,5833,30315,0.5810000000000001
2016-02-22,SHOPERSTOP,EQ,345.35,345.15,347.95,341.15,343.1,344.85,343.79,37489,1288849485000.0,481,33362,0.8898999999999999
2016-02-23,SHOPERSTOP,EQ,344.85,344.9,350.2,340.05,341.0,342.9,345.0,43560,1502833535000.0,2120,25714,0.5903
2016-02-24,SHOPERSTOP,EQ,342.9,343.05,349.85,340.05,345.0,347.5,347.14,28255,980832905000.0001,1257,20397,0.7219
2016-02-25,SHOPERSTOP,EQ,347.5,345.0,353.9,340.9,343.4,347.45,346.74,42894,1487285915000.0,1087,22326,0.5205
2016-02-26,SHOPERSTOP,EQ,347.45,348.7,348.7,340.0,340.0,343.9,342.49,196385,6725901080000.0,2066,179504,0.914
2016-02-29,SHOPERSTOP,EQ,343.9,343.3,349.0,336.05,341.95,342.75,343.11,47540,1631134910000.0,2481,36901,0.7762000000000001
2016-03-01,SHOPERSTOP,EQ,342.75,343.25,349.2,340.35,340.35,343.95,345.22,37806,1305152025000.0,3922,27337,0.7231000000000001
2016-03-02,SHOPERSTOP,EQ,343.95,344.0,347.0,338.05,340.1,341.1,343.87,45637,1569312370000.0,2914,31911,0.6992
2016-03-03,SHOPERSTOP,EQ,341.1,342.05,347.0,340.05,341.5,341.8,342.95,8706,298569385000.0,421,5625,0.6461
2016-03-04,SHOPERSTOP,EQ,341.8,346.85,346.85,333.0,335.0,335.2,337.91,17272,583634300000.0,815,11062,0.6405
2016-03-08,SHOPERSTOP,EQ,335.2,337.95,344.5,335.3,343.95,340.45,339.24,7412,251441754999.99997,519,5288,0.7134
2016-03-09,SHOPERSTOP,EQ,340.45,340.45,352.0,337.0,350.0,349.3,344.83,36833,1270116595000.0,2168,26282,0.7134999999999999
2016-03-10,SHOPERSTOP,EQ,349.3,353.0,357.65,346.0,351.45,352.2,351.73,12810,450563470000.0,628,6179,0.48240000000000005
