,labels,companies
204,0,ICICIBANK
308,0,MARUTI
199,0,HINDUNILVR
201,0,HONAUT
203,0,HDFC
77,0,BRITANNIA
75,0,BOSCHLTD
73,0,BBTC
307,0,MARICO
319,0,MUTHOOTFIN
217,0,ITC
59,0,BERGEPAINT
57,0,BATAINDIA
222,0,IBULHSGFIN
50,0,BALKRISIND
48,0,BAJAJFINSV
47,0,BAJFINANCE
260,0,JUBLFOOD
305,0,MANAPPURAM
98,0,CHOLAFIN
191,0,HEROMOTOCO
280,0,L&TFH
282,0,LICHSGFIN
165,0,GODREJIND
286,0,LT
138,0,EXIDEIND
136,0,ESCORTS
271,0,KANSAINER
129,0,EICHERMOT
128,0,EDELWEISS
295,0,MRF
184,0,HDFCBANK
114,0,DABUR
298,0,MAHSCOOTER
188,0,HAVELLS
300,0,M&MFIN
301,0,M&M
103,0,COLPAL
44,0,BAJAJ-AUTO
40,0,AXISBANK
279,0,KOTAKBANK
10,0,ADANIPORTS
27,0,APOLLOTYRE
32,0,ASIANPAINT
334,0,NESTLEIND
35,0,ASTRAL
23,0,AMARAJABAT
25,0,AMBUJACEM
1,0,ACC
234,0,INDUSINDBK
304,1,MAHLOG
183,1,HDFCAMC
185,1,HDFCLIFE
115,1,DALBHARAT
344,1,ORIENTELEC
297,1,MGL
97,1,CHOLAHLDNG
187,1,HATSUN
13,1,ABCAPITAL
109,1,CYIENT
107,1,CROMPTON
119,1,DBL
106,1,CREDITACC
15,1,ADVENZYMES
39,1,DMART
17,1,AFFLE
102,1,COCHINSHIP
182,1,HCLTECH
237,1,INFY
236,1,NAUKRI
158,1,GICRE
276,1,KENNAMET
281,1,LTTS
2,1,AIAENG
149,1,FRETAIL
163,1,GODREJAGRO
285,1,LTI
4,1,AUBANK
142,1,FINEORG
121,1,DCAL
287,1,LAURUSLABS
6,1,AAVAS
135,1,ERIS
134,1,EQUITAS
132,1,ENDURANCE
348,1,PNBHOUSING
8,1,ADANIGAS
9,1,ADANIGREEN
292,1,MASFIN
267,1,KPITTECH
288,1,LEMONTREE
94,1,CHALET
123,1,DIXON
317,1,MPHASIS
33,1,ASTERDM
216,1,IRCON
221,1,ITDC
53,1,BANDHANBNK
223,1,IBULISL
232,1,INDOSTAR
207,1,ISEC
255,1,JINDALSAW
206,1,ICICIPRULI
28,1,ARVINDFASN
205,1,ICICIGI
337,1,NAM-INDIA
155,1,GALAXYSURF
60,1,BDL
228,1,IEX
202,1,HUDCO
24,1,AMBER
256,1,JSLHISAR
91,1,CDSL
235,1,INFIBEAM
329,1,NH
196,1,HAL
226,1,INDIAMART
309,1,MFSL
43,1,BSE
310,1,METROPOLIS
314,1,MIDHANI
161,2,GLENMARK
219,2,ITI
167,2,GRANULES
248,2,JSWENERGY
224,2,IBREALEST
274,2,KSCL
245,2,JKPAPER
257,2,JSL
162,2,GODFRYPHLP
218,2,ITDCEM
220,2,INDIACEM
194,2,HIMATSEIDE
213,2,IFCI
249,2,JSWSTEEL
193,2,HSCL
253,2,J&KBANK
189,2,HEIDELBERG
197,2,HINDCOPPER
200,2,HINDZINC
239,2,INTELLECT
252,2,JISLJALEQS
186,2,HFCL
254,2,JAMNAAUTO
272,2,KTKBANK
251,2,JAICORPLTD
210,2,IDFCFIRSTB
211,2,IDFC
178,2,GSFC
195,2,HINDALCO
176,2,GNFC
175,2,GMDCLTD
258,2,JINDALSTEL
215,2,IRB
231,2,IOB
209,2,IDBI
227,2,INDIANB
247,2,JMFINANCIL
154,2,GMRINFRA
335,2,NETWORK18
37,2,AUROPHARMA
96,2,CHENNPETRO
306,2,MRPL
92,2,CENTURYPLY
89,2,CEATLTD
332,2,NBVENTURES
331,2,NFL
84,2,CANBK
312,2,MINDACORP
82,2,CADILAHC
278,2,KOLTEPATIL
30,2,ASHOKLEY
80,2,CESC
42,2,BEML
318,2,MCX
330,2,NATIONALUM
69,2,BSOFT
322,2,NCC
327,2,NMDC
52,2,BALRAMCHIN
324,2,NHPC
54,2,BANKBARODA
63,2,BHEL
62,2,BHARATFORG
61,2,BEL
315,2,MOTHERSUMI
55,2,BANKINDIA
336,2,NILKAMAL
113,2,DLF
153,2,GHCL
283,2,LAXMIMACH
147,2,FCONSUMER
145,2,FSL
140,2,FEDERALBNK
11,2,ADANIPOWER
133,2,ENGINERSIN
290,2,LUPIN
343,2,ORIENTCEM
111,2,DCBBANK
126,2,EIDPARRY
56,2,MAHABANK
120,2,DISHTV
294,2,MOIL
246,2,JKTYRE
296,2,MAGMA
117,2,DELTACORP
22,2,ALLCARGO
293,2,MMTC
118,2,DHFL
347,3,PIIND
333,3,NAVINFLUOR
346,3,PCJEWELLER
340,3,OIL
328,3,NTPC
250,3,JAGRAN
338,3,OBEROIRLTY
339,3,ONGC
341,3,OMAXE
345,3,ORIENTREF
342,3,OFSS
313,3,MINDAIND
325,3,NIITTECH
277,3,KIRLOSENG
284,3,LAKSHVILAS
275,3,KEC
289,3,LINDEINDIA
273,3,KARURVYSYA
270,3,KALPATPOWR
269,3,KAJARIACER
268,3,KRBL
291,3,LUXIND
266,3,KNRCON
265,3,KEI
326,3,NLCINDIA
264,3,KPRMILL
302,3,MAHINDCIE
263,3,JYOTHYLAB
303,3,MHRIL
262,3,JUSTDIAL
311,3,MINDTREE
261,3,JUBILANT
316,3,MOTILALOFS
320,3,NATCOPHARM
321,3,NBCC
323,3,NESCO
259,3,JCHAC
299,3,MAHSEAMLES
0,3,3MINDIA
174,3,GUJGASLTD
243,3,JKCEMENT
68,3,BIRLACORPN
70,3,BLISSGVS
71,3,BLUEDART
72,3,BLUESTARCO
74,3,BOMDYEING
76,3,BRIGADE
78,3,CARERATING
79,3,CCL
81,3,CRISIL
83,3,CANFINHOME
85,3,CAPLIPOINT
86,3,CGCL
87,3,CARBORUNIV
88,3,CASTROLIND
90,3,CENTRALBK
93,3,CERA
95,3,CHAMBLFERT
99,3,CIPLA
100,3,CUB
101,3,COALINDIA
104,3,CONCOR
67,3,BIOCON
66,3,INFRATEL
65,3,BHARTIARTL
64,3,BPCL
3,3,APLAPOLLO
5,3,AARTIIND
7,3,ABBOTINDIA
12,3,ADANITRANS
14,3,ABFRL
16,3,AEGISCHEM
18,3,AJANTPHARM
19,3,AKZOINDIA
20,3,APLLTD
21,3,ALKEM
105,3,COROMANDEL
26,3,APOLLOHOSP
