Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,APLAPOLLO,EQ,749.9,741.2,762.8,723.65,755.5,749.3,741.78,105819,7849478790000.001,4521,63961,0.6043999999999999
2016-01-04,APLAPOLLO,EQ,749.3,752.6,769.15,740.1,754.3,753.35,756.41,40177,3039023360000.0,2678,25311,0.63
2016-01-05,APLAPOLLO,EQ,753.35,753.55,840.0,753.55,782.0,789.45,802.18,287632,23073208600000.0,10048,122918,0.42729999999999996
2016-01-06,APLAPOLLO,EQ,789.45,784.7,804.0,772.0,778.2,780.15,784.28,114538,8983031440000.0,3638,72325,0.6314000000000001
2016-01-07,APLAPOLLO,EQ,780.15,774.9,774.9,746.0,753.15,751.7,759.02,45623,3462867779999.9995,1646,25930,0.5684
2016-01-08,APLAPOLLO,EQ,751.7,766.25,812.3,755.0,774.0,775.05,773.06,36931,2854986300000.0,2138,19043,0.5156000000000001
2016-01-11,APLAPOLLO,EQ,775.05,760.0,785.05,757.2,776.4,774.6,773.22,18563,1435321985000.0,1511,7352,0.3961
2016-01-12,APLAPOLLO,EQ,774.6,788.0,823.6,778.0,788.0,793.3,802.6,132499,10634387575000.0,7763,52999,0.4
2016-01-13,APLAPOLLO,EQ,793.3,800.95,814.0,720.0,769.0,771.05,763.8,109418,8357351675000.0,4676,59288,0.5418000000000001
2016-01-14,APLAPOLLO,EQ,771.05,760.0,779.8,731.0,779.0,772.4,765.15,40163,3073057345000.0,2848,14269,0.3553
2016-01-15,APLAPOLLO,EQ,772.4,780.0,786.3,725.0,739.8,733.55,762.42,69387,5290213195000.0,1289,58230,0.8392000000000001
2016-01-18,APLAPOLLO,EQ,733.55,733.0,740.4,677.05,692.1,699.45,716.56,56784,4068912745000.0005,2922,26051,0.45880000000000004
2016-01-19,APLAPOLLO,EQ,699.45,680.0,721.5,675.5,687.5,687.95,697.34,20901,1457516900000.0,1375,11508,0.5506000000000001
2016-01-20,APLAPOLLO,EQ,687.95,684.9,704.5,652.6,703.0,687.0,675.33,37592,2538694080000.0,2751,14242,0.3789
2016-01-21,APLAPOLLO,EQ,687.0,705.0,718.0,667.0,683.0,685.55,688.32,18803,1294240160000.0,1896,7753,0.4123
2016-01-22,APLAPOLLO,EQ,685.55,699.0,714.0,676.1,695.0,697.15,699.36,23830,1666568280000.0,1602,11002,0.4617
2016-01-25,APLAPOLLO,EQ,697.15,707.5,728.0,695.05,700.25,704.6,706.91,92693,6552528315000.0,1371,38791,0.41850000000000004
2016-01-27,APLAPOLLO,EQ,704.6,702.8,717.95,685.3,686.0,690.75,695.43,42295,2941326325000.0,1441,33358,0.7887000000000001
2016-01-28,APLAPOLLO,EQ,690.75,686.0,694.9,680.1,689.95,686.1,686.92,4113,282529640000.0,304,2266,0.5509000000000001
2016-01-29,APLAPOLLO,EQ,686.1,681.65,687.95,674.05,674.05,679.05,679.61,14095,957908110000.0,497,9214,0.6537000000000001
2016-02-01,APLAPOLLO,EQ,679.05,699.0,699.0,670.0,679.0,680.3,681.15,6076,413865455000.0,569,3541,0.5828
2016-02-02,APLAPOLLO,EQ,680.3,684.95,691.05,670.0,685.0,685.7,682.78,9862,673354665000.0,754,6344,0.6433
2016-02-03,APLAPOLLO,EQ,685.7,680.0,683.0,651.0,660.0,657.65,662.51,15054,997348030000.0001,738,9587,0.6368
2016-02-04,APLAPOLLO,EQ,657.65,669.5,673.9,658.35,667.0,667.05,665.42,11143,741473950000.0,670,6491,0.5825
2016-02-05,APLAPOLLO,EQ,667.05,660.0,687.0,660.0,682.0,682.4,679.89,7334,498629415000.00006,543,4326,0.5899
2016-02-08,APLAPOLLO,EQ,682.4,685.0,715.0,683.6,695.0,699.5,700.07,21630,1514256430000.0,1027,15373,0.7107
2016-02-09,APLAPOLLO,EQ,699.5,690.0,696.0,665.1,670.0,670.35,678.23,31114,2110254295000.0,1047,16397,0.527
