Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,BAJAJELEC,EQ,210.0,210.3,212.45,208.0,209.5,209.55,210.28,104241,2191969714999.9998,4286,61229,0.5874
2016-01-04,BAJAJELEC,EQ,209.55,209.7,212.2,205.5,207.2,207.3,208.67,139896,2919212105000.0,3485,86188,0.6161
2016-01-05,BAJAJELEC,EQ,207.3,210.0,210.0,204.0,204.85,204.6,205.36,213803,4390689429999.9995,4462,128087,0.5991
2016-01-06,BAJAJELEC,EQ,204.6,205.0,206.4,202.0,202.5,202.55,203.85,141247,2879346735000.0,3759,94642,0.67
2016-01-07,BAJAJELEC,EQ,202.55,200.9,202.05,197.0,197.3,197.5,198.83,201706,4010572815000.0,10981,132447,0.6566
2016-01-08,BAJAJELEC,EQ,197.5,199.0,201.7,197.6,199.0,198.6,199.65,255237,5095764310000.0,6967,135273,0.53
2016-01-11,BAJAJELEC,EQ,198.6,197.5,202.0,196.0,197.5,198.5,199.69,193326,3860554850000.0,4312,98939,0.5118
2016-01-12,BAJAJELEC,EQ,198.5,199.1,200.8,194.45,200.0,195.9,197.33,156078,3079940140000.0,3686,106715,0.6837000000000001
2016-01-13,BAJAJELEC,EQ,195.9,198.8,199.0,187.05,189.45,189.95,191.29,184376,3527019765000.0,4310,100958,0.5476
2016-01-14,BAJAJELEC,EQ,189.95,186.0,190.65,184.1,189.9,189.4,188.08,101985,1918141180000.0,2147,45783,0.4489
2016-01-15,BAJAJELEC,EQ,189.4,190.0,191.9,180.2,181.6,181.6,185.28,107234,1986819205000.0,2250,70744,0.6597
2016-01-18,BAJAJELEC,EQ,181.6,180.0,181.0,171.1,171.95,171.8,175.51,127271,2233719530000.0,3201,65000,0.5107
2016-01-19,BAJAJELEC,EQ,171.8,170.55,178.75,170.55,178.5,177.4,175.52,95544,1676946670000.0,1702,54800,0.5736
2016-01-20,BAJAJELEC,EQ,177.4,175.0,178.0,173.1,175.6,175.9,175.53,79846,1401536175000.0,1667,42517,0.5325
2016-01-21,BAJAJELEC,EQ,175.9,177.0,179.05,175.0,176.55,176.9,176.69,55086,973303775000.0,1138,24981,0.4535
2016-01-22,BAJAJELEC,EQ,176.9,179.0,184.5,177.5,182.0,181.6,181.21,89056,1613783880000.0,1777,40061,0.4498
2016-01-25,BAJAJELEC,EQ,181.6,183.0,188.5,182.7,188.5,187.55,185.78,80352,1492812730000.0,1814,43536,0.5418000000000001
2016-01-27,BAJAJELEC,EQ,187.55,188.0,188.95,176.6,185.15,185.45,183.05,177438,3247927810000.0,3362,50572,0.28500000000000003
2016-01-28,BAJAJELEC,EQ,185.45,186.0,186.05,181.0,181.0,181.3,182.1,64047,1166298150000.0,1921,37467,0.585
2016-01-29,BAJAJELEC,EQ,181.3,182.0,183.75,180.3,181.65,181.6,182.01,67932,1236401060000.0,2155,36826,0.5421
2016-02-01,BAJAJELEC,EQ,181.6,182.1,188.5,182.1,185.8,185.6,186.26,174356,3247590570000.0,5763,98976,0.5677000000000001
2016-02-02,BAJAJELEC,EQ,185.6,186.0,188.8,177.5,178.8,178.4,183.98,137313,2526317965000.0,5797,71077,0.5176
2016-02-03,BAJAJELEC,EQ,178.4,177.0,178.0,171.6,175.5,175.1,174.77,81283,1420578940000.0,1898,38229,0.4703
2016-02-04,BAJAJELEC,EQ,175.1,176.35,178.0,173.5,175.0,174.55,176.34,74171,1307936370000.0,1161,46764,0.6305
2016-02-05,BAJAJELEC,EQ,174.55,174.7,179.65,174.45,178.65,178.35,177.28,56673,1004724430000.0001,1137,29044,0.5125
2016-02-08,BAJAJELEC,EQ,178.35,178.9,181.0,178.0,178.75,178.4,179.77,121380,2182027995000.0,2035,96164,0.7923
2016-02-09,BAJAJELEC,EQ,178.4,176.25,181.5,176.25,178.45,177.85,179.2,89980,1612457200000.0,3622,52556,0.5841
2016-02-10,BAJAJELEC,EQ,177.85,176.2,182.0,174.95,177.0,178.1,179.1,936532,16773258960000.0,17998,279881,0.2988
2016-02-11,BAJAJELEC,EQ,178.1,178.3,178.3,166.4,170.0,169.55,172.51,223516,3855802854999.9995,4964,135716,0.6072
2016-02-12,BAJAJELEC,EQ,169.55,170.95,171.0,163.0,168.4,168.25,167.29,121788,2037427910000.0002,4638,66880,0.5492
2016-02-15,BAJAJELEC,EQ,168.25,170.1,175.25,170.1,172.45,172.5,173.23,103880,1799563255000.0,1829,54442,0.5241
2016-02-16,BAJAJELEC,EQ,172.5,173.0,175.0,166.65,169.0,168.25,171.12,77922,1333439735000.0,1560,47748,0.6128
2016-02-17,BAJAJELEC,EQ,168.25,168.5,168.9,161.2,166.4,165.45,165.07,84879,1401105430000.0,1747,37941,0.44700000000000006
2016-02-18,BAJAJELEC,EQ,165.45,168.4,169.95,165.5,168.5,168.0,168.14,67432,1133818105000.0,1647,36973,0.5483
2016-02-19,BAJAJELEC,EQ,168.0,168.0,169.95,166.2,167.15,167.35,168.16,76509,1286594585000.0,1630,42009,0.5491
2016-02-22,BAJAJELEC,EQ,167.35,167.5,170.45,165.1,167.0,167.15,167.64,52475,879704180000.0001,1493,27829,0.5303
2016-02-23,BAJAJELEC,EQ,167.15,167.5,168.0,165.05,165.45,165.85,166.42,43814,729148755000.0,1089,27087,0.6182
2016-02-24,BAJAJELEC,EQ,165.85,165.0,165.2,161.6,161.7,162.0,162.74,83140,1353029935000.0,2432,68592,0.8250000000000001
2016-02-25,BAJAJELEC,EQ,162.0,162.95,164.3,159.0,159.1,159.7,161.28,65205,1051641690000.0,1458,44632,0.6845
2016-02-26,BAJAJELEC,EQ,159.7,160.6,163.0,156.0,157.0,157.2,158.65,72452,1149462275000.0,1973,44536,0.6147
2016-02-29,BAJAJELEC,EQ,157.2,157.45,159.9,155.0,158.0,157.95,157.46,68874,1084472330000.0001,1857,38568,0.56
2016-03-01,BAJAJELEC,EQ,157.95,158.0,166.05,156.9,165.0,164.85,163.6,99500,1627847715000.0,2829,66683,0.6702
2016-03-02,BAJAJELEC,EQ,164.85,166.1,171.3,166.1,167.55,168.35,169.28,75001,1269587220000.0,1659,43054,0.574
2016-03-03,BAJAJELEC,EQ,168.35,169.6,174.0,169.2,173.25,173.1,170.72,578213,9871166230000.0,3762,492699,0.8521
2016-03-04,BAJAJELEC,EQ,173.1,173.95,178.9,171.5,177.35,173.65,173.65,734649,12756893425000.0,2311,678382,0.9234
2016-03-08,BAJAJELEC,EQ,173.65,175.3,179.45,174.0,176.15,176.4,176.98,245046,4336777595000.0005,5992,88055,0.3593
2016-03-09,BAJAJELEC,EQ,176.4,175.95,187.8,174.55,187.55,186.25,181.85,331457,6027407355000.0,6173,150799,0.455
2016-03-10,BAJAJELEC,EQ,186.25,188.5,193.7,186.35,187.85,187.85,189.22,538660,10192656240000.0,6143,347609,0.6453
2016-03-11,BAJAJELEC,EQ,187.85,188.9,192.0,187.05,188.75,188.2,189.35,159092,3012357970000.0,3193,73298,0.4607
2016-03-14,BAJAJELEC,EQ,188.2,189.7,191.95,187.5,190.7,191.0,190.36,180990,3445411690000.0,4028,123454,0.6820999999999999
2016-03-15,BAJAJELEC,EQ,191.0,189.7,197.25,189.5,193.05,193.0,194.0,234122,4541909935000.0,4171,138538,0.5917
2016-03-16,BAJAJELEC,EQ,193.0,193.0,195.0,186.4,186.9,187.1,190.53,189183,3604541175000.0,4399,123696,0.6537999999999999
2016-03-17,BAJAJELEC,EQ,187.1,188.0,190.5,185.5,187.1,187.05,187.55,65010,1219287935000.0,1554,31876,0.4903
2016-03-18,BAJAJELEC,EQ,187.05,186.3,195.4,186.3,193.6,193.65,192.5,292948,5639183015000.0,8076,152119,0.5193
2016-03-21,BAJAJELEC,EQ,193.65,194.8,200.0,193.7,197.0,197.8,197.05,735660,14496379675000.0,3915,639488,0.8693000000000001
2016-03-22,BAJAJELEC,EQ,197.8,196.7,199.9,195.5,197.05,197.3,197.33,107917,2129556430000.0,1985,65991,0.6115
2016-03-23,BAJAJELEC,EQ,197.3,197.0,199.8,195.15,196.05,196.5,197.4,120101,2370847620000.0,2614,59654,0.49670000000000003
2016-03-28,BAJAJELEC,EQ,196.5,196.7,199.8,191.6,192.3,192.6,195.93,104565,2048769260000.0002,2796,64466,0.6165
2016-03-29,BAJAJELEC,EQ,192.6,190.5,194.95,190.1,191.1,191.4,192.79,415468,8009722330000.0,2094,379735,0.914
2016-03-30,BAJAJELEC,EQ,191.4,192.6,194.4,191.0,191.05,191.9,192.6,120512,2321116190000.0,2376,86582,0.7184999999999999
2016-03-31,BAJAJELEC,EQ,191.9,192.5,192.5,188.4,190.1,190.0,190.1,112754,2143488830000.0,2768,61853,0.5486
2016-04-01,BAJAJELEC,EQ,190.0,190.25,199.8,185.1,198.65,198.8,194.67,449811,8756517675000.0,4533,265028,0.5892000000000001
2016-04-04,BAJAJELEC,EQ,198.8,199.0,208.75,195.8,206.7,206.95,205.49,628260,12910248945000.0,17441,308661,0.4913
2016-04-05,BAJAJELEC,EQ,206.95,207.3,211.15,206.05,208.35,207.5,208.7,584792,12204711120000.0,29979,277919,0.47520000000000007
2016-04-06,BAJAJELEC,EQ,207.5,208.1,216.3,208.1,214.15,214.7,213.79,571350,12214762845000.0,19657,287019,0.5024000000000001
2016-04-07,BAJAJELEC,EQ,214.7,216.15,222.0,215.05,218.0,218.1,218.38,734500,16039727925000.0,21399,386878,0.5267000000000001
2016-04-08,BAJAJELEC,EQ,218.1,219.0,219.9,213.0,214.0,214.1,214.84,164490,3533946575000.0,3583,56712,0.3448
2016-04-11,BAJAJELEC,EQ,214.1,214.5,214.75,209.0,212.25,212.6,211.91,129268,2739281290000.0,3791,60840,0.4707
2016-04-12,BAJAJELEC,EQ,212.6,212.65,219.5,212.5,218.25,217.25,217.4,411205,8939639510000.0,6982,262971,0.6395000000000001
2016-04-13,BAJAJELEC,EQ,217.25,218.5,219.7,215.3,216.5,216.1,217.37,136891,2975577920000.0,3702,73079,0.5338
2016-04-18,BAJAJELEC,EQ,216.1,218.95,224.1,215.1,223.0,223.25,221.88,284241,6306755895000.0,4416,175388,0.617
2016-04-20,BAJAJELEC,EQ,223.25,224.2,225.0,218.25,219.35,219.45,221.79,143058,3172897430000.0,2835,85212,0.5956
2016-04-21,BAJAJELEC,EQ,219.45,221.0,222.5,217.05,219.5,219.7,219.78,137185,3015009755000.0,2433,67765,0.494
2016-04-22,BAJAJELEC,EQ,219.7,220.0,223.45,218.15,220.25,220.05,220.09,519805,11440282235000.0,4706,474856,0.9135
2016-04-25,BAJAJELEC,EQ,220.05,218.5,225.05,218.5,221.4,221.2,222.4,130442,2901092150000.0,5524,67252,0.5156000000000001
2016-04-26,BAJAJELEC,EQ,221.2,221.2,222.3,218.15,219.75,219.9,220.09,91268,2008731835000.0002,2278,50673,0.5552
2016-04-27,BAJAJELEC,EQ,219.9,219.0,234.35,218.95,232.05,232.0,228.75,762136,17433815469999.998,9549,506531,0.6646
2016-04-28,BAJAJELEC,EQ,232.0,231.9,232.0,225.0,226.0,225.95,228.2,190289,4342401075000.0,2665,110235,0.5793
2016-04-29,BAJAJELEC,EQ,225.95,225.05,235.0,225.0,227.5,228.9,230.57,236712,5457974285000.0,4172,93239,0.39390000000000003
