Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,BASF,EQ,951.25,951.05,951.05,921.0,927.0,925.7,936.69,26472,2479611400000.0,912,21861,0.8258
2016-01-04,BASF,EQ,925.7,925.0,939.0,920.0,935.0,931.35,928.18,15052,1397089105000.0,1014,9532,0.6333
2016-01-05,BASF,EQ,931.35,925.95,945.0,923.0,931.0,931.9,935.52,8013,749629345000.0,794,4505,0.5622
2016-01-06,BASF,EQ,931.9,932.4,944.75,927.0,927.0,931.7,937.86,7008,657250165000.0,909,3555,0.5073
2016-01-07,BASF,EQ,931.7,932.65,932.65,908.1,915.9,912.5,912.43,15937,1454142280000.0,898,10948,0.687
2016-01-08,BASF,EQ,912.5,917.05,925.0,904.8,912.85,911.35,912.62,6848,624965300000.0,665,4897,0.7151000000000001
2016-01-11,BASF,EQ,911.35,916.9,919.0,901.15,914.0,913.05,908.04,6044,548818570000.0,628,3527,0.5836
2016-01-12,BASF,EQ,913.05,912.15,919.0,875.0,884.0,881.7,888.96,20468,1819520364999.9998,1799,10739,0.5246999999999999
2016-01-13,BASF,EQ,881.7,892.3,897.8,855.05,889.9,887.8,873.92,72400,6327193605000.0,1550,65081,0.8989
2016-01-14,BASF,EQ,887.8,880.0,888.0,863.0,880.9,877.9,875.84,9019,789915685000.0,778,6021,0.6676000000000001
2016-01-15,BASF,EQ,877.9,877.0,877.0,855.1,870.0,868.25,868.97,18959,1647471160000.0,1041,13850,0.7305
2016-01-18,BASF,EQ,868.25,865.0,868.0,828.3,835.25,834.45,836.33,15373,1285689195000.0,1663,9770,0.6355
2016-01-19,BASF,EQ,834.45,830.1,849.4,830.0,840.0,842.45,840.2,13313,1118554655000.0,1121,4627,0.34759999999999996
2016-01-20,BASF,EQ,842.45,801.0,815.4,782.0,805.0,802.2,794.37,67740,5381068735000.0,3562,41919,0.6188
2016-01-21,BASF,EQ,802.2,800.2,809.95,770.0,775.0,777.45,785.98,20913,1643722150000.0,2459,13467,0.644
2016-01-22,BASF,EQ,777.45,779.0,803.0,775.0,801.0,799.1,790.63,16088,1271959265000.0,1756,10796,0.6711
2016-01-25,BASF,EQ,799.1,802.6,813.7,788.15,792.0,793.7,797.69,14803,1180822620000.0,587,10696,0.7226
2016-01-27,BASF,EQ,793.7,799.4,809.0,794.0,795.3,797.0,799.93,24389,1950956864999.9998,380,22969,0.9418000000000001
2016-01-28,BASF,EQ,797.0,797.05,815.0,780.05,787.75,788.3,798.52,9205,735039120000.0,1083,5077,0.5515
2016-01-29,BASF,EQ,788.3,792.0,800.05,787.9,791.0,794.15,792.9,4998,396289485000.0,655,3016,0.6034
2016-02-01,BASF,EQ,794.15,793.25,810.0,780.25,781.6,794.35,791.5,6880,544551350000.0,861,4180,0.6076
2016-02-02,BASF,EQ,794.35,790.95,799.5,782.1,782.6,793.6,792.18,9203,729038740000.0,806,6738,0.7322
2016-02-03,BASF,EQ,793.6,789.0,789.0,736.25,747.0,745.6,755.67,31850,2406811890000.0,2923,21392,0.6716
2016-02-04,BASF,EQ,745.6,746.0,812.7,735.0,736.1,744.9,760.08,40838,3104031400000.0,3062,21968,0.5379
2016-02-05,BASF,EQ,744.9,745.25,757.0,730.1,745.7,740.45,742.29,20593,1528594210000.0,1909,9885,0.48
2016-02-08,BASF,EQ,740.45,761.9,761.9,726.0,730.0,727.2,737.54,9681,714011035000.0,952,6559,0.6775
2016-02-09,BASF,EQ,727.2,727.0,765.15,723.55,753.5,758.35,745.2,40151,2992067640000.0,2475,30363,0.7562000000000001
2016-02-10,BASF,EQ,758.35,758.8,758.8,729.0,740.1,740.35,737.4,17477,1288748795000.0,1429,12980,0.7427
2016-02-11,BASF,EQ,740.35,739.9,748.0,711.0,736.5,734.9,724.17,21971,1591082730000.0,3211,12583,0.5727000000000001
2016-02-12,BASF,EQ,734.9,735.05,749.95,697.5,710.05,715.1,711.02,28588,2032667610000.0002,2216,15495,0.542
2016-02-15,BASF,EQ,715.1,765.0,765.0,700.55,747.0,744.85,735.51,5206,382905205000.0,618,2900,0.557
2016-02-16,BASF,EQ,744.85,744.0,744.0,711.0,720.0,724.7,724.05,5209,377157135000.0,703,3090,0.5932000000000001
2016-02-17,BASF,EQ,724.7,716.95,779.6,701.05,757.0,751.75,744.99,58022,4322564440000.0,4936,6585,0.1135
2016-02-18,BASF,EQ,751.75,760.0,779.4,747.05,760.35,761.75,770.29,21138,1628245420000.0,1383,16225,0.7676000000000001
2016-02-19,BASF,EQ,761.75,761.85,795.0,750.1,792.0,791.95,768.05,29956,2300766720000.0,1181,25786,0.8608
2016-02-22,BASF,EQ,791.95,791.95,795.0,770.05,770.5,774.05,782.33,7707,602938695000.0,804,3356,0.4354
2016-02-23,BASF,EQ,774.05,775.05,783.85,747.8,752.0,751.2,765.99,8501,651172135000.0,819,4664,0.5486
2016-02-24,BASF,EQ,751.2,751.05,776.85,738.05,775.0,766.15,756.65,8083,611599005000.0,905,4182,0.5174000000000001
2016-02-25,BASF,EQ,766.15,765.95,783.4,755.0,775.05,777.35,771.19,5411,417291120000.0,780,3301,0.6101
2016-02-26,BASF,EQ,777.35,777.0,785.0,761.0,780.0,778.35,772.16,9038,697876580000.0,1047,5636,0.6236
2016-02-29,BASF,EQ,778.35,780.0,795.0,751.0,790.0,786.0,775.01,10694,828800415000.0,1109,6508,0.6086
2016-03-01,BASF,EQ,786.0,800.0,800.0,775.2,784.0,781.85,788.98,6453,509130890000.00006,765,4249,0.6585
2016-03-02,BASF,EQ,781.85,787.4,800.0,783.0,798.0,797.9,792.03,10909,864020850000.0,764,7539,0.6911
2016-03-03,BASF,EQ,797.9,800.0,805.0,785.0,790.0,794.55,792.05,10175,805908755000.0,1005,7198,0.7073999999999999
2016-03-04,BASF,EQ,794.55,791.05,795.0,780.5,789.0,791.0,787.87,6479,510463800000.0,662,2896,0.44700000000000006
2016-03-08,BASF,EQ,791.0,805.0,805.0,773.4,776.2,777.95,782.36,6192,484436240000.00006,485,4452,0.7190000000000001
2016-03-09,BASF,EQ,777.95,777.05,798.0,772.55,777.5,781.4,787.72,21116,1663356695000.0,728,14283,0.6764
2016-03-10,BASF,EQ,781.4,781.0,785.0,769.0,770.25,771.6,782.0,7119,556707035000.0,347,5978,0.8397
2016-03-11,BASF,EQ,771.6,785.0,785.0,772.15,775.0,774.65,774.59,7855,608439930000.0,681,6139,0.7815000000000001
2016-03-14,BASF,EQ,774.65,773.0,782.05,746.0,765.0,760.7,760.28,14809,1125892975000.0,1475,8965,0.6054
2016-03-15,BASF,EQ,760.7,778.0,780.0,763.55,770.8,769.5,767.0,7614,583993220000.0,808,6340,0.8327
2016-03-16,BASF,EQ,769.5,769.2,780.0,765.0,779.8,776.9,769.81,6396,492370015000.00006,965,5064,0.7917000000000001
2016-03-17,BASF,EQ,776.9,783.0,783.0,754.0,771.2,772.5,769.59,8764,674464895000.0,993,5272,0.6016
2016-03-18,BASF,EQ,772.5,772.0,795.0,759.0,794.0,786.15,775.25,10772,835094170000.0,1091,7804,0.7245
2016-03-21,BASF,EQ,786.15,784.0,810.0,775.6,808.0,799.05,790.77,18637,1473764300000.0,1027,15891,0.8527
2016-03-22,BASF,EQ,799.05,799.0,850.0,799.0,834.85,841.85,833.19,31713,2642291915000.0,3290,11274,0.3555
2016-03-23,BASF,EQ,841.85,826.0,881.65,825.0,865.25,869.2,853.14,38343,3271183515000.0,2509,27269,0.7112
2016-03-28,BASF,EQ,869.2,869.5,900.0,844.2,898.0,890.0,874.5,31538,2757999525000.0,2147,18369,0.5824
2016-03-29,BASF,EQ,890.0,889.35,899.0,872.0,890.0,894.35,887.61,22293,1978746950000.0,1773,14585,0.6542
2016-03-30,BASF,EQ,894.35,894.0,900.0,857.1,861.0,863.35,874.72,20241,1770526070000.0,1235,12900,0.6373
2016-03-31,BASF,EQ,863.35,864.05,885.0,853.0,874.5,877.5,871.67,21432,1868171789999.9998,1645,12490,0.5828
2016-04-01,BASF,EQ,877.5,879.0,879.0,856.0,858.9,859.45,863.8,10613,916754465000.0,3349,7662,0.7219
2016-04-04,BASF,EQ,859.45,868.4,869.85,827.5,838.0,841.6,847.48,16994,1440204340000.0,2197,9409,0.5537
2016-04-05,BASF,EQ,841.6,842.05,851.0,827.5,835.4,833.5,839.22,6863,575953545000.0,932,3845,0.5603
2016-04-06,BASF,EQ,833.5,833.2,843.0,826.5,833.0,831.55,833.37,9196,766364460000.0,1875,6745,0.7334999999999999
2016-04-07,BASF,EQ,831.55,837.15,875.5,831.05,850.0,850.35,856.4,20882,1788325464999.9998,1654,8328,0.39880000000000004
2016-04-08,BASF,EQ,850.35,850.0,862.55,836.0,838.1,839.7,845.81,8964,758182595000.0,882,4972,0.5547
2016-04-11,BASF,EQ,839.7,855.0,857.0,835.6,852.0,851.95,843.83,8687,733035855000.0,611,4935,0.5681
2016-04-12,BASF,EQ,851.95,852.1,895.0,852.1,881.0,884.4,879.63,27574,2425497705000.0,1591,15819,0.5737
2016-04-13,BASF,EQ,884.4,884.0,932.35,884.0,910.0,911.75,912.96,35752,3264027145000.0,3076,17882,0.5002000000000001
2016-04-18,BASF,EQ,911.75,911.0,918.7,900.0,900.05,903.3,912.17,7859,716873300000.0,821,5452,0.6937000000000001
2016-04-20,BASF,EQ,903.3,903.3,915.0,895.5,903.5,902.8,903.1,5622,507721359999.99994,710,3457,0.6149
2016-04-21,BASF,EQ,902.8,908.75,915.95,902.0,905.0,903.75,907.82,24989,2268543990000.0,694,22881,0.9156000000000001
2016-04-22,BASF,EQ,903.75,908.95,908.95,885.0,885.4,887.3,894.08,4115,367915360000.0,560,2820,0.6853
2016-04-25,BASF,EQ,887.3,895.9,899.0,880.3,891.0,889.95,888.67,6265,556754745000.0,589,3905,0.6233
2016-04-26,BASF,EQ,889.95,889.0,934.0,875.7,921.9,921.6,907.86,19878,1804648060000.0002,2275,11782,0.5927
2016-04-27,BASF,EQ,921.6,922.0,940.0,907.0,917.2,923.45,921.92,16480,1519322035000.0,1369,9029,0.5479
2016-04-28,BASF,EQ,923.45,923.0,923.0,903.0,911.0,909.1,910.41,11460,1043331650000.0,1007,7846,0.6846
2016-04-29,BASF,EQ,909.1,919.0,919.0,900.0,914.75,906.4,907.95,7044,639556665000.0,715,4177,0.593
2016-05-02,BASF,EQ,906.4,921.0,922.0,900.0,912.0,910.05,912.51,9399,857672094999.9999,974,5274,0.5611
2016-05-03,BASF,EQ,910.05,910.0,945.0,910.0,928.95,926.4,931.64,20004,1863656539999.9998,1933,11210,0.5604
2016-05-04,BASF,EQ,926.4,995.95,1010.0,950.25,958.0,966.3,971.46,343307,33350865895000.0,16717,74215,0.2162
2016-05-05,BASF,EQ,966.3,965.0,968.05,935.0,938.0,943.65,951.43,39726,3779648660000.0,2622,17864,0.4497
2016-05-06,BASF,EQ,943.65,943.0,958.0,935.0,944.0,937.25,945.46,22881,2163317710000.0002,1440,10595,0.46299999999999997
2016-05-09,BASF,EQ,937.25,937.0,948.0,929.95,930.15,933.85,936.88,13385,1254010455000.0,1364,7211,0.5387
2016-05-10,BASF,EQ,933.85,935.95,943.95,933.0,939.85,934.8,938.85,10627,997719169999.9999,648,7390,0.6954000000000001
2016-05-11,BASF,EQ,934.8,926.0,964.5,926.0,952.1,954.6,950.98,34316,3263399765000.0,1602,20599,0.6003000000000001
2016-05-12,BASF,EQ,954.6,954.0,1042.8,953.95,1017.0,1017.7,1013.8,188284,19088296855000.0,11998,50077,0.266
2016-05-13,BASF,EQ,1017.7,1008.0,1029.9,983.55,996.0,997.95,1006.89,39309,3957979315000.0,3569,13806,0.35119999999999996
2016-05-16,BASF,EQ,997.95,1005.85,1025.95,974.0,1000.0,1005.1,1008.66,30069,3032928685000.0,2041,16893,0.5618
2016-05-17,BASF,EQ,1005.1,1005.1,1019.0,995.95,1007.0,1004.2,1003.45,12646,1268958890000.0,801,6751,0.5338
2016-05-18,BASF,EQ,1004.2,1003.8,1003.8,980.0,990.0,992.95,992.05,8451,838382655000.0,945,4800,0.568
2016-05-19,BASF,EQ,992.95,992.9,1027.0,980.1,990.0,992.35,1002.62,35537,3563008340000.0,1883,21513,0.6054
2016-05-20,BASF,EQ,992.35,992.0,1002.0,956.0,960.0,960.6,976.48,22206,2168366500000.0,2117,16522,0.7440000000000001
2016-05-23,BASF,EQ,960.6,970.0,970.0,938.4,939.0,942.35,950.79,11300,1074395190000.0,1017,8454,0.7481
2016-05-24,BASF,EQ,942.35,942.25,942.25,917.0,926.0,921.3,929.23,16762,1557581885000.0,1215,13631,0.8131999999999999
2016-05-25,BASF,EQ,921.3,921.0,967.95,921.0,965.5,964.55,953.1,12335,1175651395000.0,1217,7181,0.5822
2016-05-26,BASF,EQ,964.55,965.0,972.5,940.65,966.0,958.45,955.55,5643,539216159999.99994,1009,2314,0.41009999999999996
2016-05-27,BASF,EQ,958.45,964.0,984.05,958.05,975.0,965.2,975.11,30327,2957223965000.0,1442,15017,0.49520000000000003
2016-05-30,BASF,EQ,965.2,975.0,975.0,955.0,961.0,959.2,964.33,6358,613120075000.0,834,2776,0.4366
2016-05-31,BASF,EQ,959.2,966.95,999.0,959.1,990.0,990.95,981.29,21640,2123516320000.0,2126,12841,0.5934
2016-06-01,BASF,EQ,990.95,990.95,1015.0,986.0,997.0,998.7,1002.11,41041,4112744135000.0,2181,15060,0.36700000000000005
