Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,BEML,EQ,1281.1,1285.0,1317.7,1278.6,1304.8,1300.7,1303.07,380104,49530332690000.0,16292,124591,0.32780000000000004
2016-01-04,BEML,EQ,1300.7,1310.0,1324.4,1255.1,1281.0,1276.0,1291.38,308812,39879305240000.0,12555,62017,0.20079999999999998
2016-01-05,BEML,EQ,1276.0,1282.0,1292.45,1261.15,1265.0,1271.9,1273.46,136825,17424099075000.0,7215,29146,0.21300000000000002
2016-01-06,BEML,EQ,1271.9,1270.05,1282.8,1251.0,1256.9,1256.4,1264.78,191346,24201144120000.0,11769,41968,0.2193
2016-01-07,BEML,EQ,1256.4,1241.15,1242.0,1195.15,1210.65,1209.4,1211.78,313492,37988362310000.0,15429,100464,0.32049999999999995
2016-01-08,BEML,EQ,1209.4,1213.0,1235.0,1206.15,1218.4,1214.75,1222.32,214009,26158677345000.0,9583,73880,0.34520000000000006
2016-01-11,BEML,EQ,1214.75,1210.0,1248.9,1190.35,1234.0,1224.5,1225.1,290316,35566470470000.0,16104,59729,0.2057
2016-01-12,BEML,EQ,1224.5,1233.0,1247.1,1222.0,1230.0,1228.55,1232.72,132187,16295004044999.998,6848,32842,0.24850000000000003
2016-01-13,BEML,EQ,1228.55,1235.0,1245.1,1142.05,1225.0,1215.45,1204.31,238165,28682451895000.0,12643,41840,0.1757
2016-01-14,BEML,EQ,1215.45,1196.0,1211.6,1167.05,1202.0,1200.55,1192.23,160571,19143775780000.0,8107,44171,0.2751
2016-01-15,BEML,EQ,1200.55,1216.0,1222.0,1145.05,1165.3,1162.8,1182.39,168541,19928195845000.0,8503,46913,0.2783
2016-01-18,BEML,EQ,1162.8,1155.1,1160.0,1055.0,1105.0,1117.15,1121.81,180663,20266960075000.0,15808,42937,0.2377
