Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,BLUESTARCO,EQ,393.8,399.0,399.5,383.2,384.0,385.3,389.04,18995,738982145000.0,836,10769,0.5669
2016-01-04,BLUESTARCO,EQ,385.3,385.0,385.05,375.6,379.0,379.05,379.02,16820,637510130000.0,743,7117,0.42310000000000003
2016-01-05,BLUESTARCO,EQ,379.05,384.95,384.95,375.0,376.85,376.95,378.77,6564,248623315000.0,369,3532,0.5381
2016-01-06,BLUESTARCO,EQ,376.95,380.0,380.0,376.2,377.0,377.2,377.24,15410,581324585000.0,805,10541,0.684
2016-01-07,BLUESTARCO,EQ,377.2,372.2,376.8,370.1,372.05,372.0,371.96,22476,836013440000.0,711,19466,0.8661
2016-01-08,BLUESTARCO,EQ,372.0,372.0,379.9,368.0,373.0,373.05,373.6,11083,414061860000.0,413,6670,0.6018
2016-01-11,BLUESTARCO,EQ,373.05,373.05,373.9,365.25,373.9,371.05,368.68,7868,290079745000.0,401,3305,0.4201
2016-01-12,BLUESTARCO,EQ,371.05,369.0,373.45,366.5,368.1,370.0,370.24,29573,1094904625000.0,827,24756,0.8371
2016-01-13,BLUESTARCO,EQ,370.0,369.0,371.4,357.0,368.65,365.55,360.63,319790,11532580475000.0,536,314494,0.9834
2016-01-14,BLUESTARCO,EQ,365.55,355.0,365.95,350.4,364.8,362.25,361.96,315292,11412217275000.0,463,311101,0.9867
2016-01-15,BLUESTARCO,EQ,362.25,365.0,365.0,332.0,335.05,337.95,360.53,353938,12760571455000.0,703,349203,0.9866
2016-01-18,BLUESTARCO,EQ,337.95,335.0,345.0,320.05,344.95,341.15,334.17,15075,503754809999.99994,1409,8871,0.5885
2016-01-19,BLUESTARCO,EQ,341.15,342.65,347.85,322.2,342.0,342.15,339.23,14357,487037665000.00006,548,10666,0.7429000000000001
2016-01-20,BLUESTARCO,EQ,342.15,339.75,360.0,331.2,360.0,341.3,338.19,10891,368320640000.0,649,7183,0.6595000000000001
2016-01-21,BLUESTARCO,EQ,341.3,348.85,349.75,333.0,345.0,344.95,343.5,5196,178480735000.0,663,1411,0.2716
2016-01-22,BLUESTARCO,EQ,344.95,340.05,352.8,340.05,350.0,352.0,351.16,11905,418060485000.0,701,7780,0.6535
2016-01-25,BLUESTARCO,EQ,352.0,356.8,358.0,344.0,357.0,356.7,355.43,7371,261991095000.00003,415,3225,0.4375
2016-01-27,BLUESTARCO,EQ,356.7,359.9,361.95,343.2,360.0,359.3,354.05,18234,645580345000.0,850,10595,0.5811000000000001
2016-01-28,BLUESTARCO,EQ,359.3,358.9,358.9,345.0,356.05,355.1,353.56,11142,393931285000.0,503,3313,0.2973
2016-01-29,BLUESTARCO,EQ,355.1,355.1,368.9,351.1,368.9,361.7,356.85,28016,999751069999.9999,1081,15513,0.5537
2016-02-01,BLUESTARCO,EQ,361.7,366.0,368.0,352.1,360.0,359.8,359.83,228595,8225481990000.001,923,215045,0.9407
2016-02-02,BLUESTARCO,EQ,359.8,360.95,362.0,353.35,354.2,355.5,357.02,9018,321958060000.0,414,4664,0.5172
2016-02-03,BLUESTARCO,EQ,355.5,355.5,360.95,346.05,353.05,352.45,353.94,531765,18821031080000.0,1628,523426,0.9843000000000001
2016-02-04,BLUESTARCO,EQ,352.45,354.0,359.9,346.0,353.05,352.75,351.43,9336,328096300000.0,758,4173,0.44700000000000006
2016-02-05,BLUESTARCO,EQ,352.75,354.0,357.75,348.75,355.0,354.45,352.11,5931,208835665000.0,494,3324,0.5604
2016-02-08,BLUESTARCO,EQ,354.45,353.0,359.9,347.05,349.0,349.05,349.71,16554,578905925000.0,643,13380,0.8083
2016-02-09,BLUESTARCO,EQ,349.05,342.0,348.0,334.4,339.95,341.55,342.51,17976,615692365000.0,781,12335,0.6862
2016-02-10,BLUESTARCO,EQ,341.55,343.0,343.0,329.0,329.4,330.15,335.29,212641,7129658905000.0,702,208964,0.9827
2016-02-11,BLUESTARCO,EQ,330.15,331.0,343.8,305.6,329.0,328.4,325.15,34666,1127155540000.0,1253,29254,0.8439
2016-02-12,BLUESTARCO,EQ,328.4,320.5,338.0,308.0,334.0,332.6,325.19,20323,660881790000.0,922,14446,0.7108
2016-02-15,BLUESTARCO,EQ,332.6,334.05,340.0,332.1,333.3,334.6,333.76,49897,1665361625000.0,546,47270,0.9474
2016-02-16,BLUESTARCO,EQ,334.6,333.65,342.8,326.1,334.0,330.7,334.39,25435,850526765000.0,948,17654,0.6940999999999999
2016-02-17,BLUESTARCO,EQ,330.7,331.0,338.75,326.15,338.0,338.0,336.05,9316,313065305000.0,240,7487,0.8037000000000001
2016-02-18,BLUESTARCO,EQ,338.0,335.05,338.95,330.0,330.0,332.85,332.92,11360,378195205000.0,668,5910,0.5202
2016-02-19,BLUESTARCO,EQ,332.85,328.1,336.7,323.0,324.4,326.05,326.25,8654,282332925000.0,688,3916,0.4525
2016-02-22,BLUESTARCO,EQ,326.05,325.05,330.0,323.1,323.2,325.05,326.99,4737,154893665000.0,277,1684,0.3555
2016-02-23,BLUESTARCO,EQ,325.05,338.9,338.9,318.1,329.5,324.6,326.32,73330,2392930235000.0,1881,33445,0.4561
2016-02-24,BLUESTARCO,EQ,324.6,322.0,326.3,312.0,317.0,318.4,319.54,9215,294453145000.0,691,4269,0.4633
2016-02-25,BLUESTARCO,EQ,318.4,327.0,327.0,314.0,316.2,318.35,317.27,97845,3104332420000.0,886,57956,0.5922999999999999
2016-02-26,BLUESTARCO,EQ,318.35,320.05,325.95,314.0,315.0,316.0,321.65,42354,1362307740000.0,693,27385,0.6466
2016-02-29,BLUESTARCO,EQ,316.0,315.3,318.35,310.0,312.55,312.85,314.11,5954,187019490000.0,455,2869,0.4819
2016-03-01,BLUESTARCO,EQ,312.85,323.0,328.85,314.8,327.0,326.9,323.15,7472,241454035000.0,674,4188,0.5605
2016-03-02,BLUESTARCO,EQ,326.9,320.25,339.9,320.25,339.8,333.95,331.65,14076,466828770000.0,748,9059,0.6436000000000001
2016-03-03,BLUESTARCO,EQ,333.95,333.95,340.0,332.0,339.0,338.45,336.69,8430,283833590000.0,318,6652,0.7891
2016-03-04,BLUESTARCO,EQ,338.45,339.9,349.5,323.5,340.9,341.35,335.67,36369,1220781675000.0,1511,16862,0.4636
2016-03-08,BLUESTARCO,EQ,341.35,341.35,341.35,333.0,335.5,334.8,336.89,5530,186302010000.0,391,3197,0.5781000000000001
2016-03-09,BLUESTARCO,EQ,334.8,334.1,339.95,331.95,334.0,335.35,335.42,8746,293361510000.0,534,5395,0.6169
2016-03-10,BLUESTARCO,EQ,335.35,334.05,338.25,327.05,327.05,328.65,330.78,11524,381187330000.0,401,8187,0.7104
2016-03-11,BLUESTARCO,EQ,328.65,332.4,344.7,322.1,328.0,331.8,329.14,59278,1951053939999.9998,1549,46750,0.7887000000000001
2016-03-14,BLUESTARCO,EQ,331.8,331.95,348.0,331.95,346.95,344.8,338.93,345727,11717786090000.0,1518,336334,0.9728
2016-03-15,BLUESTARCO,EQ,344.8,346.0,350.95,345.0,345.0,346.15,347.18,16325,566764950000.0,821,10018,0.6137
2016-03-16,BLUESTARCO,EQ,346.15,347.65,362.6,347.0,355.0,357.6,354.54,40115,1422235745000.0,2003,27878,0.6950000000000001
2016-03-17,BLUESTARCO,EQ,357.6,358.0,366.7,355.0,361.0,360.85,359.88,42625,1533971350000.0,1816,23618,0.5540999999999999
2016-03-18,BLUESTARCO,EQ,360.85,365.0,366.25,359.0,363.85,364.25,360.52,59779,2155180545000.0,845,55341,0.9258
2016-03-21,BLUESTARCO,EQ,364.25,364.9,379.5,361.0,379.0,375.9,369.06,49266,1818209185000.0002,1814,26971,0.5475
2016-03-22,BLUESTARCO,EQ,375.9,372.0,375.0,370.0,370.2,373.9,372.9,35349,1318168300000.0,715,27813,0.7868
2016-03-23,BLUESTARCO,EQ,373.9,371.0,389.7,367.0,389.0,381.95,375.85,48561,1825158920000.0,1747,33436,0.6885
2016-03-28,BLUESTARCO,EQ,381.95,377.2,385.0,373.1,373.1,377.0,376.73,31964,1204189605000.0,2740,23557,0.737
2016-03-29,BLUESTARCO,EQ,377.0,372.05,378.5,369.95,370.0,373.05,373.07,105378,3931312790000.0,635,100479,0.9535
2016-03-30,BLUESTARCO,EQ,373.05,374.0,377.0,372.2,372.3,374.85,374.96,31883,1195469090000.0,615,27729,0.8697
2016-03-31,BLUESTARCO,EQ,374.85,372.2,431.1,372.2,420.0,390.3,383.57,120425,4619100255000.0,10828,105968,0.88
2016-04-01,BLUESTARCO,EQ,390.3,396.55,411.9,391.25,392.3,396.1,396.28,111849,4432407075000.0,9904,70105,0.6268
2016-04-04,BLUESTARCO,EQ,396.1,397.75,401.65,391.55,393.05,393.35,395.92,60010,2375912680000.0,2103,39702,0.6616
2016-04-05,BLUESTARCO,EQ,393.35,394.0,396.5,388.0,392.0,391.5,391.18,29635,1159252535000.0,3705,23203,0.783
2016-04-06,BLUESTARCO,EQ,391.5,391.5,397.9,389.0,392.05,394.1,393.39,30853,1213723985000.0,1304,17337,0.5619
2016-04-07,BLUESTARCO,EQ,394.1,397.75,400.0,392.15,392.6,394.8,395.37,119094,4708675460000.0,1654,99762,0.8377
2016-04-08,BLUESTARCO,EQ,394.8,396.7,404.5,391.0,395.35,397.0,399.54,93266,3726331040000.0,6460,43646,0.46799999999999997
2016-04-11,BLUESTARCO,EQ,397.0,401.0,401.0,392.3,394.8,395.15,398.15,82970,3303478635000.0,3440,58749,0.7081000000000001
2016-04-12,BLUESTARCO,EQ,395.15,396.0,400.0,390.6,399.95,399.5,396.46,57602,2283695435000.0,3976,39139,0.6795
2016-04-13,BLUESTARCO,EQ,399.5,404.8,407.0,397.2,406.0,404.65,401.73,95910,3853037410000.0,6499,66990,0.6985
2016-04-18,BLUESTARCO,EQ,404.65,410.0,413.95,402.75,406.0,407.55,407.84,49542,2020528464999.9998,3185,29348,0.5924
2016-04-20,BLUESTARCO,EQ,407.55,409.0,415.0,404.0,414.9,414.4,411.01,150025,6166186030000.0,6763,89546,0.5969
2016-04-21,BLUESTARCO,EQ,414.4,414.5,421.7,406.0,416.0,417.55,418.85,129216,5412164970000.0,4005,90784,0.7026000000000001
2016-04-22,BLUESTARCO,EQ,417.55,419.8,430.0,418.0,429.85,428.45,422.24,153145,6466344650000.0,3949,117399,0.7666
