Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,KPIT,EQ,168.95,169.25,170.7,168.2,168.9,168.7,169.12,116055,1962714545000.0,1528,49997,0.4308
2016-01-04,KPIT,EQ,168.7,167.8,170.8,167.2,169.9,169.05,168.83,348884,5890250070000.0,10304,182373,0.5227
2016-01-05,KPIT,EQ,169.05,170.0,171.45,168.25,168.35,169.3,169.9,329172,5592471030000.0,5996,189151,0.5746
2016-01-06,KPIT,EQ,169.3,169.1,170.5,165.2,165.9,166.15,167.89,243442,4087143700000.0,4769,149376,0.6136
2016-01-07,KPIT,EQ,166.15,164.7,164.7,158.5,159.85,159.5,161.23,366200,5904121655000.0,17130,230874,0.6305
2016-01-08,KPIT,EQ,159.5,160.05,164.5,159.1,159.95,159.9,160.9,254867,4100857540000.0,15102,126498,0.4963
2016-01-11,KPIT,EQ,159.9,159.55,161.7,156.35,159.5,158.45,159.82,548937,8773372400000.0,8024,452183,0.8237000000000001
2016-01-12,KPIT,EQ,158.45,159.5,160.85,158.0,159.9,159.7,159.58,191219,3051531180000.0,11601,124372,0.6504000000000001
2016-01-13,KPIT,EQ,159.7,161.5,163.45,143.5,151.3,151.6,151.5,669092,10136577020000.0,17069,368598,0.5509000000000001
2016-01-14,KPIT,EQ,151.6,148.35,157.0,144.5,153.25,152.1,152.21,420714,6403636705000.0,7295,145039,0.3447
2016-01-15,KPIT,EQ,152.1,153.4,156.25,145.0,145.0,148.65,149.96,399418,5989682520000.0,4178,305163,0.7640000000000001
2016-01-18,KPIT,EQ,148.65,146.8,149.0,140.5,143.7,144.1,144.05,353071,5085873465000.0,9556,163578,0.4633
2016-01-19,KPIT,EQ,144.1,144.25,145.75,138.0,138.5,139.15,140.09,582165,8155436734999.999,11006,347432,0.5968
2016-01-20,KPIT,EQ,139.15,137.5,146.35,135.0,145.3,143.6,140.24,617126,8654848150000.0,11965,316971,0.5136000000000001
2016-01-21,KPIT,EQ,143.6,146.8,147.0,134.3,139.0,138.95,139.22,947716,13194498835000.0,12681,459204,0.48450000000000004
2016-01-22,KPIT,EQ,138.95,139.3,143.2,136.8,141.0,141.55,141.16,320744,4527696035000.0,5124,135108,0.42119999999999996
2016-01-25,KPIT,EQ,141.55,142.45,147.8,142.45,145.8,146.6,145.44,363674,5289415575000.0,9546,170221,0.4681
2016-01-27,KPIT,EQ,146.6,146.6,147.55,141.3,141.3,142.45,144.28,243405,3511884765000.0,5778,138628,0.5695
2016-01-28,KPIT,EQ,142.45,143.2,144.9,141.7,144.2,143.65,143.05,177163,2534312035000.0,5874,105297,0.5944
2016-01-29,KPIT,EQ,143.65,144.0,145.9,140.2,145.9,143.3,143.23,223524,3201504920000.0,6532,126361,0.5653
2016-02-01,KPIT,EQ,143.3,145.5,145.9,140.5,141.0,141.2,142.98,237370,3393858800000.0,5598,119552,0.5037
2016-02-02,KPIT,EQ,141.2,141.75,143.45,139.45,143.0,142.1,140.95,542643,7648795395000.0,10158,439459,0.8098000000000001
2016-02-03,KPIT,EQ,142.1,140.7,142.0,136.6,137.0,137.4,139.0,577901,8032732690000.001,5838,509784,0.8821
2016-02-04,KPIT,EQ,137.4,137.0,140.8,130.0,130.85,131.55,136.2,459432,6257546515000.0,8364,324705,0.7068000000000001
2016-02-05,KPIT,EQ,131.55,131.0,138.35,130.45,138.35,136.95,135.87,299566,4070277650000.0,9578,165026,0.5509000000000001
2016-02-08,KPIT,EQ,136.95,139.0,141.0,134.55,135.15,135.35,137.8,374826,5165115790000.0,4679,195968,0.5228
