Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,CGCL,EQ,179.65,179.4,185.1,179.4,183.25,182.3,181.26,314,5691660000.0,15,154,0.4904
2016-01-04,CGCL,EQ,182.3,176.1,181.65,175.0,180.0,179.5,178.48,6958,124186050000.0,148,5890,0.8465
2016-01-05,CGCL,EQ,179.5,178.0,206.85,178.0,202.0,203.05,195.21,15880,309985575000.0,435,9374,0.5903
2016-01-06,CGCL,EQ,203.05,204.9,206.7,196.1,202.75,199.9,203.75,7891,160782310000.0,186,5966,0.7561
2016-01-07,CGCL,EQ,199.9,195.0,199.9,192.2,194.0,194.9,194.5,13567,263877360000.0,165,12283,0.9054000000000001
2016-01-08,CGCL,EQ,194.9,195.05,199.65,195.05,197.0,197.0,196.68,454,8929415000.0,32,383,0.8436
2016-01-11,CGCL,EQ,197.0,195.0,212.0,192.0,209.7,209.35,205.04,16319,334600310000.0,291,11976,0.7339
2016-01-12,CGCL,EQ,209.35,213.6,215.0,208.95,209.0,210.1,212.35,9321,197927105000.0,189,7128,0.7647
2016-01-13,CGCL,EQ,210.1,218.9,218.9,190.25,198.3,198.6,199.49,12165,242674270000.00003,187,8957,0.7363
2016-01-14,CGCL,EQ,198.6,195.0,197.0,185.5,190.9,191.15,191.89,3351,64301444999.99999,182,2110,0.6297
2016-01-15,CGCL,EQ,191.15,192.1,196.5,185.2,189.7,188.1,189.25,7872,148973780000.0,85,7058,0.8966
2016-01-18,CGCL,EQ,188.1,184.0,188.0,178.05,182.0,182.05,181.08,1529,27687095000.0,78,1301,0.8509000000000001
2016-01-19,CGCL,EQ,182.05,185.4,185.4,177.05,180.1,182.3,180.65,822,14849265000.0,30,726,0.8832
2016-01-20,CGCL,EQ,182.3,186.0,186.0,160.2,166.7,166.2,170.65,2439,41621565000.0,122,1351,0.5539000000000001
2016-01-21,CGCL,EQ,166.2,170.0,174.75,156.2,174.7,170.2,165.53,7596,125733314999.99998,184,3043,0.4006
2016-01-22,CGCL,EQ,170.2,173.9,174.4,167.95,169.95,169.95,171.82,4777,82077785000.0,96,4071,0.8522
2016-01-25,CGCL,EQ,169.95,168.0,174.0,166.15,173.9,173.6,170.3,2784,47412020000.0,174,1719,0.6175
2016-01-27,CGCL,EQ,173.6,173.0,176.9,171.15,175.25,175.25,173.85,994,17280910000.0,44,728,0.7323999999999999
2016-01-28,CGCL,EQ,175.25,179.75,179.75,169.9,172.65,173.2,172.13,3857,66389405000.00001,84,2378,0.6165
2016-01-29,CGCL,EQ,173.2,172.25,177.0,172.25,176.9,175.65,174.52,746,13019090000.0,18,452,0.6059
2016-02-01,CGCL,EQ,175.65,173.35,179.0,173.25,175.0,175.15,175.89,908,15970525000.0,48,600,0.6607999999999999
2016-02-02,CGCL,EQ,175.15,179.8,179.8,173.85,177.0,176.95,177.9,1091,19409005000.0,18,1079,0.9890000000000001
2016-02-03,CGCL,EQ,176.95,173.0,176.0,168.5,171.0,171.0,170.77,3983,68017450000.0,35,3941,0.9895
2016-02-04,CGCL,EQ,171.0,170.0,175.0,167.1,175.0,174.65,173.51,2728,47332925000.0,61,2357,0.8640000000000001
2016-02-05,CGCL,EQ,174.65,170.2,170.2,168.05,169.5,168.85,169.27,485,8209705000.0,21,346,0.7134
2016-02-08,CGCL,EQ,168.85,172.9,172.9,167.5,167.5,169.45,170.91,403,6887685000.000001,26,217,0.5385
2016-02-09,CGCL,EQ,169.45,172.4,172.4,166.85,166.85,167.0,167.5,1120,18760150000.0,39,678,0.6054
2016-02-10,CGCL,EQ,167.0,165.0,165.0,156.0,158.6,157.1,157.6,6718,105874445000.0,138,5501,0.8188
2016-02-11,CGCL,EQ,157.1,164.5,164.5,136.75,147.1,148.2,145.9,20974,306008850000.0,344,17762,0.8469
2016-02-12,CGCL,EQ,148.2,140.0,142.0,124.5,135.85,136.4,134.42,12908,173512055000.0,217,10902,0.8445999999999999
2016-02-15,CGCL,EQ,136.4,130.2,144.9,130.2,137.35,137.95,137.86,4171,57502094999.99999,96,3232,0.7748999999999999
2016-02-16,CGCL,EQ,137.95,141.7,141.7,125.0,127.9,126.15,128.61,21014,270269154999.99997,203,19246,0.9159
2016-02-17,CGCL,EQ,126.15,127.8,128.65,122.0,127.0,126.0,125.02,546,6826239999.999999,59,317,0.5806
2016-02-18,CGCL,EQ,126.0,130.0,132.0,128.0,130.0,130.0,129.57,1462,18942750000.0,43,1219,0.8338
2016-02-19,CGCL,EQ,130.0,129.0,129.0,129.0,129.0,129.0,129.0,50,645000000.0,1,50,1.0
