Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,CHAMBLFERT,EQ,62.4,62.8,63.65,62.3,62.65,62.75,62.87,393963,2476765015000.0,3896,141033,0.358
2016-01-04,CHAMBLFERT,EQ,62.75,62.45,63.5,61.1,61.7,62.05,62.21,350078,2177728335000.0002,2579,191549,0.5472
2016-01-05,CHAMBLFERT,EQ,62.05,62.1,64.9,62.05,64.0,64.05,63.86,632498,4039222900000.0,5585,350628,0.5544
2016-01-06,CHAMBLFERT,EQ,64.05,64.0,66.5,63.95,65.2,65.05,65.5,629476,4123362315000.0,4555,352837,0.5605
2016-01-07,CHAMBLFERT,EQ,65.05,64.65,64.65,62.3,62.7,62.65,63.21,303613,1919149895000.0,4254,182006,0.5995
2016-01-08,CHAMBLFERT,EQ,62.65,62.75,65.25,62.75,64.6,64.65,64.49,257112,1658088015000.0,3692,147836,0.5750000000000001
2016-01-11,CHAMBLFERT,EQ,64.65,63.95,65.3,63.2,64.1,64.45,64.38,204750,1318190625000.0,2905,102884,0.5025000000000001
2016-01-12,CHAMBLFERT,EQ,64.45,64.5,67.35,64.5,65.3,65.3,66.11,774437,5120135495000.0,5480,217827,0.2813
2016-01-13,CHAMBLFERT,EQ,65.3,66.1,67.5,61.35,62.35,62.65,63.77,757763,4832579950000.0,4548,346738,0.4576
2016-01-14,CHAMBLFERT,EQ,62.65,62.0,63.35,60.5,61.8,61.5,62.02,249424,1546842525000.0,3854,131083,0.5255
2016-01-15,CHAMBLFERT,EQ,61.5,61.4,62.65,58.75,60.0,59.65,60.65,236960,1437182565000.0,2590,136594,0.5764
2016-01-18,CHAMBLFERT,EQ,59.65,59.65,60.25,56.55,57.5,57.5,58.4,293853,1716236985000.0002,2556,223442,0.7604000000000001
2016-01-19,CHAMBLFERT,EQ,57.5,57.5,58.7,57.1,58.55,58.15,57.94,158202,916637025000.0,2945,89101,0.5632
2016-01-20,CHAMBLFERT,EQ,58.15,58.0,59.25,57.1,57.9,57.95,58.13,595953,3464123335000.0,8999,254825,0.4276
2016-01-21,CHAMBLFERT,EQ,57.95,59.25,59.75,52.9,54.05,54.0,55.47,2439872,13533580885000.0,14088,544091,0.223
