Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,CRISIL,EQ,1967.3,1945.0,1971.95,1940.05,1941.0,1948.5,1954.62,2662,520319909999.99994,880,830,0.3118
2016-01-04,CRISIL,EQ,1948.5,1950.05,1968.0,1919.0,1960.0,1961.7,1951.28,3962,773098585000.0,1058,1994,0.5033
2016-01-05,CRISIL,EQ,1961.7,1960.0,1989.0,1940.05,1988.0,1981.1,1966.02,5174,1017216380000.0001,1170,3133,0.6055
2016-01-06,CRISIL,EQ,1981.1,1994.25,1999.0,1959.0,1985.0,1975.95,1983.88,5747,1140134280000.0,1575,2976,0.5178
2016-01-07,CRISIL,EQ,1975.95,1975.0,1978.0,1939.05,1969.0,1969.3,1959.67,5829,1142293550000.0,1655,4146,0.7112999999999999
2016-01-08,CRISIL,EQ,1969.3,1989.95,1991.6,1955.05,1989.5,1980.85,1972.94,3528,696051700000.0,853,2243,0.6358
2016-01-11,CRISIL,EQ,1980.85,1989.95,1989.95,1911.0,1912.35,1924.15,1940.58,4119,799325020000.0,835,2436,0.5914
2016-01-12,CRISIL,EQ,1924.15,1939.95,1943.85,1860.0,1883.95,1877.8,1900.44,10026,1905382564999.9998,1663,6757,0.6739
2016-01-13,CRISIL,EQ,1877.8,1914.95,1939.0,1869.95,1912.0,1917.85,1894.58,30334,5747017775000.0,4546,16598,0.5472
2016-01-14,CRISIL,EQ,1917.85,1890.0,1908.7,1889.95,1903.0,1902.7,1901.48,28035,5330797975000.0,1583,26571,0.9478
2016-01-15,CRISIL,EQ,1902.7,1900.05,1919.75,1841.0,1850.2,1861.1,1876.0,4023,754713950000.0,771,2692,0.6692
2016-01-18,CRISIL,EQ,1861.1,1898.95,1898.95,1795.0,1800.0,1801.6,1815.52,8322,1510877370000.0,1823,5944,0.7143
2016-01-19,CRISIL,EQ,1801.6,1813.75,1834.7,1788.0,1825.5,1822.75,1812.77,3672,665649220000.0,823,1845,0.5025000000000001
2016-01-20,CRISIL,EQ,1822.75,1843.95,1950.0,1791.05,1950.0,1837.2,1819.95,10428,1897847700000.0,2036,7026,0.6738
2016-01-21,CRISIL,EQ,1837.2,1825.1,1875.0,1821.1,1855.0,1855.0,1852.87,4174,773387270000.0,1328,2757,0.6605
2016-01-22,CRISIL,EQ,1855.0,1856.65,1865.0,1779.95,1808.0,1799.25,1805.37,18928,3417211879999.9995,2923,11810,0.6239
2016-01-25,CRISIL,EQ,1799.25,1823.75,1830.0,1775.25,1795.0,1789.5,1794.51,8179,1467729180000.0,1775,5521,0.675
