Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,EDELWEISS,EQ,58.45,58.3,58.95,57.8,58.15,58.0,58.27,164032,955895844999.9999,1005,88179,0.5376
2016-01-04,EDELWEISS,EQ,58.0,57.55,57.95,56.55,56.6,56.8,57.18,213027,1218106500000.0,1124,142850,0.6706000000000001
2016-01-05,EDELWEISS,EQ,56.8,57.15,57.45,56.1,56.55,56.45,56.59,300647,1701467225000.0,1377,177864,0.5916
2016-01-06,EDELWEISS,EQ,56.45,56.9,57.45,56.35,56.95,56.85,56.88,180581,1027219335000.0,1326,104165,0.5768
2016-01-07,EDELWEISS,EQ,56.85,56.35,56.55,54.6,54.85,55.0,55.69,204205,1137258185000.0,1600,146420,0.7170000000000001
2016-01-08,EDELWEISS,EQ,55.0,55.15,56.45,55.15,55.45,55.3,55.66,103922,578476835000.0,626,73178,0.7042
2016-01-11,EDELWEISS,EQ,55.3,55.0,55.15,54.05,54.65,54.8,54.71,178633,977305435000.0,1027,108629,0.6081000000000001
2016-01-12,EDELWEISS,EQ,54.8,54.75,55.3,54.4,54.65,54.55,54.74,299415,1638877490000.0,750,247963,0.8281999999999999
2016-01-13,EDELWEISS,EQ,54.55,54.5,54.9,52.5,54.5,54.1,53.68,193909,1040889469999.9999,972,105998,0.5466
2016-01-14,EDELWEISS,EQ,54.1,53.5,54.0,52.0,52.5,52.6,52.77,281658,1486311430000.0,1969,179794,0.6383
2016-01-15,EDELWEISS,EQ,52.6,52.75,53.65,50.1,50.9,51.75,52.34,291537,1525777215000.0,2199,192443,0.6601
2016-01-18,EDELWEISS,EQ,51.75,51.6,51.9,49.3,51.0,50.85,50.76,306801,1557432235000.0,1901,215357,0.7019
2016-01-19,EDELWEISS,EQ,50.85,50.5,51.9,50.1,51.9,51.6,50.9,122033,621106675000.0,662,74086,0.6071
2016-01-20,EDELWEISS,EQ,51.6,51.8,52.4,50.0,50.85,50.55,50.78,499758,2537967410000.0,4131,199475,0.39909999999999995
2016-01-21,EDELWEISS,EQ,50.55,51.3,51.6,49.45,49.65,49.9,50.37,254505,1281954850000.0,1644,155286,0.6101
2016-01-22,EDELWEISS,EQ,49.9,50.0,51.9,50.0,50.5,50.6,50.83,339978,1728208130000.0,1200,276130,0.8122
2016-01-25,EDELWEISS,EQ,50.6,50.95,51.85,50.8,51.05,51.15,51.18,620073,3173841585000.0,1366,537671,0.8671
2016-01-27,EDELWEISS,EQ,51.15,51.45,51.9,51.05,51.5,51.5,51.53,241933,1246740910000.0,3133,194715,0.8048000000000001
2016-01-28,EDELWEISS,EQ,51.5,51.5,51.9,50.8,51.0,51.1,51.34,222170,1140532770000.0,1859,174044,0.7834000000000001
