Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,EIHOTEL,EQ,130.05,130.3,137.5,128.0,134.5,134.75,134.01,461592,6185662765000.0,4328,201806,0.4372
2016-01-04,EIHOTEL,EQ,134.75,133.7,135.0,127.6,130.35,130.5,131.06,192123,2518028250000.0,2249,93180,0.485
2016-01-05,EIHOTEL,EQ,130.5,131.5,134.7,129.3,130.9,130.9,131.45,297665,3912878104999.9995,2410,176811,0.594
2016-01-06,EIHOTEL,EQ,130.9,131.45,132.8,129.2,130.0,130.55,131.53,168418,2215216985000.0,2286,122687,0.7284999999999999
2016-01-07,EIHOTEL,EQ,130.55,129.5,129.55,121.15,123.45,122.7,125.14,128529,1608425810000.0,1307,79075,0.6152000000000001
2016-01-08,EIHOTEL,EQ,122.7,122.0,126.8,122.0,125.3,124.65,125.12,72192,903271080000.0001,1034,23125,0.32030000000000003
2016-01-11,EIHOTEL,EQ,124.65,123.5,124.8,122.5,124.1,124.0,123.73,113714,1406934755000.0,1506,79083,0.6955
2016-01-12,EIHOTEL,EQ,124.0,124.65,126.5,122.75,123.5,123.4,124.83,322801,4029663920000.0005,622,297423,0.9214
2016-01-13,EIHOTEL,EQ,123.4,124.75,125.25,114.4,122.5,120.55,118.87,174404,2073073980000.0,1416,85581,0.4907
2016-01-14,EIHOTEL,EQ,120.55,120.5,123.0,116.75,122.25,122.25,119.67,87434,1046308635000.0,969,41184,0.47100000000000003
2016-01-15,EIHOTEL,EQ,122.25,121.55,122.4,115.75,115.75,116.3,118.76,56872,675388985000.0,749,31436,0.5528000000000001
2016-01-18,EIHOTEL,EQ,116.3,115.9,116.3,111.5,115.0,114.25,113.67,86822,986942805000.0001,1226,51962,0.5985
2016-01-19,EIHOTEL,EQ,114.25,113.65,117.0,112.5,116.2,116.55,115.0,68758,790716960000.0,629,39406,0.5731
2016-01-20,EIHOTEL,EQ,116.55,115.0,118.25,113.5,117.25,116.4,115.74,110598,1280026735000.0,861,64120,0.5798
2016-01-21,EIHOTEL,EQ,116.4,116.9,117.5,113.0,113.0,113.55,115.49,63609,734593515000.0,875,30310,0.4765
2016-01-22,EIHOTEL,EQ,113.55,114.5,117.75,113.3,115.55,115.6,115.59,85239,985294869999.9999,886,32221,0.378
