Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,FLFL,EQ,83.85,83.6,86.0,82.5,85.05,85.25,84.56,95592,808371730000.0,899,55999,0.5858
2016-01-04,FLFL,EQ,85.25,85.5,87.0,83.45,86.1,86.05,85.49,178339,1524579070000.0,2122,142358,0.7981999999999999
2016-01-05,FLFL,EQ,86.05,85.1,93.0,83.65,92.75,91.7,89.29,600307,5360381115000.0,3384,406225,0.6767000000000001
2016-01-06,FLFL,EQ,91.7,93.0,94.3,87.0,87.8,88.1,91.03,249869,2274518065000.0,2897,173755,0.6954000000000001
2016-01-07,FLFL,EQ,88.1,88.6,88.6,84.45,85.0,86.05,85.77,219929,1886409510000.0002,2277,164771,0.7492000000000001
2016-01-08,FLFL,EQ,86.05,87.5,96.4,87.0,93.75,93.4,92.57,486919,4507605225000.0,4269,253014,0.5196000000000001
2016-01-11,FLFL,EQ,93.4,92.0,92.45,88.55,89.15,89.55,90.27,181356,1637153270000.0,1919,133537,0.7363
2016-01-12,FLFL,EQ,89.55,90.0,90.7,81.2,86.35,84.2,85.44,171377,1464327270000.0,2282,65726,0.3835
2016-01-13,FLFL,EQ,84.2,86.0,87.0,76.5,81.5,81.1,80.23,229846,1844074760000.0002,2036,137203,0.5969
2016-01-14,FLFL,EQ,81.1,80.0,83.5,77.5,82.4,82.15,82.14,91300,749967235000.0,1511,68748,0.753
2016-01-15,FLFL,EQ,82.15,84.9,84.9,75.3,77.2,77.75,78.47,65914,517246009999.99994,763,42144,0.6394
2016-01-18,FLFL,EQ,77.75,79.0,79.25,73.5,75.65,75.85,76.43,132610,1013480205000.0001,1314,83777,0.6318
2016-01-19,FLFL,EQ,75.85,75.3,78.0,75.3,76.65,76.8,77.09,25617,197491045000.0,388,11322,0.44200000000000006
2016-01-20,FLFL,EQ,76.8,76.0,77.75,73.0,76.45,74.45,74.38,25540,189958330000.0,367,20463,0.8012
2016-01-21,FLFL,EQ,74.45,75.0,79.05,74.65,78.2,78.05,77.84,79975,622535555000.0,896,60669,0.7586
2016-01-22,FLFL,EQ,78.05,77.55,82.0,76.3,80.55,81.15,79.99,56272,450137275000.0,642,40664,0.7226
2016-01-25,FLFL,EQ,81.15,82.0,84.7,80.6,82.25,82.6,82.43,77720,640666120000.0,695,57482,0.7395999999999999
2016-01-27,FLFL,EQ,82.6,80.3,85.65,80.3,85.0,85.2,84.85,85246,723274975000.0,543,72417,0.8495
2016-01-28,FLFL,EQ,85.2,85.0,85.95,83.0,84.0,84.0,83.96,33738,283253005000.0,345,25614,0.7592
2016-01-29,FLFL,EQ,84.0,83.7,85.45,83.7,84.0,84.55,84.33,65937,556062440000.0,353,44306,0.6718999999999999
2016-02-01,FLFL,EQ,84.55,95.05,95.05,85.1,87.6,86.6,90.13,502128,4525511835000.0,4260,189860,0.37810000000000005
2016-02-02,FLFL,EQ,86.6,87.3,88.55,84.85,85.8,85.85,86.06,97960,843020369999.9999,607,74299,0.7585
2016-02-03,FLFL,EQ,85.85,85.05,85.25,81.5,83.4,83.15,83.18,20157,167662010000.0,341,12677,0.6289
2016-02-04,FLFL,EQ,83.15,84.0,87.6,82.1,83.95,83.55,84.91,80081,679945330000.0,658,65323,0.8157
2016-02-05,FLFL,EQ,83.55,84.6,86.6,83.6,84.5,84.5,85.0,66787,567665155000.0,455,48477,0.7258
2016-02-08,FLFL,EQ,84.5,85.0,86.0,82.75,83.0,83.05,83.56,44648,373094085000.0,497,37707,0.8445
2016-02-09,FLFL,EQ,83.05,82.2,82.9,80.5,81.75,81.4,81.66,14630,119466285000.00002,201,7937,0.5425
2016-02-10,FLFL,EQ,81.4,81.1,82.5,79.5,82.0,81.95,81.73,59449,485891400000.0,495,39776,0.6691
2016-02-11,FLFL,EQ,81.95,82.0,82.0,75.75,79.0,79.1,78.38,56214,440632625000.0,648,39084,0.6953
2016-02-12,FLFL,EQ,79.1,79.0,79.5,76.0,77.0,77.45,77.55,21107,163681325000.0,373,10751,0.5094
2016-02-15,FLFL,EQ,77.45,78.05,79.9,76.2,78.3,78.95,78.66,60098,472704334999.99994,412,39942,0.6646
2016-02-16,FLFL,EQ,78.95,77.5,79.5,75.25,76.25,76.1,77.36,21692,167811835000.0,253,14392,0.6635
2016-02-17,FLFL,EQ,76.1,78.5,78.5,74.0,75.0,74.85,74.66,24770,184928165000.0,262,17262,0.6969
2016-02-18,FLFL,EQ,74.85,75.1,76.6,72.9,73.35,73.6,74.78,18249,136463464999.99998,285,12668,0.6942
2016-02-19,FLFL,EQ,73.6,73.0,74.5,72.3,74.45,73.8,73.61,7742,56992075000.0,173,6598,0.8522
2016-02-22,FLFL,EQ,73.8,74.4,75.0,72.85,73.95,73.25,73.52,5722,42065345000.0,100,4861,0.8495
2016-02-23,FLFL,EQ,73.25,74.0,76.45,71.45,73.9,74.45,72.95,28186,205610925000.0,266,10544,0.3741
2016-02-24,FLFL,EQ,74.45,72.75,74.0,71.55,72.0,71.9,72.5,8667,62834260000.0,113,6984,0.8058
2016-02-25,FLFL,EQ,71.9,71.8,72.3,70.2,71.0,71.3,71.1,19211,136581245000.0,127,14685,0.7644
2016-02-26,FLFL,EQ,71.3,72.35,74.3,70.1,74.25,73.6,71.72,56784,407229340000.0,344,13378,0.2356
2016-02-29,FLFL,EQ,73.6,72.65,74.0,70.15,71.25,70.8,71.6,19872,142291335000.0,292,12247,0.6163000000000001
2016-03-01,FLFL,EQ,70.8,74.9,79.2,70.55,78.0,77.85,74.9,81185,608054085000.0,534,71831,0.8848
2016-03-02,FLFL,EQ,77.85,77.5,82.8,77.0,77.85,79.85,80.29,311548,2501383270000.0,1505,217395,0.6978
2016-03-03,FLFL,EQ,79.85,80.0,82.4,79.5,80.95,80.95,80.52,43091,346959335000.0,537,17726,0.4114
2016-03-04,FLFL,EQ,80.95,81.85,82.95,79.5,79.8,80.15,80.74,74264,599595285000.0,1389,36741,0.4947
2016-03-08,FLFL,EQ,80.15,79.5,81.75,78.25,78.35,78.7,79.54,31495,250517000000.0,282,20031,0.636
2016-03-09,FLFL,EQ,78.7,79.0,79.45,77.2,78.0,78.0,77.96,11413,88978710000.0,278,6085,0.5332
2016-03-10,FLFL,EQ,78.0,77.5,79.4,77.5,78.0,78.25,78.27,31330,245224935000.0,295,21292,0.6796
2016-03-11,FLFL,EQ,78.25,78.2,79.0,75.8,77.0,77.0,77.56,37079,287584790000.0,378,28728,0.7748
2016-03-14,FLFL,EQ,77.0,77.15,84.3,77.15,81.95,81.4,81.66,157785,1288401315000.0,1849,36388,0.2306
2016-03-15,FLFL,EQ,81.4,81.8,81.8,78.0,78.0,78.1,79.06,16833,133088835000.00002,392,11418,0.6783
2016-03-16,FLFL,EQ,78.1,79.0,79.9,77.4,78.9,78.75,78.74,12934,101846265000.0,276,5356,0.41409999999999997
2016-03-17,FLFL,EQ,78.75,79.0,80.95,77.5,77.8,78.4,78.76,12464,98167310000.0,237,8920,0.7156999999999999
2016-03-18,FLFL,EQ,78.4,78.0,79.5,77.6,78.5,78.9,78.7,13268,104412730000.0,320,9003,0.6785
2016-03-21,FLFL,EQ,78.9,78.65,79.4,77.3,78.0,77.6,77.86,18395,143226970000.0,251,13756,0.7478
2016-03-22,FLFL,EQ,77.6,77.55,78.5,77.15,77.15,78.05,78.09,4938,38559520000.0,105,2828,0.5727000000000001
2016-03-23,FLFL,EQ,78.05,77.55,78.5,75.7,78.0,77.9,77.07,31208,240524495000.00003,342,19162,0.614
2016-03-28,FLFL,EQ,77.9,79.85,79.85,76.75,77.0,77.0,77.24,24186,186815975000.0,245,11842,0.48960000000000004
2016-03-29,FLFL,EQ,77.0,78.85,78.85,75.25,76.7,75.85,76.14,47628,362631030000.0,871,36933,0.7754000000000001
2016-03-30,FLFL,EQ,75.85,76.1,78.4,76.1,77.4,77.55,77.56,10762,83466180000.0,175,7721,0.7173999999999999
2016-03-31,FLFL,EQ,77.55,77.0,80.0,76.65,79.0,79.5,79.08,49857,394269210000.0,807,26147,0.5244
2016-04-01,FLFL,EQ,79.5,78.9,79.9,78.05,78.5,78.55,79.03,5579,44091910000.0,126,2536,0.4546
2016-04-04,FLFL,EQ,78.55,78.25,80.0,78.25,78.55,78.7,79.07,8643,68344010000.0,153,4073,0.4712
2016-04-05,FLFL,EQ,78.7,77.7,79.6,77.55,77.7,77.7,78.33,6643,52036015000.0,171,2253,0.3392
2016-04-06,FLFL,EQ,77.7,77.1,80.85,77.1,80.5,80.0,79.39,24915,197808620000.0,268,18627,0.7476
2016-04-07,FLFL,EQ,80.0,81.0,82.75,79.0,79.05,79.9,81.18,34528,280298070000.0,462,25433,0.7366
