Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,FSL,EQ,43.2,43.75,43.85,43.25,43.45,43.4,43.58,1548127,6747300500000.0,2783,686998,0.44380000000000003
2016-01-04,FSL,EQ,43.4,43.2,43.8,41.5,42.25,42.2,42.66,1716475,7323337390000.001,6140,851303,0.49600000000000005
2016-01-05,FSL,EQ,42.2,42.5,43.95,41.9,43.25,43.35,43.21,2519497,10886129335000.0,7013,1102448,0.4376
2016-01-06,FSL,EQ,43.35,43.05,43.5,41.7,41.85,41.85,42.63,1852643,7898520680000.0,5873,907234,0.4897
2016-01-07,FSL,EQ,41.85,41.5,41.55,39.2,39.75,39.6,39.92,2298212,9174412715000.0,9564,1493003,0.6496
2016-01-08,FSL,EQ,39.6,39.8,40.65,39.8,40.3,40.2,40.25,1576779,6346749805000.0,6232,693329,0.4397
2016-01-11,FSL,EQ,40.2,39.8,39.95,38.9,39.25,39.25,39.32,895399,3520959435000.0,4199,366170,0.40890000000000004
2016-01-12,FSL,EQ,39.25,39.5,39.7,37.8,38.0,38.1,38.78,1094861,4245417725000.0,4875,684802,0.6255
2016-01-13,FSL,EQ,38.1,38.5,38.9,33.8,37.8,37.8,36.18,3884746,14056827850000.0,9883,1653200,0.42560000000000003
2016-01-14,FSL,EQ,37.8,36.85,38.6,35.25,38.0,38.05,37.44,2207875,8267097925000.0,7714,946601,0.42869999999999997
2016-01-15,FSL,EQ,38.05,38.45,39.0,34.75,35.0,35.0,36.68,1854491,6802143334999.999,7682,953304,0.5141
2016-01-18,FSL,EQ,35.0,35.2,35.65,33.1,33.65,33.8,34.44,1899267,6540960580000.0,9619,971236,0.5114
2016-01-19,FSL,EQ,33.8,34.1,35.0,33.85,34.55,34.35,34.44,1417764,4882355670000.0,4646,887686,0.6261
2016-01-20,FSL,EQ,34.35,34.0,35.95,32.7,35.9,34.75,33.71,2838261,9568587260000.0,26711,1820446,0.6414
2016-01-21,FSL,EQ,34.75,35.65,36.9,34.6,35.6,35.75,35.71,1484073,5299457985000.0,4804,529087,0.3565
2016-01-22,FSL,EQ,35.75,36.5,37.1,36.0,36.5,36.65,36.52,1103420,4029979990000.0,3004,509813,0.462
