Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GARWALLROP,EQ,423.3,429.9,429.9,417.0,418.05,419.5,421.71,10083,425208265000.00006,492,7514,0.7452
2016-01-04,GARWALLROP,EQ,419.5,420.8,429.35,413.95,416.0,417.85,421.19,27977,1178361045000.0,1013,20613,0.7368000000000001
2016-01-05,GARWALLROP,EQ,417.85,406.3,424.7,406.3,418.0,419.8,420.01,22039,925655730000.0001,1099,13290,0.603
2016-01-06,GARWALLROP,EQ,419.8,416.55,416.55,403.0,410.55,410.65,409.53,105889,4336482254999.9995,2800,56491,0.5335
2016-01-07,GARWALLROP,EQ,410.65,407.2,408.0,388.0,394.8,392.85,396.98,30898,1226575670000.0,1391,20387,0.6598
2016-01-08,GARWALLROP,EQ,392.85,396.05,402.0,390.5,400.95,400.05,397.4,39494,1569497725000.0,1450,33392,0.8455
2016-01-11,GARWALLROP,EQ,400.05,398.0,428.1,395.0,398.5,401.1,399.76,19273,770461350000.0,1185,11423,0.5927
2016-01-12,GARWALLROP,EQ,401.1,380.0,407.85,380.0,395.0,392.8,393.28,22766,895345919999.9999,1735,14983,0.6581
2016-01-13,GARWALLROP,EQ,392.8,389.1,401.0,360.0,390.1,397.35,390.63,192973,7538177920000.0,4611,100300,0.5197999999999999
2016-01-14,GARWALLROP,EQ,397.35,389.9,410.0,375.1,385.0,386.3,396.56,97193,3854307704999.9995,2470,54105,0.5567000000000001
2016-01-15,GARWALLROP,EQ,386.3,388.0,397.6,365.0,373.15,368.7,379.76,19909,756071980000.0,1358,13109,0.6584000000000001
2016-01-18,GARWALLROP,EQ,368.7,370.0,370.0,337.5,342.0,341.2,353.72,62848,2223090265000.0,2231,35506,0.5650000000000001
2016-01-19,GARWALLROP,EQ,341.2,331.25,352.0,331.25,352.0,348.55,343.31,28880,991473294999.9999,2048,15229,0.5273
2016-01-20,GARWALLROP,EQ,348.55,345.0,346.0,333.6,341.0,337.55,338.62,35472,1201157190000.0,2254,23750,0.6695000000000001
2016-01-21,GARWALLROP,EQ,337.55,343.0,357.0,335.0,352.55,353.9,347.59,20593,715784130000.0,1330,11733,0.5698
2016-01-22,GARWALLROP,EQ,353.9,357.0,362.5,348.55,351.3,351.8,357.48,18742,669980500000.0,941,11997,0.6401000000000001
2016-01-25,GARWALLROP,EQ,351.8,364.0,364.0,346.0,348.0,349.35,355.24,30992,1100957390000.0,2386,19847,0.6404000000000001
2016-01-27,GARWALLROP,EQ,349.35,357.9,357.9,338.0,341.95,341.55,344.08,14775,508379855000.0,1131,8749,0.5921000000000001
2016-01-28,GARWALLROP,EQ,341.55,348.5,349.9,335.1,344.9,344.1,345.31,13990,483086359999.99994,1560,5507,0.3936
2016-01-29,GARWALLROP,EQ,344.1,348.9,357.0,340.3,354.0,355.4,350.36,23674,829452095000.0,1869,12100,0.5111
2016-02-01,GARWALLROP,EQ,355.4,357.9,369.25,350.0,351.25,354.7,358.06,24364,872376600000.0,1769,14532,0.5965
2016-02-02,GARWALLROP,EQ,354.7,357.95,363.0,347.0,349.0,352.5,357.1,15708,560925675000.0,1667,7981,0.5081
2016-02-03,GARWALLROP,EQ,352.5,349.0,351.0,326.0,341.5,342.2,339.09,35527,1204701400000.0,2055,19179,0.5398
2016-02-04,GARWALLROP,EQ,342.2,348.95,358.85,345.0,347.0,348.0,350.16,19143,670308525000.0,1585,10654,0.5565
2016-02-05,GARWALLROP,EQ,348.0,348.45,354.9,340.0,352.25,351.35,348.12,14623,509048705000.0,953,6425,0.4394
2016-02-08,GARWALLROP,EQ,351.35,352.0,356.0,342.75,345.0,345.8,349.14,12922,451155340000.00006,943,6080,0.4705
2016-02-09,GARWALLROP,EQ,345.8,336.05,344.95,331.4,338.0,336.95,336.92,10008,337193985000.0,572,6896,0.6890000000000001
2016-02-10,GARWALLROP,EQ,336.95,336.0,338.5,322.55,334.0,332.1,329.16,21737,715502865000.0,1679,10284,0.4731
2016-02-11,GARWALLROP,EQ,332.1,335.0,337.95,296.05,305.05,309.55,314.29,46685,1467251470000.0,2472,32826,0.7031000000000001
2016-02-12,GARWALLROP,EQ,309.55,309.0,310.25,278.05,292.1,293.65,288.47,53963,1556653245000.0,3612,27053,0.5013000000000001
2016-02-15,GARWALLROP,EQ,293.65,302.9,323.0,302.9,318.0,316.6,314.98,32196,1014112360000.0,1404,20354,0.6322
2016-02-16,GARWALLROP,EQ,316.6,324.65,327.0,292.0,294.9,294.45,306.45,30423,932299435000.0,1838,18388,0.6043999999999999
2016-02-17,GARWALLROP,EQ,294.45,297.0,307.3,282.8,307.0,306.35,292.72,29098,851766244999.9999,1405,17164,0.5899
2016-02-18,GARWALLROP,EQ,306.35,313.0,313.0,300.3,306.0,306.85,308.43,12009,370391270000.0,719,7958,0.6627
2016-02-19,GARWALLROP,EQ,306.85,312.9,312.9,304.0,310.8,310.35,308.59,4657,143709830000.0,179,3547,0.7615999999999999
2016-02-22,GARWALLROP,EQ,310.35,328.9,328.9,307.1,307.1,308.7,315.82,29719,938590519999.9999,1211,12867,0.433
2016-02-23,GARWALLROP,EQ,308.7,315.0,315.0,299.0,300.0,301.8,302.97,14021,424787305000.0,789,9191,0.6555
2016-02-24,GARWALLROP,EQ,301.8,300.0,300.85,286.95,288.35,288.9,291.07,41945,1220899725000.0,1483,27876,0.6646
2016-02-25,GARWALLROP,EQ,288.9,289.0,293.65,285.0,288.0,287.75,289.1,9078,262441350000.0,1089,5035,0.5546
2016-02-26,GARWALLROP,EQ,287.75,295.0,295.0,278.3,282.8,280.7,284.47,18697,531871234999.99994,1039,14768,0.7898999999999999
2016-02-29,GARWALLROP,EQ,280.7,290.0,297.0,271.2,280.0,278.85,282.81,34771,983354530000.0001,2238,20736,0.5964
2016-03-01,GARWALLROP,EQ,278.85,281.95,295.0,281.95,289.8,289.7,288.55,26260,757735215000.0,822,18582,0.7076000000000001
2016-03-02,GARWALLROP,EQ,289.7,298.0,305.9,290.15,294.0,296.4,298.03,21652,645288515000.0,1166,14440,0.6668999999999999
2016-03-03,GARWALLROP,EQ,296.4,303.5,303.5,289.2,294.1,294.55,294.03,36033,1059491050000.0,1366,25377,0.7043
2016-03-04,GARWALLROP,EQ,294.55,305.0,305.0,285.0,288.1,289.2,292.39,29468,861605585000.0,1176,21693,0.7362000000000001
2016-03-08,GARWALLROP,EQ,289.2,291.05,305.0,287.0,293.0,293.6,297.72,61171,1821177430000.0,1731,38260,0.6255
2016-03-09,GARWALLROP,EQ,293.6,299.45,299.45,291.0,296.0,295.35,294.39,13090,385361600000.0,670,6879,0.5255
2016-03-10,GARWALLROP,EQ,295.35,295.0,304.75,295.0,300.05,300.95,301.52,34923,1053003744999.9999,1706,20460,0.5859000000000001
2016-03-11,GARWALLROP,EQ,300.95,301.6,304.5,300.3,301.1,302.7,302.19,15149,457788005000.0,632,10149,0.6698999999999999
2016-03-14,GARWALLROP,EQ,302.7,306.75,314.0,302.25,313.0,310.0,307.23,23340,717073650000.0,1183,16704,0.7156999999999999
2016-03-15,GARWALLROP,EQ,310.0,313.95,324.45,310.2,324.0,322.95,318.62,44912,1430978180000.0,2387,27057,0.6024
2016-03-16,GARWALLROP,EQ,322.95,327.0,328.0,317.2,321.5,320.05,322.08,29912,963399719999.9999,1600,15551,0.5199
2016-03-17,GARWALLROP,EQ,320.05,324.95,328.35,320.95,324.95,324.15,324.09,21971,712063425000.0,1247,11889,0.5411
2016-03-18,GARWALLROP,EQ,324.15,325.05,333.0,319.05,329.8,328.55,325.0,16095,523091115000.00006,570,12958,0.8051
2016-03-21,GARWALLROP,EQ,328.55,330.0,338.0,324.1,334.0,334.5,330.35,24947,824126790000.0,1029,17841,0.7152
2016-03-22,GARWALLROP,EQ,334.5,339.65,339.65,327.0,327.0,328.4,329.74,29854,984391500000.0,1077,16696,0.5593
2016-03-23,GARWALLROP,EQ,328.4,327.1,334.0,327.0,330.95,331.3,329.25,15002,493938315000.00006,497,11333,0.7554000000000001
2016-03-28,GARWALLROP,EQ,331.3,331.85,335.0,325.05,326.0,326.4,328.53,13026,427945790000.00006,390,11134,0.8548
2016-03-29,GARWALLROP,EQ,326.4,322.25,338.0,322.0,330.5,334.85,330.48,32188,1063743019999.9999,1340,21557,0.6697
2016-03-30,GARWALLROP,EQ,334.85,344.8,344.8,333.0,337.0,337.0,336.63,5922,199350360000.0,547,3183,0.5375
2016-03-31,GARWALLROP,EQ,337.0,333.25,341.95,331.1,341.0,338.6,335.55,7172,240652925000.0,589,3377,0.47090000000000004
2016-04-01,GARWALLROP,EQ,338.6,342.0,342.0,330.6,337.0,336.65,335.07,10482,351217690000.0,665,6412,0.6117
2016-04-04,GARWALLROP,EQ,336.65,342.0,342.0,329.0,339.0,339.4,335.81,15273,512876075000.0,1019,9001,0.5893
2016-04-05,GARWALLROP,EQ,339.4,343.95,343.95,323.1,328.0,325.45,329.34,21162,696948880000.0,1242,15915,0.7521
2016-04-06,GARWALLROP,EQ,325.45,341.0,341.0,323.0,332.0,328.9,327.7,6564,215100850000.0,482,3788,0.5771000000000001
2016-04-07,GARWALLROP,EQ,328.9,326.0,336.0,325.0,330.0,331.0,329.32,17722,583619955000.0,788,14706,0.8298000000000001
2016-04-08,GARWALLROP,EQ,331.0,339.0,339.0,324.0,330.0,332.0,330.67,6243,206435480000.0,819,2770,0.4437
2016-04-11,GARWALLROP,EQ,332.0,331.0,334.95,325.45,330.0,332.7,330.52,7405,244746445000.00003,397,4343,0.5865
2016-04-12,GARWALLROP,EQ,332.7,330.0,342.1,330.0,342.1,340.05,337.76,19338,653160225000.0,796,13473,0.6967
2016-04-13,GARWALLROP,EQ,340.05,345.0,365.0,343.4,358.5,359.85,356.95,68158,2432931220000.0,2865,31021,0.4551
2016-04-18,GARWALLROP,EQ,359.85,364.0,375.0,364.0,372.0,371.25,370.48,43816,1623307330000.0,2464,21093,0.4814
2016-04-20,GARWALLROP,EQ,371.25,371.25,373.8,361.0,364.2,367.4,368.14,20169,742503165000.0,2034,11011,0.5459
2016-04-21,GARWALLROP,EQ,367.4,372.95,372.95,361.0,365.5,366.3,365.51,14580,532916184999.99994,1166,10057,0.6898000000000001
2016-04-22,GARWALLROP,EQ,366.3,366.3,367.65,359.0,363.25,365.75,363.19,16482,598601710000.0,1281,10693,0.6487999999999999
2016-04-25,GARWALLROP,EQ,365.75,363.0,372.0,361.0,367.0,365.85,366.62,18467,677034740000.0,1539,7490,0.4056
2016-04-26,GARWALLROP,EQ,365.85,366.0,369.0,361.25,365.25,365.6,365.48,16451,601244770000.0,1377,8674,0.5273
2016-04-27,GARWALLROP,EQ,365.6,362.2,365.65,360.0,362.35,363.05,362.95,14174,514452109999.99994,1073,8775,0.6191
2016-04-28,GARWALLROP,EQ,363.05,360.0,362.85,351.25,351.5,355.15,357.75,25351,906941665000.0,2169,17802,0.7022
2016-04-29,GARWALLROP,EQ,355.15,353.7,362.0,352.05,352.1,354.1,356.98,19745,704863845000.0,1529,11885,0.6019
2016-05-02,GARWALLROP,EQ,354.1,367.95,367.95,350.25,354.25,354.85,355.46,18208,647225225000.0,971,11578,0.6359
2016-05-03,GARWALLROP,EQ,354.85,352.15,359.85,352.0,353.8,353.2,354.27,12427,440257100000.0,851,6932,0.5578000000000001
2016-05-04,GARWALLROP,EQ,353.2,355.0,355.0,334.8,337.9,337.15,340.11,22001,748266440000.0,1193,14426,0.6557
2016-05-05,GARWALLROP,EQ,337.15,332.4,345.05,332.4,345.0,343.7,341.56,8847,302181475000.0,520,5033,0.5689000000000001
2016-05-06,GARWALLROP,EQ,343.7,343.65,343.9,332.0,333.0,334.7,336.85,9352,315019125000.0,684,5746,0.6144
2016-05-09,GARWALLROP,EQ,334.7,339.0,339.0,329.0,333.15,334.9,333.41,18632,621202105000.0,633,12916,0.6931999999999999
2016-05-10,GARWALLROP,EQ,334.9,331.6,356.0,331.0,352.25,352.15,345.93,21499,743706490000.0,1292,11488,0.5344
2016-05-11,GARWALLROP,EQ,352.15,357.0,357.0,335.5,344.5,343.25,342.32,12267,419924265000.00006,842,5691,0.46390000000000003
2016-05-12,GARWALLROP,EQ,343.25,343.05,356.0,341.1,349.5,349.6,347.98,9040,314570740000.0,640,4080,0.45130000000000003
2016-05-13,GARWALLROP,EQ,349.6,352.8,357.8,343.5,354.0,353.75,352.24,13424,472842934999.99994,940,7321,0.5454
2016-05-16,GARWALLROP,EQ,353.75,353.8,357.2,320.0,337.1,336.95,336.92,38396,1293630445000.0,1987,23013,0.5994
2016-05-17,GARWALLROP,EQ,336.95,336.0,349.2,335.95,347.0,347.55,343.95,21227,730098065000.0,3365,13011,0.6129
2016-05-18,GARWALLROP,EQ,347.55,343.55,353.0,343.5,352.0,352.0,349.12,16241,567006300000.0,560,12148,0.748
2016-05-19,GARWALLROP,EQ,352.0,349.05,352.6,346.1,350.1,350.9,349.96,19022,665697285000.0,494,15569,0.8185
2016-05-20,GARWALLROP,EQ,350.9,349.0,349.0,334.0,334.3,334.95,340.14,13922,473544700000.0,1053,11351,0.8153
2016-05-23,GARWALLROP,EQ,334.95,339.95,345.0,330.6,340.0,338.85,339.25,8625,292599285000.0,519,5184,0.601
2016-05-24,GARWALLROP,EQ,338.85,340.65,340.65,330.0,334.9,333.85,334.74,7081,237028720000.00003,376,5280,0.7456999999999999
2016-05-25,GARWALLROP,EQ,333.85,334.9,350.0,333.3,348.5,348.5,344.6,12863,443265125000.0,740,8539,0.6638
2016-05-26,GARWALLROP,EQ,348.5,348.0,350.3,340.0,347.85,346.3,346.41,12434,430728095000.0,758,6306,0.5072
2016-05-27,GARWALLROP,EQ,346.3,361.0,366.0,347.0,358.1,362.4,357.49,53497,1912483760000.0002,1621,36088,0.6746
2016-05-30,GARWALLROP,EQ,362.4,362.4,362.4,347.9,362.0,360.05,355.72,23901,850195294999.9999,872,17600,0.7364
2016-05-31,GARWALLROP,EQ,360.05,360.0,369.0,353.4,364.0,363.6,362.84,22944,832489175000.0,1381,17310,0.7544
2016-06-01,GARWALLROP,EQ,363.6,365.0,365.2,353.55,355.0,355.6,358.41,10861,389268670000.0,606,8905,0.8199
2016-06-02,GARWALLROP,EQ,355.6,352.05,362.9,352.0,359.6,360.1,359.01,5823,209050230000.0,327,3451,0.5926
2016-06-03,GARWALLROP,EQ,360.1,361.7,361.8,354.0,354.0,357.7,357.58,5296,189374090000.0,308,3492,0.6594
2016-06-06,GARWALLROP,EQ,357.7,348.0,361.3,342.75,343.75,345.95,348.38,12415,432518165000.00006,1096,8770,0.7064
2016-06-07,GARWALLROP,EQ,345.95,342.25,350.9,342.25,349.05,349.05,348.49,13682,476807980000.0,1003,8446,0.6173
2016-06-08,GARWALLROP,EQ,349.05,345.2,359.7,342.5,348.0,348.75,351.45,19310,678654140000.0,1047,13671,0.708
2016-06-09,GARWALLROP,EQ,348.75,346.2,355.0,346.2,352.05,351.6,351.36,11807,414850345000.0,901,7116,0.6027
2016-06-10,GARWALLROP,EQ,351.6,346.2,355.0,343.3,344.8,345.15,349.25,16297,569171330000.0,917,12710,0.7798999999999999
2016-06-13,GARWALLROP,EQ,345.15,343.2,344.95,336.0,339.8,339.25,340.22,8598,292524575000.0,749,6831,0.7945000000000001
2016-06-14,GARWALLROP,EQ,339.25,340.4,347.0,338.1,342.25,343.75,341.98,9054,309627010000.0,750,5916,0.6534000000000001
2016-06-15,GARWALLROP,EQ,343.75,339.0,347.0,336.05,337.05,339.95,340.76,20947,713789090000.0,1182,14118,0.674
2016-06-16,GARWALLROP,EQ,339.95,337.05,342.9,337.05,339.1,339.95,339.76,7219,245269575000.0,504,6033,0.8357
2016-06-17,GARWALLROP,EQ,339.95,340.0,344.85,340.0,343.0,343.25,342.78,4264,146163360000.0,283,3861,0.9055
2016-06-20,GARWALLROP,EQ,343.25,336.1,358.8,336.1,352.0,353.2,352.94,35690,1259655460000.0,1238,24552,0.6879000000000001
2016-06-21,GARWALLROP,EQ,353.2,354.95,364.0,353.05,363.0,362.55,359.14,33866,1216247825000.0,843,26195,0.7735
2016-06-22,GARWALLROP,EQ,362.55,361.05,368.9,358.0,359.5,362.3,364.2,17917,652540305000.0,844,13244,0.7392000000000001
2016-06-23,GARWALLROP,EQ,362.3,359.0,362.0,355.0,360.0,360.5,359.05,14872,533982450000.0,404,13318,0.8955
2016-06-24,GARWALLROP,EQ,360.5,359.5,366.6,337.0,357.0,356.1,348.87,62243,2171489689999.9998,1488,35054,0.5632
2016-06-27,GARWALLROP,EQ,356.1,351.5,362.2,351.5,360.0,359.1,358.48,8146,292017055000.0,333,6128,0.7523000000000001
2016-06-28,GARWALLROP,EQ,359.1,359.75,363.0,355.0,357.25,359.9,357.87,6989,250114685000.0,271,5174,0.7403000000000001
2016-06-29,GARWALLROP,EQ,359.9,366.0,400.0,364.0,392.0,392.1,390.64,80444,3142493410000.0,2811,43002,0.5346000000000001
2016-06-30,GARWALLROP,EQ,392.1,392.2,398.0,387.0,391.5,393.3,392.92,26768,1051756160000.0,924,17300,0.6463
2016-07-01,GARWALLROP,EQ,393.3,393.45,405.0,387.2,389.5,389.7,398.34,22348,890208050000.0,894,15573,0.6968000000000001
2016-07-04,GARWALLROP,EQ,389.7,386.3,398.65,386.3,396.0,392.8,394.51,7283,287324505000.0,357,5016,0.6887000000000001
2016-07-05,GARWALLROP,EQ,392.8,393.0,400.0,385.0,399.0,396.55,392.51,11693,458963095000.0,533,6929,0.5926
2016-07-07,GARWALLROP,EQ,396.55,391.0,402.0,385.5,388.3,390.3,393.8,14993,590430280000.0,1331,10156,0.6774
2016-07-08,GARWALLROP,EQ,390.3,398.1,402.0,388.55,391.95,392.9,396.37,17170,680572410000.0,690,6929,0.4036
2016-07-11,GARWALLROP,EQ,392.9,396.9,404.0,388.0,397.9,398.3,398.26,23446,933760190000.0,806,13359,0.5698
2016-07-12,GARWALLROP,EQ,398.3,399.9,438.2,396.1,429.0,429.45,428.08,124308,5321377165000.0,4998,49940,0.4017
2016-07-13,GARWALLROP,EQ,429.45,427.0,429.0,410.05,413.25,414.05,419.69,18494,776167450000.0,1261,11751,0.6354
2016-07-14,GARWALLROP,EQ,414.05,412.0,428.0,410.3,420.0,419.9,421.72,13641,575262665000.0,940,10356,0.7592
2016-07-15,GARWALLROP,EQ,419.9,425.0,426.8,412.0,422.0,418.6,420.57,5942,249900275000.0,323,4459,0.7504000000000001
2016-07-18,GARWALLROP,EQ,418.6,415.1,424.0,399.2,401.05,403.75,409.89,15531,636595555000.0,1156,9431,0.6072
