Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,GODREJIND,EQ,379.2,379.95,385.3,379.3,384.9,384.2,383.38,130415,4999817745000.0,1905,37776,0.2897
2016-01-04,GODREJIND,EQ,384.2,381.25,388.5,369.25,373.3,372.3,377.7,172650,6520991405000.0,3492,49281,0.2854
2016-01-05,GODREJIND,EQ,372.3,374.8,384.0,372.0,383.15,382.3,378.07,188794,7137784100000.0,5351,53633,0.2841
2016-01-06,GODREJIND,EQ,382.3,384.85,386.0,375.25,378.65,379.75,381.12,158985,6059197200000.0,4371,25737,0.16190000000000002
2016-01-07,GODREJIND,EQ,379.75,376.5,388.0,373.4,382.05,383.4,381.79,441209,16845004855000.002,14389,157096,0.3561
2016-01-08,GODREJIND,EQ,383.4,384.2,390.0,378.75,388.1,387.45,385.89,424727,16389607944999.998,15843,146971,0.34600000000000003
2016-01-11,GODREJIND,EQ,387.45,385.75,385.8,376.0,377.0,378.95,380.76,190474,7252526890000.001,6897,50949,0.2675
2016-01-12,GODREJIND,EQ,378.95,379.6,382.2,373.55,377.1,376.3,376.59,165978,6250592235000.0,5667,60428,0.3641
2016-01-13,GODREJIND,EQ,376.3,378.15,383.1,363.0,369.2,371.8,373.65,212684,7946922309999.999,5799,37736,0.17739999999999997
2016-01-14,GODREJIND,EQ,371.8,367.9,371.0,359.75,368.0,367.4,365.85,185898,6801001245000.0,5530,50689,0.2727
2016-01-15,GODREJIND,EQ,367.4,368.0,370.95,350.5,353.05,352.15,359.74,176654,6354877735000.0,5137,60750,0.34390000000000004
2016-01-18,GODREJIND,EQ,352.15,350.0,354.75,340.0,343.3,341.95,346.19,244738,8472469020000.0,9260,59817,0.2444
2016-01-19,GODREJIND,EQ,341.95,343.95,352.05,340.0,351.95,350.05,346.22,253602,8780248655000.0,7399,36559,0.1442
2016-01-20,GODREJIND,EQ,350.05,347.0,350.0,334.4,338.5,337.2,340.58,441334,15031036360000.0,9337,96907,0.21960000000000002
2016-01-21,GODREJIND,EQ,337.2,340.0,346.5,337.45,343.75,344.0,342.89,306140,10497288945000.0,7491,89494,0.2923
2016-01-22,GODREJIND,EQ,344.0,345.1,351.95,343.5,347.8,347.15,348.16,180194,6273663215000.0,6411,32018,0.1777
2016-01-25,GODREJIND,EQ,347.15,347.95,351.0,341.1,343.0,343.4,344.33,182040,6268115675000.0,5887,39899,0.21920000000000003
2016-01-27,GODREJIND,EQ,343.4,342.25,343.0,335.0,336.15,337.4,337.99,233055,7877004040000.001,14720,81139,0.3482
2016-01-28,GODREJIND,EQ,337.4,335.4,345.9,332.0,342.55,343.8,338.83,353631,11982197175000.0,9964,111783,0.3161
2016-01-29,GODREJIND,EQ,343.8,342.5,355.9,342.5,355.9,350.9,349.18,347369,12129543295000.0,8058,156448,0.4504
2016-02-01,GODREJIND,EQ,350.9,352.5,358.35,352.5,354.8,354.0,355.41,174072,6186769600000.0,6324,38393,0.2206
2016-02-02,GODREJIND,EQ,354.0,354.0,355.4,338.0,339.0,340.65,348.11,131111,4564137035000.0,3660,27395,0.2089
2016-02-03,GODREJIND,EQ,340.65,337.0,346.65,334.0,336.0,336.65,339.39,134908,4578617570000.0,3804,25514,0.18910000000000002
2016-02-04,GODREJIND,EQ,336.65,337.35,347.0,337.35,346.9,344.7,342.11,285180,9756239375000.0,6255,36923,0.1295
2016-02-05,GODREJIND,EQ,344.7,347.25,353.8,343.1,350.1,350.75,347.22,332402,11541642215000.0,5901,186392,0.5607
2016-02-08,GODREJIND,EQ,350.75,352.95,354.95,342.8,343.55,343.5,349.53,196189,6857489150000.0,4210,47038,0.2398
2016-02-09,GODREJIND,EQ,343.5,341.0,344.35,337.2,339.25,339.05,340.61,349385,11900489610000.0,9495,88976,0.2547
2016-02-10,GODREJIND,EQ,339.05,338.0,346.2,333.45,337.4,337.35,339.76,296042,10058182135000.0,6292,122524,0.4139
2016-02-11,GODREJIND,EQ,337.35,336.25,340.75,310.5,318.0,316.7,324.76,404461,13135175035000.0,11621,89285,0.2208
2016-02-12,GODREJIND,EQ,316.7,319.95,324.9,304.05,312.95,311.25,310.86,475278,14774492160000.0,14298,159159,0.33490000000000003
2016-02-15,GODREJIND,EQ,311.25,319.0,329.9,317.0,327.25,325.35,324.8,428127,13905510030000.002,13740,97782,0.2284
2016-02-16,GODREJIND,EQ,325.35,324.0,328.35,312.25,313.85,314.4,321.49,528669,16996271360000.0,17111,86984,0.1645
2016-02-17,GODREJIND,EQ,314.4,314.4,318.75,308.1,316.35,316.9,314.31,396632,12466396765000.0,11067,39370,0.0993
2016-02-18,GODREJIND,EQ,316.9,319.0,322.0,307.35,310.05,310.4,315.07,264238,8325402665000.001,7885,38616,0.1461
2016-02-19,GODREJIND,EQ,310.4,310.4,315.8,307.35,309.2,308.8,310.67,269610,8376079695000.0,6552,37609,0.13949999999999999
2016-02-22,GODREJIND,EQ,308.8,310.1,316.35,308.55,315.0,314.15,312.0,404319,12614727730000.0,12189,46564,0.1152
2016-02-23,GODREJIND,EQ,314.15,315.95,317.45,310.05,310.25,311.9,314.13,304730,9572451315000.0,9877,78299,0.2569
2016-02-24,GODREJIND,EQ,311.9,310.55,313.8,307.75,311.25,311.2,310.77,190437,5918155840000.0,5992,23943,0.1257
2016-02-25,GODREJIND,EQ,311.2,311.9,317.7,304.3,307.95,305.5,312.0,506594,15805910530000.002,12364,73853,0.1458
2016-02-26,GODREJIND,EQ,305.5,307.1,313.5,301.1,302.95,301.95,305.44,316884,9678751985000.0,8260,44655,0.1409
2016-02-29,GODREJIND,EQ,301.95,301.5,302.0,290.0,291.2,291.8,294.86,347119,10235129575000.0,8344,107454,0.30960000000000004
2016-03-01,GODREJIND,EQ,291.8,293.85,304.2,290.0,303.8,302.45,296.1,322601,9552060015000.0,9362,110212,0.34159999999999996
