Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,IBVENTURES,EQ,24.95,24.95,26.75,24.55,26.6,26.55,25.76,566367,1459007095000.0,1770,328129,0.5794
2016-01-04,IBVENTURES,EQ,26.55,26.6,27.2,25.5,26.0,26.0,26.22,683885,1793344210000.0002,1962,409038,0.5981000000000001
2016-01-05,IBVENTURES,EQ,26.0,26.1,26.55,25.7,25.7,25.85,26.07,435683,1135644195000.0,1222,323142,0.7417
2016-01-06,IBVENTURES,EQ,25.85,25.95,26.45,24.75,25.1,25.15,25.58,765638,1958572350000.0,1958,557780,0.7284999999999999
2016-01-07,IBVENTURES,EQ,25.15,24.45,25.0,24.4,24.6,24.7,24.65,622383,1534113220000.0,1260,416665,0.6695000000000001
2016-01-08,IBVENTURES,EQ,24.7,25.0,25.3,24.85,24.85,24.9,25.01,292144,730513815000.0,715,201481,0.6897
2016-01-11,IBVENTURES,EQ,24.9,24.95,25.1,24.4,25.0,24.95,24.78,258082,639508595000.0,862,168560,0.6531
2016-01-12,IBVENTURES,EQ,24.95,24.8,25.1,24.5,24.6,24.55,24.7,283698,700644190000.0,822,196706,0.6934
2016-01-13,IBVENTURES,EQ,24.55,24.65,24.9,23.1,24.15,24.1,23.83,651840,1553553165000.0,1801,437750,0.6716
2016-01-14,IBVENTURES,EQ,24.1,23.15,23.9,23.15,23.65,23.6,23.57,248613,585940015000.0,1041,145997,0.5872
2016-01-15,IBVENTURES,EQ,23.6,24.1,24.35,23.5,23.55,23.75,24.02,471146,1131827215000.0,1114,284789,0.6045
2016-01-18,IBVENTURES,EQ,23.75,22.0,23.75,21.95,22.3,22.3,22.75,588939,1339718780000.0,1701,457041,0.7759999999999999
2016-01-19,IBVENTURES,EQ,22.3,22.85,22.85,20.5,22.3,22.0,22.06,914363,2016746385000.0002,1890,629434,0.6884
2016-01-20,IBVENTURES,EQ,22.0,21.15,22.5,20.75,22.1,21.8,21.56,834781,1799841014999.9998,2809,333603,0.3996
2016-01-21,IBVENTURES,EQ,21.8,22.1,22.25,21.2,21.7,21.6,21.56,599349,1292492785000.0,2697,394718,0.6586
2016-01-22,IBVENTURES,EQ,21.6,22.15,22.15,21.5,21.7,21.6,21.66,531664,1151415795000.0,2548,393703,0.7404999999999999
2016-01-25,IBVENTURES,EQ,21.6,22.1,22.3,21.65,22.0,21.85,21.84,545312,1191215895000.0,2590,429008,0.7867000000000001
2016-01-27,IBVENTURES,EQ,21.85,22.1,22.1,21.75,21.8,21.9,21.92,221704,485982205000.0,605,180539,0.8143000000000001
2016-01-28,IBVENTURES,EQ,21.9,21.8,22.25,21.2,22.0,22.0,21.96,359277,788794500000.0,814,223294,0.6215
2016-01-29,IBVENTURES,EQ,22.0,22.15,22.25,21.8,22.25,22.2,22.08,325671,719218225000.0,956,208118,0.639
2016-02-01,IBVENTURES,EQ,22.2,21.8,22.1,21.6,21.8,21.95,21.85,168513,368262680000.0,546,97617,0.5793
2016-02-02,IBVENTURES,EQ,21.95,21.95,21.95,21.05,21.35,21.3,21.63,143768,310912495000.0,496,108446,0.7543000000000001
