Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-10-23,IEX,EQ,1650.0,1500.0,1660.0,1500.0,1625.0,1629.15,1614.23,3345798,540087326960000.06,184049,986150,0.2947
2017-10-24,IEX,EQ,1629.15,1615.0,1635.05,1595.25,1598.0,1603.4,1607.88,216428,34799069495000.0,22349,74868,0.34590000000000004
2017-10-25,IEX,EQ,1603.4,1600.0,1601.0,1545.65,1556.95,1563.05,1562.62,140748,21993516650000.0,17036,64238,0.45640000000000003
2017-10-26,IEX,EQ,1563.05,1552.45,1590.0,1531.1,1560.0,1562.65,1560.84,87150,13602708100000.0,8754,40525,0.465
2017-10-27,IEX,EQ,1562.65,1560.0,1574.8,1551.1,1565.0,1565.1,1563.72,31148,4870689945000.0,4276,18655,0.5989
2017-10-30,IEX,EQ,1565.1,1565.1,1581.15,1558.5,1561.0,1567.15,1565.83,46909,7345152190000.001,5745,26431,0.5635
2017-10-31,IEX,EQ,1567.15,1561.0,1572.85,1541.0,1550.55,1554.25,1558.81,23592,3677549929999.9995,4302,15997,0.6781
2017-11-01,IEX,EQ,1554.25,1550.3,1570.0,1538.8,1552.05,1559.35,1551.26,93185,14455398255000.002,6727,82187,0.882
2017-11-02,IEX,EQ,1559.35,1560.0,1575.0,1550.0,1560.0,1563.15,1561.64,28883,4510487690000.0,5173,18250,0.6319
2017-11-03,IEX,EQ,1563.15,1553.0,1620.0,1553.0,1590.9,1592.3,1582.61,94783,15000492025000.0,8943,54483,0.5748
2017-11-06,IEX,EQ,1592.3,1580.1,1619.0,1580.0,1607.0,1602.65,1600.99,48041,7691325520000.0,8308,31579,0.6573000000000001
2017-11-07,IEX,EQ,1602.65,1610.0,1618.5,1590.1,1602.8,1607.0,1603.87,51383,8241179050000.0,7845,33909,0.6598999999999999
2017-11-08,IEX,EQ,1607.0,1602.0,1618.5,1511.0,1580.0,1586.0,1606.71,24765,3979008804999.9995,4412,13982,0.5646
2017-11-09,IEX,EQ,1586.0,1586.0,1611.75,1558.0,1601.0,1600.15,1587.38,26379,4187362879999.9995,3914,15518,0.5883
2017-11-10,IEX,EQ,1600.15,1582.0,1610.0,1582.0,1595.1,1596.65,1597.3,17040,2721796360000.0,2593,11539,0.6772
2017-11-13,IEX,EQ,1596.65,1588.5,1601.15,1569.05,1570.0,1572.85,1575.97,12678,1998012014999.9998,1509,8754,0.6905
2017-11-14,IEX,EQ,1572.85,1575.0,1583.65,1540.5,1540.5,1542.85,1553.49,10919,1696261089999.9998,1932,8133,0.7448
