Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,IFCI,EQ,27.6,27.6,28.9,27.5,28.4,28.45,28.37,10263984,29114027730000.0,11700,2090496,0.20370000000000002
2016-01-04,IFCI,EQ,28.45,28.4,28.45,26.5,27.35,27.2,27.28,10740528,29296791650000.0,12259,1986809,0.185
2016-01-05,IFCI,EQ,27.2,27.65,29.7,27.65,29.15,29.25,29.08,35382032,102900154035000.0,36076,4723514,0.1335
2016-01-06,IFCI,EQ,29.25,29.3,29.55,28.25,28.3,28.35,28.9,13653776,39461467830000.0,18767,2518908,0.1845
2016-01-07,IFCI,EQ,28.35,27.7,27.9,26.5,26.85,26.9,27.09,11925884,32311134250000.0,14059,3021460,0.2534
2016-01-08,IFCI,EQ,26.9,27.3,27.55,26.75,27.4,27.3,27.22,6248284,17004714000000.0,8641,1110155,0.1777
2016-01-11,IFCI,EQ,27.3,27.2,27.65,26.6,27.15,27.2,27.15,7014507,19046416090000.0,8214,1358470,0.1937
2016-01-12,IFCI,EQ,27.2,27.2,27.55,26.45,26.55,26.55,26.86,6872730,18459595625000.0,8192,1716298,0.2497
2016-01-13,IFCI,EQ,26.55,26.85,27.25,25.4,26.25,26.3,26.3,16595712,43648187905000.0,15167,5316522,0.3204
2016-01-14,IFCI,EQ,26.3,25.6,26.35,25.25,25.7,25.75,25.84,9432203,24373421515000.0,8848,2892112,0.3066
2016-01-15,IFCI,EQ,25.75,26.0,26.2,23.75,23.9,24.0,25.13,8638911,21710215180000.0,10837,2711532,0.3139
2016-01-18,IFCI,EQ,24.0,23.6,23.85,21.9,21.95,22.0,22.72,12409007,28196009630000.0,16584,3023096,0.2436
2016-01-19,IFCI,EQ,22.0,22.15,23.05,21.8,22.45,22.5,22.45,9433252,21176042325000.0,12058,1481709,0.15710000000000002
2016-01-20,IFCI,EQ,22.5,21.8,22.0,20.9,21.4,21.45,21.44,12236658,26235428610000.0,15215,2866048,0.23420000000000002
2016-01-21,IFCI,EQ,21.45,21.65,22.0,20.45,20.7,20.8,21.13,12112801,25590530655000.0,14997,2797603,0.231
2016-01-22,IFCI,EQ,20.8,21.5,22.05,20.9,21.85,21.9,21.66,10226573,22152096585000.0,12082,2040721,0.1996
2016-01-25,IFCI,EQ,21.9,22.1,22.65,21.9,22.05,22.05,22.29,8312092,18523865205000.0,8469,3245735,0.39049999999999996
2016-01-27,IFCI,EQ,22.05,22.55,22.55,21.95,22.15,22.15,22.18,9025065,20019093585000.0,8377,3105398,0.34409999999999996
2016-01-28,IFCI,EQ,22.15,22.15,22.55,22.05,22.2,22.25,22.28,16164375,36006171100000.0,8030,10187511,0.6302000000000001
2016-01-29,IFCI,EQ,22.25,22.05,22.45,21.65,22.4,22.3,22.14,9915812,21953190860000.0,9572,1845935,0.1862
2016-02-01,IFCI,EQ,22.3,22.7,22.7,22.0,22.3,22.2,22.32,4705892,10502012775000.0,7214,874444,0.1858
2016-02-02,IFCI,EQ,22.2,22.2,23.55,22.2,22.75,22.85,22.93,19347134,44369758565000.0,26851,4845314,0.2504
2016-02-03,IFCI,EQ,22.85,22.4,23.5,21.5,22.35,22.1,22.7,15512100,35210940495000.0,15851,3719790,0.2398
2016-02-04,IFCI,EQ,22.1,22.4,23.2,22.3,22.75,22.7,22.76,7994230,18198000620000.0,10621,1463956,0.18309999999999998
2016-02-05,IFCI,EQ,22.7,23.0,23.4,22.65,23.4,23.25,23.05,6567514,15140569540000.0,6340,1548261,0.23570000000000002
2016-02-08,IFCI,EQ,23.25,23.3,24.1,23.25,23.55,23.65,23.75,7402563,17584534590000.0,7706,2310136,0.3121
2016-02-09,IFCI,EQ,23.65,23.5,23.65,23.0,23.55,23.45,23.42,6091575,14266288485000.0,5195,1086967,0.1784
2016-02-10,IFCI,EQ,23.45,23.6,23.65,21.5,22.25,22.1,22.4,9812185,21976142120000.0,10554,2560623,0.261
2016-02-11,IFCI,EQ,22.1,22.3,22.3,20.75,21.0,20.95,21.45,9574445,20540691130000.0,8646,3243263,0.3387
2016-02-12,IFCI,EQ,20.95,20.95,22.2,19.4,21.15,21.15,20.83,19110381,39812801600000.0,19096,3900881,0.2041
2016-02-15,IFCI,EQ,21.15,22.2,22.75,21.85,22.25,22.25,22.36,9809776,21931857645000.0,13189,2970418,0.3028
2016-02-16,IFCI,EQ,22.25,22.55,22.65,21.45,21.65,21.55,22.05,8068578,17789075015000.0,10056,2265186,0.2807
2016-02-17,IFCI,EQ,21.55,20.7,20.8,19.9,20.7,20.6,20.4,11103517,22656144870000.0,13096,2309198,0.20800000000000002
2016-02-18,IFCI,EQ,20.6,21.0,21.2,20.25,20.5,20.55,20.68,8541777,17665362490000.0,9222,2284504,0.2675
2016-02-19,IFCI,EQ,20.55,20.5,20.9,20.35,20.65,20.6,20.62,7562610,15592802225000.0,8078,1436691,0.19
2016-02-22,IFCI,EQ,20.6,20.6,21.0,20.5,20.85,20.75,20.74,6301498,13066199000000.0,5617,1625840,0.258
2016-02-23,IFCI,EQ,20.75,20.7,21.0,20.35,20.4,20.5,20.68,6579213,13606463344999.998,5971,1819443,0.27649999999999997
2016-02-24,IFCI,EQ,20.5,20.5,20.55,20.15,20.45,20.45,20.39,6412499,13074905995000.0,5424,1589669,0.2479
2016-02-25,IFCI,EQ,20.45,20.45,20.8,20.1,20.45,20.35,20.45,10146941,20754066435000.0,7239,3886518,0.383
2016-02-26,IFCI,EQ,20.35,20.55,21.1,20.5,21.1,21.0,20.8,8172246,17001315355000.002,7939,2298672,0.2813
2016-02-29,IFCI,EQ,21.0,21.1,21.7,20.7,21.2,21.05,21.2,11345155,24052138765000.0,11626,2343986,0.2066
2016-03-01,IFCI,EQ,21.05,21.25,21.9,21.2,21.75,21.75,21.59,4580725,9889173580000.0,9073,1405288,0.3068
2016-03-02,IFCI,EQ,21.75,22.2,23.55,22.2,23.55,23.35,23.09,12411034,28657253060000.004,16179,2550558,0.20550000000000002
2016-03-03,IFCI,EQ,23.35,23.6,23.65,22.95,23.35,23.25,23.24,5950505,13829153994999.998,7544,1086828,0.1826
2016-03-04,IFCI,EQ,23.25,23.5,23.75,23.1,23.4,23.4,23.45,8225181,19284888840000.0,11949,2760194,0.3356
2016-03-08,IFCI,EQ,23.4,23.4,23.75,22.9,23.1,23.1,23.3,5816448,13550092275000.0,6603,1423718,0.24480000000000002
2016-03-09,IFCI,EQ,23.1,22.85,23.55,22.8,23.45,23.4,23.14,5971278,13820317910000.0,5896,1798616,0.3012
2016-03-10,IFCI,EQ,23.4,23.5,23.6,23.0,23.3,23.2,23.24,5868796,13639721735000.0,6382,1074494,0.18309999999999998
2016-03-11,IFCI,EQ,23.2,23.15,23.35,22.75,23.15,23.05,23.02,4422124,10178957485000.0,5322,827889,0.1872
2016-03-14,IFCI,EQ,23.05,23.2,23.5,23.1,23.35,23.25,23.28,3638267,8470291109999.999,5279,890069,0.2446
2016-03-15,IFCI,EQ,23.25,23.25,25.05,23.1,24.2,24.15,24.37,13907516,33889361900000.0,18051,3095482,0.22260000000000002
2016-03-16,IFCI,EQ,24.15,24.25,24.6,23.6,24.25,24.2,24.08,7464937,17973799900000.0,13487,1347465,0.18050000000000002
2016-03-17,IFCI,EQ,24.2,24.4,24.55,23.45,23.55,23.65,24.07,7933603,19097447440000.0,16671,3251995,0.40990000000000004
2016-03-18,IFCI,EQ,23.65,23.7,24.35,23.55,24.3,24.2,24.02,6459203,15511797194999.998,9553,1776686,0.2751
2016-03-21,IFCI,EQ,24.2,24.35,24.65,24.2,24.6,24.5,24.46,5237838,12813382435000.0,7029,1390638,0.2655
2016-03-22,IFCI,EQ,24.5,24.5,24.8,24.1,24.3,24.35,24.45,5550561,13572874625000.0,6701,1616536,0.2912
2016-03-23,IFCI,EQ,24.35,24.35,24.35,24.1,24.2,24.15,24.2,2965300,7175723109999.999,5077,1118868,0.37729999999999997
2016-03-28,IFCI,EQ,24.15,24.25,24.4,23.3,23.45,23.4,23.73,3316388,7869956140000.001,4753,963648,0.29059999999999997
2016-03-29,IFCI,EQ,23.4,23.4,23.5,22.75,22.75,22.95,23.08,5145922,11876222005000.0,5912,2185789,0.42479999999999996
2016-03-30,IFCI,EQ,22.95,23.0,24.45,22.8,24.4,24.15,23.5,10420887,24490911400000.0,8942,4702987,0.45130000000000003
2016-03-31,IFCI,EQ,24.15,24.25,24.95,23.8,24.95,24.7,24.55,25650033,62972890079999.99,12884,11957591,0.4662
2016-04-01,IFCI,EQ,24.7,24.8,25.3,24.5,24.85,24.95,24.94,9337174,23290771895000.0,13084,2037557,0.2182
2016-04-04,IFCI,EQ,24.95,25.05,25.2,24.35,24.45,24.5,24.66,4128595,10181441085000.0,8714,1454243,0.3522
2016-04-05,IFCI,EQ,24.5,24.8,25.15,24.0,24.15,24.15,24.59,12414030,30527019270000.0,14542,2500185,0.20140000000000002
2016-04-06,IFCI,EQ,24.15,24.2,24.45,23.6,23.8,23.85,24.04,6900355,16588197694999.998,10506,2200149,0.3188
2016-04-07,IFCI,EQ,23.85,23.8,24.25,23.6,23.7,23.7,23.89,6823239,16303847265000.0,9071,1163399,0.1705
2016-04-08,IFCI,EQ,23.7,23.7,23.85,23.55,23.7,23.75,23.71,4570378,10834132375000.0,4946,1088589,0.2382
2016-04-11,IFCI,EQ,23.75,23.8,24.25,23.5,24.15,24.15,23.94,6847215,16389450705000.002,9550,1736222,0.2536
2016-04-12,IFCI,EQ,24.15,24.35,24.45,24.1,24.25,24.2,24.25,4214421,10219793940000.0,6213,926988,0.22
