Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,JAGRAN,EQ,159.65,160.0,168.0,157.15,167.5,166.25,165.39,221844,3669059375000.0,2956,148939,0.6714
2016-01-04,JAGRAN,EQ,166.25,170.0,175.0,163.0,164.5,164.7,167.69,96738,1622163780000.0,1770,50927,0.5264
2016-01-05,JAGRAN,EQ,164.7,166.0,170.9,165.0,165.45,166.0,169.07,196825,3327665440000.0,1879,154590,0.7854000000000001
2016-01-06,JAGRAN,EQ,166.0,168.5,169.5,164.25,167.0,168.35,166.78,37627,627536970000.0,865,26214,0.6967
2016-01-07,JAGRAN,EQ,168.35,167.95,168.45,162.15,165.0,166.85,165.89,63714,1056982460000.0,3447,44477,0.6981
2016-01-08,JAGRAN,EQ,166.85,167.0,169.6,165.45,167.0,168.65,166.64,73915,1231736445000.0,1377,60470,0.8181
2016-01-11,JAGRAN,EQ,168.65,168.5,171.0,164.1,169.0,168.5,168.17,32715,550157925000.0,2193,24345,0.7442000000000001
2016-01-12,JAGRAN,EQ,168.5,167.05,175.7,166.1,168.0,168.5,171.78,62448,1072716465000.0,1789,36828,0.5897
2016-01-13,JAGRAN,EQ,168.5,168.4,172.0,152.75,161.0,161.55,160.51,165437,2655411010000.0,3231,136733,0.8265000000000001
2016-01-14,JAGRAN,EQ,161.55,160.0,162.5,153.0,162.0,160.15,159.23,358613,5710107220000.0,1982,309721,0.8637
2016-01-15,JAGRAN,EQ,160.15,160.95,161.9,150.6,152.85,154.2,156.77,26294,412209620000.0,851,17399,0.6617000000000001
2016-01-18,JAGRAN,EQ,154.2,157.7,158.0,145.0,152.0,152.1,151.14,101392,1532474945000.0,4258,72567,0.7156999999999999
2016-01-19,JAGRAN,EQ,152.1,152.4,158.0,148.45,157.65,157.35,153.33,33022,506321995000.0,1719,18314,0.5546
2016-01-20,JAGRAN,EQ,157.35,156.0,168.9,152.05,164.45,158.1,155.98,42497,662875445000.0,2041,33708,0.7931999999999999
2016-01-21,JAGRAN,EQ,158.1,158.3,172.3,158.3,164.9,164.75,165.84,128222,2126489000000.0,3294,94231,0.7349
2016-01-22,JAGRAN,EQ,164.75,170.0,170.0,158.25,164.0,163.75,164.52,107749,1772664830000.0,2373,82904,0.7694
2016-01-25,JAGRAN,EQ,163.75,163.4,167.9,161.65,163.75,164.5,164.72,42436,698996510000.0,1178,31891,0.7515000000000001
2016-01-27,JAGRAN,EQ,164.5,165.9,174.0,163.0,163.5,164.4,167.95,90598,1521596295000.0,3484,65595,0.7240000000000001
2016-01-28,JAGRAN,EQ,164.4,165.85,166.5,161.1,162.0,162.1,164.06,50729,832254035000.0,2509,36475,0.7190000000000001
2016-01-29,JAGRAN,EQ,162.1,162.35,164.0,155.5,163.9,161.9,160.64,103243,1658444830000.0,7153,65028,0.6299
2016-02-01,JAGRAN,EQ,161.9,165.0,165.35,160.0,160.05,160.8,163.3,138285,2258186700000.0,10245,71969,0.5204
2016-02-02,JAGRAN,EQ,160.8,161.75,161.95,156.0,157.5,156.95,158.42,61826,979451469999.9999,2991,41603,0.6729
2016-02-03,JAGRAN,EQ,156.95,156.95,156.95,152.5,154.2,155.0,154.66,164273,2540720905000.0,4138,149724,0.9114
2016-02-04,JAGRAN,EQ,155.0,158.0,158.0,150.75,157.0,156.25,154.59,40898,632242925000.0,1095,24265,0.5933
2016-02-05,JAGRAN,EQ,156.25,156.85,161.75,151.2,159.7,159.95,158.63,151338,2400695220000.0,1457,136660,0.903
2016-02-08,JAGRAN,EQ,159.95,157.3,162.4,157.1,159.2,160.3,159.92,161103,2576393945000.0,2746,116088,0.7206
2016-02-09,JAGRAN,EQ,160.3,161.2,161.2,155.15,159.25,159.9,159.25,135785,2162431070000.0,2173,105095,0.774
2016-02-10,JAGRAN,EQ,159.9,159.0,160.25,156.1,160.0,159.9,159.66,141920,2265871080000.0,2421,112195,0.7906000000000001
