Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,JISLJALEQS,EQ,69.1,69.3,72.4,68.55,72.2,71.0,70.11,2568252,18006310640000.0,8823,764230,0.29760000000000003
2016-01-04,JISLJALEQS,EQ,71.0,72.0,78.1,72.0,74.25,74.4,75.2,16707834,125642573640000.02,46167,2731953,0.1635
2016-01-05,JISLJALEQS,EQ,74.4,74.5,76.9,72.45,74.95,75.2,74.8,7153245,53505936800000.0,21928,1911824,0.26730000000000004
2016-01-06,JISLJALEQS,EQ,75.2,75.0,77.15,73.35,74.65,74.75,75.4,4267233,32173061470000.0,15050,862640,0.2022
2016-01-07,JISLJALEQS,EQ,74.75,73.2,73.6,70.6,71.2,71.1,71.77,4162276,29870893314999.996,14608,1261970,0.3032
2016-01-08,JISLJALEQS,EQ,71.1,71.8,73.75,71.8,72.85,72.7,72.7,2890248,21011693890000.0,11493,979424,0.33890000000000003
2016-01-11,JISLJALEQS,EQ,72.7,71.05,73.3,71.0,72.15,72.3,72.39,2726497,19736130390000.0,14789,900844,0.33039999999999997
2016-01-12,JISLJALEQS,EQ,72.3,72.7,73.6,70.0,71.5,71.25,71.69,3521542,25246056580000.0,17428,1023970,0.2908
2016-01-13,JISLJALEQS,EQ,71.25,71.75,72.4,64.85,68.55,69.0,68.73,6248072,42943848205000.0,16223,1922670,0.30770000000000003
2016-01-14,JISLJALEQS,EQ,69.0,68.0,68.0,64.75,65.5,65.45,66.26,3470430,22993907340000.0,16462,770015,0.22190000000000001
2016-01-15,JISLJALEQS,EQ,65.45,66.0,66.65,60.55,61.25,61.5,63.64,4301203,27371591600000.0,12779,1898543,0.4414
2016-01-18,JISLJALEQS,EQ,61.5,61.25,61.85,56.65,58.4,59.0,58.92,4247712,25029482615000.0,11108,1557038,0.3666
2016-01-19,JISLJALEQS,EQ,59.0,58.95,60.65,57.65,59.55,58.8,59.08,3435153,20295630490000.0,10144,1140531,0.332
2016-01-20,JISLJALEQS,EQ,58.8,57.95,57.95,53.65,57.5,56.35,55.84,6408217,35781004320000.0,20969,2925088,0.4565
2016-01-21,JISLJALEQS,EQ,56.35,57.6,58.95,55.85,58.4,58.05,57.24,4053955,23206778375000.0,10974,1249114,0.3081
2016-01-22,JISLJALEQS,EQ,58.05,59.8,61.45,59.1,60.75,60.9,60.49,3815033,23076154645000.0,14158,1359944,0.3565
2016-01-25,JISLJALEQS,EQ,60.9,61.5,62.8,60.3,61.55,61.5,61.73,2469937,15246092735000.0,7245,675706,0.2736
2016-01-27,JISLJALEQS,EQ,61.5,62.25,62.35,61.2,62.1,62.1,61.88,2310482,14297005405000.002,10388,643159,0.2784
2016-01-28,JISLJALEQS,EQ,62.1,62.0,63.7,61.55,62.9,62.55,62.61,4597056,28783768575000.0,10388,1725866,0.3754
2016-01-29,JISLJALEQS,EQ,62.55,63.5,64.75,62.1,63.75,63.9,63.56,4497153,28583221955000.0,15001,1121479,0.2494
2016-02-01,JISLJALEQS,EQ,63.9,64.75,66.35,63.7,65.4,65.35,65.27,3053594,19930397590000.0,10402,704108,0.2306
2016-02-02,JISLJALEQS,EQ,65.35,65.1,65.7,62.4,62.65,62.6,64.12,2332228,14955335844999.998,9227,721826,0.3095
2016-02-03,JISLJALEQS,EQ,62.6,62.1,62.4,59.1,59.8,59.85,60.15,2599568,15635703290000.0,8862,761616,0.29300000000000004
2016-02-04,JISLJALEQS,EQ,59.85,60.6,62.6,59.15,60.75,60.05,60.99,3918297,23898544880000.0,9232,1275188,0.3254
2016-02-05,JISLJALEQS,EQ,60.05,60.65,62.15,60.4,61.95,61.85,61.46,1755984,10792051735000.0,6009,426675,0.24300000000000002
2016-02-08,JISLJALEQS,EQ,61.85,62.1,63.8,61.35,61.5,61.8,62.73,2970320,18632122285000.0,7837,561047,0.1889
