Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,KEI,EQ,120.25,120.65,121.2,117.2,118.0,118.15,119.0,374249,4453525060000.0,3987,155917,0.41659999999999997
2016-01-04,KEI,EQ,118.15,118.65,122.05,115.5,116.6,116.2,118.59,469061,5562382030000.0,5598,208929,0.4454
2016-01-05,KEI,EQ,116.2,117.4,120.85,115.3,120.05,119.5,118.29,857376,10142154190000.0,4110,338639,0.395
2016-01-06,KEI,EQ,119.5,120.5,122.25,117.8,120.1,119.25,120.07,397222,4769381520000.0,3073,221831,0.5585
2016-01-07,KEI,EQ,119.25,115.6,117.0,112.8,116.7,115.65,114.8,433059,4971640960000.0,3636,264488,0.6107
2016-01-08,KEI,EQ,115.65,116.0,124.0,116.0,121.75,121.95,120.81,811298,9801140060000.0,5829,345973,0.4264
2016-01-11,KEI,EQ,121.95,119.6,125.8,118.0,124.5,124.0,123.22,774674,9545896205000.0,9323,340288,0.4393
2016-01-12,KEI,EQ,124.0,124.65,125.8,120.35,122.0,122.5,123.25,326387,4022611729999.9995,4845,167132,0.5121
2016-01-13,KEI,EQ,122.5,124.0,126.4,111.1,120.9,119.95,118.54,762292,9036229820000.0,8308,309429,0.40590000000000004
2016-01-14,KEI,EQ,119.95,116.5,121.8,113.1,118.25,118.65,118.79,346220,4112913379999.9995,4854,111719,0.32270000000000004
2016-01-15,KEI,EQ,118.65,119.25,123.0,115.0,118.4,117.95,118.85,310528,3690560390000.0,4177,156929,0.5054
2016-01-18,KEI,EQ,117.95,121.05,122.0,109.0,111.0,110.3,115.04,1217367,14004446440000.0,12667,567596,0.4662
2016-01-19,KEI,EQ,110.3,110.7,114.8,110.6,114.8,114.15,113.03,239824,2710704645000.0,4258,113160,0.4718
2016-01-20,KEI,EQ,114.15,113.0,113.0,108.8,110.9,110.7,110.44,244493,2700060965000.0,4124,133110,0.5444
2016-01-21,KEI,EQ,110.7,112.15,114.1,110.0,111.0,110.9,111.42,238405,2656344015000.0,4147,131267,0.5506000000000001
2016-01-22,KEI,EQ,110.9,113.8,115.9,111.2,114.5,114.65,113.9,196667,2240093225000.0,3674,106042,0.5392
2016-01-25,KEI,EQ,114.65,116.15,119.95,113.25,114.4,114.2,116.59,789609,9206031865000.0,9725,295159,0.3738
2016-01-27,KEI,EQ,114.2,115.9,116.7,113.8,114.45,114.5,115.11,474828,5465964775000.0,3492,352083,0.7415
2016-01-28,KEI,EQ,114.5,115.0,115.85,112.2,113.1,112.7,113.84,230164,2620157400000.0,4314,141173,0.6134000000000001
2016-01-29,KEI,EQ,112.7,113.0,114.15,108.5,110.2,110.05,111.17,453665,5043408000000.0,4844,203180,0.4479
2016-02-01,KEI,EQ,110.05,110.5,113.0,110.1,112.1,112.1,111.89,200095,2238768570000.0,3114,133214,0.6658
2016-02-02,KEI,EQ,112.1,112.8,112.8,110.4,110.8,110.6,110.97,121534,1348679645000.0,2562,72868,0.5996
2016-02-03,KEI,EQ,110.6,108.1,113.2,107.35,112.8,111.7,110.28,233660,2576689125000.0,4685,140244,0.6002000000000001
2016-02-04,KEI,EQ,111.7,112.95,114.7,110.8,113.0,113.2,113.13,571247,6462282375000.0,7075,454154,0.795
2016-02-05,KEI,EQ,113.2,113.25,114.35,112.15,113.25,113.35,113.05,172817,1953667160000.0002,3940,121585,0.7034999999999999
2016-02-08,KEI,EQ,113.35,113.6,115.65,113.25,114.1,114.35,114.6,172433,1976011380000.0,3595,82771,0.48
2016-02-09,KEI,EQ,114.35,112.0,113.75,111.85,112.75,112.5,112.79,52785,595365710000.0,2051,27395,0.519
2016-02-10,KEI,EQ,112.5,111.05,113.5,111.05,112.7,112.55,112.62,143937,1621055960000.0,2342,96754,0.6722
2016-02-11,KEI,EQ,112.55,110.75,113.0,98.2,103.0,103.2,107.18,563303,6037613745000.0,5110,441589,0.7839
2016-02-12,KEI,EQ,103.2,104.0,106.5,94.4,100.25,102.1,99.0,532420,5271038140000.0,5631,372937,0.7005
2016-02-15,KEI,EQ,102.1,104.8,107.9,103.55,105.3,104.7,105.57,135591,1431448185000.0,1386,55054,0.406
2016-02-16,KEI,EQ,104.7,106.4,106.4,99.55,99.85,100.55,102.62,103561,1062726450000.0,1194,53721,0.5186999999999999
2016-02-17,KEI,EQ,100.55,100.0,100.0,94.65,95.6,95.65,95.7,244610,2340886360000.0,5142,131649,0.5382
2016-02-18,KEI,EQ,95.65,96.9,99.6,96.9,97.8,98.0,98.41,113591,1117799670000.0,2394,51164,0.4504
2016-02-19,KEI,EQ,98.0,97.0,97.8,92.5,94.25,93.95,94.91,145674,1382642375000.0,4009,89969,0.6176
2016-02-22,KEI,EQ,93.95,94.0,94.0,91.0,93.4,92.5,92.81,160983,1494015765000.0,1866,92104,0.5721
2016-02-23,KEI,EQ,92.5,93.8,97.0,92.45,95.8,96.15,94.79,173196,1641678955000.0,2921,74539,0.4304
2016-02-24,KEI,EQ,96.15,96.15,97.7,93.0,94.0,94.15,95.29,162609,1549469000000.0,3773,50453,0.3103
2016-02-25,KEI,EQ,94.15,93.05,94.5,90.5,91.0,91.15,92.57,63316,586117390000.0,1330,40858,0.6453
2016-02-26,KEI,EQ,91.15,90.4,92.75,88.1,90.05,90.45,90.74,150802,1368389615000.0,3364,76271,0.5058
2016-02-29,KEI,EQ,90.45,89.0,92.5,85.3,90.0,90.2,88.5,286616,2536580725000.0,3036,189026,0.6595000000000001
2016-03-01,KEI,EQ,90.2,91.0,96.5,90.1,96.35,95.5,93.92,186450,1751212830000.0,4476,80633,0.4325
2016-03-02,KEI,EQ,95.5,95.5,104.45,95.5,102.3,101.75,101.03,163938,1656286990000.0,3965,64104,0.391
2016-03-03,KEI,EQ,101.75,102.5,102.8,99.0,101.0,100.55,100.9,145539,1468539865000.0,2019,62263,0.4278
2016-03-04,KEI,EQ,100.55,101.0,101.05,98.6,99.05,99.05,99.59,106980,1065396490000.0,2244,61433,0.5742
2016-03-08,KEI,EQ,99.05,100.1,101.9,98.25,99.7,100.05,100.19,202591,2029758560000.0002,2601,81640,0.40299999999999997
2016-03-09,KEI,EQ,100.05,100.7,101.85,99.25,101.0,100.9,100.58,160162,1610916660000.0,2581,62359,0.3893
2016-03-10,KEI,EQ,100.9,101.0,103.4,99.5,100.8,100.2,101.73,147018,1495665410000.0,2116,89280,0.6073
2016-03-11,KEI,EQ,100.2,99.5,101.7,98.55,98.6,98.8,99.78,153089,1527577250000.0,2431,77171,0.5041
2016-03-14,KEI,EQ,98.8,99.7,101.0,99.0,99.0,99.2,99.61,72902,726171480000.0,2001,42744,0.5863
2016-03-15,KEI,EQ,99.2,98.0,99.7,97.3,98.0,98.0,98.28,58548,575427040000.0,3274,30797,0.526
2016-03-16,KEI,EQ,98.0,97.0,99.0,97.0,98.0,97.4,97.59,82022,800466525000.0,2179,50267,0.6128
2016-03-17,KEI,EQ,97.4,98.0,99.35,97.1,97.25,97.5,98.4,122749,1207831165000.0,622,91482,0.7453000000000001
2016-03-18,KEI,EQ,97.5,97.55,98.55,96.05,96.85,96.7,97.02,67192,651929735000.0,2049,35978,0.5355
2016-03-21,KEI,EQ,96.7,96.6,98.1,96.1,98.1,97.05,97.09,78916,766159290000.0,1387,40086,0.508
2016-03-22,KEI,EQ,97.05,97.3,98.5,97.0,97.4,97.65,97.75,58055,567497935000.0,1007,33050,0.5693
2016-03-23,KEI,EQ,97.65,98.1,98.1,96.4,97.3,97.0,97.11,54685,531034245000.0,1014,32914,0.6019
2016-03-28,KEI,EQ,97.0,97.6,98.0,91.5,94.0,93.2,95.43,198975,1898724430000.0,2966,92692,0.4658
2016-03-29,KEI,EQ,93.2,93.95,96.6,92.2,96.55,95.7,95.17,178077,1694675920000.0,2141,93145,0.5231
2016-03-30,KEI,EQ,95.7,96.4,98.9,95.85,98.05,97.85,97.6,107561,1049745580000.0001,1593,40093,0.37270000000000003
2016-03-31,KEI,EQ,97.85,97.9,100.5,97.2,97.7,98.0,99.11,140314,1390705710000.0,1165,41012,0.2923
2016-04-01,KEI,EQ,98.0,101.4,103.0,100.95,101.0,101.4,101.7,523702,5325989385000.0,4829,134451,0.25670000000000004
2016-04-04,KEI,EQ,101.4,102.05,102.05,99.2,99.3,99.5,100.12,70350,704314715000.0,673,40556,0.5765
2016-04-05,KEI,EQ,99.5,98.1,99.25,97.0,97.0,97.5,97.91,80308,786293685000.0,937,42062,0.5238
2016-04-06,KEI,EQ,97.5,98.0,99.6,97.65,98.9,98.7,98.54,298456,2940886970000.0,794,265239,0.8887
2016-04-07,KEI,EQ,98.7,98.55,99.5,97.15,97.2,97.65,98.24,61802,607144840000.0,659,38126,0.6169
2016-04-08,KEI,EQ,97.65,96.95,99.35,95.5,97.55,97.55,97.88,48769,477341020000.0,533,24879,0.5101
2016-04-11,KEI,EQ,97.55,97.65,98.0,96.65,97.6,97.65,97.37,57367,558585750000.0,966,33209,0.5789
2016-04-12,KEI,EQ,97.65,97.9,104.7,97.15,104.35,103.55,101.98,382395,3899670054999.9995,2544,167018,0.4368
2016-04-13,KEI,EQ,103.55,104.5,105.9,102.5,102.6,102.9,103.99,232872,2421649740000.0,2990,140974,0.6054
2016-04-18,KEI,EQ,102.9,102.9,102.9,100.0,100.6,100.8,100.93,76577,772901245000.0,1594,45283,0.5913
2016-04-20,KEI,EQ,100.8,101.9,103.9,100.55,101.5,101.55,102.28,84091,860055269999.9999,954,43414,0.5163
2016-04-21,KEI,EQ,101.55,101.05,104.55,101.0,101.85,101.65,102.97,162482,1673100435000.0,1941,83846,0.516
2016-04-22,KEI,EQ,101.65,101.9,102.35,99.5,99.55,99.85,100.6,107458,1081010625000.0,1931,72158,0.6715000000000001
2016-04-25,KEI,EQ,99.85,99.0,100.9,98.0,99.5,99.3,99.35,93863,932538140000.0,1622,46469,0.4951
2016-04-26,KEI,EQ,99.3,98.15,102.0,98.15,100.8,101.05,100.75,90849,915312430000.0001,1666,37109,0.40850000000000003
2016-04-27,KEI,EQ,101.05,100.25,106.45,100.25,104.9,104.3,104.31,371381,3873998725000.0,4299,151741,0.4086
2016-04-28,KEI,EQ,104.3,103.25,104.6,101.1,101.75,101.7,102.67,96190,987553819999.9999,2244,51578,0.5362
2016-04-29,KEI,EQ,101.7,101.8,102.95,100.1,102.05,102.4,101.76,110784,1127356455000.0,2401,61530,0.5554
2016-05-02,KEI,EQ,102.4,102.3,102.7,100.5,102.6,102.25,101.76,76337,776842500000.0,1483,41242,0.5403
2016-05-03,KEI,EQ,102.25,101.2,103.8,101.2,102.2,102.15,102.27,72139,737732730000.0,831,50084,0.6943
2016-05-04,KEI,EQ,102.15,101.25,106.45,101.0,105.7,106.05,104.93,288957,3031957850000.0,5444,154584,0.535
2016-05-05,KEI,EQ,106.05,106.0,109.45,104.5,108.0,108.3,107.39,303534,3259733505000.0,7170,143180,0.4717
2016-05-06,KEI,EQ,108.3,108.15,111.0,106.2,109.5,109.8,109.4,804144,8797163575000.0,8623,403796,0.5021
