Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,KNRCON,EQ,568.5,571.65,580.0,565.1,579.9,577.55,574.46,7373,423549950000.0,517,4938,0.6697
2016-01-04,KNRCON,EQ,577.55,567.0,585.0,560.35,564.8,565.25,571.12,15656,894146280000.0001,812,10194,0.6511
2016-01-05,KNRCON,EQ,565.25,565.25,576.0,559.95,575.0,572.35,565.44,9024,510256084999.99994,486,4760,0.5275
2016-01-06,KNRCON,EQ,572.35,565.05,579.9,554.0,557.75,559.4,563.35,23118,1302345815000.0,718,19151,0.8284
2016-01-07,KNRCON,EQ,559.4,550.0,569.95,544.0,546.0,548.4,555.15,21892,1215325795000.0,1518,15525,0.7092
2016-01-08,KNRCON,EQ,548.4,553.0,563.2,548.0,551.95,550.75,553.22,15933,881440200000.0,1873,9072,0.5694
2016-01-11,KNRCON,EQ,550.75,550.75,550.8,530.15,534.15,534.1,534.81,20831,1114057940000.0,1586,14730,0.7071
2016-01-12,KNRCON,EQ,534.1,544.95,554.0,532.0,541.0,539.05,541.84,9880,535337409999.99994,966,5873,0.5944
2016-01-13,KNRCON,EQ,539.05,538.0,550.0,500.15,530.0,531.85,519.11,37918,1968375730000.0,2043,24317,0.6413
2016-01-14,KNRCON,EQ,531.85,525.0,525.0,496.3,500.0,510.45,505.77,63619,3217671650000.0,2362,45308,0.7122
2016-01-15,KNRCON,EQ,510.45,514.0,534.95,496.05,500.0,501.95,516.35,47578,2456695400000.0,4484,26527,0.5575
2016-01-18,KNRCON,EQ,501.95,499.0,499.0,460.0,480.0,484.5,477.65,38755,1851119214999.9998,4271,23866,0.6158
2016-01-19,KNRCON,EQ,484.5,496.0,496.0,469.45,490.0,488.15,482.69,5565,268616785000.0,530,3253,0.5845
2016-01-20,KNRCON,EQ,488.15,480.0,480.0,459.0,460.0,461.1,463.61,28994,1344189405000.0,2361,21572,0.7440000000000001
2016-01-21,KNRCON,EQ,461.1,478.0,478.0,460.1,460.5,463.75,464.8,5912,274788015000.0,407,3084,0.5217
2016-01-22,KNRCON,EQ,463.75,470.0,488.95,469.0,475.5,483.05,475.74,8761,416797355000.0,486,5154,0.5883
2016-01-25,KNRCON,EQ,483.05,499.0,503.0,488.95,496.5,496.3,499.6,145826,7285428940000.001,680,134525,0.9225
2016-01-27,KNRCON,EQ,496.3,514.0,514.0,492.0,497.0,498.0,499.94,147966,7397393320000.0,855,143716,0.9712999999999999
2016-01-28,KNRCON,EQ,498.0,505.0,505.0,486.0,492.0,493.7,494.47,6838,338119645000.0,484,4367,0.6386000000000001
2016-01-29,KNRCON,EQ,493.7,497.45,504.95,482.0,495.0,494.5,496.56,3486,173099290000.0,263,2202,0.6317
2016-02-01,KNRCON,EQ,494.5,498.5,520.0,487.05,490.0,495.8,504.15,17768,895767735000.0,1062,9610,0.5409
2016-02-02,KNRCON,EQ,495.8,499.85,509.5,489.3,500.0,500.0,499.64,83324,4163185725000.0,926,75689,0.9084000000000001
2016-02-03,KNRCON,EQ,500.0,487.75,503.0,458.95,496.1,499.8,499.66,20351,1016856800000.0,579,18113,0.89
2016-02-04,KNRCON,EQ,499.8,503.0,508.95,491.0,491.0,496.0,500.08,6874,343754670000.0,353,4333,0.6303
2016-02-05,KNRCON,EQ,496.0,500.05,510.0,495.8,509.9,505.7,501.09,12517,627210475000.0,645,10683,0.8534999999999999
2016-02-08,KNRCON,EQ,505.7,491.4,501.0,477.0,487.0,487.05,488.52,7892,385539825000.0,617,4734,0.5998
2016-02-09,KNRCON,EQ,487.05,487.0,494.95,471.0,493.0,491.75,488.96,12508,611585870000.0,380,10459,0.8362
2016-02-10,KNRCON,EQ,491.75,498.9,498.95,478.0,487.9,482.8,482.78,4957,239313260000.0,445,3416,0.6890999999999999
