Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,KOLTEPATIL,EQ,154.2,153.0,156.5,153.0,153.75,154.3,154.81,42701,661048685000.0,1182,18189,0.42600000000000005
2016-01-04,KOLTEPATIL,EQ,154.3,153.15,155.45,150.2,150.5,151.0,152.23,37357,568668935000.0,948,19946,0.5339
2016-01-05,KOLTEPATIL,EQ,151.0,151.65,153.85,150.55,151.8,151.85,151.96,27637,419977030000.0,962,10780,0.3901
2016-01-06,KOLTEPATIL,EQ,151.85,151.95,152.0,147.15,147.45,147.8,149.08,59208,882684975000.0,2461,38694,0.6535
2016-01-07,KOLTEPATIL,EQ,147.8,147.0,147.0,140.0,140.05,140.65,141.87,47406,672567010000.0,1759,28668,0.6047
2016-01-08,KOLTEPATIL,EQ,140.65,142.9,147.8,139.1,147.8,144.4,142.55,57074,813606410000.0,1414,25312,0.4435
2016-01-11,KOLTEPATIL,EQ,144.4,140.7,143.9,140.0,141.75,141.15,141.69,36940,523418375000.0,906,14331,0.38799999999999996
2016-01-12,KOLTEPATIL,EQ,141.15,141.2,144.0,138.5,140.2,139.75,141.14,23696,334437345000.0,1060,13329,0.5625
2016-01-13,KOLTEPATIL,EQ,139.75,139.4,143.95,130.5,137.5,136.7,136.66,78939,1078750625000.0,1945,54229,0.687
2016-01-14,KOLTEPATIL,EQ,136.7,134.5,134.5,129.2,131.15,131.7,131.8,60558,798164430000.0,3319,35097,0.5796
2016-01-15,KOLTEPATIL,EQ,131.7,132.1,134.5,125.0,126.0,125.85,129.56,29497,382160455000.0,1092,17417,0.5905
2016-01-18,KOLTEPATIL,EQ,125.85,125.05,128.35,115.5,116.0,116.4,118.92,42936,510583440000.00006,1559,27211,0.6338
2016-01-19,KOLTEPATIL,EQ,116.4,116.05,118.2,111.2,112.5,112.55,115.14,74057,852719505000.0001,4082,48888,0.6601
2016-01-20,KOLTEPATIL,EQ,112.55,111.1,112.5,104.0,105.6,105.85,108.63,79134,859594850000.0,5372,41067,0.519
2016-01-21,KOLTEPATIL,EQ,105.85,108.0,110.05,102.9,103.25,103.55,106.58,50309,536185175000.0,3157,28318,0.5629
2016-01-22,KOLTEPATIL,EQ,103.55,104.5,109.8,104.5,106.5,106.45,107.36,77584,832944705000.0,4561,39306,0.5065999999999999
2016-01-25,KOLTEPATIL,EQ,106.45,108.25,110.95,108.0,108.15,108.45,109.19,39419,430401455000.0,1467,21487,0.5451
2016-01-27,KOLTEPATIL,EQ,108.45,110.05,110.7,104.5,105.5,106.05,108.08,31810,343813745000.0,1584,18961,0.5961
2016-01-28,KOLTEPATIL,EQ,106.05,107.45,107.55,104.5,106.0,106.15,105.96,43783,463926190000.00006,1544,22212,0.5073
2016-01-29,KOLTEPATIL,EQ,106.15,107.85,107.85,104.9,105.7,105.85,106.69,30820,328827405000.0,1184,17608,0.5713
2016-02-01,KOLTEPATIL,EQ,105.85,106.9,115.8,105.1,110.05,110.0,111.71,86028,961060044999.9999,3405,39764,0.4622
2016-02-02,KOLTEPATIL,EQ,110.0,111.45,112.0,105.45,107.8,106.45,109.42,33025,361352260000.0,1408,20101,0.6087
2016-02-03,KOLTEPATIL,EQ,106.45,104.85,107.3,103.15,105.75,106.0,105.26,42694,449403890000.00006,1795,24905,0.5833
2016-02-04,KOLTEPATIL,EQ,106.0,107.1,109.5,102.6,102.85,103.25,105.02,31510,330923740000.0,1278,20620,0.6544
