Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,KPRMILL,EQ,870.2,887.5,919.0,871.1,895.0,898.2,901.47,67078,6046882575000.0,2992,28586,0.42619999999999997
2016-01-04,KPRMILL,EQ,898.2,902.75,906.0,865.5,878.0,874.9,886.53,31366,2780686785000.0,2540,16888,0.5384000000000001
2016-01-05,KPRMILL,EQ,874.9,888.4,920.0,862.2,915.0,892.7,883.84,51007,4508188310000.0,2493,40824,0.8004000000000001
2016-01-06,KPRMILL,EQ,892.7,909.3,923.0,891.0,919.75,913.6,910.38,87590,7974039655000.0,7334,53534,0.6112
2016-01-07,KPRMILL,EQ,913.6,894.2,904.0,855.0,861.5,864.05,866.36,86492,7493357340000.001,2656,72547,0.8388
2016-01-08,KPRMILL,EQ,864.05,864.5,896.0,855.3,860.0,861.65,878.04,52084,4573203115000.0,2337,39725,0.7626999999999999
2016-01-11,KPRMILL,EQ,861.65,859.0,859.0,820.0,824.0,823.05,835.97,38031,3179269810000.0,2328,27059,0.7115
2016-01-12,KPRMILL,EQ,823.05,828.9,853.9,812.05,853.0,846.25,833.37,53652,4471212825000.0,4417,41726,0.7777
2016-01-13,KPRMILL,EQ,846.25,858.9,858.9,785.0,830.0,824.0,816.46,43898,3584105325000.0,2754,23792,0.542
2016-01-14,KPRMILL,EQ,824.0,827.95,837.0,786.0,819.8,822.05,809.45,16735,1354621750000.0,1681,8878,0.5305
2016-01-15,KPRMILL,EQ,822.05,806.1,825.75,775.0,792.0,784.65,802.91,20616,1655284660000.0,1504,15511,0.7524
2016-01-18,KPRMILL,EQ,784.65,780.0,784.9,736.15,761.0,770.5,762.2,73061,5568688665000.0,5454,52407,0.7173
2016-01-19,KPRMILL,EQ,770.5,769.95,771.2,741.0,765.8,764.3,760.25,15392,1170175275000.0,1078,9573,0.6219
2016-01-20,KPRMILL,EQ,764.3,750.6,756.8,709.0,724.0,724.65,727.67,21774,1584433935000.0,1972,13889,0.6379
2016-01-21,KPRMILL,EQ,724.65,725.0,739.95,709.0,725.25,723.95,722.61,19611,1417102610000.0,1261,11477,0.5852
2016-01-22,KPRMILL,EQ,723.95,721.25,783.0,721.25,776.55,776.8,763.19,27470,2096480739999.9998,1775,16262,0.5920000000000001
2016-01-25,KPRMILL,EQ,776.8,789.0,789.0,752.8,760.0,758.9,767.61,37702,2894054100000.0,2930,20019,0.531
2016-01-27,KPRMILL,EQ,758.9,774.95,774.95,725.55,744.0,738.0,741.69,78774,5842552050000.0,4264,37373,0.4744
2016-01-28,KPRMILL,EQ,738.0,700.0,734.5,700.0,730.0,728.25,726.11,42534,3088428540000.0,2944,24299,0.5713
2016-01-29,KPRMILL,EQ,728.25,728.0,737.0,718.0,735.0,733.1,727.87,48394,3522450795000.0005,2981,25299,0.5228
2016-02-01,KPRMILL,EQ,733.1,737.0,742.75,724.8,729.0,730.15,730.19,28512,2081922695000.0,1069,8630,0.3027
2016-02-02,KPRMILL,EQ,730.15,720.2,737.5,710.2,712.4,721.3,727.14,23055,1676419000000.0,1304,8210,0.3561
2016-02-03,KPRMILL,EQ,721.3,711.25,723.0,702.0,710.2,714.2,712.52,31357,2234240975000.0,963,5953,0.1898
2016-02-04,KPRMILL,EQ,714.2,711.0,723.0,705.55,707.5,711.35,713.8,15274,1090262040000.0,852,9357,0.6126
2016-02-05,KPRMILL,EQ,711.35,716.0,840.0,703.0,780.0,730.9,722.12,41191,2974490680000.0,1418,30667,0.7445
2016-02-08,KPRMILL,EQ,730.9,741.7,750.0,711.25,730.0,720.25,730.81,19180,1401697530000.0,1175,12840,0.6694
2016-02-09,KPRMILL,EQ,720.25,710.1,725.0,710.1,716.1,722.7,719.4,8731,628110850000.0,354,6669,0.7637999999999999
