Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,MAX,EQ,507.9,508.4,528.0,504.15,524.0,523.85,520.01,278353,14474533575000.0,6854,129616,0.4657
2016-01-04,MAX,EQ,523.85,524.0,524.0,513.5,517.0,517.5,518.44,380217,19711847060000.0,7811,333848,0.878
2016-01-05,MAX,EQ,517.5,517.5,519.9,505.55,512.0,514.2,514.21,278635,14327654005000.002,5965,216776,0.778
2016-01-06,MAX,EQ,514.2,514.0,515.0,507.3,510.0,510.0,510.8,350303,17893387040000.0,3747,328120,0.9367000000000001
2016-01-07,MAX,EQ,510.0,507.0,507.5,489.0,499.85,500.4,496.7,408156,20273070405000.0,17904,335887,0.8229000000000001
2016-01-08,MAX,EQ,500.4,497.05,503.35,487.5,489.5,490.05,491.8,233769,11496786770000.0,21449,173430,0.7419
2016-01-11,MAX,EQ,490.05,487.0,487.0,472.05,473.0,476.9,482.23,236906,11424218775000.0,12046,185373,0.7825
2016-01-12,MAX,EQ,476.9,480.0,481.0,465.0,467.2,469.1,470.24,213406,10035183620000.0,13345,167827,0.7864
2016-01-13,MAX,EQ,469.1,476.0,476.0,445.1,465.0,460.55,458.7,308348,14144023194999.998,22289,193572,0.6278
2016-01-14,MAX,EQ,460.55,456.0,488.45,446.1,479.0,479.6,466.86,503340,23498882860000.0,17419,265700,0.5279
2016-01-15,MAX,EQ,479.6,487.9,495.0,466.0,488.0,478.25,483.64,1543797,74663666945000.0,41804,637827,0.4132
2016-01-18,MAX,EQ,478.25,482.0,486.95,443.0,447.0,448.85,469.22,292065,13704210660000.0,12565,179480,0.6145
2016-01-19,MAX,EQ,448.85,451.5,465.6,445.85,454.0,458.65,456.16,347829,15866634610000.0,38068,230246,0.662
2016-01-20,MAX,EQ,458.65,455.0,464.7,441.5,446.1,446.55,455.87,599347,27322641130000.0,36709,451158,0.7526999999999999
2016-01-21,MAX,EQ,446.55,451.1,463.0,451.1,454.6,455.1,457.35,806028,36863822540000.0,10729,645855,0.8013
2016-01-22,MAX,EQ,455.1,459.4,463.3,453.15,460.0,459.7,457.75,2195648,100505565615000.0,27476,2062848,0.9395
2016-01-25,MAX,EQ,459.7,469.0,480.0,463.15,470.0,471.6,473.84,759662,35995728750000.0,14316,527486,0.6944
2016-02-10,MAX,EQ,360.7,368.95,368.95,337.0,350.3,360.1,356.74,194582,6941555080000.0,3079,140951,0.7244
2016-02-11,MAX,EQ,360.1,351.05,356.0,325.0,338.8,332.15,341.65,100166,3422188165000.0,3583,74343,0.7422
2016-02-12,MAX,EQ,332.15,311.05,349.0,311.05,313.0,314.65,317.22,127474,4043668604999.9995,2580,99380,0.7796
2016-02-15,MAX,EQ,314.65,316.0,337.0,316.0,325.5,329.3,328.69,70757,2325687665000.0,5048,48458,0.6849
2016-02-16,MAX,EQ,329.3,329.3,339.0,317.8,336.0,330.25,325.65,61061,1988475555000.0,2265,43409,0.7109000000000001
2016-02-17,MAX,EQ,330.25,331.0,350.95,327.6,346.0,346.15,342.21,106629,3648998870000.0005,2291,59828,0.5611
2016-02-18,MAX,EQ,346.15,354.0,387.7,340.3,343.25,345.2,354.4,424194,15033540760000.0,12075,122728,0.2893
2016-02-19,MAX,EQ,345.2,340.0,350.05,336.0,343.15,346.25,343.83,67885,2334071900000.0,3291,43755,0.6445000000000001
2016-02-22,MAX,EQ,346.25,352.0,355.0,343.15,344.0,346.7,348.72,86825,3027782820000.0,2926,31407,0.3617
2016-02-23,MAX,EQ,346.7,347.9,347.9,329.0,332.5,338.35,339.05,84756,2873668555000.0,3059,57511,0.6785
2016-02-24,MAX,EQ,338.35,332.55,339.2,320.0,322.1,324.5,325.27,123262,4009402154999.9995,3962,79783,0.6473000000000001
2016-02-25,MAX,EQ,324.5,320.6,323.55,302.8,318.5,311.85,309.82,441824,13688406740000.0,6052,387383,0.8768000000000001
2016-02-26,MFSL,EQ,311.85,323.0,330.75,310.55,325.2,327.1,320.42,71492,2290743810000.0,5780,57546,0.8049
