Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,NAVINFLUOR,EQ,1872.4,1872.05,1985.0,1865.25,1940.0,1949.2,1954.38,35300,6898973809999.999,3387,14104,0.3995
2016-01-04,NAVINFLUOR,EQ,1949.2,1950.0,1965.0,1922.0,1942.95,1931.05,1942.3,12287,2386502045000.0,975,7558,0.6151
2016-01-05,NAVINFLUOR,EQ,1931.05,1955.0,1955.0,1875.0,1890.0,1881.95,1900.89,10038,1908116935000.0002,1009,7231,0.7204
2016-01-06,NAVINFLUOR,EQ,1881.95,1883.35,1978.0,1880.0,1892.0,1896.75,1943.59,31853,6190927640000.0,3176,8418,0.2643
2016-01-07,NAVINFLUOR,EQ,1896.75,1860.0,1896.75,1825.2,1851.95,1841.95,1864.44,9901,1845979495000.0,1332,5856,0.5915
2016-01-08,NAVINFLUOR,EQ,1841.95,1890.0,1915.0,1850.0,1892.1,1888.1,1891.51,127519,24120319480000.0,972,124739,0.9782
2016-01-11,NAVINFLUOR,EQ,1888.1,1886.95,1899.0,1851.0,1876.75,1875.35,1873.03,7213,1351013700000.0,904,4148,0.5751
2016-01-12,NAVINFLUOR,EQ,1875.35,1895.0,1990.0,1812.45,1835.0,1835.9,1898.58,24932,4733537310000.0,2811,7516,0.3015
2016-01-13,NAVINFLUOR,EQ,1835.9,1850.0,1889.0,1710.9,1810.0,1832.65,1816.17,16141,2931483085000.0,2576,7596,0.4706
2016-01-14,NAVINFLUOR,EQ,1832.65,1809.0,1870.05,1756.8,1842.0,1844.85,1825.82,12381,2260551415000.0,1374,6755,0.5456000000000001
2016-01-15,NAVINFLUOR,EQ,1844.85,1850.6,1880.0,1775.0,1775.0,1796.25,1829.56,6120,1119691490000.0,778,3594,0.5872999999999999
2016-01-18,NAVINFLUOR,EQ,1796.25,1730.0,1841.9,1637.8,1665.0,1669.45,1720.85,12521,2154676530000.0,3278,6426,0.5132
2016-01-19,NAVINFLUOR,EQ,1669.45,1669.45,1729.0,1613.85,1710.0,1697.95,1693.56,17965,3042485780000.0,2494,6093,0.3392
2016-01-20,NAVINFLUOR,EQ,1697.95,1710.0,1745.0,1603.25,1705.0,1702.35,1688.02,14234,2402734750000.0,2318,7264,0.5103
2016-01-21,NAVINFLUOR,EQ,1702.35,1713.35,1750.0,1655.0,1682.05,1670.8,1694.73,7220,1223595550000.0,1075,4560,0.6315999999999999
2016-01-22,NAVINFLUOR,EQ,1670.8,1700.0,1739.9,1647.0,1650.0,1660.5,1677.9,15004,2517517460000.0,1433,10003,0.6667000000000001
2016-01-25,NAVINFLUOR,EQ,1660.5,1694.95,1724.9,1660.0,1677.0,1668.2,1692.52,9693,1640558240000.0,1229,6622,0.6831999999999999
2016-01-27,NAVINFLUOR,EQ,1668.2,1698.0,1729.9,1666.85,1720.0,1718.4,1698.73,10431,1771941360000.0002,1210,7219,0.6920999999999999
2016-01-28,NAVINFLUOR,EQ,1718.4,1729.9,1828.0,1705.0,1787.75,1786.15,1796.92,38077,6842126040000.001,3622,11599,0.30460000000000004
2016-01-29,NAVINFLUOR,EQ,1786.15,1800.0,1828.0,1730.0,1735.0,1758.2,1795.27,20682,3712980870000.0005,2302,13356,0.6458
2016-02-01,NAVINFLUOR,EQ,1758.2,1656.6,1656.6,1519.95,1528.8,1541.55,1575.28,52536,8275911900000.0,4527,26916,0.5123
2016-02-02,NAVINFLUOR,EQ,1541.55,1533.1,1585.8,1515.0,1554.0,1553.25,1557.12,20904,3255004815000.0,2767,11296,0.5404
2016-02-03,NAVINFLUOR,EQ,1553.25,1520.0,1585.0,1516.0,1577.9,1572.9,1564.77,25666,4016145935000.0,1488,11218,0.43710000000000004
2016-02-04,NAVINFLUOR,EQ,1572.9,1574.0,1611.9,1561.0,1600.0,1591.7,1594.59,28300,4512680380000.0,1335,24759,0.8749
2016-02-05,NAVINFLUOR,EQ,1591.7,1615.0,1619.8,1562.0,1600.0,1594.75,1587.92,6680,1060731569999.9999,626,4969,0.7439
2016-02-08,NAVINFLUOR,EQ,1594.75,1616.0,1616.0,1568.0,1595.0,1601.6,1598.06,5671,906259150000.0,434,3620,0.6383
2016-02-09,NAVINFLUOR,EQ,1601.6,1608.9,1610.0,1580.0,1605.0,1606.35,1598.41,4413,705378895000.0,469,3417,0.7743000000000001
2016-02-10,NAVINFLUOR,EQ,1606.35,1599.3,1600.0,1516.8,1520.75,1529.2,1555.1,10228,1590558670000.0,1052,6873,0.672
2016-02-11,NAVINFLUOR,EQ,1529.2,1529.0,1550.05,1503.55,1540.15,1539.5,1535.98,63789,9797849910000.0,1168,42884,0.6723
2016-02-12,NAVINFLUOR,EQ,1539.5,1531.05,1543.95,1390.0,1518.0,1495.1,1507.3,58668,8843045750000.0,2489,49822,0.8492000000000001
2016-02-15,NAVINFLUOR,EQ,1495.1,1500.0,1626.95,1500.0,1585.0,1606.15,1597.27,18366,2933540460000.0,2446,5287,0.2879
2016-02-16,NAVINFLUOR,EQ,1606.15,1620.0,1625.0,1535.0,1542.0,1538.4,1574.53,3288,517705175000.0,730,1752,0.5328
2016-02-17,NAVINFLUOR,EQ,1538.4,1571.0,1571.0,1500.0,1520.0,1525.05,1516.36,3654,554076195000.0,499,2353,0.644
2016-02-18,NAVINFLUOR,EQ,1525.05,1530.05,1559.2,1518.35,1522.8,1528.25,1537.28,2141,329130660000.0,428,930,0.4344
2016-02-19,NAVINFLUOR,EQ,1528.25,1529.65,1531.2,1510.0,1510.0,1521.75,1522.3,2505,381334930000.0,319,1909,0.7621
2016-02-22,NAVINFLUOR,EQ,1521.75,1511.0,1540.0,1490.0,1495.0,1498.4,1514.71,1523,230691070000.00003,348,1056,0.6934
2016-02-23,NAVINFLUOR,EQ,1498.4,1505.0,1511.0,1429.0,1429.0,1452.4,1475.3,3074,453508420000.0,528,2331,0.7583
2016-02-24,NAVINFLUOR,EQ,1452.4,1474.5,1474.5,1340.25,1355.0,1362.25,1379.35,9495,1309690385000.0,1657,5087,0.5357999999999999
2016-02-25,NAVINFLUOR,EQ,1362.25,1375.7,1375.7,1314.0,1335.0,1333.25,1342.22,9846,1321552950000.0,1839,8243,0.8372
2016-02-26,NAVINFLUOR,EQ,1333.25,1375.0,1375.0,1335.55,1343.0,1348.8,1349.65,6831,921943460000.0,1508,5902,0.8640000000000001
2016-02-29,NAVINFLUOR,EQ,1348.8,1322.75,1360.0,1266.05,1300.0,1287.5,1308.15,9206,1204283930000.0,1786,7152,0.7769
2016-03-01,NAVINFLUOR,EQ,1287.5,1290.05,1377.0,1290.0,1365.0,1358.45,1314.72,44286,5822382655000.0,1638,38717,0.8742000000000001
2016-03-02,NAVINFLUOR,EQ,1358.45,1380.0,1520.0,1380.0,1421.2,1430.4,1472.53,44012,6480891085000.0,5206,9621,0.2186
2016-03-03,NAVINFLUOR,EQ,1430.4,1435.0,1450.0,1380.0,1430.0,1431.15,1421.13,13499,1918386030000.0,1393,8754,0.6485
2016-03-04,NAVINFLUOR,EQ,1431.15,1470.0,1470.0,1381.5,1400.0,1401.55,1404.8,7022,986450425000.0,1069,3923,0.5587
2016-03-08,NAVINFLUOR,EQ,1401.55,1400.0,1423.0,1370.0,1373.1,1378.6,1390.74,3145,437386690000.00006,526,2406,0.765
2016-03-09,NAVINFLUOR,EQ,1378.6,1409.0,1464.0,1384.0,1445.0,1447.55,1439.94,26722,3847802245000.0005,3523,15370,0.5752
2016-03-10,NAVINFLUOR,EQ,1447.55,1450.5,1450.5,1395.0,1416.0,1401.55,1411.53,5469,771964895000.0,644,4482,0.8195
2016-03-11,NAVINFLUOR,EQ,1401.55,1402.0,1445.0,1390.5,1410.25,1414.75,1428.62,53489,7641539930000.0,813,51147,0.9562
2016-03-14,NAVINFLUOR,EQ,1414.75,1443.95,1449.0,1410.0,1427.0,1433.0,1429.45,4516,645539100000.0,763,2760,0.6112
2016-03-15,NAVINFLUOR,EQ,1433.0,1424.95,1435.0,1401.15,1410.0,1410.3,1413.07,3003,424343440000.00006,390,2109,0.7023
2016-03-16,NAVINFLUOR,EQ,1410.3,1410.0,1420.0,1400.0,1408.8,1408.05,1407.98,4917,692305580000.0,517,3964,0.8062
2016-03-17,NAVINFLUOR,EQ,1408.05,1426.5,1429.9,1400.0,1400.0,1409.3,1408.23,4085,575262340000.0,493,3581,0.8765999999999999
2016-03-18,NAVINFLUOR,EQ,1409.3,1409.3,1418.0,1400.0,1415.0,1411.9,1407.66,3387,476774450000.0,364,2527,0.7461
2016-03-21,NAVINFLUOR,EQ,1411.9,1421.0,1425.0,1407.0,1412.0,1413.3,1414.28,4242,599939345000.0,245,3529,0.8319
2016-03-22,NAVINFLUOR,EQ,1413.3,1411.05,1428.95,1411.0,1412.0,1414.8,1414.19,5666,801280410000.0,272,4207,0.7425
2016-03-23,NAVINFLUOR,EQ,1414.8,1440.0,1697.75,1440.0,1697.75,1697.75,1647.21,94725,15603225255000.002,6232,39007,0.4118
2016-03-28,NAVINFLUOR,EQ,1697.75,1780.0,1879.0,1715.1,1715.1,1754.05,1811.55,123755,22418797310000.0,16472,18990,0.1534
2016-03-29,NAVINFLUOR,EQ,1754.05,1725.0,1799.0,1695.0,1746.3,1756.05,1753.08,39589,6940280365000.001,4865,7867,0.19870000000000002
2016-03-30,NAVINFLUOR,EQ,1756.05,1774.95,1795.05,1700.2,1722.0,1722.5,1750.71,12606,2206942030000.0,1699,5475,0.4343
2016-03-31,NAVINFLUOR,EQ,1722.5,1725.0,1750.0,1675.0,1686.0,1688.7,1705.28,4986,850251760000.0,834,2462,0.4938
2016-04-01,NAVINFLUOR,EQ,1688.7,1686.0,1737.0,1658.0,1692.05,1704.45,1700.88,11884,2021329805000.0,1326,4507,0.37920000000000004
2016-04-04,NAVINFLUOR,EQ,1704.45,1700.0,1721.05,1660.6,1690.0,1693.3,1697.48,4128,700719990000.0,538,3059,0.741
2016-04-05,NAVINFLUOR,EQ,1693.3,1698.6,1702.05,1650.0,1660.0,1657.55,1665.13,4675,778446965000.0,551,3574,0.7645000000000001
2016-04-06,NAVINFLUOR,EQ,1657.55,1673.45,1678.0,1621.7,1650.0,1650.4,1654.04,10725,1773959639999.9998,684,8872,0.8272
2016-04-07,NAVINFLUOR,EQ,1650.4,1650.45,1650.5,1622.0,1625.0,1625.25,1631.18,2197,358371175000.0,355,1407,0.6404000000000001
2016-04-08,NAVINFLUOR,EQ,1625.25,1625.0,1632.0,1600.1,1612.0,1606.6,1617.56,3796,614024210000.0,410,2745,0.7231000000000001
2016-04-11,NAVINFLUOR,EQ,1606.6,1624.85,1630.0,1590.0,1590.0,1600.0,1610.98,2795,450268834999.99994,380,2096,0.7499
2016-04-12,NAVINFLUOR,EQ,1600.0,1597.1,1634.95,1596.0,1610.05,1616.0,1616.31,18412,2975944080000.0,678,16517,0.8971
2016-04-13,NAVINFLUOR,EQ,1616.0,1625.0,1715.0,1624.95,1694.9,1690.5,1683.84,24305,4092582479999.9995,2440,9750,0.4012
2016-04-18,NAVINFLUOR,EQ,1690.5,1706.95,1707.0,1671.0,1684.9,1681.2,1682.93,3202,538874765000.00006,367,2640,0.8245
2016-04-20,NAVINFLUOR,EQ,1681.2,1681.0,1739.25,1650.0,1707.0,1719.05,1703.15,7767,1322835175000.0,756,5476,0.705
2016-04-21,NAVINFLUOR,EQ,1719.05,1695.0,1725.0,1671.5,1685.0,1684.45,1702.17,3842,653974075000.0,472,2768,0.7205
2016-04-22,NAVINFLUOR,EQ,1684.45,1709.9,1782.0,1636.3,1667.05,1673.2,1688.96,2258,381367645000.0,445,1059,0.469
2016-04-25,NAVINFLUOR,EQ,1673.2,1670.0,1715.0,1660.0,1688.75,1684.85,1684.63,3843,647403535000.0,459,2190,0.5699000000000001
2016-04-26,NAVINFLUOR,EQ,1684.85,1684.85,1705.0,1670.05,1701.0,1700.2,1697.57,5555,942998865000.0,422,3854,0.6938
2016-04-27,NAVINFLUOR,EQ,1700.2,1710.15,1809.0,1692.05,1745.0,1750.45,1747.88,17710,3095489785000.0,2053,8823,0.49820000000000003
2016-04-28,NAVINFLUOR,EQ,1750.45,1755.0,1785.05,1740.0,1748.0,1747.75,1762.29,9173,1616548615000.0,908,4576,0.4989
2016-04-29,NAVINFLUOR,EQ,1747.75,1758.0,1764.85,1736.0,1738.0,1742.85,1749.48,5028,879637110000.0,525,3890,0.7737
2016-05-02,NAVINFLUOR,EQ,1742.85,2000.05,2050.0,1898.0,2019.0,2010.35,1997.28,237648,47465040775000.0,21516,47805,0.20120000000000002
2016-05-03,NAVINFLUOR,EQ,2010.35,2028.0,2078.4,1980.0,2018.0,2021.8,2024.27,82850,16771039830000.002,9208,20060,0.2421
2016-05-04,NAVINFLUOR,EQ,2021.8,2030.0,2030.0,1990.5,2005.0,2004.75,2003.73,16532,3312567530000.0,2025,7195,0.43520000000000003
2016-05-05,NAVINFLUOR,EQ,2004.75,2006.0,2044.7,1994.0,2003.0,2011.95,2017.77,14596,2945134585000.0,1881,5034,0.34490000000000004
2016-05-06,NAVINFLUOR,EQ,2011.95,2017.0,2026.0,1995.2,2002.0,1999.95,2006.15,5972,1198075370000.0,658,3428,0.574
2016-05-09,NAVINFLUOR,EQ,1999.95,1999.95,2049.0,1999.95,2025.0,2022.1,2026.25,10279,2082778950000.0,1294,5081,0.4943
2016-05-10,NAVINFLUOR,EQ,2022.1,2050.0,2137.0,2027.0,2125.0,2118.1,2106.85,50670,10675416240000.0,6057,18260,0.3604
2016-05-11,NAVINFLUOR,EQ,2118.1,2100.0,2159.0,2070.0,2150.0,2149.45,2135.67,23086,4930412555000.0,3067,11606,0.5027
2016-05-12,NAVINFLUOR,EQ,2149.45,2150.0,2210.0,2125.0,2182.0,2188.3,2187.17,23194,5072914695000.0,2957,10535,0.45420000000000005
2016-05-13,NAVINFLUOR,EQ,2188.3,2175.0,2179.95,2092.0,2095.0,2104.95,2123.58,10393,2207034415000.0,1703,5013,0.4823
2016-05-16,NAVINFLUOR,EQ,2104.95,2077.85,2125.25,2077.85,2108.0,2104.3,2106.81,3608,760137820000.0,688,1455,0.4033
2016-05-17,NAVINFLUOR,EQ,2104.3,2119.95,2123.0,2052.15,2080.0,2063.25,2076.45,3082,639961970000.0,704,1638,0.5315
2016-05-18,NAVINFLUOR,EQ,2063.25,2053.3,2135.0,2053.3,2070.0,2078.95,2098.25,9115,1912556830000.0,1580,4079,0.4475
2016-05-19,NAVINFLUOR,EQ,2078.95,2092.55,2100.0,2025.0,2062.5,2040.15,2060.35,4737,975989365000.0,905,2340,0.494
2016-05-20,NAVINFLUOR,EQ,2040.15,2079.95,2080.0,1990.05,2004.0,1999.5,2036.64,3466,705899570000.0,660,2319,0.6691
2016-05-23,NAVINFLUOR,EQ,1999.5,2030.0,2030.0,1955.0,1974.0,1966.65,1988.56,3230,642305025000.0,797,2015,0.6238
2016-05-24,NAVINFLUOR,EQ,1966.65,1994.0,1999.0,1907.3,1970.0,1939.85,1958.06,5564,1089463015000.0,1087,2738,0.49210000000000004
2016-05-25,NAVINFLUOR,EQ,1939.85,1984.45,2005.5,1955.25,2000.0,1982.85,1979.6,3676,727702160000.0,805,1794,0.488
2016-05-26,NAVINFLUOR,EQ,1982.85,2005.0,2005.0,1961.0,1972.7,1971.6,1975.54,1740,343744570000.0,494,879,0.5052000000000001
2016-05-27,NAVINFLUOR,EQ,1971.6,2010.0,2178.0,1975.3,2086.0,2089.2,2122.71,32251,6845958084999.999,6362,7632,0.2366
2016-05-30,NAVINFLUOR,EQ,2089.2,2080.0,2150.95,2050.0,2068.0,2080.4,2102.37,5000,1051183860000.0,1225,1620,0.324
2016-05-31,NAVINFLUOR,EQ,2080.4,2094.0,2094.0,2064.25,2083.8,2073.9,2073.33,2648,549017940000.00006,538,1493,0.5638000000000001
2016-06-01,NAVINFLUOR,EQ,2073.9,2086.0,2172.8,2069.9,2100.05,2104.9,2123.58,8542,1813958645000.0,1799,3621,0.4239
2016-06-02,NAVINFLUOR,EQ,2104.9,2099.0,2140.0,2078.85,2118.0,2122.4,2118.22,4686,992597275000.0,949,2674,0.5706
2016-06-03,NAVINFLUOR,EQ,2122.4,2133.0,2165.0,2084.0,2090.0,2096.4,2133.42,7756,1654681550000.0,1354,3830,0.4938
2016-06-06,NAVINFLUOR,EQ,2096.4,2097.95,2112.0,2050.0,2061.0,2064.65,2081.02,3935,818880515000.0,728,2520,0.6404000000000001
2016-06-07,NAVINFLUOR,EQ,2064.65,2064.05,2081.0,2041.0,2054.0,2051.15,2056.77,3133,644386575000.0,540,2191,0.6993
2016-06-08,NAVINFLUOR,EQ,2051.15,2051.0,2165.0,2051.0,2104.0,2103.15,2125.06,11740,2494824150000.0,1891,3748,0.31930000000000003
2016-06-09,NAVINFLUOR,EQ,2103.15,2104.0,2130.0,2075.1,2095.0,2089.7,2097.76,3656,766942175000.0,501,2069,0.5659000000000001
2016-06-10,NAVINFLUOR,EQ,2089.7,2091.0,2164.0,2060.0,2071.0,2074.2,2120.04,11794,2500375235000.0,1627,3280,0.2781
2016-06-13,NAVINFLUOR,EQ,2074.2,2056.0,2085.0,2040.0,2056.0,2069.15,2062.42,3516,725146305000.0,567,2293,0.6522
2016-06-14,NAVINFLUOR,EQ,2069.15,2052.0,2096.0,2045.25,2051.5,2049.25,2058.68,2429,500054305000.0,501,1433,0.59
2016-06-15,NAVINFLUOR,EQ,2049.25,2050.0,2128.65,2050.0,2072.35,2072.4,2088.85,5067,1058418215000.0,948,2007,0.3961
2016-06-16,NAVINFLUOR,EQ,2072.4,2072.1,2099.9,2030.95,2040.0,2040.9,2051.17,4171,855544200000.0,797,2132,0.5111
2016-06-17,NAVINFLUOR,EQ,2040.9,2043.0,2070.05,2008.0,2009.1,2013.85,2035.24,4040,822236420000.0,693,2397,0.5933
2016-06-20,NAVINFLUOR,EQ,2013.85,1976.0,2051.0,1976.0,2032.0,2030.85,2015.99,3584,722532265000.0,596,2242,0.6256
2016-06-21,NAVINFLUOR,EQ,2030.85,2058.0,2058.0,2011.05,2015.0,2018.65,2026.81,997,202072510000.0,253,660,0.662
2016-06-22,NAVINFLUOR,EQ,2018.65,2001.05,2045.0,2001.05,2040.0,2034.95,2023.05,2677,541570745000.0,605,1952,0.7292000000000001
2016-06-23,NAVINFLUOR,EQ,2034.95,2015.0,2045.0,2012.05,2038.0,2034.85,2031.27,1861,378019225000.0,413,1211,0.6507
2016-06-24,NAVINFLUOR,EQ,2034.85,2000.0,2040.0,1925.5,2040.0,2023.0,1974.33,10949,2161695195000.0,1458,5947,0.5432
2016-06-27,NAVINFLUOR,EQ,2023.0,1985.25,2040.0,1985.25,1997.0,2007.0,2014.94,4000,805977040000.0,663,2436,0.609
2016-06-28,NAVINFLUOR,EQ,2007.0,2007.0,2025.0,1975.5,1985.0,1989.35,2007.75,4334,870160485000.0,635,2620,0.6045
