Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,OMAXE,EQ,135.6,135.85,136.45,135.55,136.05,136.15,136.07,395484,5381371185000.0,6659,90957,0.23
2016-01-04,OMAXE,EQ,136.15,136.0,136.55,135.4,135.45,135.45,135.82,346552,4706767540000.0,7085,56381,0.1627
2016-01-05,OMAXE,EQ,135.45,135.65,136.75,135.4,136.5,136.55,135.87,332206,4513649535000.0,5929,67844,0.20420000000000002
2016-01-06,OMAXE,EQ,136.55,136.7,136.95,135.05,135.5,135.55,136.41,429460,5858318685000.0,7189,111245,0.259
2016-01-07,OMAXE,EQ,135.55,135.5,135.7,134.35,134.5,134.6,134.87,411208,5545879660000.0,6478,116373,0.28300000000000003
2016-01-08,OMAXE,EQ,134.6,134.8,135.45,134.55,134.8,135.0,134.91,342577,4621835400000.0,6267,85468,0.2495
2016-01-11,OMAXE,EQ,135.0,135.05,135.05,134.45,134.7,134.8,134.7,434071,5846946470000.0,5351,207352,0.4777
2016-01-12,OMAXE,EQ,134.8,135.0,135.3,134.2,134.6,134.35,134.55,380121,5114686845000.0,6229,105242,0.27690000000000003
2016-01-13,OMAXE,EQ,134.35,134.7,135.0,133.85,134.45,134.35,134.39,265858,3572946500000.0,5590,50527,0.19010000000000002
2016-01-14,OMAXE,EQ,134.35,134.4,134.75,134.05,134.2,134.25,134.32,381779,5127940100000.0,7227,97027,0.2541
2016-01-15,OMAXE,EQ,134.25,134.5,134.75,133.6,133.6,133.75,134.17,325049,4361040690000.0,6682,73673,0.2267
2016-01-18,OMAXE,EQ,133.75,133.8,133.8,132.95,133.05,133.1,133.31,272198,3628663665000.0,5409,78569,0.2886
2016-01-19,OMAXE,EQ,133.1,133.45,134.25,133.3,133.7,133.8,133.81,269663,3608271515000.0,5673,51152,0.18969999999999998
2016-01-20,OMAXE,EQ,133.8,133.65,133.65,132.75,133.1,133.1,133.18,258623,3444345700000.0,4535,55763,0.21559999999999999
2016-01-21,OMAXE,EQ,133.1,133.7,133.7,132.8,132.95,133.05,133.15,272538,3628963840000.0,4285,69724,0.25579999999999997
2016-01-22,OMAXE,EQ,133.05,133.7,134.7,133.4,134.45,134.5,134.32,334280,4490122185000.0,4527,65572,0.1962
2016-01-25,OMAXE,EQ,134.5,134.55,135.15,134.35,134.5,134.45,134.66,290512,3911923115000.0,4766,70094,0.2413
2016-01-27,OMAXE,EQ,134.45,134.5,134.95,134.4,134.7,134.65,134.61,321236,4324047765000.0,4424,132201,0.4115
2016-01-28,OMAXE,EQ,134.65,134.7,134.9,134.15,134.35,134.65,134.55,363128,4886025435000.0,4459,110878,0.3053
2016-01-29,OMAXE,EQ,134.65,134.5,136.4,134.5,135.3,135.65,135.42,442400,5990823645000.0,4500,134267,0.30350000000000005
2016-02-01,OMAXE,EQ,135.65,135.9,136.4,135.3,135.3,135.35,135.63,292958,3973328129999.9995,6300,87286,0.2979
2016-02-02,OMAXE,EQ,135.35,135.55,135.85,135.2,135.2,135.3,135.42,458037,6202960335000.0,6414,174856,0.38180000000000003
2016-02-03,OMAXE,EQ,135.3,135.2,135.3,134.2,134.3,134.25,134.77,360347,4856244545000.0,5426,102906,0.2856
2016-02-04,OMAXE,EQ,134.25,134.45,135.2,134.2,134.4,134.4,134.63,331354,4461173735000.0,3673,72863,0.21989999999999998
2016-02-05,OMAXE,EQ,134.4,134.5,135.65,134.45,134.8,134.8,134.84,294464,3970652629999.9995,4559,54262,0.1843
2016-02-08,OMAXE,EQ,134.8,134.65,136.15,134.55,134.8,134.95,135.39,288541,3906496210000.0,4331,42276,0.14650000000000002
2016-02-09,OMAXE,EQ,134.95,134.85,135.5,133.95,134.7,134.85,134.71,361974,4876211115000.0,5726,45016,0.1244
2016-02-10,OMAXE,EQ,134.85,135.0,135.0,133.7,133.8,134.05,134.16,199162,2672010450000.0,4058,32886,0.16510000000000002
2016-02-11,OMAXE,EQ,134.05,134.3,134.3,133.35,133.5,133.5,133.82,184522,2469226210000.0,2869,45600,0.24710000000000001
2016-02-12,OMAXE,EQ,133.5,133.85,134.0,132.8,133.45,133.0,133.21,232329,3094837470000.0,2323,94598,0.4072
2016-02-15,OMAXE,EQ,133.0,133.7,135.9,133.65,135.25,135.35,135.15,262077,3541867365000.0,3226,74986,0.2861
2016-02-16,OMAXE,EQ,135.35,135.65,135.65,133.85,134.15,134.15,134.83,271949,3666750485000.0,2608,136821,0.5031
2016-02-17,OMAXE,EQ,134.15,134.4,135.3,134.15,135.05,135.15,134.43,288906,3883634935000.0,4138,150024,0.5193
2016-02-18,OMAXE,EQ,135.15,135.5,135.9,135.25,135.5,135.6,135.52,277492,3760457010000.0,3697,114289,0.4119
2016-02-19,OMAXE,EQ,135.6,135.55,135.95,135.4,135.5,135.5,135.58,251413,3408595845000.0005,3597,115932,0.4611
2016-02-22,OMAXE,EQ,135.5,135.7,135.8,135.2,135.55,135.5,135.56,279100,3783363585000.0,2926,113268,0.4058
2016-02-23,OMAXE,EQ,135.5,135.7,135.85,134.5,134.85,135.1,135.3,261922,3543761215000.0,2853,129545,0.49460000000000004
2016-02-24,OMAXE,EQ,135.1,135.05,135.8,134.7,134.75,134.75,135.17,304790,4119980890000.0,3446,144570,0.4743
2016-02-25,OMAXE,EQ,134.75,134.9,135.5,134.5,134.75,134.8,135.03,281331,3798929765000.0,2737,151716,0.5393
2016-02-26,OMAXE,EQ,134.8,135.1,136.25,134.8,135.8,136.1,135.62,355618,4822882820000.0,3445,174031,0.4894
2016-02-29,OMAXE,EQ,136.1,136.1,137.3,135.75,136.05,136.05,136.28,310581,4232503900000.0,3075,136767,0.4404
2016-03-01,OMAXE,EQ,136.05,136.25,138.6,136.2,138.5,138.35,137.14,358971,4922800550000.0,5372,169423,0.47200000000000003
2016-03-02,OMAXE,EQ,138.35,138.95,141.05,138.9,140.7,140.4,139.49,294768,4111710465000.0,4801,120467,0.4087
2016-03-03,OMAXE,EQ,140.4,141.0,141.6,140.4,141.2,140.85,140.9,313666,4419402550000.0,4861,113500,0.3618
2016-03-04,OMAXE,EQ,140.85,141.0,141.55,140.3,140.95,140.8,140.81,280308,3947035945000.0005,5422,79631,0.2841
2016-03-08,OMAXE,EQ,140.8,140.85,141.45,140.65,141.4,141.15,141.06,569053,8027141275000.0,5462,293838,0.5164
2016-03-09,OMAXE,EQ,141.15,141.3,141.55,140.6,141.15,141.15,141.11,277380,3914110204999.9995,5895,87294,0.3147
2016-03-10,OMAXE,EQ,141.15,141.2,141.35,139.95,140.5,140.15,140.67,295425,4155662960000.0,6262,112964,0.3824
2016-03-11,OMAXE,EQ,140.15,140.4,142.1,140.25,141.3,141.1,140.82,282908,3983968275000.0,6278,78542,0.2776
2016-03-14,OMAXE,EQ,141.1,141.3,141.8,140.2,140.8,140.9,140.89,296397,4175986354999.9995,5744,110915,0.37420000000000003
2016-03-15,OMAXE,EQ,140.9,141.05,141.2,140.2,140.45,140.45,140.65,270250,3801104715000.0,6237,79116,0.2928
2016-03-16,OMAXE,EQ,140.45,140.7,141.2,140.05,140.75,140.85,140.46,307875,4324343110000.0,6002,105936,0.34409999999999996
2016-03-17,OMAXE,EQ,140.85,141.3,141.8,140.95,141.15,141.2,141.34,312106,4411313415000.0,6100,131611,0.4217
2016-03-18,OMAXE,EQ,141.2,141.6,141.7,140.05,140.4,140.4,141.24,423973,5988403595000.0,5477,219953,0.5188
2016-03-21,OMAXE,EQ,140.4,140.45,141.65,140.45,140.9,141.2,140.9,405540,5714116030000.0,6572,208618,0.5144
2016-03-22,OMAXE,EQ,141.2,141.55,144.0,141.35,143.5,143.5,142.55,413663,5896850295000.0,4370,188567,0.4558
2016-03-23,OMAXE,EQ,143.5,143.9,145.0,143.3,143.7,143.8,143.83,350907,5047189600000.0,5713,158374,0.45130000000000003
2016-03-28,OMAXE,EQ,143.8,143.9,144.15,141.5,142.0,142.1,142.75,623529,8900797655000.0,5728,238238,0.3821
2016-03-29,OMAXE,EQ,142.1,142.35,143.5,140.4,142.85,142.75,142.14,631764,8979897060000.0,6249,237441,0.37579999999999997
2016-03-30,OMAXE,EQ,142.75,143.2,145.2,142.45,144.55,144.6,143.65,631438,9070692860000.0,5266,95673,0.1515
2016-03-31,OMAXE,EQ,144.6,145.55,146.75,139.75,144.95,144.6,143.3,609401,8732712215000.001,5614,129242,0.2121
