Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,SAIL,EQ,48.35,48.5,48.75,48.0,48.1,48.2,48.26,1652422,7975055915000.001,4770,388404,0.23510000000000003
2016-01-04,SAIL,EQ,48.2,48.3,49.5,47.25,47.85,47.9,48.45,4288176,20777275670000.0,13465,742572,0.1732
2016-01-05,SAIL,EQ,47.9,48.15,52.1,48.05,50.8,51.0,50.27,10837551,54480509820000.01,27835,2271623,0.2096
2016-01-06,SAIL,EQ,51.0,51.05,51.6,49.6,49.8,50.0,50.52,6055343,30590359089999.996,15254,1451498,0.2397
2016-01-07,SAIL,EQ,50.0,48.9,48.9,46.1,46.45,46.55,47.62,4736911,22555486495000.0,14170,1286804,0.2717
2016-01-08,SAIL,EQ,46.55,47.15,47.85,46.35,47.5,47.4,47.29,3208394,15173917860000.0,11326,427831,0.1333
2016-01-11,SAIL,EQ,47.4,46.75,47.3,45.95,46.45,46.45,46.65,4320686,20154410465000.0,9465,1237242,0.2864
2016-01-12,SAIL,EQ,46.45,46.8,47.2,45.5,46.0,45.9,46.27,2772658,12829298835000.0,7706,543877,0.1962
2016-01-13,SAIL,EQ,45.9,46.8,46.8,44.0,45.1,45.15,45.19,4152815,18767092300000.0,11044,665755,0.16030000000000003
2016-01-14,SAIL,EQ,45.15,44.4,45.45,43.5,44.6,44.45,44.5,3352161,14915677400000.0,8890,462055,0.1378
2016-01-15,SAIL,EQ,44.45,44.85,44.95,42.0,42.25,42.4,43.37,3712848,16102617960000.0,11977,1101590,0.2967
2016-01-18,SAIL,EQ,42.4,42.3,43.35,40.85,41.85,41.9,42.22,4875465,20583441100000.0,12014,1113197,0.22829999999999998
2016-01-19,SAIL,EQ,41.9,42.3,43.0,41.45,42.5,42.5,42.36,2417589,10239724515000.0,8048,360633,0.1492
2016-01-20,SAIL,EQ,42.5,41.9,41.9,40.5,41.45,41.3,41.17,2952916,12155791680000.0,10421,617627,0.20920000000000002
2016-01-21,SAIL,EQ,41.3,41.5,42.3,40.6,41.15,41.3,41.35,4340230,17947210840000.0,8953,519319,0.11970000000000001
2016-01-22,SAIL,EQ,41.3,41.9,43.5,41.9,43.1,43.1,42.84,3124004,13381731790000.0,8265,711150,0.22760000000000002
2016-01-25,SAIL,EQ,43.1,43.7,44.3,43.3,43.4,43.55,43.82,2307305,10111191440000.0,8167,381419,0.1653
2016-01-27,SAIL,EQ,43.55,43.95,44.3,43.4,43.5,43.6,43.8,2296626,10059295465000.0,6806,382717,0.1666
2016-01-28,SAIL,EQ,43.6,43.6,43.8,42.5,42.8,42.75,43.22,2944371,12724510715000.0,7879,1117567,0.3796
2016-01-29,SAIL,EQ,42.75,43.0,43.5,42.15,42.8,42.8,42.81,2361320,10109586860000.0,6955,488986,0.2071
2016-02-01,SAIL,EQ,42.8,43.15,43.45,42.4,42.5,42.7,42.97,2570898,11048011055000.0,8324,674958,0.2625
2016-02-02,SAIL,EQ,42.7,42.8,42.95,39.05,39.45,39.35,40.5,6346011,25702121160000.0,20395,2257421,0.3557
2016-02-03,SAIL,EQ,39.35,39.0,40.25,38.5,38.8,38.8,39.3,5035280,19787061115000.0,16206,946051,0.18789999999999998
2016-02-04,SAIL,EQ,38.8,39.5,39.8,37.9,38.9,38.6,38.82,4382281,17011847250000.0,14320,903914,0.20629999999999998
2016-02-05,SAIL,EQ,38.6,38.8,41.2,38.5,40.85,40.85,40.17,8245947,33124369685000.004,21265,1429155,0.17329999999999998
2016-02-08,SAIL,EQ,40.85,41.5,42.8,40.3,40.85,40.6,41.32,5702117,23560732495000.0,15367,1074273,0.1884
2016-02-09,SAIL,EQ,40.6,40.0,40.65,38.5,39.0,38.95,39.3,7153055,28109954000000.0,18314,1347941,0.1884
2016-02-10,SAIL,EQ,38.95,38.45,38.9,37.15,37.75,37.75,37.87,5841469,22119914135000.0,16687,1620666,0.2774
2016-02-11,SAIL,EQ,37.75,37.5,37.7,35.75,35.9,36.0,36.47,4354089,15877739544999.998,14814,1217892,0.2797
2016-02-12,SAIL,EQ,36.0,36.0,36.2,33.5,34.45,34.45,34.33,5066768,17392397855000.002,16965,1590740,0.314
2016-02-15,SAIL,EQ,34.45,35.1,37.05,35.05,35.8,35.85,36.21,8065319,29206467855000.0,17616,3030790,0.37579999999999997
2016-02-16,SAIL,EQ,35.85,36.6,36.75,35.0,35.3,35.3,35.87,4401282,15788302975000.0,13225,1104836,0.251
2016-02-17,SAIL,EQ,35.3,35.5,36.3,34.55,36.1,36.1,35.49,4244513,15065167710000.0,11250,772836,0.1821
2016-02-18,SAIL,EQ,36.1,36.6,37.55,34.75,35.75,35.8,36.37,5388353,19598539790000.0,13308,821683,0.1525
2016-02-19,SAIL,EQ,35.8,35.9,36.4,35.2,36.25,36.15,36.05,2181625,7863759480000.0,6206,306130,0.1403
2016-02-22,SAIL,EQ,36.15,36.2,36.7,35.9,36.4,36.25,36.26,1647780,5974656360000.0,4521,420171,0.255
2016-02-23,SAIL,EQ,36.25,36.3,36.75,35.3,35.7,35.6,35.96,3564780,12820210415000.0,9151,656363,0.1841
2016-02-24,SAIL,EQ,35.6,35.25,36.4,35.1,35.4,35.35,35.67,2277002,8121400984999.999,6162,389135,0.1709
2016-02-25,SAIL,EQ,35.35,35.6,35.8,34.3,34.4,34.55,34.91,3100045,10822786025000.0,6659,1152640,0.3718
2016-02-26,SAIL,EQ,34.55,34.95,35.15,34.15,34.9,34.75,34.72,2486753,8635152425000.0,6906,879875,0.35380000000000006
2016-02-29,SAIL,EQ,34.75,35.25,36.05,34.2,34.9,34.9,35.3,4530973,15994578360000.0,9965,1077527,0.2378
2016-03-01,SAIL,EQ,34.9,35.15,36.05,35.1,35.95,35.9,35.69,2872963,10252866090000.0,7038,682896,0.2377
2016-03-02,SAIL,EQ,35.9,36.75,38.25,36.55,37.95,37.8,37.52,5893637,22112984835000.0,13014,1874649,0.3181
2016-03-03,SAIL,EQ,37.8,38.35,40.0,38.05,39.65,39.6,39.24,5444880,21363473395000.0,13962,1034885,0.19010000000000002
2016-03-04,SAIL,EQ,39.6,40.15,41.0,39.2,40.15,40.05,40.14,4631248,18589366790000.0,13092,708668,0.153
2016-03-08,SAIL,EQ,40.05,40.8,44.35,40.5,43.4,43.25,43.16,11711574,50552938360000.0,28615,2603181,0.2223
2016-03-09,SAIL,EQ,43.25,42.4,42.65,41.5,42.35,42.35,42.05,4215614,17726399120000.0,13674,1004033,0.2382
2016-03-10,SAIL,EQ,42.35,42.55,43.9,42.1,42.55,42.75,43.03,3786380,16292297419999.998,11134,891492,0.2354
2016-03-11,SAIL,EQ,42.75,42.85,43.0,41.55,42.45,42.7,42.47,3658631,15537204255000.002,9795,775235,0.2119
2016-03-14,SAIL,EQ,42.7,43.0,43.7,41.8,42.0,42.15,42.49,4283429,18199234545000.0,10137,1789719,0.4178
2016-03-15,SAIL,EQ,42.15,42.05,44.0,41.6,43.25,43.25,43.22,5959368,25754427145000.0,16046,1132345,0.19
2016-03-16,SAIL,EQ,43.25,43.65,43.65,41.55,42.5,42.5,42.47,4064579,17261721685000.0,11111,957253,0.23550000000000001
2016-03-17,SAIL,EQ,42.5,43.45,43.9,42.55,42.75,42.8,43.09,4488608,19341677185000.0,12172,1239174,0.2761
2016-03-18,SAIL,EQ,42.8,43.45,43.6,42.55,42.95,42.85,42.96,7685451,33015899330000.0,14862,3993634,0.5196000000000001
2016-03-21,SAIL,EQ,42.85,43.15,43.55,42.65,42.75,42.85,43.07,2608288,11233753735000.0,7127,827161,0.3171
2016-03-22,SAIL,EQ,42.85,42.9,43.45,42.4,43.4,43.2,42.92,3374214,14483169244999.998,8999,805570,0.23870000000000002
2016-03-23,SAIL,EQ,43.2,43.4,45.4,43.25,45.2,45.25,44.68,9691151,43297925485000.0,27176,2632202,0.2716
2016-03-28,SAIL,EQ,45.25,45.45,45.45,42.2,42.4,42.45,43.63,9933930,43339789160000.0,24627,3897420,0.3923
2016-03-29,SAIL,EQ,42.45,42.3,42.8,41.6,41.95,41.95,42.27,3803629,16076223510000.0,10694,943317,0.24800000000000003
2016-03-30,SAIL,EQ,41.95,42.5,43.9,42.1,43.5,43.45,43.16,4025525,17374802130000.002,10233,959924,0.23850000000000002
2016-03-31,SAIL,EQ,43.45,43.5,43.75,42.55,43.3,43.1,43.1,3957773,17058051644999.998,8554,1528062,0.3861
2016-04-01,SAIL,EQ,43.1,43.2,44.3,43.0,43.5,43.6,43.65,2983552,13022778020000.0,7955,752332,0.2522
2016-04-04,SAIL,EQ,43.6,43.6,44.2,43.4,43.6,43.7,43.79,2785409,12196344085000.0,6962,686265,0.2464
2016-04-05,SAIL,EQ,43.7,43.35,43.5,42.2,42.4,42.45,42.75,2538115,10849347500000.0,6667,641577,0.2528
2016-04-06,SAIL,EQ,42.45,42.8,43.95,42.2,43.2,43.25,43.03,5196868,22361394940000.0,10594,1350569,0.25989999999999996
2016-04-07,SAIL,EQ,43.25,43.35,43.5,42.3,42.35,42.45,42.77,3141298,13434624455000.002,9182,1234449,0.39299999999999996
2016-04-08,SAIL,EQ,42.45,42.45,42.95,42.05,42.65,42.65,42.62,2515470,10720106725000.0,5612,786815,0.3128
2016-04-11,SAIL,EQ,42.65,42.95,43.95,42.5,43.7,43.8,43.35,3218226,13950805969999.998,8290,894890,0.2781
2016-04-12,SAIL,EQ,43.8,43.4,44.1,42.9,43.15,43.3,43.46,3928868,17074266944999.998,7408,1422582,0.36210000000000003
2016-04-13,SAIL,EQ,43.3,43.7,44.75,43.6,44.15,44.2,44.29,5441217,24099210250000.0,13335,1671095,0.30710000000000004
2016-04-18,SAIL,EQ,44.2,44.75,44.75,43.7,44.55,44.55,44.34,3076430,13640676250000.0,6538,1119456,0.3639
2016-04-20,SAIL,EQ,44.55,44.75,46.9,44.25,46.2,46.35,45.82,9834569,45059041750000.0,19699,2426915,0.2468
