Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,STRTECH,EQ,96.9,96.6,98.4,96.5,97.6,97.75,97.64,545578,5326830190000.0,3575,214434,0.39299999999999996
2016-01-04,STRTECH,EQ,97.75,97.4,99.5,95.05,96.0,95.65,97.32,738288,7185338525000.0,5123,311449,0.4219
2016-01-05,STRTECH,EQ,95.65,97.0,98.3,95.6,96.7,96.95,96.97,552556,5358291725000.0,3787,177264,0.3208
2016-01-06,STRTECH,EQ,96.95,97.0,97.9,95.0,95.2,95.35,96.48,372192,3590731040000.0,3275,148185,0.3981
2016-01-07,STRTECH,EQ,95.35,94.0,94.0,90.45,91.8,91.6,91.93,495590,4556158440000.0,4054,281787,0.5686
2016-01-08,STRTECH,EQ,91.6,92.2,94.25,92.2,93.0,93.1,93.17,406457,3786936400000.0,3342,195350,0.4806
2016-01-11,STRTECH,EQ,93.1,91.8,95.35,91.05,93.9,94.2,93.53,483535,4522300380000.0,5581,206723,0.4275
2016-01-12,STRTECH,EQ,94.2,94.55,94.7,92.1,93.05,92.95,93.41,349639,3266008665000.0,8260,173450,0.4961
2016-01-13,STRTECH,EQ,92.95,93.9,94.0,82.85,89.05,89.0,87.26,928964,8105860484999.999,6286,351397,0.37829999999999997
2016-01-14,STRTECH,EQ,89.0,87.0,90.0,84.0,87.0,87.25,88.18,553055,4876812590000.0,6349,176835,0.3197
2016-01-15,STRTECH,EQ,87.25,87.9,89.0,81.0,83.25,82.15,84.25,637634,5372268630000.0,4830,345943,0.5425
2016-01-18,STRTECH,EQ,82.15,81.9,82.95,75.1,76.25,76.45,77.52,741207,5745542975000.0,7395,375234,0.5062
2016-01-19,STRTECH,EQ,76.45,76.1,81.5,76.1,80.75,80.55,79.66,634347,5053058785000.0,4526,334314,0.527
2016-01-20,STRTECH,EQ,80.55,77.7,81.0,77.45,80.0,79.45,78.47,407166,3194880515000.0,3534,202899,0.4983
2016-01-21,STRTECH,EQ,79.45,81.0,82.0,78.4,79.5,79.3,79.82,478123,3816423225000.0,9476,245104,0.5126
2016-01-22,STRTECH,EQ,79.3,80.0,82.6,79.0,79.85,80.3,81.04,630281,5107906835000.0,4555,306243,0.48590000000000005
2016-01-25,STRTECH,EQ,80.3,81.9,83.9,81.9,83.25,83.05,82.79,389170,3222072550000.0,7221,159860,0.4108
2016-01-27,STRTECH,EQ,83.05,83.7,86.4,83.7,84.7,84.7,84.72,770941,6531560725000.0,8002,399038,0.5176
2016-01-28,STRTECH,EQ,84.7,84.6,87.75,82.65,83.4,83.25,85.31,1756316,14982441555000.002,12416,466909,0.2658
2016-01-29,STRTECH,EQ,83.25,84.2,87.5,83.25,86.95,87.15,86.27,1173949,10128091160000.0,10133,464423,0.3956
2016-02-01,STRTECH,EQ,87.15,87.75,87.95,83.5,84.25,84.4,85.77,624379,5355258615000.0,6558,385789,0.6179
2016-02-02,STRTECH,EQ,84.4,84.6,85.2,82.1,83.0,82.55,83.63,404930,3386508150000.0,2888,259244,0.6402
2016-02-03,STRTECH,EQ,82.55,80.5,81.2,78.35,79.45,78.95,79.34,466377,3700431970000.0005,3406,271137,0.5814
2016-02-04,STRTECH,EQ,78.95,80.0,81.0,78.35,79.2,78.9,79.34,342820,2720012240000.0,3282,174194,0.5081
2016-02-05,STRTECH,EQ,78.9,78.6,81.15,78.2,80.4,80.2,79.76,361224,2881070850000.0,3165,125809,0.3483
2016-02-08,STRTECH,EQ,80.2,79.9,81.8,79.5,80.05,80.25,80.72,275925,2227268730000.0,3219,102304,0.37079999999999996
2016-02-09,STRTECH,EQ,80.25,78.3,80.6,77.2,80.5,80.1,79.44,247388,1965285289999.9998,2460,128278,0.5185000000000001
2016-02-10,STRTECH,EQ,80.1,79.75,80.0,78.05,78.05,78.25,78.69,306876,2414900855000.0,2576,169503,0.5524
2016-02-11,STRTECH,EQ,78.25,78.25,78.55,75.1,75.6,75.85,76.91,444789,3420914990000.0,2437,295994,0.6655
2016-02-12,STRTECH,EQ,75.85,75.6,76.75,72.75,72.75,73.05,73.73,738817,5447564575000.0,3356,491879,0.6658
2016-02-15,STRTECH,EQ,73.05,74.2,77.1,74.2,76.15,76.1,76.38,344751,2633161975000.0,5281,170676,0.4951
2016-02-16,STRTECH,EQ,76.1,76.55,77.15,70.85,71.8,72.2,74.01,453223,3354374825000.0,9770,283359,0.6252000000000001
2016-02-17,STRTECH,EQ,72.2,72.5,72.85,69.5,70.55,70.3,70.34,445900,3136601585000.0,5364,193550,0.4341
2016-02-18,STRTECH,EQ,70.3,71.2,74.8,71.2,74.75,74.35,73.46,474488,3485817175000.0,5401,190367,0.4012
2016-02-19,STRTECH,EQ,74.35,73.5,76.9,73.4,76.5,76.6,75.87,390726,2964305155000.0,4709,154361,0.3951
2016-02-22,STRTECH,EQ,76.6,77.0,78.3,74.45,77.1,77.65,77.0,332672,2561700200000.0,3328,136837,0.41130000000000005
2016-02-23,STRTECH,EQ,77.65,76.65,77.95,75.65,76.85,76.4,77.05,433232,3338201060000.0,4619,261724,0.6041
2016-02-24,STRTECH,EQ,76.4,75.8,77.25,75.0,75.5,75.25,75.85,246589,1870256210000.0002,2206,108677,0.44070000000000004
2016-02-25,STRTECH,EQ,75.25,75.4,76.4,75.1,75.75,75.3,75.56,164010,1239341180000.0,1503,75767,0.462
2016-02-26,STRTECH,EQ,75.3,76.1,76.4,74.15,74.55,74.6,75.01,307704,2308183020000.0,1924,189684,0.6164000000000001
2016-02-29,STRTECH,EQ,74.6,74.6,74.9,71.7,73.7,73.45,73.52,295277,2170946805000.0,3824,112444,0.38079999999999997
2016-03-01,STRTECH,EQ,73.45,73.45,76.6,73.45,76.05,76.25,75.38,371095,2797359320000.0,2995,153113,0.41259999999999997
2016-03-02,STRTECH,EQ,76.25,77.05,79.6,77.05,79.35,79.05,78.72,305585,2405417450000.0,3042,122647,0.40140000000000003
2016-03-03,STRTECH,EQ,79.05,79.5,80.3,78.4,79.35,79.5,79.41,309691,2459123395000.0,2445,124154,0.40090000000000003
2016-03-04,STRTECH,EQ,79.5,79.75,81.6,78.5,80.25,80.15,80.34,304639,2447597450000.0,2642,127957,0.42
2016-03-08,STRTECH,EQ,80.15,80.5,83.75,80.2,81.75,81.35,81.84,443875,3632623085000.0,5536,182494,0.4111
2016-03-09,STRTECH,EQ,81.35,80.8,82.15,80.1,81.7,81.85,81.2,232814,1890453139999.9998,2055,84491,0.3629
2016-03-10,STRTECH,EQ,81.85,81.85,82.3,79.45,80.1,80.4,80.63,316449,2551546395000.0,2552,150802,0.4765
2016-03-11,STRTECH,EQ,80.4,80.5,82.4,80.1,81.35,81.05,81.22,235832,1915493520000.0,1910,111860,0.4743
2016-03-14,STRTECH,EQ,81.05,81.9,82.2,81.0,81.25,81.15,81.38,150283,1223063845000.0,1354,82014,0.5457
2016-03-15,STRTECH,EQ,81.15,81.65,81.95,80.2,80.55,80.55,81.05,174420,1413662175000.0,1658,80862,0.4636
2016-03-16,STRTECH,EQ,80.55,80.5,80.95,78.05,80.2,79.9,79.47,241684,1920569985000.0002,1815,109461,0.4529
2016-03-17,STRTECH,EQ,79.9,80.9,81.6,80.0,80.35,80.15,80.55,214983,1731733355000.0,1635,81772,0.3804
2016-03-18,STRTECH,EQ,80.15,80.4,81.6,79.8,80.2,80.45,80.66,291837,2353878835000.0,2277,156153,0.5351
2016-03-21,STRTECH,EQ,80.45,80.8,83.4,80.05,82.9,82.9,82.13,271472,2229733680000.0,3839,123541,0.4551
2016-03-22,STRTECH,EQ,82.9,83.35,89.9,83.2,89.8,89.65,87.98,1551209,13647999265000.0,14596,672105,0.4333
2016-03-23,STRTECH,EQ,89.65,90.2,90.2,87.0,88.25,88.25,88.33,526705,4652347205000.0,4324,159458,0.3027
2016-03-28,STRTECH,EQ,88.25,89.15,90.75,85.75,86.6,86.2,88.42,525690,4647963820000.0,7056,217567,0.4139
2016-03-29,STRTECH,EQ,86.2,86.0,93.2,85.4,91.5,91.3,90.26,1694986,15299442535000.0,15971,639671,0.3774
2016-03-30,STRTECH,EQ,91.3,91.3,93.7,89.05,92.9,92.5,92.39,1111315,10267302490000.0,9065,498421,0.4485
2016-03-31,STRTECH,EQ,92.5,93.0,93.0,90.1,90.35,90.45,91.32,300933,2748109095000.0,4815,142293,0.4728
2016-04-01,STRTECH,EQ,90.45,90.05,92.0,89.6,91.3,91.3,90.98,250196,2276203170000.0,2087,79751,0.3188
2016-04-04,STRTECH,EQ,91.3,92.0,92.05,89.7,91.7,91.25,90.91,292843,2662154860000.0,2646,135834,0.46380000000000005
2016-04-05,STRTECH,EQ,91.25,90.2,90.85,87.4,88.75,88.65,89.16,287346,2561864995000.0,2871,137640,0.479
2016-04-06,STRTECH,EQ,88.65,89.5,90.6,86.85,89.2,89.3,89.06,385618,3434177535000.0,2286,249536,0.6470999999999999
2016-04-07,STRTECH,EQ,89.3,89.05,89.9,87.6,88.65,88.1,88.41,184174,1628282025000.0,1800,75694,0.41100000000000003
2016-04-08,STRTECH,EQ,88.1,88.15,91.0,87.5,90.75,90.2,89.6,345160,3092766375000.0,3033,127882,0.3705
2016-04-11,STRTECH,EQ,90.2,88.85,94.45,88.85,93.2,93.4,92.73,754003,6991754584999.999,5286,273495,0.3627
2016-04-12,STRTECH,EQ,93.4,94.0,94.4,92.1,92.25,92.55,93.02,385481,3585656770000.0005,3922,171850,0.4458
2016-04-13,STRTECH,EQ,92.55,92.95,93.75,91.0,91.35,91.6,92.3,368171,3398313104999.9995,3028,202997,0.5514
